wave,ref,nist,log_gf,gf_dex,gf_note
7453.9966,FMW,,-2.41,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7461.5194,FMW,,-3.58,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7471.7402,K07,,-3.919,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7476.3747,FMW,,-1.68,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7482.2226,K07,,-1.377,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7491.6468,GESHRL14,,-1.06,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
7498.5298,FMW,,-2.25,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7507.265,K07,,-1.475,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7514.1982,K07,,-6.138,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7540.4291,FMW,,-3.85,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7559.7188,K07,,-1.077,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7568.8981,GESHRL14,,-0.88,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
7583.7875,BWL,,-1.885,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7710.3626,BWL+GESHRL,,-1.074,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
7719.0583,K07,,-1.31,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7723.2067,GESB82c,,-3.617,0.08,GES-adopted Blackwell 1982 series
7745.5127,K07,,-1.172,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7746.5948,K07,,-1.282,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7751.1084,K07,,-0.753,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7802.4727,K07,,-1.522,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7807.9084,K07,,-0.541,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7810.814,K07,,-1.155,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7844.5582,FMW,,-1.81,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7879.7564,FMW,,-1.65,0.08,"Fuhr, Martin & Wiese -- NIST critical compilation"
7912.8656,K07,,-5.007,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7941.0872,BKK,,-2.286,0.04,"Bard, Kock & Kock 1991 -- laboratory emission, Fe I"
7941.8316,K07,,-3.732,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7955.6915,K07,,-1.12,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
7959.1507,K07,,-1.213,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8002.5755,K07,,-4.243,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8024.5426,K07,,-4.746,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8047.6165,K07,,-4.742,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8080.5447,K07,,-2.71,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8090.3248,K07,,-1.911,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8207.7414,GESHRL14,,-0.96,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
8239.1267,BWL,,-3.179,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
8248.1281,K07,,-9.818,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8358.5202,K07,,-3.151,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8360.7934,GESHRL14,,-1.1,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
8365.6313,BK+BWL,,-1.997,0.04,"Bard & Kock 1994 -- laboratory emission, Fe I"
8471.7428,2014MNRAS.,,-0.91,0.03,Ruffoni et al. 2014 MNRAS -- FTS laboratory
8481.9803,K07,,-1.988,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8515.1084,BWL,,-2.073,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
8582.2574,BWL,,-2.133,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
8592.9506,K07,,-1.066,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8598.8187,K07,,-4.085,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8607.0802,K07,,-1.615,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8613.9394,K07,,-1.247,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8615.3112,(not in canonical_gf),,,,unrecognised source
8616.2653,K07,,-1.5527,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8621.6006,BWL,,-2.32,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
8699.454,BWL+2014MN,,-0.37,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
8757.1868,K07,,-6.85,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8784.4404,GESHRL14,,-1.16,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
8796.4835,K07,,-1.275,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8804.6242,GESB82c+BW,,-3.231,0.08,GES-adopted Blackwell 1982 series
8814.508,K07,,-1.793,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8834.0162,K07,,-2.558,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8838.4281,BKK+BWL,,-2.02,0.04,"Bard, Kock & Kock 1991 -- laboratory emission, Fe I"
8846.7398,GESHRL14,,-0.66,0.03,"Ruffoni/Heiter/Lawler 2014 -- FTS laboratory, GES-adopted"
8868.4297,K07,,-2.907,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8876.0059,K07,,-3.901,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8920.0267,K07,,-0.429,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8922.6503,K07,,-1.61,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8945.1747,K07,,-3.142,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
8994.6278,K07,,-3.189,0.2,"Kurucz 2007 SEMI-EMPIRICAL -- 0.1-0.3 dex, RYA-161"
9146.1275,BWL,,-2.804,0.02,"Blackwell/Wells/Lynas-Gray -- Oxford Fe I furnace, laboratory"
