element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel
Fe,I,7120.0212,kpno_solar_atlas,33.097079000003085,-5.332691620178337,-1.936,4.5585,0.102,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0708,lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7127.567,kpno_solar_atlas,37.27939400000911,-5.281472464412404,-1.046,4.988,0.212,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7131.3595,kpno_solar_atlas,15.8136855000265,-5.654139232911708,-0.904,5.6142,0.1,"integrated over +/-0.219 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.219 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_19.png
Fe,I,7132.9862,kpno_solar_atlas,52.97526499999229,-5.129198245928925,-1.628,4.0758,0.316,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7142.5166,kpno_solar_atlas,45.53337350004672,-5.195521430670819,-0.848,4.9556,0.277,"integrated over +/-0.409 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.409 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7145.3223,kpno_solar_atlas,50.192218000029,-5.153385435413214,-1.145,4.607,0.295,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7148.7246,kpno_solar_atlas,20.464475999998573,-5.54322793761094,-1.957,4.2833,0.159,"integrated over +/-0.287 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.287 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7151.4692,kpno_solar_atlas,44.035975499977525,-5.210587651131615,-3.73,2.4844,0.174,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7155.6298,kpno_solar_atlas,53.06872850003127,-5.129809181762249,-0.725,5.0095,0.295,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7179.9941,kpno_solar_atlas,35.88547550002872,-5.30120538215077,-4.78,1.4849,0.168,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7181.9134,kpno_solar_atlas,77.49796299992747,-4.966949876653478,-0.879,4.913,0.279,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9650, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7189.1445,kpno_solar_atlas,55.03549299996413,-5.116034351733309,-2.771,3.0713,0.284,"integrated over +/-0.289 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.289 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7190.1222,kpno_solar_atlas,15.21446799999696,-5.674479500407014,-3.42,3.111,0.096,"integrated over +/-0.123 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.123 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
Fe,I,7192.4216,kpno_solar_atlas,73.06667749995557,-4.9931557771373525,-1.272,5.0095,0.146,"integrated over +/-0.378 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.378 A from line separation | CONCERN: side-band 95th pct is 0.9587, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_20.png
