band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
red-optical,Fe,II,ENGINE-B,ts-lte,3,3,0.05,False,2,0,1,2,2,0,ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,ts-lte,3,3,0.05,True,3,0,0,2,2,0,ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.005,False,136,14,2,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.005,True,138,14,0,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.01,False,139,8,5,136,135,1,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.01,True,142,10,0,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.02,False,132,2,18,136,129,7,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.02,True,148,3,1,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.03,False,129,2,21,136,126,10,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.03,True,148,3,1,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.05,False,125,2,25,136,122,14,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,152,0.05,True,148,3,1,136,136,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.005,False,98,9,2,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.005,True,100,9,0,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.01,False,99,5,5,98,97,1,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.01,True,104,5,0,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.02,False,95,0,14,98,94,4,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.02,True,108,0,1,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.03,False,93,0,16,98,92,6,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.03,True,108,0,1,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.05,False,92,0,17,98,91,7,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,109,0.05,True,108,0,1,98,98,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.005,False,121,11,2,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.005,True,123,11,0,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.01,False,124,5,5,121,120,1,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.01,True,127,7,0,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.02,False,118,0,16,121,115,6,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.02,True,132,1,1,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.03,False,115,0,19,121,112,9,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.03,True,132,1,1,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.05,False,111,0,23,121,108,13,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,134,0.05,True,132,1,1,121,121,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.005,False,88,11,2,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.005,True,90,11,0,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.01,False,88,10,3,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.01,True,91,10,0,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.02,False,86,2,13,88,84,4,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.02,True,97,3,1,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.03,False,85,2,14,88,83,5,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.03,True,97,3,1,88,88,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.05,False,80,1,20,88,78,10,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,101,0.05,True,96,3,2,88,87,1,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.005,False,38,5,1,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.005,True,39,5,0,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.01,False,38,5,1,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.01,True,39,5,0,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.02,False,39,0,5,38,37,1,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.02,True,42,1,1,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.03,False,39,0,5,38,37,1,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.03,True,42,1,1,38,38,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.05,False,35,0,9,38,34,4,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,44,0.05,True,41,1,2,38,37,1,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.005,False,68,8,1,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.005,True,69,8,0,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.01,False,68,7,2,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.01,True,70,7,0,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.02,False,66,0,11,68,65,3,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.02,True,76,0,1,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.03,False,65,0,12,68,64,4,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.03,True,76,0,1,68,68,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.05,False,61,0,16,68,60,8,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,77,0.05,True,75,0,2,68,67,1,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
