band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
red-optical,Fe,II,ENGINE-B,,3,3,0.005,True,3,0,0,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.01,False,2,0,1,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.01,True,3,0,0,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.02,False,2,0,1,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.02,True,3,0,0,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.03,False,2,0,1,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.03,True,3,0,0,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.05,False,2,0,1,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,ENGINE-B,,3,3,0.05,True,3,0,0,2,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.005,False,136,14,2,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.005,True,138,14,0,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.01,False,139,8,5,136,135,1,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.01,True,142,10,0,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.02,False,132,2,18,136,129,7,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,152,0.02,True,148,3,1,136,136,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
