wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
5855.1,4.60759,6.72456,-1.478,-5.425112,22.0,7.427,7.441,ok,,82.048,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,74.87,gt02,,0.04823636387335058,7.47523636387335,True
5956.7,0.859,2.93985,-4.552,-5.074302,50.2,7.485,7.451,ok,,82.975,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,83.11,lt02,,-0.042590285199859954,7.4424097148001405,True
6151.6,2.17595,4.19086,-3.282,-5.100568,48.8,7.494,7.459,ok,,83.099,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,91.61,gt02,,-0.0243938382050646,7.469606161794935,True
6240.6,2.22271,4.20888,-3.287,-5.117619,47.6,7.463,7.478,ok,,85.408,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,57.81,gt02,,-0.026784928384215326,7.436215071615785,True
6311.5,2.83159,4.79547,-3.141,-5.375251,26.6,7.492,7.492,ok,,84.85,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,70.94,gt02,,0.01768679132545,7.50968679132545,True
6498.9,0.95816,2.86539,-4.695,-5.193747,41.6,7.464,7.469,ok,,76.18,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,87.22,lt02,,-0.04321396418243166,7.420786035817569,True
6518.4,2.83159,4.73314,-2.448,-5.056745,57.2,7.396,7.405,ok,,100.358,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,66.29,gt02,,-0.008466781221818681,7.387533218778181,True
6574.2,0.99011,2.8755,-5.01,-5.413009,25.4,7.526,7.465,ok,,77.55,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,84.85,lt02,,-0.04846785039702537,7.4775321496029745,True
6699.1,4.59311,6.44335,-2.101,-5.933922,7.8,7.455,7.487,ok,,45.636,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,95.54,gt02,,0.04489703323733052,7.499897033237331,True
6793.3,4.07581,5.90041,-2.326,-5.735171,12.5,7.429,7.445,ok,,89.362,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,96.42,gt02,,0.042284281349636146,7.471284281349637,True
6837.0,4.59311,6.40604,-1.687,-5.586892,17.7,7.456,7.486,ok,,81.22,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,72.69,gt02,"transition energy Eup-Elo 1.8129 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6843.7,4.54851,6.35967,-0.73,-5.022378,65.0,7.399,7.409,ok,,41.037,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,77.18,gt02,"transition energy Eup-Elo 1.8112 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6854.8,4.59311,6.40133,-1.926,-5.725405,12.9,7.478,7.434,ok,,82.674,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,57.24,gt02,"transition energy Eup-Elo 1.8082 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6858.1,4.60759,6.41493,-0.9,-5.095841,55.0,7.436,7.464,ok,,82.679,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,69.57,gt02,"transition energy Eup-Elo 1.8073 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6999.9,4.10337,5.87412,-1.38,-5.082413,57.9,7.481,7.482,ok,,80.56,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,60.59,gt02,"transition energy Eup-Elo 1.7707 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7008.0,4.1777,5.9464,-1.77,-5.375772,29.5,7.366,7.435,ok,,82.21,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,55.79,gt02,"transition energy Eup-Elo 1.7687 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7219.7,4.07581,5.79265,-1.43,-5.168323,49.0,7.379,7.399,ok,,57.274,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,48.67,gt02,"transition energy Eup-Elo 1.7168 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7401.7,4.18636,5.86098,-1.5,-5.250238,41.6,7.28,7.423,ok,,35.789,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,58.1,gt02,"transition energy Eup-Elo 1.6746 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7443.0,4.18636,5.85168,-1.64,-5.316654,35.9,7.45,7.45,ok,,148.773,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,58.0,gt02,"transition energy Eup-Elo 1.6653 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7912.9,0.859,2.42543,-4.848,-5.238419,45.7,7.551,7.48,ok,,73.099,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,46.72,lt02,"Eup 2.4254 eV outside training [2.4483, 3.9848] (lt02, n=17); transition energy Eup-Elo 1.5664 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8293.5,3.30092,4.79547,-2.203,-5.151582,58.5,7.532,7.486,ok,,44.639,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,64.69,gt02,"transition energy Eup-Elo 1.4945 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8571.8,5.00952,6.45554,-1.11,-5.432013,31.7,7.537,7.499,ok,,80.698,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,68.97,gt02,"transition energy Eup-Elo 1.4460 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8598.8,4.38646,5.82794,-1.2,-5.180855,56.7,7.489,7.419,ok,,80.648,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,53.16,gt02,"transition energy Eup-Elo 1.4415 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8876.0,5.02028,6.41674,-1.05,-5.397989,35.5,7.539,7.502,ok,,80.896,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,63.12,gt02,"transition energy Eup-Elo 1.3965 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 5.0203 eV is not within 0.02 eV of any level in the training set",,,False
8906.0,5.06378,6.45554,-1.22,-5.556986,24.7,7.455,7.492,ok,,81.215,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,64.05,gt02,"transition energy Eup-Elo 1.3918 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9103.6,4.1777,5.53924,-2.19,-5.675912,19.2,7.49,7.481,ok,,31.264,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,48.59,gt02,"transition energy Eup-Elo 1.3615 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9786.6,4.60759,5.87412,-1.84,-5.73056,18.2,7.552,7.466,ok,,90.326,holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,42.72,gt02,"transition energy Eup-Elo 1.2665 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
