element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Mn 1	16913.587	1691.3587	-2.542	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.683	1691.3683	-3.407	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.749	1691.3749	-1.624	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.790	1691.3790	-2.366	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.869	1691.3869	-3.282	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.925	1691.3925	-1.764	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16913.950	1691.3950	-2.340	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.014	1691.4014	-3.361	5.5785	44993.637	3.5	6.3113	50904.067	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	16914.018	1691.4018	-2.235	6.8724	55429.644	5.0	7.6052	61340.075	4.0	9.0	1.060	1.040	GA	1.58E+08	8.200	-4.610	-7.490	-7.490	-7.490	1.000	0.002	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Mn 1	16914.058	1691.4058	-1.922	5.5785	44993.637	3.5	6.3114	50904.874	2.5	6.0	1.720	2.000	GA	2.14E+08	8.330	-5.120	-7.340	-7.340	-7.340	1.000	0.007	0.000	X	X	F	0	1	25.0	25.000000	25.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
