teff_K,logg,log_eps_Fe,vturb_kms,species,lambda_air_nm,e_low,log_gf,lambda_air_min_nm,lambda_air_max_nm,clean,delta_mean3d_nlte_minus_mean3d_lte
5750,4.50,7.50,1.50,Fe1,227.9936,0.087286,-1.9891,227.8739,228.1354,yes,-0.0867
5750,4.50,7.50,3.00,Fe1,227.9936,0.087286,-1.9891,227.8739,228.1354,yes,-0.1226
5750,4.50,7.50,0.75,Fe1,228.3303,0.121267,-2.2160,228.1354,228.3478,no,-0.0497
5750,4.50,7.50,1.50,Fe1,228.3303,0.121267,-2.2160,228.1354,228.3478,no,-0.0712
5750,4.50,7.50,3.00,Fe1,228.3303,0.121267,-2.2160,228.1354,228.3478,no,-0.1059
5750,4.50,7.50,0.75,Fe1,228.3654,0.110115,-2.2229,228.3478,228.3789,no,-0.0877
5750,4.50,7.50,1.50,Fe1,228.3654,0.110115,-2.2229,228.3478,228.3789,no,-0.1154
5750,4.50,7.50,3.00,Fe1,228.3654,0.110115,-2.2229,228.3478,228.3789,no,-0.1561
5750,4.50,7.50,0.75,Fe1,228.4085,0.051570,-1.2970,228.3789,228.5833,no,-0.0840
5750,4.50,7.50,1.50,Fe1,228.4085,0.051570,-1.2970,228.3789,228.5833,no,-0.1166
5750,4.50,7.50,3.00,Fe1,228.4085,0.051570,-1.2970,228.3789,228.5833,no,-0.1633
5750,4.50,7.50,0.75,Fe1,228.7249,0.087286,-1.2798,228.5833,228.9836,no,-0.0774
5750,4.50,7.50,1.50,Fe1,228.7249,0.087286,-1.2798,228.5833,228.9836,no,-0.1081
5750,4.50,7.50,3.00,Fe1,228.7249,0.087286,-1.2798,228.5833,228.9836,no,-0.1538
5750,4.50,7.50,0.75,Fe1,229.2524,0.051570,-1.6760,228.9836,229.3251,no,-0.0825
5750,4.50,7.50,1.50,Fe1,229.2524,0.051570,-1.6760,228.9836,229.3251,no,-0.1138
5750,4.50,7.50,3.00,Fe1,229.2524,0.051570,-1.6760,228.9836,229.3251,no,-0.1554
5750,4.50,7.50,0.75,Fe1,229.3847,0.087286,-2.3660,229.3251,229.4037,no,-0.0696
5750,4.50,7.50,1.50,Fe1,229.3847,0.087286,-2.3660,229.3251,229.4037,no,-0.0941
5750,4.50,7.50,3.00,Fe1,229.3847,0.087286,-2.3660,229.3251,229.4037,no,-0.1302
5750,4.50,7.50,0.75,Fe1,229.4407,0.110115,-1.5450,229.4037,229.5320,no,-0.0972
5750,4.50,7.50,1.50,Fe1,229.4407,0.110115,-1.5450,229.4037,229.5320,no,-0.1298
5750,4.50,7.50,3.00,Fe1,229.4407,0.110115,-1.5450,229.4037,229.5320,no,-0.1708
5750,4.50,7.50,0.75,Fe1,229.6926,0.110115,-2.0180,229.5320,229.7192,no,-0.0531
5750,4.50,7.50,1.50,Fe1,229.6926,0.110115,-2.0180,229.5320,229.7192,no,-0.0759
5750,4.50,7.50,3.00,Fe1,229.6926,0.110115,-2.0180,229.5320,229.7192,no,-0.1125
5750,4.50,7.50,0.75,Fe1,229.7786,0.051570,-1.0980,229.7192,229.7937,no,-0.2933
5750,4.50,7.50,1.50,Fe1,229.7786,0.051570,-1.0980,229.7192,229.7937,no,-0.3327
5750,4.50,7.50,3.00,Fe1,229.7786,0.051570,-1.0980,229.7192,229.7937,no,-0.3459
5750,4.50,7.50,0.75,Fe1,229.8168,0.000000,-0.6569,229.7937,229.8573,no,0.0649
5750,4.50,7.50,1.50,Fe1,229.8168,0.000000,-0.6569,229.7937,229.8573,no,0.0963
5750,4.50,7.50,3.00,Fe1,229.8168,0.000000,-0.6569,229.7937,229.8573,no,0.1729
5750,4.50,7.50,0.75,Fe1,229.8659,0.110115,-2.4222,229.8573,229.8933,no,-0.0914
5750,4.50,7.50,1.50,Fe1,229.8659,0.110115,-2.4222,229.8573,229.8933,no,-0.1223
5750,4.50,7.50,3.00,Fe1,229.8659,0.110115,-2.4222,229.8573,229.8933,no,-0.1686
5750,4.50,7.50,0.75,Fe1,229.9219,0.087286,-1.5550,229.8933,229.9815,no,-0.0915
5750,4.50,7.50,1.50,Fe1,229.9219,0.087286,-1.5550,229.8933,229.9815,no,-0.1251
5750,4.50,7.50,3.00,Fe1,229.9219,0.087286,-1.5550,229.8933,229.9815,no,-0.1697
5750,4.50,7.50,0.75,Fe1,230.0141,0.087286,-1.5570,229.9815,230.1073,no,-0.0591
5750,4.50,7.50,1.50,Fe1,230.0141,0.087286,-1.5570,229.9815,230.1073,no,-0.0834
5750,4.50,7.50,3.00,Fe1,230.0141,0.087286,-1.5570,229.9815,230.1073,no,-0.1201
5750,4.50,7.50,0.75,Fe1,230.1683,0.121267,-1.6840,230.1073,230.2469,no,-0.0628
5750,4.50,7.50,1.50,Fe1,230.1683,0.121267,-1.6840,230.1073,230.2469,no,-0.0853
5750,4.50,7.50,3.00,Fe1,230.1683,0.121267,-1.6840,230.1073,230.2469,no,-0.1204
5750,4.50,7.50,0.75,Fe1,230.3424,0.121267,-1.7570,230.2469,230.3501,no,-0.1255
5750,4.50,7.50,1.50,Fe1,230.3424,0.121267,-1.7570,230.2469,230.3501,no,-0.1527
5750,4.50,7.50,3.00,Fe1,230.3424,0.121267,-1.7570,230.2469,230.3501,no,-0.1730
5750,4.50,7.50,0.75,Fe1,230.3580,0.110115,-1.7150,230.3501,230.6229,no,-0.0844
5750,4.50,7.50,1.50,Fe1,230.3580,0.110115,-1.7150,230.3501,230.6229,no,-0.1102
5750,4.50,7.50,3.00,Fe1,230.3580,0.110115,-1.7150,230.3501,230.6229,no,-0.1420
5750,4.50,7.50,0.75,Fe1,230.8998,0.110115,-1.3890,230.6229,231.0742,no,-0.0497
5750,4.50,7.50,1.50,Fe1,230.8998,0.110115,-1.3890,230.6229,231.0742,no,-0.0711
5750,4.50,7.50,3.00,Fe1,230.8998,0.110115,-1.3890,230.6229,231.0742,no,-0.1048
5750,4.50,7.50,0.75,Fe1,231.3104,0.087286,-1.1791,231.0742,231.5973,no,-0.0404
5750,4.50,7.50,1.50,Fe1,231.3104,0.087286,-1.1791,231.0742,231.5973,no,-0.0600
5750,4.50,7.50,3.00,Fe1,231.3104,0.087286,-1.1791,231.0742,231.5973,no,-0.0926
5750,4.50,7.50,0.75,Fe1,232.0357,0.051570,-0.9891,231.5973,234.8300,yes,-0.0332
5750,4.50,7.50,1.50,Fe1,232.0357,0.051570,-0.9891,231.5973,234.8300,yes,-0.0511
5750,4.50,7.50,3.00,Fe1,232.0357,0.051570,-0.9891,231.5973,234.8300,yes,-0.0820
5750,4.50,7.50,0.75,Fe1,235.0410,0.000000,-3.0300,234.8300,235.2524,yes,-0.1116
5750,4.50,7.50,1.50,Fe1,235.0410,0.000000,-3.0300,234.8300,235.2524,yes,-0.1305
5750,4.50,7.50,3.00,Fe1,235.0410,0.000000,-3.0300,234.8300,235.2524,yes,-0.1474
5750,4.50,7.50,0.75,Fe1,235.5908,0.087286,-2.5210,235.2524,236.2575,yes,-0.1136
5750,4.50,7.50,1.50,Fe1,235.5908,0.087286,-2.5210,235.2524,236.2575,yes,-0.1384
5750,4.50,7.50,3.00,Fe1,235.5908,0.087286,-2.5210,235.2524,236.2575,yes,-0.1681
5750,4.50,7.50,0.75,Fe1,236.9456,0.110115,-2.1941,236.2575,237.0326,yes,-0.3482
5750,4.50,7.50,1.50,Fe1,236.9456,0.110115,-2.1941,236.2575,237.0326,yes,-0.2990
5750,4.50,7.50,3.00,Fe1,236.9456,0.110115,-2.1941,236.2575,237.0326,yes,-0.2726
5750,4.50,7.50,0.75,Fe1,237.1430,0.087286,-1.9481,237.0326,237.2326,yes,-0.1414
5750,4.50,7.50,1.50,Fe1,237.1430,0.087286,-1.9481,237.0326,237.2326,yes,-0.1658
5750,4.50,7.50,3.00,Fe1,237.1430,0.087286,-1.9481,237.0326,237.2326,yes,-0.1989
5750,4.50,7.50,0.75,Fe1,237.3624,0.051570,-1.4130,237.2326,237.4214,no,-0.4358
5750,4.50,7.50,1.50,Fe1,237.3624,0.051570,-1.4130,237.2326,237.4214,no,-0.3646
5750,4.50,7.50,3.00,Fe1,237.3624,0.051570,-1.4130,237.2326,237.4214,no,-0.3065
5750,4.50,7.50,0.75,Fe1,237.4518,0.121267,-2.0970,237.4214,237.7374,no,-0.1789
5750,4.50,7.50,1.50,Fe1,237.4518,0.121267,-2.0970,237.4214,237.7374,no,-0.1949
5750,4.50,7.50,3.00,Fe1,237.4518,0.121267,-2.0970,237.4214,237.7374,no,-0.2180
5750,4.50,7.50,0.75,Fe1,238.1834,0.110115,-1.7340,237.7374,238.5914,yes,-0.2063
5750,4.50,7.50,1.50,Fe1,238.1834,0.110115,-1.7340,237.7374,238.5914,yes,-0.2180
5750,4.50,7.50,3.00,Fe1,238.1834,0.110115,-1.7340,237.7374,238.5914,yes,-0.2342
5750,4.50,7.50,0.75,Fe1,238.9972,0.087286,-1.5720,238.5914,241.8235,yes,-0.4288
5750,4.50,7.50,1.50,Fe1,238.9972,0.087286,-1.5720,238.5914,241.8235,yes,-0.3488
5750,4.50,7.50,3.00,Fe1,238.9972,0.087286,-1.5720,238.5914,241.8235,yes,-0.3025
5750,4.50,7.50,0.75,Fe1,242.0395,0.859003,-2.9940,241.8235,242.2559,yes,-0.4367
5750,4.50,7.50,1.50,Fe1,242.0395,0.859003,-2.9940,241.8235,242.2559,yes,-0.2712
5750,4.50,7.50,3.00,Fe1,242.0395,0.859003,-2.9940,241.8235,242.2559,yes,-0.2145
5750,4.50,7.50,0.75,Fe1,243.8182,0.859003,-1.2450,242.2559,244.0824,yes,0.1834
5750,4.50,7.50,1.50,Fe1,243.8182,0.859003,-1.2450,242.2559,244.0824,yes,0.2598
5750,4.50,7.50,3.00,Fe1,243.8182,0.859003,-1.2450,242.2559,244.0824,yes,-4.0000
5750,4.50,7.50,0.75,Fe1,244.3871,0.859003,-1.2350,244.0824,244.4722,yes,0.1086
5750,4.50,7.50,1.50,Fe1,244.3871,0.859003,-1.2350,244.0824,244.4722,yes,0.2053
5750,4.50,7.50,3.00,Fe1,244.3871,0.859003,-1.2350,244.0824,244.4722,yes,0.2822
5750,4.50,7.50,0.75,Fe1,244.5212,0.859003,-2.0210,244.4722,244.5676,no,0.2508
5750,4.50,7.50,1.50,Fe1,244.5212,0.859003,-2.0210,244.4722,244.5676,no,0.2742
5750,4.50,7.50,3.00,Fe1,244.5212,0.859003,-2.0210,244.4722,244.5676,no,-0.9450
5750,4.50,7.50,0.75,Fe1,244.7709,0.000000,-1.6831,244.5676,245.0655,no,-0.0734
5750,4.50,7.50,1.50,Fe1,244.7709,0.000000,-1.6831,244.5676,245.0655,no,-0.1144
5750,4.50,7.50,3.00,Fe1,244.7709,0.000000,-1.6831,244.5676,245.0655,no,-0.1665
5750,4.50,7.50,0.75,Fe1,245.3475,0.914610,-0.9229,245.0655,245.5144,yes,0.1157
5750,4.50,7.50,1.50,Fe1,245.3475,0.914610,-0.9229,245.0655,245.5144,yes,0.2126
5750,4.50,7.50,3.00,Fe1,245.3475,0.914610,-0.9229,245.0655,245.5144,yes,0.2786
5750,4.50,7.50,0.75,Fe1,245.7596,0.859003,-0.3180,245.5144,245.8368,no,0.0629
5750,4.50,7.50,1.50,Fe1,245.7596,0.859003,-0.3180,245.5144,245.8368,no,0.1025
5750,4.50,7.50,3.00,Fe1,245.7596,0.859003,-0.3180,245.5144,245.8368,no,0.2132
5750,4.50,7.50,0.75,Fe1,245.8567,0.859003,-2.0590,245.8368,245.9262,no,0.2102
5750,4.50,7.50,1.50,Fe1,245.8567,0.859003,-2.0590,245.8368,245.9262,no,0.2655
5750,4.50,7.50,3.00,Fe1,245.8567,0.859003,-2.0590,245.8368,245.9262,no,-3.0148
5750,4.50,7.50,0.75,Fe1,246.2180,0.051570,-1.3010,245.9262,246.2328,no,-0.0944
5750,4.50,7.50,1.50,Fe1,246.2180,0.051570,-1.3010,245.9262,246.2328,no,-0.1476
5750,4.50,7.50,3.00,Fe1,246.2180,0.051570,-1.3010,245.9262,246.2328,no,-0.2152
5750,4.50,7.50,0.75,Fe1,246.2647,0.000000,-0.3200,246.2328,246.3557,no,0.0299
5750,4.50,7.50,1.50,Fe1,246.2647,0.000000,-0.3200,246.2328,246.3557,no,0.0564
5750,4.50,7.50,3.00,Fe1,246.2647,0.000000,-0.3200,246.2328,246.3557,no,0.1183
5750,4.50,7.50,0.75,Fe1,246.3730,0.958165,-1.1271,246.3557,246.4647,no,0.2578
5750,4.50,7.50,1.50,Fe1,246.3730,0.958165,-1.1271,246.3557,246.4647,no,0.2744
5750,4.50,7.50,3.00,Fe1,246.3730,0.958165,-1.1271,246.3557,246.4647,no,-0.7710
5750,4.50,7.50,0.75,Fe1,246.5149,0.914610,-0.4460,246.4647,246.7105,no,0.0693
5750,4.50,7.50,1.50,Fe1,246.5149,0.914610,-0.4460,246.4647,246.7105,no,0.1166
5750,4.50,7.50,3.00,Fe1,246.5149,0.914610,-0.4460,246.4647,246.7105,no,0.2515
5750,4.50,7.50,0.75,Fe1,246.8879,0.859003,-0.6170,246.7105,246.9620,no,0.0690
5750,4.50,7.50,1.50,Fe1,246.8879,0.859003,-0.6170,246.7105,246.9620,no,0.1154
5750,4.50,7.50,3.00,Fe1,246.8879,0.859003,-0.6170,246.7105,246.9620,no,0.2518
5750,4.50,7.50,0.75,Fe1,247.0965,0.914610,-1.6240,246.9620,247.1126,no,-0.2515
5750,4.50,7.50,1.50,Fe1,247.0965,0.914610,-1.6240,246.9620,247.1126,no,-0.2690
5750,4.50,7.50,3.00,Fe1,247.0965,0.914610,-1.6240,246.9620,247.1126,no,-0.2879
5750,4.50,7.50,0.75,Fe1,247.2336,0.914610,-1.0540,247.1126,247.1126,no,-0.0160
5750,4.50,7.50,1.50,Fe1,247.2336,0.914610,-1.0540,247.1126,247.1126,no,-0.0240
5750,4.50,7.50,3.00,Fe1,247.2336,0.914610,-1.0540,247.1126,247.1126,no,-0.0411
5750,4.50,7.50,0.75,Fe1,247.2351,0.859003,-1.0660,247.1126,247.2443,no,0.1293
5750,4.50,7.50,1.50,Fe1,247.2351,0.859003,-1.0660,247.1126,247.2443,no,0.2519
5750,4.50,7.50,3.00,Fe1,247.2351,0.859003,-1.0660,247.1126,247.2443,no,0.2815
5750,4.50,7.50,0.75,Fe1,247.2872,0.087286,-1.2381,247.2443,247.2443,no,-0.0160
5750,4.50,7.50,1.50,Fe1,247.2872,0.087286,-1.2381,247.2443,247.2443,no,-0.0240
5750,4.50,7.50,3.00,Fe1,247.2872,0.087286,-1.2381,247.2443,247.2443,no,-0.0411
5750,4.50,7.50,0.75,Fe1,247.2894,0.051570,-0.0779,247.2443,247.3112,no,0.1357
5750,4.50,7.50,1.50,Fe1,247.2894,0.051570,-0.0779,247.2443,247.3112,no,0.1409
5750,4.50,7.50,3.00,Fe1,247.2894,0.051570,-0.0779,247.2443,247.3112,no,0.0640
5750,4.50,7.50,0.75,Fe1,247.3156,0.000000,-1.6440,247.3112,247.4449,no,0.0562
5750,4.50,7.50,1.50,Fe1,247.3156,0.000000,-1.6440,247.3112,247.4449,no,0.1100
5750,4.50,7.50,3.00,Fe1,247.3156,0.000000,-1.6440,247.3112,247.4449,no,0.2499
5750,4.50,7.50,0.75,Fe1,247.4814,0.958165,-0.4040,247.4449,247.6125,no,0.0705
5750,4.50,7.50,1.50,Fe1,247.4814,0.958165,-0.4040,247.4449,247.6125,no,0.1225
5750,4.50,7.50,3.00,Fe1,247.4814,0.958165,-0.4040,247.4449,247.6125,no,0.2544
5750,4.50,7.50,0.75,Fe1,247.6656,0.990119,-1.0749,247.6125,247.6776,no,0.0825
5750,4.50,7.50,1.50,Fe1,247.6656,0.990119,-1.0749,247.6125,247.6776,no,0.1553
5750,4.50,7.50,3.00,Fe1,247.6656,0.990119,-1.0749,247.6125,247.6776,no,0.2762
5750,4.50,7.50,0.75,Fe1,247.6865,1.011064,-2.0920,247.6776,247.7574,no,-0.2403
5750,4.50,7.50,1.50,Fe1,247.6865,1.011064,-2.0920,247.6776,247.7574,no,-0.2710
5750,4.50,7.50,3.00,Fe1,247.6865,1.011064,-2.0920,247.6776,247.7574,no,-0.3114
5750,4.50,7.50,0.75,Fe1,247.9480,0.990119,-1.0139,247.7574,247.9558,no,0.1358
5750,4.50,7.50,1.50,Fe1,247.9480,0.990119,-1.0139,247.7574,247.9558,no,0.2535
5750,4.50,7.50,3.00,Fe1,247.9480,0.990119,-1.0139,247.7574,247.9558,no,0.2797
5750,4.50,7.50,0.75,Fe1,247.9626,0.914610,-2.3410,247.9558,247.9674,no,0.1322
5750,4.50,7.50,1.50,Fe1,247.9626,0.914610,-2.3410,247.9558,247.9674,no,-1.3058
5750,4.50,7.50,3.00,Fe1,247.9626,0.914610,-2.3410,247.9558,247.9674,no,0.2422
5750,4.50,7.50,0.75,Fe1,247.9776,0.087286,0.1319,247.9674,248.1079,no,0.0196
5750,4.50,7.50,1.50,Fe1,247.9776,0.087286,0.1319,247.9674,248.1079,no,0.0361
5750,4.50,7.50,3.00,Fe1,247.9776,0.087286,0.1319,247.9674,248.1079,no,0.0718
5750,4.50,7.50,0.75,Fe1,248.3271,0.000000,0.6900,248.1079,248.3465,no,-0.0921
5750,4.50,7.50,1.50,Fe1,248.3271,0.000000,0.6900,248.1079,248.3465,no,-0.1630
5750,4.50,7.50,3.00,Fe1,248.3271,0.000000,0.6900,248.1079,248.3465,no,-0.2890
5750,4.50,7.50,0.75,Fe1,248.3533,0.990119,-1.0150,248.3465,248.3904,no,-0.0456
5750,4.50,7.50,1.50,Fe1,248.3533,0.990119,-1.0150,248.3465,248.3904,no,-0.0756
5750,4.50,7.50,3.00,Fe1,248.3533,0.990119,-1.0150,248.3465,248.3904,no,-0.1363
5750,4.50,7.50,0.75,Fe1,248.4187,0.110115,-0.2019,248.3904,248.5822,no,-0.0137
5750,4.50,7.50,1.50,Fe1,248.4187,0.110115,-0.2019,248.3904,248.5822,no,-0.0252
5750,4.50,7.50,3.00,Fe1,248.4187,0.110115,-0.2019,248.3904,248.5822,no,-0.0479
5750,4.50,7.50,0.75,Fe1,248.5990,0.914610,-1.6101,248.5822,248.6113,no,-0.0215
5750,4.50,7.50,1.50,Fe1,248.5990,0.914610,-1.6101,248.5822,248.6113,no,-0.0352
5750,4.50,7.50,3.00,Fe1,248.5990,0.914610,-1.6101,248.5822,248.6113,no,-0.0646
5750,4.50,7.50,0.75,Fe1,248.6373,0.000000,-1.6990,248.6113,248.6495,no,-0.0212
5750,4.50,7.50,1.50,Fe1,248.6373,0.000000,-1.6990,248.6113,248.6495,no,-0.0356
5750,4.50,7.50,3.00,Fe1,248.6373,0.000000,-1.6990,248.6113,248.6495,no,-0.0644
5750,4.50,7.50,0.75,Fe1,248.6691,0.958165,-0.9111,248.6495,248.6858,no,-0.0371
5750,4.50,7.50,1.50,Fe1,248.6691,0.958165,-0.9111,248.6495,248.6858,no,-0.0588
5750,4.50,7.50,3.00,Fe1,248.6691,0.958165,-0.9111,248.6495,248.6858,no,-0.1031
5750,4.50,7.50,0.75,Fe1,248.7065,1.011064,-0.7490,248.6858,248.7180,no,-0.0491
5750,4.50,7.50,1.50,Fe1,248.7065,1.011064,-0.7490,248.6858,248.7180,no,-0.0757
5750,4.50,7.50,3.00,Fe1,248.7065,1.011064,-0.7490,248.6858,248.7180,no,-0.1305
5750,4.50,7.50,0.75,Fe1,248.7369,0.087286,-1.8960,248.7180,248.7461,no,-0.0463
5750,4.50,7.50,1.50,Fe1,248.7369,0.087286,-1.8960,248.7180,248.7461,no,-0.0762
5750,4.50,7.50,3.00,Fe1,248.7369,0.087286,-1.8960,248.7180,248.7461,no,-0.1445
5750,4.50,7.50,0.75,Fe1,248.8142,0.051570,0.5450,248.7461,248.9148,no,-0.0274
5750,4.50,7.50,1.50,Fe1,248.8142,0.051570,0.5450,248.7461,248.9148,no,-0.0465
5750,4.50,7.50,3.00,Fe1,248.8142,0.051570,0.5450,248.7461,248.9148,no,-0.0855
5750,4.50,7.50,0.75,Fe1,248.9752,0.121267,-0.1910,248.9148,248.9847,no,-0.0290
5750,4.50,7.50,1.50,Fe1,248.9752,0.121267,-0.1910,248.9148,248.9847,no,-0.0501
5750,4.50,7.50,3.00,Fe1,248.9752,0.121267,-0.1910,248.9148,248.9847,no,-0.0960
5750,4.50,7.50,0.75,Fe1,248.9913,1.011064,-1.3919,248.9847,249.0102,no,-0.0723
5750,4.50,7.50,1.50,Fe1,248.9913,1.011064,-1.3919,248.9847,249.0102,no,-0.1140
5750,4.50,7.50,3.00,Fe1,248.9913,1.011064,-1.3919,248.9847,249.0102,no,-0.3670
5750,4.50,7.50,0.75,Fe1,249.0644,0.087286,0.3520,249.0102,249.2535,no,-0.0128
5750,4.50,7.50,1.50,Fe1,249.0644,0.087286,0.3520,249.0102,249.2535,no,-0.0225
5750,4.50,7.50,3.00,Fe1,249.0644,0.087286,0.3520,249.0102,249.2535,no,-0.0414
5750,4.50,7.50,0.75,Fe1,249.2630,0.958165,-2.4560,249.2535,249.3577,no,-0.0120
5750,4.50,7.50,1.50,Fe1,249.2630,0.958165,-2.4560,249.2535,249.3577,no,-0.0201
5750,4.50,7.50,3.00,Fe1,249.2630,0.958165,-2.4560,249.2535,249.3577,no,-0.0355
5750,4.50,7.50,0.75,Fe1,249.4000,1.011064,-1.3821,249.3577,249.4148,no,-0.0167
5750,4.50,7.50,1.50,Fe1,249.4000,1.011064,-1.3821,249.3577,249.4148,no,-0.0258
5750,4.50,7.50,3.00,Fe1,249.4000,1.011064,-1.3821,249.3577,249.4148,no,-0.0428
5750,4.50,7.50,0.75,Fe1,249.4251,0.859003,-1.9470,249.4148,249.4963,no,-0.0205
5750,4.50,7.50,1.50,Fe1,249.4251,0.859003,-1.9470,249.4148,249.4963,no,-0.0301
5750,4.50,7.50,3.00,Fe1,249.4251,0.859003,-1.9470,249.4148,249.4963,no,-0.0490
5750,4.50,7.50,0.75,Fe1,249.5873,0.859003,-1.7600,249.4963,249.6069,no,-0.0211
5750,4.50,7.50,1.50,Fe1,249.5873,0.859003,-1.7600,249.4963,249.6069,no,-0.0306
5750,4.50,7.50,3.00,Fe1,249.5873,0.859003,-1.7600,249.4963,249.6069,no,-0.0487
5750,4.50,7.50,0.75,Fe1,249.6533,0.914610,-0.6550,249.6069,249.7787,no,-0.0204
5750,4.50,7.50,1.50,Fe1,249.6533,0.914610,-0.6550,249.6069,249.7787,no,-0.0302
5750,4.50,7.50,3.00,Fe1,249.6533,0.914610,-0.6550,249.6069,249.7787,no,-0.0491
5750,4.50,7.50,0.75,Fe1,249.8818,0.110115,-3.2430,249.7787,249.8909,no,-0.0135
5750,4.50,7.50,1.50,Fe1,249.8818,0.110115,-3.2430,249.7787,249.8909,no,-0.0212
5750,4.50,7.50,3.00,Fe1,249.8818,0.110115,-3.2430,249.7787,249.8909,no,-0.0357
5750,4.50,7.50,0.75,Fe1,249.8871,0.051570,-3.3030,249.8909,249.9019,no,-0.0138
5750,4.50,7.50,1.50,Fe1,249.8871,0.051570,-3.3030,249.8909,249.9019,no,-0.0217
5750,4.50,7.50,3.00,Fe1,249.8871,0.051570,-3.3030,249.8909,249.9019,no,-0.0338
5750,4.50,7.50,0.75,Fe1,250.1131,0.000000,-0.3530,249.9019,250.1376,no,-0.0120
5750,4.50,7.50,1.50,Fe1,250.1131,0.000000,-0.3530,249.9019,250.1376,no,-0.0205
5750,4.50,7.50,3.00,Fe1,250.1131,0.000000,-0.3530,249.9019,250.1376,no,-0.0368
5750,4.50,7.50,0.75,Fe1,250.1424,0.958165,-2.9891,250.1376,250.1599,no,-0.0198
5750,4.50,7.50,1.50,Fe1,250.1424,0.958165,-2.9891,250.1376,250.1599,no,-0.0349
5750,4.50,7.50,3.00,Fe1,250.1424,0.958165,-2.9891,250.1376,250.1599,no,-0.0654
5750,4.50,7.50,0.75,Fe1,250.1693,0.859003,-1.5061,250.1599,250.4540,no,-0.0125
5750,4.50,7.50,1.50,Fe1,250.1693,0.859003,-1.5061,250.1599,250.4540,no,-0.0208
5750,4.50,7.50,3.00,Fe1,250.1693,0.859003,-1.5061,250.1599,250.4540,no,-0.0365
5750,4.50,7.50,0.75,Fe1,250.7900,0.958165,-0.7849,250.4540,250.8326,no,-0.0196
5750,4.50,7.50,1.50,Fe1,250.7900,0.958165,-0.7849,250.4540,250.8326,no,-0.0292
5750,4.50,7.50,3.00,Fe1,250.7900,0.958165,-0.7849,250.4540,250.8326,no,-0.0477
5750,4.50,7.50,0.75,Fe1,250.8753,0.990119,-1.9469,250.8326,250.8924,no,-0.0175
5750,4.50,7.50,1.50,Fe1,250.8753,0.990119,-1.9469,250.8326,250.8924,no,-0.0263
5750,4.50,7.50,3.00,Fe1,250.8753,0.990119,-1.9469,250.8326,250.8924,no,-0.0428
5750,4.50,7.50,0.75,Fe1,251.0834,0.051570,-0.2150,250.8924,251.2099,no,-0.0124
5750,4.50,7.50,1.50,Fe1,251.0834,0.051570,-0.2150,250.8924,251.2099,no,-0.0212
5750,4.50,7.50,3.00,Fe1,251.0834,0.051570,-0.2150,250.8924,251.2099,no,-0.0381
5750,4.50,7.50,0.75,Fe1,251.2275,0.859003,-1.7289,251.2099,251.3366,no,-0.0154
