canonical_line_id,merged_row_number,species,wavelength_air_A,lower_EP,component_loggf,source,gf_fraction,parent_sum_loggf,source_total_loggf,rescaled_component_loggf,raw_path,raw_line_number,lower_J,upper_J,raw_lower_EP,raw_upper_EP,lower_term,upper_term,source_annotation,component_semantics
alphys_II_1721.2710_0003,19403,Al II,1721.27207,4.6437,-1.148,VALD3,0.0399898043,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77608,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19405,Al II,1721.27222,4.6437,-0.227,VALD3,0.3333874738,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77616,1.0,2.0,4.6437,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19406,Al II,1721.27422,4.6437,-0.771,VALD3,0.0952684893,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77620,1.0,2.0,4.6437,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1721.2710_0003,19407,Al II,1721.27578,4.6437,-1.549,VALD3,0.0158836123,0.2500507217,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,77624,1.0,2.0,4.6437,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:HR,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19754,Al II,1724.91512,4.659,-3.199,VALD3,0.0158836123,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79012,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19755,Al II,1724.91548,4.659,-2.798,VALD3,0.0399898043,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79016,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19756,Al II,1724.91613,4.659,-2.576,VALD3,0.0666728897,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79020,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19757,Al II,1724.91821,4.659,-2.43,VALD3,0.0933145311,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79024,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19758,Al II,1724.91894,4.659,-2.314,VALD3,0.121884724,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79028,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19759,Al II,1724.91996,4.6591,-2.421,VALD3,0.0952684893,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79032,2.0,1.0,4.6591,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19760,Al II,1724.92167,4.659,-2.606,VALD3,0.062222761,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79036,2.0,1.0,4.659,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19761,Al II,1724.92378,4.6591,-2.166,VALD3,0.1713757144,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79040,2.0,1.0,4.6591,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9220_0004,19762,Al II,1724.92619,4.6591,-1.877,VALD3,0.3333874738,-1.3999492783,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79044,2.0,1.0,4.6591,11.8469,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19763,Al II,1724.94176,4.659,-1.515,VALD3,0.0518900688,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79048,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19764,Al II,1724.94243,4.659,-2.059,VALD3,0.014828057,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79052,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19765,Al II,1724.94272,4.659,-1.327,VALD3,0.0799989426,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79056,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19766,Al II,1724.94384,4.659,-3.059,VALD3,0.0014828057,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79060,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19767,Al II,1724.94451,4.659,-1.515,VALD3,0.0518900688,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79064,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19768,Al II,1724.94462,4.659,-1.297,VALD3,0.0857204114,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79068,2.0,2.0,4.659,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19769,Al II,1724.94619,4.659,-1.695,VALD3,0.0342834285,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79072,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19770,Al II,1724.9473,4.659,-1.327,VALD3,0.0799989426,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79076,2.0,2.0,4.659,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19771,Al II,1724.94746,4.6591,-1.44,VALD3,0.0616714624,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79080,2.0,2.0,4.6591,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19772,Al II,1724.94947,4.6591,-1.154,VALD3,0.1191473114,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79084,2.0,2.0,4.6591,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19775,Al II,1724.95103,4.6591,-1.297,VALD3,0.0857204114,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79096,2.0,2.0,4.6591,11.8467,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19776,Al II,1724.95369,4.6591,-0.796,VALD3,0.2716966269,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79100,2.0,2.0,4.6591,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9490_0005,19777,Al II,1724.9557,4.6591,-1.44,VALD3,0.0616714624,-0.2300842468,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79104,2.0,2.0,4.6591,11.8468,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19780,Al II,1724.97945,4.659,-0.644,VALD3,0.068536783,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79116,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19781,Al II,1724.97948,4.659,-1.008,VALD3,0.0296431066,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79120,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19782,Al II,1724.97996,4.659,-0.392,VALD3,0.1224401113,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79124,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19783,Al II,1724.98074,4.659,-0.911,VALD3,0.0370615617,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79128,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19784,Al II,1724.981,4.6591,-0.192,VALD3,0.1940544988,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79132,2.0,3.0,4.6591,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19785,Al II,1724.98156,4.659,-0.746,VALD3,0.0541905696,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79136,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19786,Al II,1724.9826,4.6591,-0.024,VALD3,0.2857088648,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79140,2.0,3.0,4.6591,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19787,Al II,1724.98282,4.659,-1.455,VALD3,0.0105906768,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79144,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19788,Al II,1724.98291,4.659,-0.66,VALD3,0.0660577406,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79148,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19789,Al II,1724.9848,4.6591,-0.67,VALD3,0.0645540829,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79152,2.0,3.0,4.6591,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19790,Al II,1724.98502,4.659,-1.422,VALD3,0.011426776,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79156,2.0,3.0,4.659,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19791,Al II,1724.98724,4.6591,-0.836,VALD3,0.0440477486,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79160,2.0,3.0,4.6591,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
alphys_II_1724.9820_0006,19792,Al II,1724.98775,4.6591,-1.568,VALD3,0.0081643895,0.5200762844,,,data/linelists/vald_solar_fuv_1150_2000_hfson_raw.txt,79164,2.0,3.0,4.6591,11.8466,LS                                                            3s.3p                  3P*,LS                                                              3s.3d                 3D,"'_          Li 1 - K 5 Bell   15 wl:KP  15 gf:KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP  15 KP   hfs:GUES,S53 Al+'",RAW_PHYSICAL_COMPONENT
