canonical_line_id,source_record_id,wavelength_vac_A,Aul_s,branching_fraction,lifetime_ns,lifetime_unc_ns,lifetime_source,lifetime_kind,source_table,component_note,species,wavelength_air,lower_EP,upper_EP,lower_level,upper_level,lower_J,upper_J,loggf,recomputed_loggf,gf_bound_dex,uncertainty_basis,source_class,source_key,source_path,source_semantics,priority,unc_pct,other_Aul_s,other_reference,aki_limit,aki_note,uncertainty_limit,intensity_limit,theory_flag,branching_limit,upper_statistical_weight_from_A_f,nist_grade,source_reference,bibliography_key,bibliography_chain,source_doi,citation_role,identity_status
alphys_I_2269.2210_0294,vuj2002_t2_026,2269.9217131518,12000000.0,,,,,,,,Al I,2269.22,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^6d ^2^D_3/2_,1.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,13000000.0,Wiese & Martin (1980),<,,,~,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2269.2210_0294,vuj2002_t2_027,2269.9217131518,12000000.0,,,,,,,,Al I,2269.22,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^6d ^2^D_3/2_,1.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,11500000.0,Davidson et al. (1990),<,,,~,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2367.0530_0302,nl2017_a1_015,,,,,,,,,,Al I,2367.052,0.0,5.236316,3p 2Po J=1/2,5d 2D J=3/2,0.5,1.5,-0.592,-0.592,0.06,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2372.0700_0308,nl2017_a1_016,,,,,,,,,,Al I,2372.07,0.0,5.22524,3p 2Po J=1/2,6s 2S J=1/2,0.5,0.5,-2.012,-2.012,0.1,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2373.1220_0310,vuj2002_t2_022,2373.8486582109,76000000.0,,,,,,,,Al I,2373.124,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^5d ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,86000000.0,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2373.1220_0310,vuj2002_t2_023,2373.8486582109,76000000.0,,,,,,,,Al I,2373.124,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^5d ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,63100000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2373.1220_0310,nl2017_a1_017,,,,,,,,,,Al I,2373.124,0.014,5.236919,3p 2Po J=3/2,5d 2D J=5/2,1.5,2.5,-0.337,-0.337,0.04,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2373.3510_0311,vuj2002_t2_020,2374.0737087987,13000000.0,,,,,,,,Al I,2373.349,0.0138937931,,3p ^2^P^o^_3/2_,(4d),1.5,,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,14000000.000000002,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2373.3510_0311,vuj2002_t2_021,2374.0737087987,13000000.0,,,,,,,,Al I,2373.349,0.0138937931,,3p ^2^P^o^_3/2_,(4d),1.5,,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,10500000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2373.3510_0311,nl2017_a1_018,,,,,,,,,,Al I,2373.349,0.014,5.236424,3p 2Po J=3/2,5d 2D J=3/2,1.5,1.5,-1.291,-1.291,0.06,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2567.9830_0315,vuj2002_t2_012,2568.7536106066,28000000.000000004,,,,,,,,Al I,2567.984,0.0,,3p ^2^P^o^_1/2_,y ^2^D_3/2_,0.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,23000000.0,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2567.9830_0315,vuj2002_t2_013,2568.7536106066,28000000.000000004,,,,,,,,Al I,2567.984,0.0,,3p ^2^P^o^_1/2_,y ^2^D_3/2_,0.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,19200000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2575.0940_0316,vuj2002_t2_016,2575.8652878895,34000000.0,,,,,,,,Al I,2575.094,0.0138937931,,3p ^2^P^o^_3/2_,y ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,28000000.000000004,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2575.0940_0316,vuj2002_t2_017,2575.8652878895,34000000.0,,,,,,,,Al I,2575.094,0.0138937931,,3p ^2^P^o^_3/2_,y ^2^D_5/2_,1.5,2.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,23000000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2575.0940_0316,nl2017_a1_020,,,,,,,,,,Al I,2575.094,0.014,4.827303,3p 2Po J=3/2,4d 2D J=5/2,1.5,2.5,-0.668,-0.668,0.06,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2575.3970_0317,vuj2002_t2_014,2576.1643584742,5000000.0,,,,,,,,Al I,2575.393,0.0138937931,,3p ^2^P^o^_3/2_,y ^2^D_3/2_,1.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,4400000.0,Wiese & Martin (1980),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2575.3970_0317,vuj2002_t2_015,2576.1643584742,5000000.0,,,,,,,,Al I,2575.393,0.0138937931,,3p ^2^P^o^_3/2_,y ^2^D_3/2_,1.5,1.5,,,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,RATIO_ONLY,2,,3800000.0,Davidson et al. (1990),<,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,AMBIGUOUS_FINE_STRUCTURE
alphys_I_2652.4750_0318,vuj2002_t2_003,2653.2736825857,14199999.999999998,,,,,,,,Al I,2652.484,0.0,,3p ^2^P^o^_1/2_,3s^2^5s ^2^S_1/2_,0.5,0.5,-1.5232608846,-1.5232608846,0.0492180227,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,12.0,13300000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_2660.3860_0319,vuj2002_t2_004,2661.1845758656,28399999.999999996,,,,,,,,Al I,2660.393,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^5s ^2^S_1/2_,1.5,0.5,-1.2196449923,-1.2196449923,0.0453229788,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,11.0,26400000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_II_2669.1550_0320,johnson1986_2669,,,,,,,,,,Al II,2669.157,0.0,4.6436887213,3s2 1S0,3s3p 3P1o,0.0,1.0,-4.9715713581,-4.9715713581,0.0290057645,"90% confidence bound, NOT a one-sigma uncertainty",PRIMARY_LABORATORY,Johnson1986,data/reference/al_grade_verification_rya1134/source_review.md,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,johnson_smith_parkinson1986,johnson_smith_parkinson1986;trabert1999_al,10.1086/164569,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3082.1530_0329,vuj2002_t2_009,3083.0482421052,59000000.0,,,,,,,,Al I,3082.153,0.0,,3p ^2^P^o^_1/2_,3s^2^3d ^2^D_3/2_,0.5,1.5,-0.4732706795,-0.4732706795,0.0492180227,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,12.0,63000000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3082.1530_0329,nl2017_a1_024,,,,,,,,,,Al I,3082.153,0.0,4.021481,3p 2Po J=1/2,3d 2D J=3/2,0.5,1.5,-0.476,-0.476,0.025,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3092.7100_0330,vuj2002_t2_011,3093.6078907093,71000000.0,,,,,,,,Al I,3092.71,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^3d ^2^D_5/2_,1.5,2.5,-0.2138031906,-0.2138031906,0.0086001718,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,2.0,74000000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3092.7100_0330,nl2017_a1_025,,,,,,,,,,Al I,3092.71,0.014,4.021754,3p 2Po J=3/2,3d 2D J=5/2,1.5,2.5,-0.202,-0.202,0.025,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Tachiev & Froese Fischer 2002, A&A 385, 716",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3092.8390_0331,vuj2002_t2_010,3093.7369230866,12000000.0,,,,,,,,Al I,3092.839,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^3d ^2^D_3/2_,1.5,1.5,-1.1619353248,-1.1619353248,,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",MIXED_LAB_THEORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,,,,,),,~,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3092.8390_0331,nl2017_a1_026,,,,,,,,,,Al I,3092.839,0.014,4.021587,3p 2Po J=3/2,3d 2D J=3/2,1.5,1.5,-1.175,-1.175,0.04,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3944.0060_0335,vuj2002_t2_001,3945.1224280304,47000000.0,,,,,,,,Al I,3944.006,0.0,,3p ^2^P^o^_1/2_,3s^2^4s ^2^S_1/2_,0.5,0.5,-0.6588944995,-0.6588944995,0.0413926852,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,10.0,49300000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3944.0060_0335,nl2017_a1_027,,,,,,,,,,Al I,3944.006,0.0,3.142721,3p 2Po J=1/2,4s 2S J=1/2,0.5,0.5,-0.635,-0.635,0.025,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Tachiev & Froese Fischer 2002, A&A 385, 716",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3961.5200_0336,vuj2002_t2_002,3962.6409977897,99000000.0,,,,,,,,Al I,3961.52,0.0138937931,,3p ^2^P^o^_3/2_,3s^2^4s ^2^S_1/2_,1.5,0.5,-0.3315086761,-0.3315086761,0.0253058653,"published bound; Vujnovic sums relative errors, not Gaussian quadrature",PRIMARY_LABORATORY,Vujnovic2002,data/reference/vujnovic2002_al/raw/table2.dat,FINE_STRUCTURE_TOTAL,2,6.0,98000000.0,Wiese & Martin (1980),,,,,,,,,,vujnovic2002,vujnovic2002,10.1051/0004-6361:20020560,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
alphys_I_3961.5200_0336,nl2017_a1_028,,,,,,,,,,Al I,3961.52,0.014,3.142827,3p 2Po J=3/2,4s 2S J=1/2,1.5,0.5,-0.333,-0.333,0.025,"NL2017 Table A.1, inherited from NIST; not independent laboratory evidence",EVALUATED_THEORY,NordlanderLind2017_TOPbase,data/reference/asplund2021_al/nordlander_lind_2017_analysis_lines.csv,FINE_STRUCTURE_TOTAL,4,,,,,,,,,,,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",nordlander_lind2017,nordlander_lind2017;kelleher2008_al;mendoza1995_al,10.1051/0004-6361/201730427,published source of the retained quantities,UNIQUE_SPECIES_WAVELENGTH_EP
