wavelength_air_A,flux
8.625046670743584400e+03,9.947777390480041504e-01
8.625058297662240875e+03,9.947661757469177246e-01
8.625069197926952256e+03,9.943675994873046875e-01
8.625080824906344787e+03,9.937228560447692871e-01
8.625091725227994175e+03,9.936332702636718750e-01
8.625103352268120943e+03,9.939391016960144043e-01
8.625114252646710156e+03,9.943298697471618652e-01
8.625125153052849782e+03,9.941293597221374512e-01
8.625136780183103838e+03,9.934577345848083496e-01
8.625147680646185108e+03,9.931944608688354492e-01
8.625159307837171582e+03,9.931744337081909180e-01
8.625170208357196316e+03,9.929682612419128418e-01
8.625181835608920665e+03,9.928303360939025879e-01
8.625192736185883405e+03,9.930496811866760254e-01
8.625203636790398377e+03,9.933748841285705566e-01
8.625215264132251832e+03,9.932854771614074707e-01
8.625226164793708449e+03,9.929450750350952148e-01
8.625237792196299779e+03,9.928635954856872559e-01
8.625248692914698040e+03,9.927629232406616211e-01
8.625260320378029064e+03,9.928550124168395996e-01
8.625271221153368970e+03,9.934308528900146484e-01
8.625282121956264746e+03,9.936893582344055176e-01
8.625293749509723057e+03,9.935459494590759277e-01
8.625304650369564115e+03,9.938743710517883301e-01
8.625316277983760301e+03,9.941439032554626465e-01
8.625327178900543004e+03,9.935765862464904785e-01
8.625338806575480703e+03,9.930715560913085938e-01
8.625349707549208688e+03,9.932624101638793945e-01
8.625360608550488905e+03,9.938100576400756836e-01
8.625372236315557529e+03,9.941588640213012695e-01
8.625383137373784848e+03,9.943635463714599609e-01
8.625394765199596804e+03,9.944691658020019531e-01
8.625405666314767586e+03,9.944778680801391602e-01
8.625417294201321056e+03,9.949597716331481934e-01
8.625428195373437120e+03,9.952290654182434082e-01
8.625439096573109055e+03,9.953156113624572754e-01
8.625450724549798906e+03,9.954494237899780273e-01
8.625461625806416123e+03,9.949216842651367188e-01
8.625473253843843850e+03,9.947212338447570801e-01
8.625484155157409987e+03,9.948813915252685547e-01
8.625495783255584684e+03,9.947145581245422363e-01
8.625506684626097922e+03,9.949464797973632812e-01
8.625517586024165212e+03,9.953688383102416992e-01
8.625529214212474471e+03,9.956656694412231445e-01
8.625540115667492501e+03,9.956831336021423340e-01
8.625551743916548730e+03,9.952136278152465820e-01
8.625562645428512042e+03,9.948277473449707031e-01
8.625574273738315242e+03,9.947060942649841309e-01
8.625585175307227473e+03,9.948021173477172852e-01
8.625596076903693756e+03,9.949996471405029297e-01
8.625607705303636976e+03,9.949483275413513184e-01
8.625618606957053998e+03,9.948711991310119629e-01
8.625630235417740550e+03,9.950984716415405273e-01
8.625641137128111950e+03,9.953904747962951660e-01
8.625652765649545472e+03,9.953163266181945801e-01
8.625663667416862154e+03,9.951445460319519043e-01
8.625674569211741982e+03,9.953057765960693359e-01
8.625686197823315524e+03,9.952268004417419434e-01
8.625697099675142454e+03,9.946012496948242188e-01
8.625708728347464785e+03,9.942250251770019531e-01
8.625719630256246091e+03,9.944266676902770996e-01
8.625731258989319031e+03,9.948486089706420898e-01
8.625742160955049258e+03,9.950693249702453613e-01
8.625753062948337174e+03,9.948619008064270020e-01
8.625764691771551952e+03,9.945988059043884277e-01
8.625775593821794246e+03,9.944104552268981934e-01
8.625787222705759632e+03,9.944440722465515137e-01
8.625798124812954484e+03,9.946702718734741211e-01
8.625809753757668659e+03,9.945031404495239258e-01
8.625820655921819707e+03,9.942807555198669434e-01
8.625831558113524807e+03,9.942374229431152344e-01
8.625843187148388097e+03,9.941941499710083008e-01
8.625854089397051212e+03,9.940985441207885742e-01
8.625865718492663291e+03,9.938405752182006836e-01
8.625876620798277145e+03,9.938818216323852539e-01
8.625888249954643470e+03,9.940391182899475098e-01
8.625899152317213520e+03,9.939087629318237305e-01
8.625910054707344898e+03,9.940737485885620117e-01
8.625921683953858519e+03,9.941688776016235352e-01
8.625932586400944274e+03,9.932670593261718750e-01
8.625944215708212141e+03,9.927722215652465820e-01
8.625955118212254092e+03,9.931122064590454102e-01
8.625966747580278025e+03,9.931749701499938965e-01
8.625977650141274353e+03,9.928780794143676758e-01
8.625988552729832008e+03,9.921421408653259277e-01
8.626000182188005056e+03,9.917746782302856445e-01
8.626011084833522546e+03,9.916932582855224609e-01
8.626022714352449839e+03,9.913608431816101074e-01
