wavelength_air_A,status,A0,ew_lo,ew_mid,ew_hi,rew,d_rew_dA,recovered_from_ceiling
5679.0229,ok,7.45,66.64516237246566,72.94777115960025,79.42112547754661,-4.891261592895914,0.38083703380845435,False
5680.2403,ok,7.45,26.532987966277037,28.062757454162277,29.902925522749957,-5.3062363660488385,0.25963759557276367,False
5682.4946,ok,7.45,195.8135466490716,197.4154298337335,199.1597760109474,-4.4591579379197075,0.036794477863749675,True
5686.5295,ok,7.45,116.69191452394969,125.03627819041813,133.83274260735405,-4.657811258412356,0.2976080637060974,True
5691.4963,ok,7.45,49.81053534455981,54.750759990593565,59.919722075650085,-5.016836305896221,0.40124290464567114,False
5696.0885,ok,7.45,30.05875726710703,33.4270260317729,37.28055175337003,-5.231478988728301,0.467556549572008,False
5702.3475,ok,7.45,62.61476715629011,67.01087776385124,72.18475993393334,-4.929908372883962,0.3088437327489757,False
5704.7326,ok,7.45,25.26813605933989,28.131226679966,31.474212784466495,-5.307046622124365,0.4769083492171422,False
5705.9918,ok,7.45,133.8999116815453,144.8110112266754,155.85150169282696,-4.595529556941606,0.329653503399443,True
5707.0491,ok,7.45,61.47787065069076,66.12737189089371,71.18706850983655,-4.936030346149694,0.31841146082877136,False
5711.8482,ok,7.45,159.68571365041316,166.62604704161646,173.5849191938211,-4.535033765523204,0.1812296403323177,True
5714.1453,ok,7.45,22.353816638470484,23.711320942065115,25.35310944800914,-5.3819955305698866,0.27339773515105303,False
5715.0964,ok,7.45,100.86271572644598,105.44456612169728,110.67071415237994,-4.7339993561614255,0.20151027542590572,True
5717.8322,ok,7.45,75.25932405108036,80.44400646781637,85.61282963825849,-4.851737713809522,0.2798926902900367,True
5720.8611,ok,7.45,100.15433549420746,102.91293571217194,105.99210195923524,-4.744991436277158,0.1230187551113826,False
5721.7065,ok,7.45,30.90729664526748,32.192585526904935,33.74384626455698,-5.249769718350931,0.190667816455663,False
5723.6704,ok,7.45,13.658347987823362,13.770132247445233,13.910198896580797,-5.61873650556229,0.03967583177085343,False
5724.4533,ok,7.45,15.65038498196963,16.093198529740075,16.64750302041575,-5.551091647870919,0.13412038593854536,False
5730.854,ok,7.45,42.361031080033115,45.14656048586235,48.336178529092614,-5.103594675495232,0.28652894786642014,False
5731.7615,ok,7.45,92.29626279733422,99.6390202480866,107.30889505681803,-4.7598586625398935,0.327258034136807,False
5734.5641,ok,7.45,24.992349000515237,27.057910806417976,29.481591847113894,-5.326206150733154,0.35871926263343346,False
5738.2266,ok,7.45,29.58765686367357,31.413714838956942,33.5904797176309,-5.261658397274203,0.2755281638794349,False
5741.8473,ok,7.45,40.05048074168282,44.346957064939964,48.892262921804125,-5.1121878131849225,0.4331620254367752,False
5742.96,ok,7.45,30.606073175742242,32.79278109822,35.4190896217655,-5.243357541425008,0.3171489102168068,False
5747.9535,ok,7.45,106.24863079916778,111.87085476558892,118.02244344170491,-4.7107962897213485,0.228206297854191,True
5752.0312,ok,7.45,52.15795618812001,57.83180727893847,63.73200059913481,-4.9976544685879185,0.43518493170600525,False
5753.1219,ok,7.45,120.38356647899602,126.43646703921036,132.66401975682822,-4.658031224140024,0.21092973417229266,True
5759.5257,ok,7.45,49.75756143436721,54.23505995809292,59.42424282773211,-5.026106595899003,0.3855228442458969,False
5769.3221,ok,7.45,26.650903640907945,28.519165700217105,30.804419534230977,-5.305987969688406,0.314505452445748,False
5775.0802,ok,7.45,71.37523513005605,76.6312756617136,81.88844486794447,-4.877151964554747,0.2983753581083193,True
5778.4524,ok,7.45,34.3908114668611,38.35899553466929,42.70510822771856,-5.177944313877254,0.4701870175958245,False
5783.9065,ok,7.45,62.24882252279211,63.11819933597759,64.19523463694694,-4.962066663104055,0.06685824842349475,False
5791.0169,ok,7.45,131.87608412106428,137.8819143579144,144.43719107246523,-4.623247527803049,0.1975649552701586,True
5793.9144,ok,7.45,51.45259470330608,57.27898549882602,63.51950741138056,-5.004976757267675,0.45749920411555456,False
5798.1716,ok,7.45,95.41618986833254,100.28071128148265,105.22418578503593,-4.762073658681152,0.2124675172755408,False
5804.0339,ok,7.45,91.40627947581517,97.68693635902054,104.69859953113153,-4.77389345083772,0.294824201823346,False
5806.7248,ok,7.45,71.1732357346066,77.2353632545854,83.49152208412191,-4.876115050392782,0.34662833985181996,False
5807.7831,ok,7.45,24.14711749423202,26.299322196625784,28.91746919994742,-5.344065832931944,0.3914749319724842,False
5809.1552,ok,7.45,56.28383040554454,62.02924594320434,67.88765641838837,-4.971516477729385,0.40703585348642934,False
5809.217,ok,7.45,57.590216590279546,63.33696113869852,69.19706046583289,-4.962460377200249,0.3986946694179194,False
5811.9301,ok,7.45,28.27443668333046,31.627777381614276,35.647630897698065,-5.264251709135533,0.5031835562846698,False
5814.8068,ok,7.45,41.15623824559055,46.76147289511373,53.16504453338182,-5.094647107509019,0.555952546959908,False
5816.3724,ok,7.45,104.74612075473553,114.11915726134794,123.92854849122602,-4.707293649098581,0.3651670755693881,True
5817.0754,ok,7.45,26.351332835039752,27.743420133511304,29.38200711512088,-5.3215446944081775,0.23639436552317816,False
5821.8878,ok,7.45,20.91676976754076,22.76269521592877,24.944995668138606,-5.407840148030343,0.3824440836850562,False
5827.8767,ok,7.45,34.134930878262566,38.8319094611731,44.25316742434006,-5.176321608449146,0.5637266652533146,False
5833.9249,ok,7.45,65.76428121155962,73.90563953609437,82.60504894318876,-4.897283254680619,0.49508257558402713,False
5834.0383,ok,7.45,68.83314024919629,77.07505665150562,85.89979051912542,-4.879055423291344,0.48097260850158197,False
5835.0997,ok,7.45,36.642269555085036,40.713657982204396,45.62053652278897,-5.1563081569123534,0.47589011640250867,False
5837.7008,ok,7.45,38.28568863847174,41.5014121717095,45.328046450265724,-5.148178957568542,0.36665269569299497,False
5838.3714,ok,7.45,50.31914839992151,54.88610320689664,60.11830060692178,-5.026829320660177,0.38636706583181857,False
5845.2861,ok,7.45,15.74996689961429,16.615073358884775,17.68821560609554,-5.546303509628859,0.25202188960504524,False
5848.0661,ok,7.45,59.471684903240494,65.62159139076792,71.91544506699891,-4.949965514493239,0.41255964894277075,False
5848.1259,ok,7.45,59.587265403968765,65.73665612729695,72.03068145338949,-4.949209104912113,0.4118203418400357,False
5849.6829,ok,7.45,22.662180651888935,24.61034025081936,26.9457813968389,-5.37601470636351,0.37594542474191917,False
5852.218,ok,7.45,50.202685060568804,55.07850831589439,60.09552546645373,-5.026338325783195,0.3905759559415456,False
5855.0751,ok,7.45,33.98696736200478,37.86885023453524,42.113441004838506,-5.189250350543145,0.4655415687109965,False
5856.0876,ok,7.45,54.221077348598364,58.73769461387518,63.238143734227926,-4.998690667651499,0.3340548539137811,False
5858.778,ok,7.45,51.61089478598576,55.263437220623885,59.57190588532262,-5.0253691488539545,0.31150053074533557,False
5859.5856,ok,7.45,107.14623455229176,112.84453144401473,118.78106236046676,-4.715386385459482,0.22385146010235224,True
5861.1081,ok,7.45,21.344821743215512,23.42647354657329,25.889145283446364,-5.39827281347573,0.41912590215405165,False
5862.3557,ok,7.45,137.8056411616433,145.5252943832438,153.50526750816707,-4.605133679343227,0.23428143378251498,True
5864.2436,ok,7.45,25.13934208097542,27.204858264593902,29.72944880849887,-5.33356553494628,0.3641647486282862,False
5873.2121,ok,7.45,40.85415443438399,44.8858286124478,49.56815299862152,-5.116766437990299,0.419832551647934,False
5877.788,ok,7.45,31.25874567556511,34.06893385764635,37.280756554315914,-5.236855374782478,0.382565850313048,False
5880.0267,ok,7.45,41.39993035189164,46.03951336289823,51.50910478905986,-5.106248573628564,0.4744219577829334,False
5881.279,ok,7.45,31.150616236395514,34.993271536792044,39.484475543183024,-5.22548723547073,0.5147986566127494,False
5883.8162,ok,7.45,77.77306426535236,83.35868049209778,88.93601776307422,-4.84870826623589,0.29124234431103013,True
5885.0534,ok,7.45,24.949968343471046,27.42599316512568,30.294109435302133,-5.331588044471757,0.42144095506467805,False
5892.7999,ok,7.45,108.13614450968123,113.5579592724665,119.88546968297956,-4.7151041148368575,0.22397833958202495,True
5898.2153,ok,7.45,40.79671736810605,42.81266335233824,45.21396471872481,-5.139148375472047,0.22323685643450997,False
5901.5303,ok,7.45,20.727197200804557,22.441261400242915,24.4903375704696,-5.419917376730605,0.3622709602801022,False
5902.4724,ok,7.45,27.05147801182696,29.534868385448583,32.39281586986429,-5.300698925115288,0.39128851862046066,False
5905.6709,ok,7.45,70.89474332795727,76.70875068583574,82.59843246514278,-4.886424332083204,0.33178885475849906,False
5909.9721,ok,7.45,53.54961453099467,58.5468055159809,63.796674420972394,-5.004082226969182,0.3802084576476783,False
5914.1113,ok,7.45,162.04749465514075,170.98079809271317,180.07257100561108,-4.538942153506014,0.22902622158111674,True
5914.2005,ok,7.45,163.06077806402374,172.00543554984515,181.1058774592875,-4.536353872374686,0.22791517246524062,True
5916.2469,ok,7.45,68.83460579522246,74.49542212984439,80.2764469852948,-4.899916704479034,0.33390656428674226,False
5927.7883,ok,7.45,69.51427985032336,74.78080988155742,80.1968281596642,-4.899102520939521,0.31041582014944447,False
5930.1799,ok,7.45,130.7268610781039,141.956384454758,153.53533678248638,-4.620912938880011,0.34921756314916563,True
5933.7971,ok,7.45,18.285825067887007,18.956489216426785,19.76969840240091,-5.495574783833845,0.16942741604088818,False
5934.6542,ok,7.45,95.83996069028511,102.28941418933987,108.94116062532976,-4.763564727173845,0.27822685442690287,True
5940.9907,ok,7.45,31.866404203583816,35.26527115822246,39.11937060491182,-5.226511645007119,0.44529399100931677,False
5943.6002,ok,7.45,31.924246710407196,34.62767063958523,37.796600297208016,-5.2346263105625415,0.3666603979782801,False
5949.2811,ok,7.45,61.256291749923044,67.13955775338917,73.18919518003143,-4.947486013331825,0.3864813447865567,False
5949.3455,ok,7.45,60.21398872646233,66.12824200836035,72.21358770428881,-4.954082213387473,0.39460762580094233,False
5952.7176,ok,7.45,111.25948495057565,118.06971508554568,125.14197003058763,-4.702576764642307,0.25532971185787456,True
5956.6933,ok,7.45,59.050789147720096,63.88737935524112,68.62476466148323,-4.969590165747256,0.3262758113184183,False
5958.2291,ok,7.45,28.19949585560088,31.3870036992477,35.13925271835862,-5.278367339686722,0.47775588628250487,False
5958.3324,ok,7.45,28.133945110505355,31.30177469646553,35.02996621165207,-5.279555766566394,0.47604541302275205,False
5959.9145,ok,7.45,26.43327153677505,28.382286277162976,30.72713371641403,-5.322192653227851,0.32685566532879795,False
5963.2389,ok,7.45,21.640633868798318,22.93935368589266,24.532874270543353,-5.414901030920547,0.2723922785555488,False
5965.9887,ok,7.45,53.7384666768013,56.42424180096862,59.62685644074749,-5.0242166944725595,0.22578321597328532,False
5975.349,ok,7.45,87.44405610889753,93.80495108704257,100.24405794020508,-4.804137514705678,0.29664172303034975,False
5976.7763,ok,7.45,89.23280598635755,97.24988543752089,105.66077572073668,-4.788577902885889,0.36694622449510716,True
5983.6795,ok,7.45,43.93762653354883,48.08516948250571,52.542518164132744,-5.0949571725287965,0.38837144987012184,True
5984.8147,ok,7.45,115.65911863938932,124.13429974976766,133.02411599105733,-4.6831589097643445,0.3037525149925391,True
5987.0645,ok,7.45,84.84827529576785,91.58156852263598,98.41796889031384,-4.815405859482359,0.32215689562769656,True
5997.7763,ok,7.45,59.003636507858396,63.25050405778748,67.95253786437897,-4.976926272922331,0.3066345117800484,True
5999.1757,ok,7.45,26.68044121326622,26.915417854101218,27.209856264696068,-5.348090454960572,0.0426662021250257,False
6003.0107,ok,7.45,94.58963090813822,100.43291342134795,106.34909355364573,-4.776493056296234,0.2544513089414979,True
6005.5313,ok,7.45,31.877733939397316,35.42614813955713,39.38633006150984,-5.2292275004317075,0.45929037225072467,False
6008.5555,ok,7.45,143.54190821491503,153.05229792270384,162.62961516670532,-4.5939302225639,0.2711045948589341,True
