band,element,ion,treatment,deck,route,n_lines,A,has_published_row,A_published,reproduces_A,reproduces_stat,reproduces_syst,handler_published,handler_correct,handler_misattributed,harness_published_dex,harness_correct_dex,stat_dex,stat_dex_after,syst_before,syst_published,syst_after,d_syst,n_budget_lines_changed,n_budget_lines_changed_outside_harness,src
VIS,Fe,II,ENGINE-B,ts-lte,PROFILEFIT,10,7.478,True,7.478,True,True,True,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.0119,0.0119,0.17,0.17,0.17,0.0,0,0,ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,1D-LTE,ts-lte,PROFILEFIT,4,7.696,True,7.696,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.111,0.111,0.1731,0.1731,0.1731,0.0,0,0,ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,ts-lte,PROFILEFIT,1,7.763,True,7.763,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0,0.0,0.1731,0.1731,0.1731,0.0,0,0,ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B,ts-lte,PROFILEFIT,3,7.523,True,7.523,True,True,True,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.0894,0.0894,0.1726,0.1726,0.1726,0.0,0,0,ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,PROFILEFIT,152,7.586,True,7.586,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0305,0.0305,0.1705,0.1705,0.1705,0.0,0,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,PROFILEFIT,109,7.6,True,7.6,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0357,0.0357,0.1705,0.1705,0.1705,0.0,0,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,PROFILEFIT,134,7.517,True,7.517,True,True,True,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.032,0.032,0.17,0.17,0.17,0.0,0,0,ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,PROFILEFIT,101,7.639,True,7.639,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0355,0.0355,0.1731,0.1731,0.1731,0.0,0,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,PROFILEFIT,44,7.645,True,7.645,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0494,0.0494,0.1731,0.1731,0.1731,0.0,0,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,PROFILEFIT,77,7.509,True,7.509,True,True,True,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.0241,0.0241,0.1726,0.1726,0.1726,0.0,0,0,ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
