element,ion,wavelength_air_A,gf_linelist_vald,excitation_potential_eV,reference_code,key_z,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,n_lab_candidates,adjudicated,delta_lab_minus_vald
Fe,1,13315.738,-2.464,5.5188,K14,26,1,,,,0,False,
Fe,1,13326.022,-0.942,6.1751,K14,26,1,,,,0,False,
Fe,1,13343.683,-1.499,6.1189,K14,26,1,,,,0,False,
Fe,1,13346.786,-1.282,6.1189,K14,26,1,,,,0,False,
Fe,1,13352.173,-0.521,5.3085,K14,26,1,,,,0,False,
Fe,1,13366.769,-2.984,5.0674,K14,26,1,,,,0,False,
Fe,1,13374.7,-4.112,3.5465,K14,26,1,,,,0,False,
Fe,1,13376.336,-2.138,5.8151,K14,26,1,,,,0,False,
Fe,1,13384.466,-4.118,3.0173,K14,26,1,,,,0,False,
Fe,1,13385.229,-0.786,5.9464,K14,26,1,,,,0,False,
Fe,1,13389.414,-0.516,5.3852,K14,26,1,,,,0,False,
Fe,1,13389.846,-4.62,3.0176,K14,26,1,,,,0,False,
Fe,1,13392.102,-0.125,5.3516,K14,26,1,,,,0,False,
Fe,1,13413.825,-1.698,5.6547,K14,26,1,,,,0,False,
Fe,1,13421.913,-2.117,5.6826,K14,26,1,,,,0,False,
Fe,1,13431.741,-1.784,5.6693,K14,26,1,,,,0,False,
Fe,1,13440.985,-2.42,5.4759,K14,26,1,,,,0,False,
Fe,1,13449.422,-1.788,5.0674,K14,26,1,,,,0,False,
Fe,1,13455.732,-1.002,6.2003,K14,26,1,,,,0,False,
Fe,1,13457.055,-1.677,5.6693,K14,26,1,,,,0,False,
Fe,1,13469.476,-2.513,5.5068,K14,26,1,,,,0,False,
Fe,1,13472.542,-1.335,5.4781,K14,26,1,,,,0,False,
Fe,1,13476.203,-1.902,5.0674,K14,26,1,,,,0,False,
Fe,1,13480.406,-2.17,5.7956,K14,26,1,,,,0,False,
Fe,1,13487.504,-1.661,5.4457,K14,26,1,,,,0,False,
Fe,1,13493.889,-2.211,5.7203,K14,26,1,,,,0,False,
Fe,1,13495.044,-0.959,4.9556,K14,26,1,,,,0,False,
Fe,1,13503.626,-2.163,5.5376,K14,26,1,,,,0,False,
Fe,1,13507.875,-1.299,6.368,K14,26,1,,,,0,False,
Fe,1,13544.598,-0.797,6.3705,K14,26,1,,,,0,False,
Fe,1,13546.978,-0.698,4.913,K14,26,1,,,,0,False,
Fe,1,13552.234,-3.869,4.1909,K14,26,1,,,,0,False,
Fe,1,13553.492,-1.973,5.5022,K14,26,1,,,,0,False,
Fe,1,13558.058,-0.672,6.0172,K14,26,1,,,,0,False,
Fe,1,13565.018,0.115,5.3085,K14,26,1,,,,0,False,
Fe,1,13567.485,-1.63,6.3666,K14,26,1,,,,0,False,
Fe,1,13569.534,-2.384,5.0674,K14,26,1,,,,0,False,
Fe,1,13571.242,-2.075,5.0331,K14,26,1,,,,0,False,
Fe,1,13573.481,-3.313,4.1864,K14,26,1,,,,0,False,
Fe,1,13575.331,-3.025,4.1544,K14,26,1,,,,0,False,
Fe,1,13579.88,-2.328,5.3933,K14,26,1,,,,0,False,
Fe,1,13581.849,-1.585,6.3666,K14,26,1,,,,0,False,
Fe,1,13591.378,-2.284,5.5376,K14,26,1,,,,0,False,
Fe,1,13591.584,-2.461,5.5068,K14,26,1,,,,0,False,
Fe,1,13600.64,-3.516,3.0173,K14,26,1,,,,0,False,
Fe,1,13614.064,-2.47,5.5063,K14,26,1,,,,0,False,
Fe,1,13624.475,-2.283,5.1055,K14,26,1,,,,0,False,
Fe,1,13629.189,-1.806,5.6693,K14,26,1,,,,0,False,
Fe,1,13630.023,-0.312,6.4187,K14,26,1,,,,0,False,
Fe,1,13631.521,-2.535,5.3933,K14,26,1,,,,0,False,
Fe,1,13643.731,-2.346,5.6826,K14,26,1,,,,0,False,
Fe,1,13647.351,-2.486,5.5188,K14,26,1,,,,0,False,
Fe,1,13649.872,-1.747,5.8961,K14,26,1,,,,0,False,
Fe,1,13650.07,-0.081,6.3666,K14,26,1,,,,0,False,
Fe,1,13651.503,-4.055,3.3009,K14,26,1,,,,0,False,
Fe,1,13657.481,-0.728,6.1751,K14,26,1,,,,0,False,
Fe,1,13667.989,-2.276,3.6416,,26,1,,,,0,False,
Fe,1,13675.449,-0.842,6.4534,K14,26,1,,,,0,False,
Fe,1,13678.973,-1.993,5.3933,K14,26,1,,,,0,False,
Fe,1,13682.284,-2.093,5.5496,K14,26,1,,,,0,False,
Fe,1,13686.031,-0.717,6.3253,K14,26,1,,,,0,False,
Fe,1,13687.545,-1.067,6.4521,K14,26,1,,,,0,False,
Fe,1,13698.554,-1.113,6.2181,K14,26,1,,,,0,False,
Fe,1,13702.705,-1.24,5.8279,K14,26,1,,,,0,False,
Fe,1,13703.214,-2.056,5.5122,K14,26,1,,,,0,False,
Fe,1,13703.4,-2.447,5.4759,K14,26,1,,,,0,False,
Fe,1,13706.425,-1.731,5.5063,K14,26,1,,,,0,False,
Fe,1,13709.731,-2.3,5.5392,K14,26,1,,,,0,False,
Fe,1,13709.846,-1.892,5.0674,K14,26,1,,,,0,False,
Fe,1,13721.339,-1.14,6.4258,K14,26,1,,,,0,False,
Fe,1,13721.383,-2.464,5.5237,K14,26,1,,,,0,False,
Fe,1,13721.688,-0.551,6.1445,K14,26,1,,,,0,False,
Fe,1,13724.969,-0.286,6.1445,K14,26,1,,,,0,False,
Fe,1,13729.301,-1.842,5.1055,K14,26,1,,,,0,False,
Fe,1,13729.429,-2.209,5.1124,K14,26,1,,,,0,False,
Fe,1,13734.35,0.014,6.1751,K14,26,1,,,,0,False,
Fe,1,13736.63,-1.63,5.8485,K14,26,1,,,,0,False,
Fe,1,13746.44,-1.847,5.8134,K14,26,1,,,,0,False,
Fe,1,13747.402,-1.959,5.8492,K14,26,1,,,,0,False,
Fe,1,13751.967,-1.552,5.3516,K14,26,1,,,,0,False,
Fe,1,13755.865,-0.091,5.4099,K14,26,1,,,,0,False,
Fe,1,13772.107,-0.864,6.3666,K14,26,1,,,,0,False,
Fe,1,13772.382,-2.006,5.5496,K14,26,1,,,,0,False,
Fe,1,13788.354,-1.817,6.2181,K14,26,1,,,,0,False,
Fe,1,13799.316,-0.829,6.3327,K14,26,1,,,,0,False,
Fe,1,13800.69,-2.112,5.8134,K14,26,1,,,,0,False,
Fe,1,13809.155,-2.171,5.8441,K14,26,1,,,,0,False,
Fe,1,13812.992,-0.562,6.4149,K14,26,1,,,,0,False,
Fe,1,13815.365,-0.693,5.3085,K14,26,1,,,,0,False,
Fe,1,13823.828,-1.538,5.8279,K14,26,1,,,,0,False,
Fe,1,13824.65,-2.414,4.2089,K14,26,1,,,,0,False,
Fe,1,13842.649,-0.745,6.4149,K14,26,1,,,,0,False,
Fe,1,13843.429,-1.953,5.7956,K14,26,1,,,,0,False,
Fe,1,13856.888,-1.823,5.8485,K14,26,1,,,,0,False,
Fe,1,13861.522,-1.887,6.1324,K14,26,1,,,,0,False,
Fe,1,13864.648,-1.239,6.3705,K14,26,1,,,,0,False,
Fe,1,13868.266,-1.245,6.2655,K14,26,1,,,,0,False,
Fe,1,13876.68,-1.316,5.3933,K14,26,1,,,,0,False,
Fe,1,13878.783,-1.988,5.0856,K14,26,1,,,,0,False,
Fe,1,13879.032,-1.818,6.1445,K14,26,1,,,,0,False,
Fe,1,13888.096,-1.604,5.8492,K14,26,1,,,,0,False,
Fe,1,13889.616,-1.217,6.2517,K14,26,1,,,,0,False,
Fe,1,13895.67,-1.804,5.0638,K14,26,1,,,,0,False,
Fe,1,13897.166,-0.045,5.3852,K14,26,1,,,,0,False,
Fe,1,13898.215,-2.033,5.5188,K14,26,1,,,,0,False,
Fe,1,13899.051,-2.076,5.5578,K14,26,1,,,,0,False,
Fe,1,13907.449,-4.661,2.9904,K14,26,1,,,,0,False,
Fe,1,13919.167,-1.814,5.8517,K14,26,1,,,,0,False,
Fe,1,13921.338,-1.405,6.3253,K14,26,1,,,,0,False,
Fe,1,13937.041,-2.107,5.5376,K14,26,1,,,,0,False,
Fe,1,13948.01,-1.601,6.4405,K14,26,1,,,,0,False,
Fe,1,13950.591,-1.049,6.4149,K14,26,1,,,,0,False,
Fe,1,13960.508,-1.783,5.0331,K14,26,1,,,,0,False,
Fe,1,13978.475,-2.425,5.5869,K14,26,1,,,,0,False,
Fe,1,13979.024,-0.785,6.2003,K14,26,1,,,,0,False,
Fe,1,13990.305,-0.651,6.4738,K14,26,1,,,,0,False,
Fe,1,13994.03,-2.089,5.8294,K14,26,1,,,,0,False,
Fe,1,13995.149,-1.429,6.3999,K14,26,1,,,,0,False,
Fe,1,14001.972,-1.851,5.3516,K14,26,1,,,,0,False,
Fe,1,14004.483,-0.376,6.2181,K14,26,1,,,,0,False,
Fe,1,14007.283,0.144,5.426,K14,26,1,,,,0,False,
Fe,1,14016.586,-1.32,6.4013,K14,26,1,,,,0,False,
Fe,1,14019.821,-0.715,6.3666,K14,26,1,,,,0,False,
Fe,1,14022.47,-1.335,6.4738,K14,26,1,,,,0,False,
Fe,1,14027.361,-2.114,5.8492,K14,26,1,,,,0,False,
Fe,1,14028.828,-2.327,5.1055,K14,26,1,,,,0,False,
Fe,1,14032.012,-0.891,6.7957,K14,26,1,,,,0,False,
Fe,1,14038.309,-1.933,5.8441,K14,26,1,,,,0,False,
Fe,1,14038.569,-1.349,6.3327,K14,26,1,,,,0,False,
Fe,1,14038.867,-1.275,5.3852,K14,26,1,,,,0,False,
Fe,1,14039.841,-1.914,4.9913,K14,26,1,,,,0,False,
Fe,1,14047.47,-1.674,6.1692,K14,26,1,,,,0,False,
Fe,1,14057.381,-1.481,5.3933,K14,26,1,,,,0,False,
Fe,1,14067.171,-2.191,5.4855,K14,26,1,,,,0,False,
Fe,1,14072.925,-2.327,5.7934,K14,26,1,,,,0,False,
Fe,1,14073.422,-2.161,5.861,K14,26,1,,,,0,False,
Fe,1,14075.004,-0.752,6.4791,K14,26,1,,,,0,False,
Fe,1,14081.298,-0.065,6.1189,K14,26,1,,,,0,False,
Fe,1,14095.962,-1.947,5.5188,K14,26,1,,,,0,False,
Fe,1,14099.076,-1.732,5.0995,K14,26,1,,,,0,False,
Fe,1,14105.429,-1.472,6.2655,K14,26,1,,,,0,False,
Fe,1,14108.513,-1.942,5.7956,K14,26,1,,,,0,False,
Fe,1,14121.072,0.263,6.1189,K14,26,1,,,,0,False,
Fe,1,14128.897,-1.46,6.2003,K14,26,1,,,,0,False,
Fe,1,14129.142,0.324,6.1189,K14,26,1,,,,0,False,
Fe,1,14131.153,-1.513,6.2057,K14,26,1,,,,0,False,
Fe,1,14134.366,-4.902,3.2657,K14,26,1,,,,0,False,
Fe,1,14139.514,-1.684,6.409,K14,26,1,,,,0,False,
Fe,1,14140.726,-3.389,4.1909,K14,26,1,,,,0,False,
Fe,1,14141.764,-1.756,6.2003,K14,26,1,,,,0,False,
Fe,1,14156.727,-0.425,6.2003,K14,26,1,,,,0,False,
Fe,1,14158.179,-0.344,6.2181,K14,26,1,,,,0,False,
Fe,1,14159.562,-2.648,5.1055,K14,26,1,,,,0,False,
Fe,1,14160.394,-1.815,6.2461,K14,26,1,,,,0,False,
Fe,1,14161.088,-1.77,5.8794,K14,26,1,,,,0,False,
Fe,1,14166.633,-1.688,5.4457,K14,26,1,,,,0,False,
Fe,1,14169.52,-0.286,6.4534,K14,26,1,,,,0,False,
Fe,1,14169.735,-2.749,5.1124,K14,26,1,,,,0,False,
Fe,1,14174.873,-2.56,5.4759,K14,26,1,,,,0,False,
Fe,1,14180.207,-0.868,6.2461,K14,26,1,,,,0,False,
Fe,1,14184.269,-2.175,5.7926,K14,26,1,,,,0,False,
Fe,1,14187.942,-0.856,6.2858,K14,26,1,,,,0,False,
Fe,1,14198.769,-2.092,5.5376,K14,26,1,,,,0,False,
Fe,1,14199.87,-1.644,6.3597,K14,26,1,,,,0,False,
Fe,1,14201.057,-0.703,6.4534,K14,26,1,,,,0,False,
Fe,1,14202.241,-0.256,6.1751,K14,26,1,,,,0,False,
Fe,1,14205.599,-0.028,6.1751,K14,26,1,,,,0,False,
Fe,1,14207.357,-2.153,5.8134,K14,26,1,,,,0,False,
Fe,1,14208.034,-1.559,6.3597,K14,26,1,,,,0,False,
Fe,1,14209.974,-2.325,5.4781,K14,26,1,,,,0,False,
Fe,1,14210.974,-1.692,5.3933,K14,26,1,,,,0,False,
Fe,1,14216.449,-2.062,5.861,K14,26,1,,,,0,False,
Fe,1,14218.594,-1.755,6.275,K14,26,1,,,,0,False,
Fe,1,14230.873,-1.669,5.8441,K14,26,1,,,,0,False,
Fe,1,14233.039,-1.975,5.7956,K14,26,1,,,,0,False,
Fe,1,14236.219,0.5,5.3516,K14,26,1,,,,0,False,
Fe,1,14238.906,-0.142,6.2003,K14,26,1,,,,0,False,
Fe,1,14243.917,-1.697,5.0856,K14,26,1,,,,0,False,
Fe,1,14245.772,-1.641,6.4149,K14,26,1,,,,0,False,
Fe,1,14251.263,-0.021,5.5392,K14,26,1,,,,0,False,
Fe,1,14256.161,-3.764,3.4149,K14,26,1,,,,0,False,
Fe,1,14257.216,-1.885,5.8279,K14,26,1,,,,0,False,
Fe,1,14258.914,-1.905,5.9665,K14,26,1,,,,0,False,
Fe,1,14260.08,-0.839,6.275,K14,26,1,,,,0,False,
Fe,1,14269.66,-1.639,6.2517,K14,26,1,,,,0,False,
Fe,1,14285.079,0.337,5.3852,K14,26,1,,,,0,False,
Fe,1,14289.022,-1.748,5.8441,K14,26,1,,,,0,False,
Fe,1,14290.309,-0.198,6.2003,K14,26,1,,,,0,False,
Fe,1,14292.347,0.268,5.4099,K14,26,1,,,,0,False,
Fe,1,14294.26,-0.596,5.4099,K14,26,1,,,,0,False,
Fe,1,14294.571,-1.698,5.5496,K14,26,1,,,,0,False,
Fe,1,14298.554,-1.9,5.5022,K14,26,1,,,,0,False,
Fe,1,14308.237,-0.857,6.4187,K14,26,1,,,,0,False,
Fe,1,14308.696,-2.668,3.0173,BRW,26,1,,,,0,False,
Fe,1,14312.41,-2.352,5.1055,K14,26,1,,,,0,False,
Fe,1,14318.547,-0.108,6.3597,K14,26,1,,,,0,False,
Fe,1,14323.861,-1.044,5.8741,K14,26,1,,,,0,False,
Fe,1,14331.39,-0.94,5.3933,,26,1,,,,0,False,
Fe,1,14334.929,-2.267,5.8388,K14,26,1,,,,0,False,
Fe,1,14335.453,-1.919,5.8388,K14,26,1,,,,0,False,
Fe,1,14353.623,-1.359,6.7799,K14,26,1,,,,0,False,
Fe,1,14355.773,-1.762,6.2581,K14,26,1,,,,0,False,
Fe,1,14363.906,-1.493,6.368,K14,26,1,,,,0,False,
Fe,1,14365.452,-0.073,6.4187,K14,26,1,,,,0,False,
Fe,1,14370.629,-5.135,2.1759,K14,26,1,,,,0,False,
Fe,1,14372.114,-3.059,5.0117,K14,26,1,,,,0,False,
Fe,1,14373.561,-1.958,5.8492,K14,26,1,,,,0,False,
Fe,1,14376.678,-0.905,6.2581,K14,26,1,,,,0,False,
Fe,1,14377.995,-2.511,5.5392,K14,26,1,,,,0,False,
Fe,1,14378.95,-2.642,5.5022,K14,26,1,,,,0,False,
Fe,1,14385.646,-1.647,5.8294,K14,26,1,,,,0,False,
Fe,1,14387.697,-1.638,6.4187,K14,26,1,,,,0,False,
Fe,1,14396.43,-1.156,5.5496,K14,26,1,,,,0,False,
Fe,1,14396.797,-1.415,6.4187,K14,26,1,,,,0,False,
Fe,1,14397.477,-1.046,6.2858,K14,26,1,,,,0,False,
Fe,1,14400.184,-2.012,5.8134,K14,26,1,,,,0,False,
Fe,1,14400.538,0.816,5.3085,K14,26,1,,,,0,False,
Fe,1,14400.989,-1.064,5.5392,K14,26,1,,,,0,False,
Fe,1,14403.043,-1.032,6.2222,K14,26,1,,,,0,False,
Fe,1,14405.226,-1.175,5.5376,K14,26,1,,,,0,False,
Fe,1,14407.053,-1.666,5.4457,K14,26,1,,,,0,False,
Fe,1,14408.068,-2.204,5.4457,K14,26,1,,,,0,False,
Fe,1,14410.247,-0.505,6.4521,K14,26,1,,,,0,False,
Fe,1,14414.801,-2.647,5.5068,K14,26,1,,,,0,False,
Fe,1,14416.015,-1.791,5.9426,K14,26,1,,,,0,False,
Fe,1,14416.628,-1.651,6.4149,K14,26,1,,,,0,False,
Fe,1,14418.662,-2.319,5.4907,K14,26,1,,,,0,False,
Fe,1,14420.921,-1.28,6.2858,K14,26,1,,,,0,False,
Fe,1,14429.525,-0.731,6.2529,K14,26,1,,,,0,False,
Fe,1,14429.677,-8.26,0.0,K14,26,1,,,,0,False,
Fe,1,14430.904,-1.2,6.4534,K14,26,1,,,,0,False,
Fe,1,14431.075,-1.456,5.5578,K14,26,1,,,,0,False,
Fe,1,14432.521,-5.645,2.4242,K14,26,1,,,,0,False,
Fe,1,14437.573,-2.297,4.2089,K14,26,1,,,,0,False,
Fe,1,14438.363,-1.776,6.409,K14,26,1,,,,0,False,
Fe,1,14439.339,-1.141,5.3933,BRW,26,1,,,,0,False,
Fe,1,14439.854,-1.996,5.8741,K14,26,1,,,,0,False,
Fe,1,14442.266,0.222,5.4099,K14,26,1,,,,0,False,
Fe,1,14442.527,-1.22,6.4521,K14,26,1,,,,0,False,
Fe,1,14446.53,-1.92,6.2858,K14,26,1,,,,0,False,
Fe,1,14457.046,-1.078,6.1751,K14,26,1,,,,0,False,
Fe,1,14459.156,-1.697,6.0172,K14,26,1,,,,0,False,
Fe,1,14460.745,-1.523,5.0638,K14,26,1,,,,0,False,
Fe,1,14463.277,-0.5,6.4534,K14,26,1,,,,0,False,
Fe,1,14465.566,-0.632,5.8741,K14,26,1,,,,0,False,
Fe,1,14467.124,-1.449,5.5237,K14,26,1,,,,0,False,
Fe,1,14476.05,-1.947,5.0995,K14,26,1,,,,0,False,
Fe,1,14478.115,-1.398,6.2655,K14,26,1,,,,0,False,
Fe,1,14478.666,-0.823,6.2655,K14,26,1,,,,0,False,
Fe,1,14480.604,0.042,6.4187,K14,26,1,,,,0,False,
Fe,1,14481.905,0.123,6.1445,K14,26,1,,,,0,False,
Fe,1,14491.864,-0.182,6.2222,K14,26,1,,,,0,False,
Fe,1,14492.477,-2.073,5.9471,K14,26,1,,,,0,False,
Fe,1,14497.822,-0.302,5.426,K14,26,1,,,,0,False,
Fe,1,14498.625,-2.178,5.9809,K14,26,1,,,,0,False,
Fe,1,14499.506,-0.847,6.2681,K14,26,1,,,,0,False,
Fe,1,14502.909,0.053,6.1445,K14,26,1,,,,0,False,
Fe,1,14507.819,-0.438,6.4738,K14,26,1,,,,0,False,
Fe,1,14509.811,-1.792,6.3705,K14,26,1,,,,0,False,
Fe,1,14510.793,-2.332,5.8492,K14,26,1,,,,0,False,
Fe,1,14512.206,0.725,5.3516,K14,26,1,,,,0,False,
Fe,1,14515.636,-4.099,3.6946,K14,26,1,,,,0,False,
Fe,1,14519.665,-2.56,5.4457,K14,26,1,,,,0,False,
Fe,1,14521.144,-1.965,6.2222,K14,26,1,,,,0,False,
Fe,1,14523.618,-0.359,5.5869,K14,26,1,,,,0,False,
Fe,1,14524.333,-0.905,6.3061,K14,26,1,,,,0,False,
Fe,1,14525.623,-0.824,6.2681,K14,26,1,,,,0,False,
Fe,1,14528.302,-1.285,6.3061,K14,26,1,,,,0,False,
Fe,1,14531.256,-2.33,5.8135,K14,26,1,,,,0,False,
Fe,1,14537.261,-1.684,6.2181,K14,26,1,,,,0,False,
Fe,1,14542.971,-0.01,6.2529,K14,26,1,,,,0,False,
Fe,1,14544.044,-1.619,5.9024,K14,26,1,,,,0,False,
Fe,1,14545.104,-0.258,6.1445,K14,26,1,,,,0,False,
Fe,1,14548.607,-2.651,4.2605,K14,26,1,,,,0,False,
Fe,1,14555.033,0.622,5.3852,K14,26,1,,,,0,False,
Fe,1,14560.066,-0.54,6.4521,K14,26,1,,,,0,False,
Fe,1,14563.767,-2.385,5.4781,K14,26,1,,,,0,False,
Fe,1,14565.938,0.094,5.426,K14,26,1,,,,0,False,
Fe,1,14568.374,-0.658,6.0663,K14,26,1,,,,0,False,
Fe,1,14572.163,-1.946,5.861,K14,26,1,,,,0,False,
Fe,1,14574.325,-2.454,5.4855,K14,26,1,,,,0,False,
Fe,1,14574.423,-1.69,5.8741,K14,26,1,,,,0,False,
Fe,1,14576.765,-2.022,5.8135,K14,26,1,,,,0,False,
Fe,1,14576.818,-2.386,5.5188,K14,26,1,,,,0,False,
Fe,1,14579.828,-1.23,6.2368,K14,26,1,,,,0,False,
Fe,1,14581.155,-0.506,6.4534,K14,26,1,,,,0,False,
Fe,1,14588.945,-1.196,6.2368,K14,26,1,,,,0,False,
Fe,1,14593.92,-1.828,5.8135,K14,26,1,,,,0,False,
Fe,1,14600.152,-0.752,6.2681,K14,26,1,,,,0,False,
Fe,1,14603.663,-4.388,3.111,K14,26,1,,,,0,False,
Fe,1,14620.101,-0.045,6.3597,K14,26,1,,,,0,False,
Fe,1,14621.829,-1.52,6.427,K14,26,1,,,,0,False,
Fe,1,14623.321,-1.611,6.368,K14,26,1,,,,0,False,
Fe,1,14628.101,-1.351,6.2003,K14,26,1,,,,0,False,
Fe,1,14630.386,-1.852,6.2994,K14,26,1,,,,0,False,
Fe,1,14636.049,-2.242,5.8441,K14,26,1,,,,0,False,
Fe,1,14638.305,-2.097,5.989,K14,26,1,,,,0,False,
Fe,1,14641.092,-1.154,6.275,K14,26,1,,,,0,False,
Fe,1,14641.656,-0.53,6.275,K14,26,1,,,,0,False,
Fe,1,14646.197,-1.791,6.0663,K14,26,1,,,,0,False,
Fe,1,14648.03,-1.478,5.7926,K14,26,1,,,,0,False,
Fe,1,14650.677,-1.685,5.7956,K14,26,1,,,,0,False,
Fe,1,14651.02,0.404,6.2368,K14,26,1,,,,0,False,
Fe,1,14651.815,-0.156,6.277,K14,26,1,,,,0,False,
Fe,1,14652.901,0.502,6.2057,K14,26,1,,,,0,False,
Fe,1,14654.399,-0.153,6.2368,K14,26,1,,,,0,False,
Fe,1,14655.339,-1.823,6.275,K14,26,1,,,,0,False,
Fe,1,14659.029,-3.892,3.4149,K14,26,1,,,,0,False,
Fe,1,14668.344,-3.04,4.2605,K14,26,1,,,,0,False,
Fe,1,14671.66,-2.213,5.8834,K14,26,1,,,,0,False,
Fe,1,14672.116,-1.645,5.8294,K14,26,1,,,,0,False,
Fe,1,14672.779,-1.834,5.5068,K14,26,1,,,,0,False,
Fe,1,14673.008,-1.998,5.4759,K14,26,1,,,,0,False,
Fe,1,14674.252,-0.73,6.2994,K14,26,1,,,,0,False,
Fe,1,14677.34,-1.714,6.4609,K14,26,1,,,,0,False,
Fe,1,14679.831,-0.439,6.2416,K14,26,1,-0.22,0.05,Ruffoni2013,1,True,0.219
Fe,1,14680.501,-1.001,6.2771,K14,26,1,,,,0,False,
Fe,1,14689.758,0.078,6.2681,K14,26,1,,,,0,False,
Fe,1,14691.832,-1.081,6.2416,K14,26,1,,,,0,False,
Fe,1,14693.966,-1.886,6.2416,K14,26,1,,,,0,False,
Fe,1,14700.048,-2.168,5.7956,K14,26,1,,,,0,False,
Fe,1,14702.962,0.113,5.4099,K14,26,1,,,,0,False,
Fe,1,14709.402,0.554,6.3666,K14,26,1,,,,0,False,
Fe,1,14718.572,-0.681,6.2057,K14,26,1,,,,0,False,
Fe,1,14719.653,-0.111,5.426,K14,26,1,,,,0,False,
Fe,1,14722.347,0.013,6.2057,K14,26,1,,,,0,False,
Fe,1,14725.433,-1.634,5.8441,K14,26,1,,,,0,False,
Fe,1,14729.551,-4.716,2.4242,K14,26,1,,,,0,False,
Fe,1,14732.369,-4.425,2.845,K14,26,1,,,,0,False,
Fe,1,14737.459,-2.646,5.5237,K14,26,1,,,,0,False,
Fe,1,14737.574,-1.346,5.0331,K14,26,1,,,,0,False,
Fe,1,14742.936,-1.429,6.306,K14,26,1,,,,0,False,
Fe,1,14743.999,-1.765,6.3061,K14,26,1,,,,0,False,
Fe,1,14745.052,-1.388,6.4149,K14,26,1,,,,0,False,
Fe,1,14745.387,-5.141,2.1979,K14,26,1,,,,0,False,
Fe,1,14745.467,-0.971,6.306,K14,26,1,,,,0,False,
Fe,1,14748.73,-1.59,6.1445,K14,26,1,,,,0,False,
Fe,1,14749.788,0.598,6.1692,K14,26,1,,,,0,False,
Fe,1,14752.356,-0.781,5.6207,K14,26,1,,,,0,False,
Fe,1,14754.041,-1.47,5.4457,K14,26,1,,,,0,False,
Fe,1,14754.594,-0.721,6.277,K14,26,1,,,,0,False,
Fe,1,14755.541,-1.519,6.2461,K14,26,1,,,,0,False,
Fe,1,14755.862,-0.668,5.9209,K14,26,1,,,,0,False,
Fe,1,14765.754,-1.691,5.9558,K14,26,1,,,,0,False,
Fe,1,14767.519,-1.334,6.306,K14,26,1,,,,0,False,
Fe,1,14767.772,-2.227,5.8517,K14,26,1,,,,0,False,
Fe,1,14768.585,-1.724,6.3061,K14,26,1,,,,0,False,
Fe,1,14769.491,-1.103,6.2461,K14,26,1,,,,0,False,
Fe,1,14771.647,-1.847,6.2461,K14,26,1,,,,0,False,
