wavelength_air_A,flux_normalized,n_frames,min_mtrans
19493.9132,0.877192,1,0.6093
19493.9808,0.896151,1,0.5925
19494.0484,0.9196,1,0.5841
19494.116,0.946769,1,0.5839
19494.1835,0.969073,1,0.584
19494.2511,0.966608,1,0.5749
19494.3187,0.962389,1,0.5542
19494.3863,0.945146,1,0.5301
19494.4539,0.943829,1,0.5176
19494.5215,0.980331,1,0.5215
19494.589,1.015149,1,0.5317
19494.6566,1.025102,1,0.5342
19494.7242,1.017656,1,0.533
19494.7918,1.001058,1,0.5518
19494.8594,0.997185,1,0.6039
19494.9269,1.004735,1,0.6731
19494.9945,1.008893,1,0.7353
19495.0621,1.00395,1,0.7813
19495.1297,0.999937,1,0.8128
19495.1973,1.006863,1,0.8342
19495.2649,0.99845,1,0.8488
19495.3324,1.004369,1,0.859
19495.4,1.000924,1,0.866
19495.4676,0.999215,1,0.8704
19495.5352,1.000328,1,0.8723
19495.6028,1.00397,1,0.8716
19495.6703,1.006671,1,0.8691
19495.7379,1.004919,1,0.8663
19495.8055,1.010397,1,0.8659
19495.8731,1.007602,1,0.868
19495.9407,1.002532,1,0.8709
19496.0082,1.007279,1,0.8726
19496.0758,1.009102,1,0.8724
19496.1434,1.003825,1,0.8703
19496.211,1.004966,1,0.8669
19496.2786,1.000305,1,0.8622
19496.3462,1.004682,1,0.8563
19496.4137,1.007301,1,0.8492
19496.4813,1.009631,1,0.8405
19496.5489,0.998025,1,0.8297
19496.6165,0.995986,1,0.8161
19496.6841,0.990227,1,0.7993
19496.7516,0.993069,1,0.7783
19496.8192,0.99182,1,0.7518
19496.8868,0.984797,1,0.7176
19496.9544,0.979878,1,0.6736
19497.022,0.98844,1,0.6162
19497.0895,1.00018,1,0.5419
19498.4412,1.001681,1,0.5489
19498.5088,0.99687,1,0.6238
19498.5763,0.992938,1,0.6809
19498.6439,0.996376,1,0.723
19498.7115,0.991798,1,0.7542
19498.7791,1.001101,1,0.7777
19498.8467,0.997553,1,0.7958
19498.9142,0.996265,1,0.8098
19498.9818,0.996695,1,0.8206
19499.0494,0.998674,1,0.8285
19499.117,0.995556,1,0.8338
19499.1846,0.999598,1,0.8364
19499.2522,0.994987,1,0.8358
19499.3197,0.992431,1,0.8304
19499.3873,0.992091,1,0.8179
19499.4549,0.993591,1,0.7963
19499.5225,0.997213,1,0.7679
19499.5901,0.990701,1,0.7434
19499.6576,0.998425,1,0.7359
19499.7252,1.006977,1,0.7476
19499.7928,1.007184,1,0.7672
19499.8604,0.999615,1,0.7812
19499.928,0.992701,1,0.7837
19499.9955,0.997072,1,0.7743
19500.0631,0.989167,1,0.7523
19500.1307,0.996643,1,0.7171
19500.1983,0.998285,1,0.6678
19500.2659,1.005334,1,0.6065
19500.3335,1.001116,1,0.5404
19501.0093,1.008159,1,0.5357
19501.0769,0.999272,1,0.5657
19501.1444,0.993754,1,0.58
19501.212,0.990783,1,0.5788
19501.2796,0.986301,1,0.5612
19501.3472,0.985052,1,0.5239
19503.1043,1.00373,1,0.5036
19503.1719,0.998433,1,0.5338
19503.2395,0.999779,1,0.5555
19503.307,0.997188,1,0.5861
19503.3746,0.997296,1,0.6312
19503.4422,1.000892,1,0.6807
19503.5098,0.992287,1,0.7234
19503.5774,0.989339,1,0.7566
19503.6449,0.989888,1,0.7818
19503.7125,0.993106,1,0.8014
