species,lam_nm,e_low,log_gf,vturb,clean,corr
Fe1,245.7596,0.859003,-0.3180,0.75,no,0.0313
Fe1,245.7596,0.859003,-0.3180,1.50,no,0.0531
Fe1,245.7596,0.859003,-0.3180,3.00,no,0.1069
Fe1,245.8567,0.859003,-2.0590,0.75,no,0.0693
Fe1,245.8567,0.859003,-2.0590,1.50,no,0.1464
Fe1,245.8567,0.859003,-2.0590,3.00,no,0.2718
Fe1,246.2180,0.051570,-1.3010,0.75,no,-0.0549
Fe1,246.2180,0.051570,-1.3010,1.50,no,-0.1281
Fe1,246.2180,0.051570,-1.3010,3.00,no,-0.2109
Fe1,246.2647,0.000000,-0.3200,0.75,no,-0.0022
Fe1,246.2647,0.000000,-0.3200,1.50,no,0.0147
Fe1,246.2647,0.000000,-0.3200,3.00,no,0.0517
Fe1,246.3730,0.958165,-1.1271,0.75,no,0.0735
Fe1,246.3730,0.958165,-1.1271,1.50,no,0.1763
Fe1,246.3730,0.958165,-1.1271,3.00,no,0.2730
Fe1,246.5149,0.914610,-0.4460,0.75,no,0.0314
Fe1,246.5149,0.914610,-0.4460,1.50,no,0.0555
Fe1,246.5149,0.914610,-0.4460,3.00,no,0.1173
Fe1,246.8879,0.859003,-0.6170,0.75,no,0.0322
Fe1,246.8879,0.859003,-0.6170,1.50,no,0.0561
Fe1,246.8879,0.859003,-0.6170,3.00,no,0.1200
Fe1,247.0965,0.914610,-1.6240,0.75,no,0.2557
Fe1,247.0965,0.914610,-1.6240,1.50,no,-0.7382
Fe1,247.0965,0.914610,-1.6240,3.00,no,-0.3695
Fe1,247.2336,0.914610,-1.0540,0.75,no,-0.0116
Fe1,247.2336,0.914610,-1.0540,1.50,no,-0.0186
Fe1,247.2336,0.914610,-1.0540,3.00,no,-0.0337
Fe1,247.2351,0.859003,-1.0660,0.75,no,0.0302
Fe1,247.2351,0.859003,-1.0660,1.50,no,0.0733
Fe1,247.2351,0.859003,-1.0660,3.00,no,0.2022
Fe1,247.2872,0.087286,-1.2381,0.75,no,-0.0116
Fe1,247.2872,0.087286,-1.2381,1.50,no,-0.0186
Fe1,247.2872,0.087286,-1.2381,3.00,no,-0.0337
Fe1,247.2894,0.051570,-0.0779,0.75,no,4.0000
Fe1,247.2894,0.051570,-0.0779,1.50,no,0.2196
Fe1,247.2894,0.051570,-0.0779,3.00,no,0.0221
Fe1,247.3156,0.000000,-1.6440,0.75,no,0.0125
Fe1,247.3156,0.000000,-1.6440,1.50,no,0.0365
Fe1,247.3156,0.000000,-1.6440,3.00,no,0.0908
Fe1,247.4814,0.958165,-0.4040,0.75,no,0.0292
Fe1,247.4814,0.958165,-0.4040,1.50,no,0.0549
Fe1,247.4814,0.958165,-0.4040,3.00,no,0.1211
Fe1,247.6656,0.990119,-1.0749,0.75,no,0.0325
Fe1,247.6656,0.990119,-1.0749,1.50,no,0.0632
Fe1,247.6656,0.990119,-1.0749,3.00,no,0.1778
Fe1,247.6865,1.011064,-2.0920,0.75,no,0.2553
Fe1,247.6865,1.011064,-2.0920,1.50,no,-0.9157
Fe1,247.6865,1.011064,-2.0920,3.00,no,-0.4211
Fe1,247.9480,0.990119,-1.0139,0.75,no,0.0227
Fe1,247.9480,0.990119,-1.0139,1.50,no,0.0722
Fe1,247.9480,0.990119,-1.0139,3.00,no,0.2056
Fe1,247.9626,0.914610,-2.3410,0.75,no,-0.0049
Fe1,247.9626,0.914610,-2.3410,1.50,no,0.0246
Fe1,247.9626,0.914610,-2.3410,3.00,no,0.1701
Fe1,247.9776,0.087286,0.1319,0.75,no,-0.0026
Fe1,247.9776,0.087286,0.1319,1.50,no,0.0077
Fe1,247.9776,0.087286,0.1319,3.00,no,0.0295
Fe1,248.3271,0.000000,0.6900,0.75,no,-0.0263
Fe1,248.3271,0.000000,0.6900,1.50,no,0.2573
Fe1,248.3271,0.000000,0.6900,3.00,no,0.2821
Fe1,248.3533,0.990119,-1.0150,0.75,no,0.0249
Fe1,248.3533,0.990119,-1.0150,1.50,no,0.0080
Fe1,248.3533,0.990119,-1.0150,3.00,no,-0.0255
Fe1,248.4187,0.110115,-0.2019,0.75,no,-0.0020
Fe1,248.4187,0.110115,-0.2019,1.50,no,-0.0116
Fe1,248.4187,0.110115,-0.2019,3.00,no,-0.0305
Fe1,248.5990,0.914610,-1.6101,0.75,no,-0.0100
Fe1,248.5990,0.914610,-1.6101,1.50,no,-0.0210
Fe1,248.5990,0.914610,-1.6101,3.00,no,-0.0432
Fe1,248.6373,0.000000,-1.6990,0.75,no,-0.0082
