gf_grade,log_gf,element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
UNGRADED,-2.408,Ca,I,6508.8496,32.44,2.27,0.0001,0.0765,-5.3024,1,0.03,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.275,Ca,I,6636.434,23.98,8.32,0.0008,0.0246,-5.4421,2,0.019,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.088,Ca,I,6666.3457,32.72,9.0,0.0003,0.0232,-5.3091,4,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.847,Ca,I,6684.721,16.76,6.74,0.0,0.0236,-5.6008,12,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.75,Ca,I,6687.7162,16.27,4.2,0.0,0.0235,-5.6139,2,0.076,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.375,Cr,II,4511.7711,43.95,7.19,0.0097,0.1803,-5.0114,1,0.086,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.375,Cr,I,4511.8021,42.13,6.08,0.0092,0.3047,-5.0298,1,0.086,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.3403,Cr,I,4511.8906,46.47,6.75,0.0093,0.4498,-4.9872,1,0.086,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.982,Cr,I,4561.4334,46.43,8.31,0.0077,0.3833,-4.9923,5,0.503,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.823,Cr,I,4561.4998,46.24,8.9,0.0078,0.3302,-4.9941,5,0.503,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.647,Cr,I,4724.4123,44.13,7.87,0.0033,0.318,-5.0296,2,0.087,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.31,Cr,I,4796.1551,35.86,4.65,0.0008,0.2147,-5.1263,23,0.212,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.251,Cr,I,4851.4644,37.81,5.24,0.004,0.3346,-5.1083,7,0.465,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.349,Cr,I,5221.7526,37.09,8.0,0.0058,0.2456,-5.1486,2,0.056,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.87,Cr,I,5287.178,12.01,5.47,0.0054,0.1017,-5.6437,4,0.038,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.058,Cr,I,5358.9636,32.46,8.25,0.0003,0.0526,-5.2177,42,0.165,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.57,Cr,I,5373.5594,57.12,17.52,0.0082,0.1002,-4.9735,1,0.513,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.743,Cr,I,5386.9673,35.31,5.8,0.0031,0.2216,-5.1834,1,0.142,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.06,Cr,I,5442.4065,16.88,4.73,0.0016,0.0817,-5.5084,1,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.27,Cr,I,5553.5749,59.57,6.72,0.0095,0.344,-4.9695,3,0.336,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.74,Cr,I,5628.6425,19.3,3.27,0.0011,0.1319,-5.4648,1,0.068,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.704,Cr,I,5645.6013,56.52,12.3,0.0035,0.2529,-4.9995,2,0.425,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.241,Cr,I,5694.7407,61.35,6.29,0.0036,0.1403,-4.9677,3,0.339,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.366,Cr,I,5738.5293,18.85,2.22,0.0004,0.037,-5.4835,12,0.106,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.324,Cr,I,5777.7479,34.77,15.44,0.0007,0.0256,-5.2206,3,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.163,Cr,I,5801.1853,9.61,1.2,0.0001,0.0454,-5.7808,1,0.02,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.82,Cr,I,5838.669,32.75,2.0,0.0003,0.0373,-5.2511,22,0.173,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.77,Cr,I,5844.595,26.26,11.81,0.0001,0.0408,-5.3475,1,0.033,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.307,Cr,I,5902.1762,62.06,10.99,0.001,0.0697,-4.9782,2,0.139,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.588,Cr,I,6062.6729,30.79,2.42,0.0002,0.0585,-5.2943,2,0.163,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.152,Cr,I,6063.1178,30.86,2.34,0.0002,0.0255,-5.2933,56,0.329,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.513,Cr,II,6129.226,74.76,16.23,0.0043,0.0279,-4.9137,26,0.191,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.119,Cr,I,6362.8616,44.89,6.75,0.0018,0.2541,-5.1515,1,0.199,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.361,Cr,I,6466.9779,33.6,6.99,0.0001,0.0373,-5.2844,2,0.017,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.602,Cr,I,6515.9959,80.31,5.82,0.0024,0.2705,-4.9092,1,0.393,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.718,Cr,I,6537.9208,5.2,1.47,0.0001,0.0395,-6.0994,1,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.328,Cr,I,6580.9228,27.33,1.45,0.0002,0.0451,-5.3816,2,0.208,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.789,Cr,I,6597.5501,50.12,3.39,0.001,0.3145,-5.1194,1,0.279,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,0.03,Cr,I,6604.4196,43.21,1.4,0.0001,0.0269,-5.1843,14,0.279,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.937,Cr,I,6605.5441,55.87,12.33,0.0016,0.0457,-5.0727,16,0.048,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.085,Cr,I,6636.3724,26.6,8.71,0.0007,0.0246,-5.397,2,0.025,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.87,Cr,I,6715.472,33.92,6.19,0.0009,0.1726,-5.2966,1,0.164,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.309,Cr,I,6738.8481,67.44,8.36,0.0006,0.0757,-4.9997,4,0.078,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.282,Cr,I,6757.7843,39.77,8.65,0.0002,0.0515,-5.2302,2,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.0143,Cr,I,6762.3728,20.8,7.98,0.0001,0.0547,-5.512,1,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.648,Cr,I,6796.4412,44.84,7.64,0.0001,0.0733,-5.1806,2,0.074,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.261,Fe,I,4561.4132,46.51,7.89,0.0077,0.3833,-4.9916,2,0.228,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.571,Fe,I,4694.8585,52.31,5.98,0.002,0.3575,-4.953,1,0.215,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.817,Fe,I,4724.3169,46.85,8.44,0.0034,0.2086,-5.0036,4,0.333,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.02,Fe,I,4779.4389,52.87,6.39,0.0073,0.4279,-4.9562,18,0.05,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.431,Fe,I,4796.0476,35.77,4.67,0.0007,0.0867,-5.1274,45,0.15,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.311,Fe,I,4816.6669,48.32,22.64,0.0054,0.0394,-4.9986,5,0.095,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.078,Fe,I,4845.6462,42.81,11.48,0.0053,0.4034,-5.0538,1,0.042,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.04,Fe,I,4845.6551,42.37,11.47,0.0053,0.4034,-5.0583,1,0.042,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.267,Fe,II,4893.8126,19.85,7.1,0.0046,0.1622,-5.3919,2,0.027,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.19,Fe,I,4961.9132,38.5,6.95,0.0053,0.2629,-5.1102,1,0.052,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.908,Fe,I,4961.9575,38.43,6.94,0.0053,0.2629,-5.111,1,0.052,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.508,Fe,I,4975.4116,54.76,7.24,0.0047,0.2558,-4.9584,2,0.33,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.806,Fe,I,4975.4891,55.34,7.38,0.0047,0.2106,-4.9538,2,0.33,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.233,Fe,I,5102.8583,60.37,9.43,0.0059,0.1737,-4.927,6,0.559,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-8.17,Fe,II,5158.0139,25.33,9.39,0.0095,0.1798,-5.3088,5,0.272,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.32,Fe,I,5177.2326,52.52,14.54,0.0059,0.2439,-4.9938,1,0.25,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.74,Fe,I,5178.8005,27.16,7.08,0.0052,0.2375,-5.2803,1,0.181,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-5.409,Fe,II,5178.9489,25.68,7.46,0.0051,0.0696,-5.3046,9,0.181,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.16,Fe,I,5180.055,42.28,3.57,0.0021,0.4081,-5.0882,3,0.043,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.594,Fe,I,5221.7596,37.18,8.03,0.0058,0.2456,-5.1475,1,0.3,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-5.237,Fe,II,5238.6197,23.42,9.93,0.0087,0.1321,-5.3496,3,0.238,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.8533,Fe,I,5257.5822,29.36,9.7,0.0031,0.1759,-5.253,19,0.1,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.753,Fe,I,5257.6544,30.34,9.88,0.003,0.182,-5.2388,19,0.1,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.59,Fe,I,5292.5981,47.38,5.89,0.0023,0.2859,-5.0481,4,0.03,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.635,Fe,I,5358.1129,9.63,1.08,0.0002,0.1098,-5.7454,12,0.022,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.392,Fe,I,5374.7702,60.64,17.68,0.0053,0.0502,-4.9476,2,0.022,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.831,Fe,I,5386.9601,35.31,5.8,0.0031,0.2216,-5.1834,1,0.16,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.034,Fe,I,5387.4804,40.17,17.32,0.0063,0.2061,-5.1275,1,0.151,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.802,Fe,I,5452.0882,26.33,4.46,0.0008,0.1161,-5.3161,7,0.036,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.116,Fe,I,5452.8637,20.76,4.41,0.001,0.1192,-5.4194,4,0.107,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.495,Fe,I,5472.7084,62.36,11.3,0.0098,0.3411,-4.9433,1,0.086,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.037,Fe,I,5516.4819,59.51,15.53,0.0034,0.0416,-4.9671,10,0.364,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.574,Fe,I,5525.8475,61.78,6.36,0.0078,0.0288,-4.9516,23,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.444,Fe,I,5537.8703,42.36,5.43,0.0026,0.1659,-5.1164,6,0.174,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.81,Fe,I,5546.9902,47.73,7.58,0.0037,0.2109,-5.0653,21,0.049,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.31,Fe,I,5553.5765,59.57,6.72,0.0095,0.344,-4.9695,3,0.202,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.4,Fe,I,5608.9723,17.09,2.61,0.0005,0.0944,-5.5161,1,0.017,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.153,Fe,I,5609.9605,40.49,15.37,0.0004,0.053,-5.1416,16,0.018,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.113,Fe,I,5611.6714,10.56,1.39,0.0002,0.0376,-5.7254,1,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.1,Fe,II,5627.4888,37.47,7.63,0.0014,0.085,-5.1766,21,0.275,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.021,Fe,I,5627.5084,37.68,7.68,0.0014,0.085,-5.1742,21,0.275,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.503,Fe,I,5628.5803,53.28,9.91,0.001,0.1264,-5.0238,2,0.165,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.79,Fe,I,5635.8219,33.04,15.67,0.0097,0.2958,-5.2319,12,0.041,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.95,Fe,I,5643.9261,60.64,15.5,0.0022,0.1631,-4.9688,1,0.379,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.702,Fe,I,5644.0249,68.92,17.02,0.0023,0.2116,-4.9132,1,0.379,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.04,Fe,I,5644.3573,67.12,7.03,0.0024,0.0313,-4.9248,3,0.379,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.892,Fe,I,5665.6347,36.9,15.06,0.0069,0.2683,-5.1862,1,0.272,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.27,Fe,I,5690.4029,57.16,4.5,0.0028,0.3639,-4.9981,1,0.325,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.45,Fe,I,5691.4963,51.95,5.1,0.0035,0.3249,-5.0396,1,0.039,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.301,Fe,I,5691.6943,50.94,11.94,0.0059,0.0415,-5.0482,2,0.039,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.631,Fe,I,5720.8856,18.31,1.04,0.0001,0.117,-5.4948,1,0.348,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.559,Fe,I,5724.4533,9.36,1.5,0.0002,0.0482,-5.7865,1,0.005,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.135,Fe,I,5727.7095,69.51,13.48,0.0017,0.0616,-4.9159,10,0.121,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.574,Fe,I,5734.5641,10.16,1.61,0.0002,0.0587,-5.7516,1,0.009,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.453,Fe,I,5735.7054,11.13,2.11,0.0002,0.0644,-5.7121,1,0.024,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.34,Fe,I,5738.2266,19.37,2.59,0.0004,0.1174,-5.4716,16,0.056,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.653,Fe,I,5743.2064,45.35,10.15,0.0016,0.0459,-5.1026,23,0.087,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.987,Fe,I,5760.5324,47.85,8.64,0.0025,0.0436,-5.0806,1,0.321,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.512,Fe,I,5766.256,13.64,0.71,0.0,0.0785,-5.6261,1,0.097,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.257,Fe,I,5769.3221,15.68,1.03,0.0,0.0773,-5.5658,9,0.025,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.171,Fe,I,5787.9669,52.92,3.08,0.0004,0.3681,-5.0389,1,0.42,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.79,Fe,I,5798.1709,72.53,5.47,0.002,0.3291,-4.9028,2,0.252,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.263,Fe,I,5801.2704,9.33,1.15,0.0001,0.0519,-5.7936,1,0.025,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.474,Fe,I,5809.8808,72.29,15.37,0.0026,0.0324,-4.9051,1,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.137,Fe,I,5811.6137,15.65,1.35,0.0002,0.0238,-5.5698,1,0.022,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.43,Fe,I,5811.9141,15.53,1.45,0.0002,0.0971,-5.5731,1,0.022,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.182,Fe,I,5814.0073,49.16,14.52,0.0008,0.0482,-5.0729,1,0.015,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.616,Fe,I,5821.8878,5.94,1.14,0.0001,0.0549,-5.9913,1,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.987,Fe,II,5823.1551,29.77,5.32,0.0001,0.0247,-5.2914,3,0.005,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.94,Fe,I,5826.6366,31.22,6.05,0.0003,0.0255,-5.271,8,0.009,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.831,Fe,I,5838.1406,32.21,1.99,0.0003,0.0508,-5.2583,2,0.119,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.24,Fe,I,5838.3714,32.5,1.97,0.0003,0.156,-5.2544,1,0.042,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.027,Fe,I,5845.9605,41.1,7.98,0.0008,0.0333,-5.153,21,0.047,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.016,Fe,I,5866.2323,54.2,2.63,0.0009,0.0252,-5.0344,35,0.443,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.085,Fe,I,5881.2018,21.85,3.56,0.0006,0.0956,-5.43,21,0.016,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.74,Fe,I,5881.279,22.49,3.62,0.0006,0.1172,-5.4175,21,0.016,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.81,Fe,I,5902.4724,21.29,3.68,0.0012,0.1225,-5.4429,2,0.015,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.546,Fe,I,5905.4546,62.19,1.91,0.0005,0.0335,-4.9775,22,0.009,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.346,Fe,I,5909.8435,47.68,3.76,0.0005,0.0638,-5.0932,2,0.093,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.587,Fe,I,5909.9721,47.66,2.37,0.0004,0.2517,-5.0934,1,0.093,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.072,Fe,I,5916.554,67.39,5.35,0.0009,0.0491,-4.9435,20,0.026,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.619,Fe,I,5922.4306,28.12,4.55,0.0009,0.0521,-5.3235,17,0.219,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.797,Fe,I,5925.0013,12.6,2.7,0.0008,0.0886,-5.6723,6,0.01,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.99,Fe,I,5927.7883,48.3,10.42,0.0023,0.3172,-5.0889,3,0.06,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.593,Fe,I,5963.2389,21.78,10.88,0.0001,0.0438,-5.4374,19,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.876,Fe,I,5965.4689,47.19,3.85,0.0006,0.0298,-5.1018,19,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.555,Fe,I,5965.9887,40.51,3.23,0.0003,0.0868,-5.1681,1,0.382,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.756,Fe,I,5978.8913,35.19,4.69,0.0005,0.0512,-5.2302,22,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.821,Fe,I,5979.0301,54.31,15.39,0.0007,0.0402,-5.0418,23,0.013,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.508,Fe,I,5979.3258,44.83,16.66,0.0007,0.0291,-5.1251,3,0.013,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.39,Fe,I,5988.3753,48.52,18.52,0.0058,0.0236,-5.0914,17,0.024,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.349,Fe,I,5991.2599,44.3,2.41,0.0004,0.1202,-5.1311,17,0.094,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.54,Fe,II,5991.3709,44.32,2.08,0.0004,0.2381,-5.1309,5,0.094,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.949,Fe,I,5998.9385,74.0,31.75,0.0036,0.0471,-4.9088,2,0.034,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.268,Fe,I,6041.9504,66.97,0.55,0.0,0.1057,-4.9553,15,0.023,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.326,Fe,I,6042.2253,67.47,0.65,0.0,0.2302,-4.9521,1,0.166,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.837,Fe,I,6046.9901,20.43,7.29,0.0002,0.027,-5.4713,2,0.277,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.277,Fe,I,6057.2529,66.91,19.53,0.0059,0.0667,-4.9568,15,0.013,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.04,Fe,I,6062.8472,30.9,2.61,0.0002,0.1808,-5.2927,1,0.048,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.614,Fe,I,6062.9435,30.68,2.51,0.0002,0.1522,-5.2958,1,0.048,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.888,Fe,I,6063.3076,36.07,5.71,0.0006,0.0261,-5.2256,38,0.01,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.741,Fe,I,6081.7081,41.54,11.87,0.002,0.0414,-5.1656,10,0.181,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.746,Fe,I,6082.6058,47.4,4.92,0.0011,0.1288,-5.1083,22,0.117,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.573,Fe,I,6082.7098,47.42,2.99,0.0011,0.292,-5.1081,14,0.117,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.095,Fe,I,6085.2575,48.89,3.71,0.0031,0.3343,-5.0951,2,0.231,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.416,Fe,I,6091.7187,55.65,17.62,0.0031,0.0665,-5.0393,1,0.15,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.32,Fe,I,6096.6492,44.91,4.23,0.0004,0.2759,-5.1327,1,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.83,Fe,I,6096.6637,45.04,4.25,0.0004,0.2759,-5.1315,1,0.031,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.925,Fe,I,6108.0624,73.11,1.71,0.0002,0.4533,-4.9219,3,0.49,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.11,Fe,II,6113.3192,36.57,14.67,0.0003,0.0972,-5.2232,1,0.043,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.909,Fe,I,6119.4244,31.71,1.72,0.0002,0.0875,-5.2855,14,0.263,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.213,Fe,I,6128.1199,57.68,6.63,0.0019,0.0359,-5.0263,18,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.613,Fe,I,6157.4078,69.25,4.24,0.0011,0.0349,-4.949,2,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.969,Fe,I,6186.8158,44.15,6.24,0.0035,0.1936,-5.1465,2,0.194,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.941,Fe,II,6199.1902,20.54,9.49,0.0067,0.0925,-5.4797,21,0.159,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.093,Fe,I,6204.6559,25.57,0.56,0.0,0.1709,-5.385,2,0.213,UNEXPLAINED,no pipeline rule accounts for this drop
