element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Mn,I,3808.4962,22.39,21.63,0.1473,0.8278,-5.2307,17,0.914,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,3808.5031,22.38,21.63,0.1473,0.8278,-5.2309,6,0.914,EW_ERR_EXCESS,err/EW 0.97 > 0.5
Fe,I,3808.7168,86.41,33.34,0.1382,0.9495,-4.6442,13,0.676,SATURATED_REW,REW -4.644 > -4.9
Cr,I,3808.7178,86.41,33.34,0.1382,0.9495,-4.6442,16,0.914,SATURATED_REW,REW -4.644 > -4.9
Ti,I,3808.8754,82.92,31.59,0.1344,0.7575,-4.6621,25,0.914,SATURATED_REW,REW -4.662 > -4.9
Fe,I,3809.0398,57.94,31.72,0.1336,0.8982,-4.8178,4,0.239,SATURATED_REW,REW -4.818 > -4.9
Mn,I,3809.117,58.23,32.63,0.1325,0.8882,-4.8157,4,0.814,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,3809.4602,174.11,67.84,0.1361,0.8465,-4.34,5,0.845,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3809.4834,174.13,67.96,0.1365,0.8716,-4.34,37,0.853,SATURATED_REW,REW -4.340 > -4.9
Fe,I,3809.5638,174.13,71.04,0.1415,0.9481,-4.34,36,0.853,SATURATED_REW,REW -4.340 > -4.9
Mn,I,3809.5719,174.13,71.61,0.1422,0.9481,-4.34,4,0.845,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,3809.6008,173.99,73.2,0.1439,0.9481,-4.3404,35,0.853,SATURATED_REW,REW -4.340 > -4.9
Mn,I,3810.6624,104.96,45.27,0.1424,0.8569,-4.56,24,0.872,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,II,3810.7203,103.52,45.04,0.1449,0.9315,-4.566,49,0.872,SATURATED_REW,REW -4.566 > -4.9
Ti,I,3810.7314,103.61,45.27,0.1455,0.9315,-4.5656,55,0.872,SATURATED_REW,REW -4.566 > -4.9
Fe,I,3810.7555,103.52,45.42,0.1465,0.9315,-4.566,55,0.409,SATURATED_REW,REW -4.566 > -4.9
Co,I,3810.8042,103.6,45.62,0.1497,0.9315,-4.5657,40,0.872,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3810.905,8.13,19.63,0.1618,0.78,-5.6709,55,0.409,EW_ERR_EXCESS,err/EW 2.41 > 0.5
