element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Al,I,4652.414,108.48,8.45,0.0112,0.0761,-4.6323,18,0.816,SATURATED_REW,REW -4.632 > -4.9
Co,I,4652.4251,107.94,8.44,0.0112,0.0736,-4.6345,3,0.816,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4652.4505,105.52,9.16,0.0114,0.0772,-4.6443,3,0.816,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4653.4299,215.24,51.49,0.0415,0.171,-4.3349,5,0.022,SATURATED_REW,REW -4.335 > -4.9
Fe,I,4653.4886,218.45,49.55,0.0409,0.1726,-4.3284,10,0.022,SATURATED_REW,REW -4.328 > -4.9
Co,I,4653.7469,277.65,298.99,0.0386,0.0845,-4.2243,2,0.375,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4653.7531,279.42,299.71,0.0385,0.0845,-4.2215,2,0.375,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4654.4976,243.96,18.34,0.0188,0.7648,-4.2806,1,0.286,SATURATED_REW,REW -4.281 > -4.9
Fe,I,4654.605,247.04,18.02,0.0188,0.7775,-4.2751,1,0.286,SATURATED_REW,REW -4.275 > -4.9
Cr,I,4654.7242,254.35,17.7,0.0189,0.6889,-4.2625,3,0.808,SATURATED_REW,REW -4.262 > -4.9
Co,I,4654.7863,257.44,17.81,0.019,0.3989,-4.2572,4,0.808,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4654.8504,244.23,40.2,0.0125,0.1653,-4.2801,4,0.723,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4655.6513,253.31,183.8,0.0414,0.2888,-4.2643,23,0.221,SATURATED_REW,REW -4.264 > -4.9
Ti,I,4655.6853,254.92,179.65,0.0413,0.2888,-4.2616,24,0.108,SATURATED_REW,REW -4.262 > -4.9
Ti,II,4655.7765,293.87,123.55,0.0413,0.223,-4.1998,18,0.108,SATURATED_REW,REW -4.200 > -4.9
Ti,I,4656.0433,296.38,270.13,0.0398,0.1875,-4.1962,2,0.177,SATURATED_REW,REW -4.196 > -4.9
Fe,I,4656.4519,121.44,18.14,0.0261,0.6568,-4.5837,2,0.746,SATURATED_REW,REW -4.584 > -4.9
Ti,I,4656.4692,121.42,18.13,0.0261,0.6568,-4.5838,3,0.373,SATURATED_REW,REW -4.584 > -4.9
Cr,I,4656.8137,284.67,42.91,0.0109,0.095,-4.2137,2,0.746,SATURATED_REW,REW -4.214 > -4.9
Fe,II,4656.9761,269.99,29.98,0.011,0.3794,-4.2368,1,0.612,SATURATED_REW,REW -4.237 > -4.9
Fe,I,4657.3849,262.79,90.85,0.0118,0.1089,-4.2485,29,0.612,SATURATED_REW,REW -4.249 > -4.9
Ni,I,4657.4953,248.26,88.98,0.0123,0.2116,-4.2732,10,0.612,SATURATED_REW,REW -4.273 > -4.9
Co,I,4657.5547,41.78,12.2,0.016,0.3656,-5.0472,3,0.452,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4657.5848,39.94,11.6,0.0155,0.3656,-5.0668,6,0.051,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4658.294,25.95,20.85,0.0157,0.2265,-5.2541,0,0.007,EW_ERR_EXCESS,err/EW 0.80 > 0.5
Fe,I,4658.8441,67.54,179.15,0.0081,0.1291,-4.8387,1,0.167,SATURATED_REW,REW -4.839 > -4.9
Si,I,4658.8501,64.55,178.24,0.0081,0.1291,-4.8584,1,0.03,SATURATED_REW,REW -4.858 > -4.9
Fe,I,4659.969,85.51,149.71,0.0055,0.1045,-4.7364,1,0.013,SATURATED_REW,REW -4.736 > -4.9
Fe,I,4660.4254,16.84,9.87,0.0069,0.2553,-5.4421,21,0.026,EW_ERR_EXCESS,err/EW 0.59 > 0.5
Cr,I,4660.4569,16.45,9.41,0.0069,0.2553,-5.4523,22,0.38,EW_ERR_EXCESS,err/EW 0.57 > 0.5
Co,II,4660.4681,16.33,8.5,0.0069,0.2553,-5.4554,1,0.38,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,II,4660.5538,17.52,4.49,0.007,0.1373,-5.4249,3,0.38,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,II,4660.6543,109.66,33.04,0.0065,0.0769,-4.6284,3,0.38,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,II,4660.7605,119.49,43.08,0.0064,0.0941,-4.5911,3,0.38,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4660.8867,30.05,7.97,0.007,0.2699,-5.1906,0,0.026,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4661.3197,168.45,116.87,0.0075,0.1075,-4.442,0,0.007,SATURATED_REW,REW -4.442 > -4.9
Fe,I,4661.5344,45.34,12.37,0.0106,0.3965,-5.012,15,0.042,UNEXPLAINED,no pipeline rule accounts for this drop
Zr,II,4661.784,174.06,163.43,0.0115,0.0983,-4.4279,19,0.558,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4661.8269,149.98,95.45,0.0125,0.1054,-4.4925,5,0.558,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,4661.8471,65.8,15.07,0.0122,0.1283,-4.8503,19,0.558,SATURATED_REW,REW -4.850 > -4.9
Mn,I,4661.8543,65.67,15.08,0.0124,0.1552,-4.8512,5,0.558,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4661.9702,65.27,13.98,0.0129,0.4802,-4.8539,0,0.042,SATURATED_REW,REW -4.854 > -4.9
Fe,I,4662.0963,159.99,86.09,0.0144,0.2817,-4.4645,16,0.042,SATURATED_REW,REW -4.464 > -4.9
Cr,I,4662.4035,223.88,86.51,0.0141,0.0988,-4.3186,11,0.136,SATURATED_REW,REW -4.319 > -4.9
Ti,II,4662.7382,256.99,88.65,0.0121,0.194,-4.2587,9,0.136,SATURATED_REW,REW -4.259 > -4.9
Ti,II,4662.7795,263.69,130.06,0.0132,0.194,-4.2476,9,0.136,SATURATED_REW,REW -4.248 > -4.9
Fe,I,4663.1782,284.58,150.03,0.0139,0.3116,-4.2145,22,0.434,SATURATED_REW,REW -4.214 > -4.9
Cr,I,4663.3112,298.89,123.75,0.0141,0.3949,-4.1932,22,0.434,SATURATED_REW,REW -4.193 > -4.9
Co,I,4663.358,298.92,100.09,0.0141,0.3949,-4.1931,3,0.41,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4663.6112,286.5,117.03,0.012,0.2012,-4.2116,24,0.481,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,II,4663.704,272.16,110.74,0.0119,0.3168,-4.2339,22,0.481,SATURATED_REW,REW -4.234 > -4.9
Cr,I,4663.8159,260.64,106.78,0.0121,0.4137,-4.2527,1,0.322,SATURATED_REW,REW -4.253 > -4.9
Fe,I,4664.0136,216.11,86.31,0.0118,0.2054,-4.3341,1,0.481,SATURATED_REW,REW -4.334 > -4.9
Cr,I,4664.0865,221.66,103.96,0.0116,0.1177,-4.3231,17,0.016,SATURATED_REW,REW -4.323 > -4.9
Fe,I,4664.7174,56.72,28.7,0.0404,0.4858,-4.9151,7,0.511,EW_ERR_EXCESS,err/EW 0.51 > 0.5
Fe,I,4664.7679,56.84,28.7,0.0406,0.5161,-4.9142,7,0.511,EW_ERR_EXCESS,err/EW 0.50 > 0.5
Cr,I,4664.7815,57.12,28.86,0.0409,0.5161,-4.912,9,0.33,EW_ERR_EXCESS,err/EW 0.51 > 0.5
Na,I,4664.8098,57.87,29.13,0.0416,0.5161,-4.9064,4,0.511,EW_ERR_EXCESS,err/EW 0.50 > 0.5
Fe,II,4665.7981,185.3,298.62,0.0314,0.271,-4.4011,1,0.227,SATURATED_REW,REW -4.401 > -4.9
Na,I,4668.556,37.81,18.6,0.0571,0.4418,-5.0916,2,0.076,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4669.1493,146.57,36.02,0.0454,0.6551,-4.5032,2,0.42,SATURATED_REW,REW -4.503 > -4.9
Fe,I,4669.1711,144.6,35.53,0.0453,0.6551,-4.5091,2,0.42,SATURATED_REW,REW -4.509 > -4.9
Ti,I,4669.2298,135.9,32.99,0.0445,0.6551,-4.536,5,0.694,SATURATED_REW,REW -4.536 > -4.9
Cr,I,4669.3166,131.28,31.51,0.0441,0.3566,-4.5511,6,0.694,SATURATED_REW,REW -4.551 > -4.9
Fe,I,4669.5774,291.47,245.17,0.0381,0.1527,-4.2047,5,0.42,SATURATED_REW,REW -4.205 > -4.9
Cr,I,4669.664,276.9,289.86,0.0338,0.1603,-4.227,3,0.156,SATURATED_REW,REW -4.227 > -4.9
Fe,II,4670.1698,67.96,14.39,0.0172,0.3357,-4.8371,24,0.637,SATURATED_REW,REW -4.837 > -4.9
Cr,I,4670.3008,52.27,21.15,0.0408,0.2777,-4.9511,35,0.637,UNEXPLAINED,no pipeline rule accounts for this drop
Sc,II,4670.4002,50.86,20.4,0.0398,0.5939,-4.963,20,0.377,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
V,I,4670.4231,50.65,20.26,0.0397,0.5939,-4.9648,17,0.637,UNEXPLAINED,no pipeline rule accounts for this drop
V,I,4670.4616,50.59,20.3,0.0396,0.5939,-4.9653,17,0.637,UNEXPLAINED,no pipeline rule accounts for this drop
V,I,4670.5537,58.43,21.44,0.042,0.2001,-4.9027,17,0.637,UNEXPLAINED,no pipeline rule accounts for this drop
Mn,I,4671.6467,229.58,269.02,0.0256,0.1917,-4.3085,0,0.011,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4671.6538,230.37,262.24,0.0256,0.1917,-4.307,0,0.011,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ca,I,4672.1458,228.83,211.31,0.0238,0.1363,-4.31,16,0.582,SATURATED_REW,REW -4.310 > -4.9
Fe,I,4672.3211,84.23,21.28,0.0225,0.5334,-4.7441,0,0.022,SATURATED_REW,REW -4.744 > -4.9
Cr,I,4672.7481,284.89,57.64,0.0155,0.2844,-4.2149,2,0.411,SATURATED_REW,REW -4.215 > -4.9
Fe,I,4672.83,233.16,36.54,0.0152,0.3721,-4.3019,1,0.092,SATURATED_REW,REW -4.302 > -4.9
Cr,I,4673.11,173.02,26.44,0.0135,0.6563,-4.4315,4,0.716,SATURATED_REW,REW -4.432 > -4.9
Fe,I,4673.1635,172.76,26.43,0.0134,0.6662,-4.4322,1,0.092,SATURATED_REW,REW -4.432 > -4.9
Fe,I,4673.27,173.53,26.58,0.0135,0.536,-4.4302,1,0.092,SATURATED_REW,REW -4.430 > -4.9
Fe,I,4674.081,237.3,181.12,0.02,0.3749,-4.2944,0,0.006,SATURATED_REW,REW -4.294 > -4.9
Fe,I,4674.6478,207.82,156.71,0.0168,0.2774,-4.3521,4,0.167,SATURATED_REW,REW -4.352 > -4.9
Ni,I,4674.7546,182.51,251.14,0.0166,0.2452,-4.4085,5,0.555,SATURATED_REW,REW -4.408 > -4.9
Cu,I,4674.7799,182.17,261.72,0.0166,0.2452,-4.4093,7,0.555,SYNTH_ROUTED,Cu: synthesis is the reporting channel (synthesis (problem-children registry))
Y,I,4674.8484,179.07,266.65,0.0157,0.1955,-4.4167,6,0.555,SATURATED_REW,REW -4.417 > -4.9
Ca,I,4674.9391,200.54,272.21,0.0156,0.0915,-4.3676,7,0.555,SATURATED_REW,REW -4.368 > -4.9
Ni,I,4675.0222,217.61,278.44,0.0162,0.2906,-4.3321,4,0.555,SATURATED_REW,REW -4.332 > -4.9
Fe,I,4675.0934,59.28,27.04,0.0186,0.3888,-4.8969,4,0.353,SATURATED_REW,REW -4.897 > -4.9
Ti,I,4675.1167,59.22,26.89,0.0182,0.3888,-4.8973,4,0.555,SATURATED_REW,REW -4.897 > -4.9
Fe,I,4675.3757,191.11,39.27,0.0044,0.1342,-4.3885,3,0.353,SATURATED_REW,REW -4.389 > -4.9
Ni,I,4675.5933,139.38,80.64,0.0048,0.2252,-4.5256,2,0.09,SATURATED_REW,REW -4.526 > -4.9
Cr,I,4676.3739,70.77,188.04,0.0098,0.1518,-4.8201,0,0.012,SATURATED_REW,REW -4.820 > -4.9
Co,I,4676.7507,58.39,122.18,0.0091,0.0975,-4.9036,4,0.105,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4677.2531,115.71,291.89,0.0207,0.0999,-4.6066,5,0.161,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4677.3998,163.45,179.03,0.021,0.1299,-4.4566,13,0.045,SATURATED_REW,REW -4.457 > -4.9
Co,I,4677.4509,182.32,161.77,0.0209,0.1299,-4.4092,3,0.161,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,4677.4843,189.75,162.71,0.0208,0.1421,-4.3918,2,0.161,SATURATED_REW,REW -4.392 > -4.9
Fe,I,4677.5874,232.64,168.75,0.0203,0.2224,-4.3033,1,0.045,SATURATED_REW,REW -4.303 > -4.9
Fe,I,4678.4093,276.84,158.11,0.0205,0.159,-4.2279,0,0.006,SATURATED_REW,REW -4.228 > -4.9
Fe,I,4678.8455,170.98,24.12,0.023,0.7666,-4.4372,0,0.012,SATURATED_REW,REW -4.437 > -4.9
Fe,I,4680.5515,182.02,103.55,0.0337,0.4543,-4.4102,3,0.308,SATURATED_REW,REW -4.410 > -4.9
Fe,I,4680.8402,265.75,172.64,0.033,0.3207,-4.2459,2,0.299,SATURATED_REW,REW -4.246 > -4.9
Cr,I,4680.8529,268.76,172.52,0.0319,0.3207,-4.241,5,0.35,SATURATED_REW,REW -4.241 > -4.9
Fe,I,4680.8606,271.97,167.72,0.0308,0.3207,-4.2358,2,0.299,SATURATED_REW,REW -4.236 > -4.9
Ti,I,4681.9088,110.2,25.2,0.0258,0.6996,-4.6282,1,0.406,SATURATED_REW,REW -4.628 > -4.9
Fe,I,4682.1115,141.51,48.38,0.0208,0.472,-4.5197,18,0.775,SATURATED_REW,REW -4.520 > -4.9
Y,II,4682.3237,249.12,72.42,0.0179,0.3889,-4.2741,18,0.406,SATURATED_REW,REW -4.274 > -4.9
Co,I,4682.3264,249.12,72.42,0.0179,0.3889,-4.2741,3,0.406,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4682.3564,242.99,68.76,0.0171,0.3889,-4.2849,3,0.406,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4682.558,213.78,57.76,0.0151,0.2984,-4.3405,17,0.385,SATURATED_REW,REW -4.341 > -4.9
Zr,I,4683.42,58.25,16.44,0.0238,0.1372,-4.9053,1,0.656,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4683.5597,55.56,16.05,0.0233,0.5504,-4.9258,0,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
V,I,4684.4385,200.13,192.25,0.015,0.1395,-4.3693,4,0.265,SATURATED_REW,REW -4.369 > -4.9
V,I,4684.4642,205.67,193.58,0.015,0.1547,-4.3575,4,0.265,SATURATED_REW,REW -4.357 > -4.9
Ti,I,4684.5076,225.31,197.72,0.015,0.2495,-4.3179,3,0.265,SATURATED_REW,REW -4.318 > -4.9
Cr,I,4684.5944,245.14,197.2,0.0142,0.3117,-4.2813,3,0.265,SATURATED_REW,REW -4.281 > -4.9
Fe,I,4684.5953,245.15,197.2,0.0142,0.3117,-4.2812,3,0.1,SATURATED_REW,REW -4.281 > -4.9
Cr,I,4684.8546,247.77,34.16,0.0139,0.1187,-4.2766,5,0.265,SATURATED_REW,REW -4.277 > -4.9
Fe,I,4685.0234,208.19,39.38,0.0142,0.2439,-4.3523,2,0.559,SATURATED_REW,REW -4.352 > -4.9
Zr,II,4685.186,87.94,22.97,0.0211,0.4037,-4.7265,3,0.559,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ca,I,4685.268,72.53,18.24,0.0192,0.532,-4.8102,1,0.245,SATURATED_REW,REW -4.810 > -4.9
Cr,I,4685.4652,198.38,118.67,0.0173,0.1053,-4.3733,5,0.559,SATURATED_REW,REW -4.373 > -4.9
Co,I,4685.8144,192.97,137.04,0.013,0.1147,-4.3853,4,0.153,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4685.8578,88.65,23.87,0.0127,0.1147,-4.7231,3,0.153,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4686.1019,89.18,14.53,0.0149,0.2605,-4.7205,23,0.131,SATURATED_REW,REW -4.721 > -4.9
Cr,I,4686.1522,91.04,15.03,0.0152,0.5388,-4.7116,3,0.639,SATURATED_REW,REW -4.712 > -4.9
Ni,I,4686.2131,93.32,17.79,0.0157,0.5744,-4.7008,1,0.131,SATURATED_REW,REW -4.701 > -4.9
Fe,I,4686.3504,94.99,18.79,0.016,0.2316,-4.6932,2,0.639,SATURATED_REW,REW -4.693 > -4.9
Fe,I,4687.3022,84.3,16.78,0.0131,0.353,-4.7451,2,0.058,SATURATED_REW,REW -4.745 > -4.9
Fe,I,4687.386,84.38,17.98,0.0135,0.4263,-4.7447,2,0.058,SATURATED_REW,REW -4.745 > -4.9
Fe,I,4687.6165,224.05,145.99,0.0141,0.1336,-4.3206,2,0.222,SATURATED_REW,REW -4.321 > -4.9
Si,I,4687.6205,223.11,145.97,0.0141,0.136,-4.3224,4,0.517,SATURATED_REW,REW -4.322 > -4.9
Fe,I,4687.6697,226.95,149.79,0.014,0.136,-4.315,2,0.222,SATURATED_REW,REW -4.315 > -4.9
Zr,I,4687.8,219.08,217.19,0.0136,0.1725,-4.3304,2,0.106,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,4687.8083,219.45,217.25,0.0136,0.1725,-4.3296,3,0.222,SATURATED_REW,REW -4.330 > -4.9
Fe,I,4688.176,262.52,245.16,0.0173,0.4533,-4.2518,0,0.029,SATURATED_REW,REW -4.252 > -4.9
Fe,I,4688.3789,253.13,189.29,0.0131,0.241,-4.2677,16,0.029,SATURATED_REW,REW -4.268 > -4.9
Zr,I,4688.45,233.99,184.47,0.0129,0.241,-4.3018,19,0.309,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4688.4574,230.56,183.51,0.0129,0.241,-4.3082,3,0.309,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4688.5161,209.35,179.61,0.0126,0.2187,-4.3502,16,0.029,SATURATED_REW,REW -4.350 > -4.9
Cr,I,4689.3565,91.68,30.6,0.0154,0.4127,-4.7088,2,0.348,SATURATED_REW,REW -4.709 > -4.9
Fe,I,4689.3871,91.84,34.86,0.017,0.4127,-4.7081,1,0.468,SATURATED_REW,REW -4.708 > -4.9
Fe,I,4689.4852,97.52,53.26,0.025,0.3373,-4.682,1,0.468,SATURATED_REW,REW -4.682 > -4.9
Fe,I,4690.1375,71.67,12.69,0.0181,0.5656,-4.8158,0,0.046,SATURATED_REW,REW -4.816 > -4.9
Cr,I,4690.1547,71.73,12.72,0.0181,0.5656,-4.8155,3,0.595,SATURATED_REW,REW -4.815 > -4.9
Fe,I,4690.3688,49.17,7.3,0.0209,0.2232,-4.9795,1,0.046,UNEXPLAINED,no pipeline rule accounts for this drop
Ca,I,4691.1651,170.56,20.37,0.0115,0.1154,-4.4394,11,0.753,SATURATED_REW,REW -4.439 > -4.9
Ti,I,4691.3325,206.12,20.14,0.011,0.6681,-4.3572,1,0.753,SATURATED_REW,REW -4.357 > -4.9
Fe,I,4691.4114,206.11,19.91,0.011,0.7341,-4.3572,1,0.573,SATURATED_REW,REW -4.357 > -4.9
Fe,I,4691.5809,201.32,19.11,0.0107,0.4214,-4.3674,1,0.573,SATURATED_REW,REW -4.367 > -4.9
Fe,I,4691.9244,267.23,105.77,0.0165,0.1308,-4.2445,0,0.009,SATURATED_REW,REW -4.244 > -4.9
Ti,I,4692.4335,211.34,81.49,0.0167,0.1631,-4.3464,16,0.096,SATURATED_REW,REW -4.346 > -4.9
Ca,I,4692.5435,200.05,45.94,0.0172,0.2245,-4.3703,0,0.02,SATURATED_REW,REW -4.370 > -4.9
Fe,I,4692.9037,156.8,223.15,0.0188,0.1662,-4.4761,13,0.25,SATURATED_REW,REW -4.476 > -4.9
Cr,I,4692.962,154.05,291.23,0.0192,0.1527,-4.4838,12,0.25,SATURATED_REW,REW -4.484 > -4.9
Fe,I,4692.996,152.25,295.35,0.0193,0.1527,-4.4889,11,0.25,SATURATED_REW,REW -4.489 > -4.9
Co,I,4693.1637,19.53,25.82,0.0196,0.2361,-5.3808,3,0.066,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,4693.6643,170.8,44.15,0.0041,0.2264,-4.439,1,0.352,SATURATED_REW,REW -4.439 > -4.9
Cr,I,4693.9387,162.83,24.05,0.004,0.3118,-4.4598,2,0.131,SATURATED_REW,REW -4.460 > -4.9
S,I,4694.1125,160.4,50.69,0.004,0.1916,-4.4663,1,0.352,SATURATED_REW,REW -4.466 > -4.9
Co,I,4694.6034,50.39,6.51,0.0022,0.1552,-4.9693,1,0.387,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4694.664,46.79,5.43,0.002,0.162,-5.0015,2,0.387,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4694.7517,46.36,5.21,0.0018,0.1953,-5.0055,2,0.387,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4694.8585,52.31,5.98,0.002,0.3575,-4.953,1,0.215,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4694.9968,65.53,8.95,0.0026,0.2395,-4.8552,1,0.215,SATURATED_REW,REW -4.855 > -4.9
Cr,I,4695.1446,67.32,14.98,0.004,0.2367,-4.8435,3,0.387,SATURATED_REW,REW -4.844 > -4.9
Fe,I,4696.0181,97.82,40.69,0.0044,0.1318,-4.6813,1,0.042,SATURATED_REW,REW -4.681 > -4.9
Fe,I,4696.0523,99.18,39.46,0.0043,0.1318,-4.6753,1,0.042,SATURATED_REW,REW -4.675 > -4.9
Fe,I,4696.1564,103.76,27.57,0.0041,0.1277,-4.6557,1,0.042,SATURATED_REW,REW -4.656 > -4.9
S,I,4696.252,105.59,35.31,0.004,0.1555,-4.6481,2,0.083,SATURATED_REW,REW -4.648 > -4.9
Ti,I,4696.9316,26.46,12.76,0.0112,0.1818,-5.2492,1,0.359,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,4697.0514,47.54,18.76,0.0138,0.3477,-4.9948,1,0.093,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4697.1734,173.78,143.48,0.0137,0.2066,-4.4318,3,0.359,SATURATED_REW,REW -4.432 > -4.9
Cr,I,4697.388,192.16,188.44,0.0179,0.2043,-4.3882,0,0.011,SATURATED_REW,REW -4.388 > -4.9
Cu,I,4697.4698,206.01,193.67,0.0179,0.2015,-4.358,1,0.076,SYNTH_ROUTED,Cu: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,II,4697.6058,212.5,189.76,0.0166,0.1394,-4.3445,0,0.011,SATURATED_REW,REW -4.345 > -4.9
Sc,II,4698.2619,276.74,76.8,0.0138,0.2187,-4.2299,9,0.567,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Ti,II,4698.6545,287.08,73.84,0.0139,0.458,-4.214,10,0.567,SATURATED_REW,REW -4.214 > -4.9
Cr,I,4698.7327,292.87,48.84,0.0141,0.4217,-4.2053,7,0.497,SATURATED_REW,REW -4.205 > -4.9
Cr,I,4698.9434,281.91,47.8,0.0144,0.161,-4.2219,21,0.497,SATURATED_REW,REW -4.222 > -4.9
Co,I,4699.2556,90.2,14.37,0.0178,0.4541,-4.7168,3,0.099,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,4699.2907,90.2,14.77,0.0181,0.5606,-4.7168,3,0.099,SATURATED_REW,REW -4.717 > -4.9
Fe,I,4699.3401,90.11,15.74,0.0187,0.5606,-4.7173,1,0.087,SATURATED_REW,REW -4.717 > -4.9
Cr,I,4699.5867,280.28,175.77,0.0244,0.157,-4.2245,21,0.077,SATURATED_REW,REW -4.224 > -4.9
Ni,I,4699.8567,280.97,175.04,0.0273,0.1095,-4.2234,23,0.58,SATURATED_REW,REW -4.223 > -4.9
Fe,I,4700.1576,53.27,24.5,0.0343,0.5661,-4.9456,0,0.043,UNEXPLAINED,no pipeline rule accounts for this drop
Ti,I,4700.1892,53.8,24.82,0.0346,0.5661,-4.9413,3,0.58,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4701.0447,37.38,25.05,0.0372,0.4555,-5.0996,14,0.41,EW_ERR_EXCESS,err/EW 0.67 > 0.5
Mn,I,4701.1224,31.67,25.11,0.0433,0.4514,-5.1716,3,0.526,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4701.1521,30.67,24.37,0.0439,0.3519,-5.1855,4,0.526,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4701.3144,51.17,62.68,0.0435,0.4328,-4.9632,13,0.526,EW_ERR_EXCESS,err/EW 1.22 > 0.5
Ni,I,4701.3576,149.87,217.16,0.0416,0.4328,-4.4965,13,0.526,SATURATED_REW,REW -4.497 > -4.9
Ni,I,4701.5297,208.88,155.1,0.0417,0.4983,-4.3523,3,0.181,SATURATED_REW,REW -4.352 > -4.9
Fe,I,4701.9018,255.53,231.9,0.0468,0.1963,-4.2648,1,0.025,SATURATED_REW,REW -4.265 > -4.9
Cr,I,4701.9162,254.9,231.68,0.0468,0.1963,-4.2659,2,0.083,SATURATED_REW,REW -4.266 > -4.9
Co,I,4704.3617,286.08,134.78,0.0433,0.184,-4.216,2,0.115,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4704.9476,84.52,21.96,0.0454,0.6082,-4.7456,0,0.009,SATURATED_REW,REW -4.746 > -4.9
Ti,I,4704.9662,84.52,21.95,0.0454,0.6082,-4.7456,1,0.613,SATURATED_REW,REW -4.746 > -4.9
V,I,4705.0021,84.51,21.84,0.0452,0.6082,-4.7457,1,0.613,SATURATED_REW,REW -4.746 > -4.9
Fe,I,4705.4567,30.82,21.79,0.0276,0.398,-5.1838,1,0.085,EW_ERR_EXCESS,err/EW 0.71 > 0.5
Ni,I,4705.4973,30.58,21.93,0.0294,0.398,-5.1872,1,0.392,EW_ERR_EXCESS,err/EW 0.72 > 0.5
Ni,I,4705.9217,194.45,212.49,0.0297,0.1837,-4.3838,13,0.138,SATURATED_REW,REW -4.384 > -4.9
Cr,I,4706.0889,219.56,185.09,0.0335,0.1673,-4.3311,14,0.117,SATURATED_REW,REW -4.331 > -4.9
V,I,4706.124,223.22,185.02,0.0333,0.1673,-4.3239,3,0.138,SATURATED_REW,REW -4.324 > -4.9
V,I,4706.1508,228.28,184.74,0.0332,0.1673,-4.3142,3,0.138,SATURATED_REW,REW -4.314 > -4.9
