wave_air_A,engine_b,lower,upper,band,log_gf,ep_eV,predicted_depth,instruments
10041.4718,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.772,5.0117,0.058,kpno_solar_atlas|iag_fts_solar_atlas
10057.6403,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.435,5.0331,0.103,kpno_solar_atlas|iag_fts_solar_atlas
10065.0453,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.289,4.8349,0.365,kpno_solar_atlas|iag_fts_solar_atlas
10085.071,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.128,4.5844,0.067,kpno_solar_atlas|iag_fts_solar_atlas
10089.7755,REFUSED,UNIQUE,ABSENT,NIR,-1.247,5.4457,0.07,kpno_solar_atlas|iag_fts_solar_atlas
10114.0136,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.692,2.7586,0.114,kpno_solar_atlas|iag_fts_solar_atlas
10137.0998,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.708,5.0856,0.056,kpno_solar_atlas|iag_fts_solar_atlas
10142.8438,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.51,5.0638,0.086,kpno_solar_atlas|iag_fts_solar_atlas
10145.5612,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.177,4.7955,0.386,kpno_solar_atlas|iag_fts_solar_atlas
10153.2887,NO-VALD-LEVELS,,,NIR,-1.187,5.4457,0.079,kpno_solar_atlas|iag_fts_solar_atlas
10155.1622,AVAILABLE,UNIQUE,UNIQUE,NIR,-4.226,2.1759,0.127,kpno_solar_atlas|iag_fts_solar_atlas
10156.5054,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.711,4.5931,0.139,kpno_solar_atlas|iag_fts_solar_atlas
10167.4681,AVAILABLE,UNIQUE,UNIQUE,NIR,-4.117,2.1979,0.147,kpno_solar_atlas|iag_fts_solar_atlas
10195.1048,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.58,2.7275,0.145,kpno_solar_atlas|iag_fts_solar_atlas
10216.3128,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.063,4.7331,0.409,kpno_solar_atlas|iag_fts_solar_atlas
10218.4075,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.76,3.0713,0.261,kpno_solar_atlas|iag_fts_solar_atlas
10227.9941,REFUSED,UNIQUE,ABSENT,NIR,-0.354,6.1189,0.107,kpno_solar_atlas|iag_fts_solar_atlas
10230.795,REFUSED,UNIQUE,ABSENT,NIR,-0.339,6.1189,0.109,kpno_solar_atlas|iag_fts_solar_atlas
10252.5514,REFUSED,AMBIGUOUS,ABSENT,NIR,-1.026,5.8279,0.053,kpno_solar_atlas|iag_fts_solar_atlas
10265.2169,AVAILABLE,UNIQUE,UNIQUE,NIR,-4.537,2.2227,0.065,kpno_solar_atlas|iag_fts_solar_atlas
10307.4535,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.067,4.5931,0.076,kpno_solar_atlas|iag_fts_solar_atlas
10331.2209,REFUSED,UNIQUE,ABSENT,NIR,-0.472,6.1445,0.085,kpno_solar_atlas|iag_fts_solar_atlas
10332.3271,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.938,3.6352,0.09,kpno_solar_atlas|iag_fts_solar_atlas
10340.8846,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.577,2.1979,0.288,kpno_solar_atlas|iag_fts_solar_atlas
10347.965,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.551,5.3933,0.214,kpno_solar_atlas|iag_fts_solar_atlas
10353.8181,NO-VALD-LEVELS,,,NIR,-0.819,5.3933,0.157,kpno_solar_atlas|iag_fts_solar_atlas
10362.704,REFUSED,UNIQUE,ABSENT,NIR,-1.343,5.4781,0.056,kpno_solar_atlas|iag_fts_solar_atlas
10364.0619,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.96,5.4457,0.118,kpno_solar_atlas|iag_fts_solar_atlas
10378.9987,AVAILABLE,UNIQUE,UNIQUE,NIR,-4.148,2.2227,0.135,kpno_solar_atlas|iag_fts_solar_atlas
10395.7944,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.393,2.1759,0.335,kpno_solar_atlas|iag_fts_solar_atlas
10423.0274,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.616,2.6924,0.147,kpno_solar_atlas|iag_fts_solar_atlas
10423.7425,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.918,3.0713,0.223,kpno_solar_atlas|iag_fts_solar_atlas
10435.3553,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.945,4.7331,0.074,kpno_solar_atlas|iag_fts_solar_atlas
10455.4025,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.908,5.3933,0.139,kpno_solar_atlas|iag_fts_solar_atlas
10469.6522,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.184,3.8835,0.387,kpno_solar_atlas|iag_fts_solar_atlas
10532.2338,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.48,3.9286,0.335,kpno_solar_atlas|iag_fts_solar_atlas
10535.7091,REFUSED,UNIQUE,ABSENT,NIR,-0.108,6.2057,0.139,kpno_solar_atlas|iag_fts_solar_atlas
10555.6492,REFUSED,UNIQUE,ABSENT,NIR,-1.108,5.4457,0.094,kpno_solar_atlas|iag_fts_solar_atlas
10577.1386,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.136,3.3014,0.118,kpno_solar_atlas|iag_fts_solar_atlas
10584.0231,REFUSED,UNIQUE,ABSENT,NIR,-0.622,6.2529,0.054,kpno_solar_atlas|iag_fts_solar_atlas
10611.6859,REFUSED,UNIQUE,ABSENT,NIR,0.021,6.1692,0.173,kpno_solar_atlas|iag_fts_solar_atlas
10616.721,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.127,3.2671,0.127,kpno_solar_atlas|iag_fts_solar_atlas
10617.8768,REFUSED,UNIQUE,ABSENT,NIR,-0.336,6.2368,0.094,kpno_solar_atlas|iag_fts_solar_atlas
10674.0696,REFUSED,UNIQUE,ABSENT,NIR,-0.466,6.1692,0.085,kpno_solar_atlas
10717.8063,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.436,5.5392,0.21,kpno_solar_atlas
10725.1778,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.678,3.6398,0.125,kpno_solar_atlas
10731.9466,NO-VALD-LEVELS,,,NIR,-1.836,5.0674,0.05,kpno_solar_atlas
10753.0038,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.845,3.9597,0.26,kpno_solar_atlas
10754.2808,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.185,5.5869,0.065,kpno_solar_atlas
10771.2278,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.285,5.5869,0.054,kpno_solar_atlas
10780.6943,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.289,3.2367,0.102,kpno_solar_atlas
10783.0501,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.567,3.111,0.298,kpno_solar_atlas
10818.2742,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.948,3.9597,0.238,kpno_solar_atlas
10833.9629,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.223,5.5869,0.061,kpno_solar_atlas
10863.5184,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.895,4.7331,0.286,kpno_solar_atlas
10881.758,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.604,2.845,0.12,kpno_solar_atlas
10884.2625,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.925,3.9286,0.251,kpno_solar_atlas
10896.2988,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.694,3.0713,0.281,kpno_solar_atlas
10987.2069,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.727,2.8316,0.1,kpno_solar_atlas
11013.2349,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.383,4.7955,0.173,kpno_solar_atlas
11026.7878,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.805,3.9433,0.069,kpno_solar_atlas
11045.5985,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.624,5.5869,0.164,kpno_solar_atlas
11057.7719,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.967,4.8349,0.062,kpno_solar_atlas
11119.7954,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.202,2.845,0.408,kpno_solar_atlas
11149.2618,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.237,2.8316,0.213,kpno_solar_atlas
11149.9258,REFUSED,UNIQUE,ABSENT,NIR,-0.359,6.2865,0.087,kpno_solar_atlas
11178.3823,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.936,5.5869,0.105,kpno_solar_atlas
11186.1396,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.95,5.6207,0.097,kpno_solar_atlas
11188.4657,REFUSED,UNIQUE,ABSENT,NIR,0.13,6.2416,0.186,kpno_solar_atlas
11190.8741,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.671,5.5392,0.167,kpno_solar_atlas
11192.0931,REFUSED,UNIQUE,ABSENT,NIR,-0.204,6.2416,0.121,kpno_solar_atlas
11200.8357,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.357,5.4855,0.06,kpno_solar_atlas
11224.9534,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.591,3.2671,0.057,kpno_solar_atlas
11237.1036,REFUSED,UNIQUE,ABSENT,NIR,-0.086,6.2461,0.143,kpno_solar_atlas
11251.1147,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.192,2.8581,0.407,kpno_solar_atlas
11298.8594,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.588,2.8316,0.354,kpno_solar_atlas
11313.4129,NO-VALD-LEVELS,,,NIR,-0.658,6.3025,0.05,kpno_solar_atlas
11337.8075,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.235,5.4855,0.076,kpno_solar_atlas
11355.9536,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.474,3.6416,0.198,kpno_solar_atlas
11374.0776,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.235,2.1759,0.368,kpno_solar_atlas
11388.5376,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.711,5.6207,0.144,kpno_solar_atlas
11390.9162,NO-VALD-LEVELS,,,NIR,-1.365,5.5869,0.05,kpno_solar_atlas
11402.734,REFUSED,UNIQUE,ABSENT,NIR,0.24,6.264,0.207,kpno_solar_atlas
11409.9125,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.838,5.6424,0.116,kpno_solar_atlas
11421.6054,REFUSED,UNIQUE,ABSENT,NIR,-0.548,6.264,0.068,kpno_solar_atlas
11422.3192,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.7,2.1979,0.443,kpno_solar_atlas
11439.1243,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.751,2.845,0.467,kpno_solar_atlas
11475.7648,REFUSED,UNIQUE,AMBIGUOUS,NIR,-1.228,5.5392,0.072,kpno_solar_atlas
11489.5576,REFUSED,UNIQUE,ABSENT,NIR,0.238,6.3192,0.197,kpno_solar_atlas
11501.6552,REFUSED,UNIQUE,ABSENT,NIR,-0.384,6.3207,0.083,kpno_solar_atlas
11511.7684,REFUSED,UNIQUE,ABSENT,NIR,-0.533,6.3207,0.064,kpno_solar_atlas
11522.2128,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.263,3.2367,0.115,kpno_solar_atlas
11522.9259,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.176,5.6531,0.064,kpno_solar_atlas
11572.5229,REFUSED,UNIQUE,ABSENT,NIR,0.322,6.28,0.222,kpno_solar_atlas
11585.2081,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.31,5.6531,0.05,kpno_solar_atlas
11589.9197,REFUSED,UNIQUE,ABSENT,NIR,-0.373,6.28,0.091,kpno_solar_atlas
11593.5876,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.448,2.2227,0.473,kpno_solar_atlas
11594.5463,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.883,4.58,0.123,kpno_solar_atlas
11607.5723,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.009,2.1979,0.529,kpno_solar_atlas
11620.5654,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.263,5.6424,0.056,kpno_solar_atlas
11638.2601,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.214,2.1759,0.508,kpno_solar_atlas
11662.6771,REFUSED,UNIQUE,ABSENT,NIR,-0.172,6.2865,0.127,kpno_solar_atlas
11669.6378,NO-VALD-LEVELS,,,NIR,-0.118,4.5585,0.128,kpno_solar_atlas
11689.9724,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.068,2.2227,0.518,kpno_solar_atlas
11699.9445,REFUSED,UNIQUE,ABSENT,NIR,-0.622,6.1189,0.08,kpno_solar_atlas
11725.5619,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.096,5.6989,0.072,kpno_solar_atlas
11783.2646,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.574,2.8316,0.491,kpno_solar_atlas
11827.1424,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.762,4.5844,0.151,kpno_solar_atlas
11829.8561,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.332,5.6207,0.053,kpno_solar_atlas
11854.2383,NO-VALD-LEVELS,,,NIR,-1.306,5.6826,0.05,kpno_solar_atlas
11882.844,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.668,2.1979,0.563,kpno_solar_atlas
11884.0828,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.083,2.2227,0.517,kpno_solar_atlas
11890.4872,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.544,5.5392,0.207,kpno_solar_atlas
11896.0265,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.268,5.6424,0.058,kpno_solar_atlas
11970.4973,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.025,4.607,0.096,kpno_solar_atlas
11973.0463,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.483,2.1759,0.583,kpno_solar_atlas
11990.3861,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.587,5.3933,0.051,kpno_solar_atlas
12005.397,REFUSED,UNIQUE,AMBIGUOUS,NIR,-0.533,5.5869,0.201,kpno_solar_atlas
12005.5469,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.918,5.6207,0.116,kpno_solar_atlas
12010.5778,REFUSED,UNIQUE,AMBIGUOUS,NIR,-1.166,5.6925,0.066,kpno_solar_atlas
12053.0822,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.543,4.5585,0.209,kpno_solar_atlas
12115.7561,REFUSED,UNIQUE,ABSENT,NIR,-0.96,6.0172,0.054,kpno_solar_atlas
12119.4941,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.635,4.5931,0.183,kpno_solar_atlas
12190.0982,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.33,3.6352,0.25,kpno_solar_atlas
12213.3362,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.845,4.6382,0.128,kpno_solar_atlas
