wavelength_air_A,model_flux
8.210619999999928041e+03,9.951671709280835998e-01
8.210621999999928448e+03,9.950964421005130678e-01
8.210623999999927037e+03,9.950252254236728877e-01
8.210625999999927444e+03,9.949535836134033584e-01
8.210627999999926033e+03,9.948815829485856410e-01
8.210629999999926440e+03,9.948092932529806198e-01
8.210631999999925029e+03,9.947367878698967214e-01
8.210633999999925436e+03,9.946641436182513951e-01
8.210635999999924024e+03,9.945914407218078290e-01
8.210637999999924432e+03,9.945187626978712059e-01
8.210639999999923020e+03,9.944461961963788621e-01
8.210641999999923428e+03,9.943738307959256728e-01
8.210643999999922016e+03,9.943017587792745138e-01
8.210645999999922424e+03,9.942300749147801042e-01
8.210647999999921012e+03,9.941588762479046659e-01
8.210649999999921420e+03,9.940882618987937347e-01
8.210651999999920008e+03,9.940183328507731231e-01
8.210653999999920416e+03,9.939491917325233850e-01
8.210655999999919004e+03,9.938809425977440659e-01
8.210657999999919411e+03,9.938136907084901273e-01
8.210659999999918000e+03,9.937475423049916268e-01
8.210661999999918407e+03,9.936826043183631940e-01
8.210663999999916996e+03,9.936189839803416524e-01
8.210665999999917403e+03,9.935567883253452193e-01
8.210667999999915992e+03,9.934961236742899660e-01
8.210669999999916399e+03,9.934370952141028388e-01
8.210671999999914988e+03,9.933798067436195867e-01
8.210673999999915395e+03,9.933243605175612334e-01
8.210675999999913984e+03,9.932708570887305299e-01
8.210677999999914391e+03,9.932193950750483058e-01
8.210679999999912980e+03,9.931700708782151832e-01
8.210681999999913387e+03,9.931229783999330207e-01
8.210683999999911975e+03,9.930782087771454769e-01
8.210685999999912383e+03,9.930358500974971747e-01
8.210687999999910971e+03,9.929959870217555107e-01
8.210689999999911379e+03,9.929587002839638243e-01
8.210691999999909967e+03,9.929240661162256343e-01
8.210693999999910375e+03,9.928921557600161041e-01
8.210695999999908963e+03,9.928630351904087492e-01
8.210697999999909371e+03,9.928367650906716468e-01
8.210699999999907959e+03,9.928134009323854592e-01
8.210701999999908367e+03,9.927929930160974692e-01
8.210703999999906955e+03,9.927755863940358472e-01
8.210705999999907363e+03,9.927612207316369730e-01
8.210707999999905951e+03,9.927499301762651163e-01
8.210709999999906358e+03,9.927417432446713486e-01
8.210711999999904947e+03,9.927366826671459865e-01
8.210713999999905354e+03,9.927347651108453519e-01
8.210715999999903943e+03,9.927360008103294220e-01
8.210717999999904350e+03,9.927403932204427184e-01
8.210719999999902939e+03,9.927479388758869705e-01
8.210721999999903346e+03,9.927586275128754689e-01
8.210723999999901935e+03,9.927724424000740067e-01
8.210725999999902342e+03,9.927893606945813465e-01
8.210727999999900931e+03,9.928093537057582907e-01
8.210729999999901338e+03,9.928323870368833681e-01
8.210731999999899926e+03,9.928584206816531976e-01
8.210733999999900334e+03,9.928874091382552391e-01
8.210735999999898922e+03,9.929193015305960435e-01
8.210737999999899330e+03,9.929540416690424420e-01
8.210739999999897918e+03,9.929915679938547957e-01
8.210741999999898326e+03,9.930318134783544526e-01
8.210743999999896914e+03,9.930747056353473878e-01
8.210745999999897322e+03,9.931201667714366632e-01
8.210747999999895910e+03,9.931681144536955719e-01
8.210749999999896318e+03,9.932184620640784889e-01
8.210751999999894906e+03,9.932711192800555144e-01
8.210753999999895314e+03,9.933259924330317681e-01
8.210755999999893902e+03,9.933829847724183759e-01
8.210757999999894309e+03,9.934419967080398983e-01
8.210759999999892898e+03,9.935029260704267839e-01
8.210761999999893305e+03,9.935656683693490088e-01
8.210763999999891894e+03,9.936301170068658761e-01
8.210765999999892301e+03,9.936961634195018434e-01
8.210767999999890890e+03,9.937636972211782993e-01
8.210769999999891297e+03,9.938326064436463492e-01
8.210771999999889886e+03,9.939027779397521245e-01
8.210773999999890293e+03,9.939740978803028870e-01
8.210775999999888882e+03,9.940464522329686137e-01
8.210777999999889289e+03,9.941197271367107069e-01
8.210779999999887877e+03,9.941938091758225626e-01
8.210781999999888285e+03,9.942685855981066023e-01
8.210783999999886873e+03,9.943439445189287129e-01
8.210785999999887281e+03,9.944197751294306942e-01
8.210787999999885869e+03,9.944959679079591330e-01
8.210789999999886277e+03,9.945724148380494789e-01
8.210791999999884865e+03,9.946490096336960685e-01
8.210793999999885273e+03,9.947256479783652683e-01
8.210795999999883861e+03,9.948022277680441672e-01
8.210797999999884269e+03,9.948786493438698253e-01
8.210799999999882857e+03,9.949548156947537469e-01
8.210801999999883265e+03,9.950306326191007411e-01
8.210803999999881853e+03,9.951060088488353772e-01
8.210805999999882260e+03,9.951808561420937282e-01
8.210807999999880849e+03,9.952550893526972420e-01
8.210809999999881256e+03,9.953286264805445427e-01
8.210811999999879845e+03,9.954013887181368814e-01
