key,species,wl,gf_ll,gf_synth,dgf,ep,n_comp_ll,n_comp_synth,nist_grade,ll_source,synth_ref,hfs
"(6, 1)",C I,6007.18,-2.062,-2.062,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6010.68,-1.938,-1.938,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6013.185217926166,-1.1563854683256793,-1.1563854683256793,0.0,8.6472,2,2,,VALD3,NIST10,True
"(6, 1)",C I,6014.84,-1.584,-1.584,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6078.39,-2.274,-2.273999937943928,6.205607183673578e-08,8.8507,1,2,,VALD3,NIST10,True
"(6, 1)",C I,6107.66,-1.933,-1.933,0.0,8.8507,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6108.52,-2.508,-2.508,0.0,8.8466,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6115.84,-2.507,-2.507,0.0,8.8481,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6120.81,-2.411,-2.411,0.0,8.8507,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6292.36,-2.209,-2.209,0.0,9.0026,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6397.97,-1.778,-1.778,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6413.55,-2.001,-2.001,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6417.54,-2.478,-2.478,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6568.73,-2.168,-2.168,0.0,9.0026,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6586.27,-2.043,-2.043,0.0,9.0026,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6587.61,-1.003,-1.021,-0.018000000000000016,8.5371,1,1,,VALD3,1993A&AS..,False
"(6, 1)",C I,6591.46,-2.41,-2.41,0.0,8.8466,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6595.24,-2.41,-2.41,0.0,8.8481,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6602.41,-1.382,-1.382,0.0,8.8481,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6605.7699999999995,-2.314,-2.314,0.0,8.8507,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6611.35,-1.837,-1.837,0.0,8.8507,1,1,,VALD3,NIST10,False
