element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,6157.7275,kpno_solar_atlas,71.6916448150027,"PROFILE-FIT (voigt); gap 0.923 A; model integrated; chi2_red=0.0001762; sigma_fit=0.0338 A (init 0.0353, floor 0.0052); ew_err=1.20 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",,-4.933951921531822,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6159.3729,kpno_solar_atlas,16.231627932090966,"PROFILE-FIT (voigt); gap 1.374 A; model integrated; chi2_red=1.734e-05; sigma_fit=0.0238 A (init 0.0353, floor 0.0052); ew_err=0.74 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612,lm0616",,-5.579174418823094,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6165.3594,kpno_solar_atlas,49.745291291952526,"PROFILE-FIT (voigt); gap 0.813 A; model integrated; chi2_red=2.76e-05; sigma_fit=0.0374 A (init 0.0354, floor 0.0052); ew_err=14.26 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0616",7.527625,-5.093206419894677,ENGINE-A,True,,,,,,True,,,,
Fe,I,6173.334,kpno_solar_atlas,74.01282783679628,"PROFILE-FIT (voigt); gap 2.027 A; model integrated; chi2_red=2.702e-05; sigma_fit=0.0406 A (init 0.0354, floor 0.0052); ew_err=0.51 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0616",,-4.921212776742326,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6180.2018,kpno_solar_atlas,66.40472808520833,"PROFILE-FIT (voigt); gap 2.945 A; model integrated; chi2_red=8.004e-05; sigma_fit=0.0260 A (init 0.0354, floor 0.0052); ew_err=0.85 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0616",,-4.96880365350395,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6185.6927,kpno_solar_atlas,22.02348348280777,"PROFILE-FIT (voigt); gap 0.997 A; model integrated; chi2_red=0.0005684; sigma_fit=0.0094 A (init 0.0355, floor 0.0053); ew_err=6.66 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0616",,-5.448502327831562,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",ABUNDANCE_OUTLIER,owed,"764,783,782,809",flag,True,,,,
Fe,I,6187.9888,kpno_solar_atlas,53.06138460699017,"PROFILE-FIT (voigt); gap 1.028 A; model integrated; chi2_red=7.716e-05; sigma_fit=0.0389 A (init 0.0355, floor 0.0053); ew_err=2.29 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0616",,-5.066770940508822,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6216.3553,kpno_solar_atlas,43.88847049144261,"PROFILE-FIT (voigt); gap 0.035 A; model integrated; chi2_red=0.0001972; sigma_fit=0.0296 A (init 0.0356, floor 0.0053); ew_err=9.77 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0620",,-5.151185382905782,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,6226.7338,kpno_solar_atlas,33.682534831981364,"PROFILE-FIT (voigt); gap 2.202 A; model integrated; chi2_red=4.436e-05; sigma_fit=0.0331 A (init 0.0357, floor 0.0053); ew_err=1.98 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0620",7.579359375,-5.266855531962046,ENGINE-A,True,,,,,,True,,,,
Fe,I,6229.2255,kpno_solar_atlas,44.18226438484346,"PROFILE-FIT (voigt); gap 0.841 A; model integrated; chi2_red=3.711e-05; sigma_fit=0.0307 A (init 0.0357, floor 0.0053); ew_err=4.31 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0620",,-5.149186082632485,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
