# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22855.49601,1.010517,187.0099
22855.56558,1.006455,188.5848
22855.63515,0.997062,189.2262
22855.70471,1.014157,190.2256
22855.77428,1.000689,190.0426
22855.84384,1.000903,190.8230
22855.91340,1.000703,191.3567
22855.98296,0.996924,192.4048
22856.05252,0.993135,191.3588
22856.12208,0.986349,192.9034
22856.19163,0.982332,191.6783
22856.26118,0.983819,191.9673
22856.33074,0.978642,192.5039
22856.40029,0.992225,192.3472
22856.46984,0.993152,191.4583
22856.53939,0.997201,193.1580
22856.60893,0.998676,191.9859
22856.67848,1.004042,192.0853
22856.74802,0.997970,192.0471
22856.81756,0.992137,191.9653
22856.88710,0.993675,191.5429
22856.95664,0.976439,191.2691
22857.02618,0.961046,190.6908
22857.09571,0.948361,190.9740
22857.16525,0.946959,190.6501
22857.23478,0.951945,191.9364
22857.30431,0.964445,191.9974
22857.37384,0.957469,192.5224
22857.44337,0.963248,192.8138
22857.51290,0.969451,193.2624
22857.58242,0.955550,192.8852
22857.65195,0.945715,192.3703
22857.72147,0.939716,192.5742
22857.79099,0.933372,191.0744
22857.86051,0.935399,189.8100
22857.93003,0.938852,188.5807
22857.99955,0.938767,188.5998
22858.06906,0.950731,189.0567
22858.13857,0.963302,190.4445
22858.20809,0.979705,189.8629
22858.27760,0.986463,190.3916
22858.34711,0.994367,191.0750
22858.41661,0.994610,189.8269
22858.48612,0.992237,188.8733
22858.55562,0.992665,188.4558
22858.62513,0.992228,187.8070
22858.69463,0.993222,188.0477
22858.76413,0.994509,188.4180
22858.83363,0.994961,188.5865
22858.90312,0.995701,189.6597
22858.97262,0.991784,190.9580
22859.04211,1.005362,192.5358
22859.11161,1.001419,193.2030
22859.18110,0.998742,193.9597
22859.25059,1.004087,194.0160
22859.32008,1.000629,193.9702
22859.38956,1.003546,193.9564
22859.45905,0.993963,193.9063
22859.52853,0.997834,193.9698
22859.59801,0.994741,194.2123
22859.66749,1.000941,194.2360
22859.73697,0.996231,194.3385
22859.80645,0.994830,194.0376
22859.87593,0.997838,195.2534
22859.94540,0.995577,194.9568
22860.01488,0.992937,194.8963
22860.08435,1.009248,195.1931
22860.15382,1.000928,195.0105
22860.22329,1.008548,195.1677
22860.29275,1.003196,194.3389
22860.36222,1.002345,194.6473
22860.43168,0.999837,194.4544
