2M14311520-6145468 -0.02  0.04 -0.05  0.07  0.13  0.07  0.07 -0.02  0.05   0.12 -9.99  0.05
2M14322072-6215506 -0.17 -0.02 -0.08  0.01 -0.0  -9.99 -0.09 -0.08 -0.06  -9.99 -0.2  -0.08
2M14332169-6302108 -0.12  0.05 -0.02  0.09  0.12 -9.99  0.02 -0.01  0.06  -9.99 -0.04  0.02
2M14332869-6211255 -0.11 -0.0  -0.14  0.02  0.04  0.06 -0.17 -0.07 -0.02  -9.99 -0.18 -0.06
2M14333081-6221450 -0.06  0.03 -0.05  0.03  0.05  0.08  0.01  0.0   0.04   0.1  -9.99  0.02
2M14333688-6232028 -0.01  0.07 -0.05  0.02  0.05  0.1  -0.05  0.04  0.04   0.11 -0.06  0.03
2M14345114-6225509 -0.0   0.12  0.02  0.11  0.15  0.11 -9.99  0.11 -9.99   0.03 -0.09  0.06
2M14360142-6228561 -0.04  0.08 -0.01  0.08  0.11  0.22  0.06  0.04  0.11  -9.99 -0.14  0.05
2M14360935-6309399  0.0   0.12 -0.03  0.06  0.16  0.2   0.1   0.12  0.1    0.13 -9.99  0.1
2M14371958-6251344 -0.12  0.0  -0.09  0.0   0.01  0.03 -0.08 -0.1  -0.04  -0.17 -0.16 -0.06
2M14375085-6237526 -0.12 -0.06 -0.12  0.03  0.03 -9.99 -0.1  -0.02  0.06  -9.99 -0.13 -0.05
2M15161949+0244516  0.07  0.19  0.14  0.24  0.17 -9.99  0.13  0.13  0.19  -9.99 -9.99  0.16
2M17584888-2351011 -0.12  0.02 -0.15  0.01  0.09  0.03 -0.12 -0.01  0.03  -0.04 -9.99 -0.03
2M18103303-1626220  0.05  0.17  0.02  0.08  0.14  0.21  0.12  0.14 -9.99   0.19  0.02  0.11
2M18142346-2136410  0.02  0.12 -0.0   0.05  0.12  0.1   0.06  0.09  0.09   0.06 -0.04  0.06
2M18191551-1726223 -0.0   0.1  -0.01  0.07  0.1   0.1   0.07  0.07  0.11   0.08 -0.11  0.05
2M18522108-3022143  0.16  0.24  0.14  0.26  0.27  0.38  0.13  0.16  0.25   0.12 -9.99  0.21
HD132813           -0.02  0.02 -0.1   0.12  0.19  0.28  0.13  0.12  0.12   0.13  0.02  0.09
HD175588           -0.03  0.07 -0.1   0.13  0.18  0.22  0.16  0.19  0.21  -9.99 -9.99  0.12
HD89758            -0.08  0.06 -0.06  0.09  0.04  0.04  0.01 -0.03 -0.0   -9.99 -9.99  0.01
HD224935           -0.07  0.04 -0.1  -9.99  0.12  0.14  0.21  0.18 -9.99  -9.99 -0.0   0.06
HD101153           -0.06  0.02 -0.15 -9.99  0.13  0.03 -9.99 -9.99 -9.99   0.2   0.05  0.03
HIP54396           -0.05  0.03 -0.09  0.13  0.13  0.12  0.34 -9.99  0.14  -9.99 -9.99  0.09
