wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
4247.77250,4248.96850,0.75027,180.15000
4247.78260,4248.97860,0.80558,193.43000
4247.79270,4248.98870,0.85226,204.64000
4247.80240,4248.99840,0.88871,213.39000
4247.81250,4249.00850,0.91547,219.82000
4247.82230,4249.01830,0.93405,224.28000
4247.83230,4249.02830,0.94612,227.18000
4247.84240,4249.03840,0.95354,228.96000
4247.85220,4249.04820,0.95777,229.97000
4247.86220,4249.05820,0.95957,230.40000
4247.87230,4249.06830,0.95995,230.50000
4247.88210,4249.07810,0.96057,230.64000
4247.89220,4249.08820,0.96192,230.97000
4247.90190,4249.09790,0.96298,231.22000
4247.91200,4249.10800,0.96307,231.24000
4247.92210,4249.11810,0.96215,231.02000
4247.93180,4249.12780,0.95941,230.36000
4247.94190,4249.13790,0.95338,228.91000
4247.95200,4249.14800,0.94314,226.46000
4247.96170,4249.15770,0.92814,222.85000
4247.97180,4249.16780,0.90808,218.04000
4247.98160,4249.17760,0.88329,212.08000
4247.99160,4249.18760,0.85480,205.24000
4248.00170,4249.19770,0.82429,197.92000
4248.01150,4249.20750,0.79427,190.71000
4248.02150,4249.21750,0.76720,184.21000
4248.03160,4249.22760,0.74493,178.86000
4248.04140,4249.23740,0.72923,175.09000
4248.05150,4249.24750,0.72130,173.19000
4248.06120,4249.25720,0.72105,173.13000
4248.07130,4249.26730,0.72822,174.85000
4248.08140,4249.27740,0.74319,178.44000
4248.09110,4249.28720,0.76521,183.73000
4248.10120,4249.29730,0.79125,189.98000
4248.11130,4249.30740,0.81681,196.12000
4248.12100,4249.31710,0.83675,200.90000
4248.13110,4249.32720,0.84580,203.08000
4248.14090,4249.33700,0.83902,201.45000
4248.15090,4249.34700,0.81110,194.74000
4248.16100,4249.35710,0.75697,181.75000
4248.17080,4249.36690,0.67587,162.27000
4248.18080,4249.37690,0.57384,137.78000
4248.19090,4249.38700,0.46235,111.01000
4248.20070,4249.39680,0.35655,85.61000
4248.21080,4249.40690,0.27203,65.31000
4248.22080,4249.41690,0.21926,52.64000
4248.23060,4249.42670,0.20282,48.70000
4248.24070,4249.43680,0.22532,54.10000
4248.25040,4249.44650,0.28362,68.10000
4248.26050,4249.45660,0.36044,86.54000
4248.27060,4249.46670,0.43015,103.28000
4248.28030,4249.47640,0.47713,114.56000
4248.29040,4249.48650,0.50460,121.15000
4248.30050,4249.49660,0.52682,126.48000
4248.31020,4249.50630,0.55650,133.61000
4248.32030,4249.51640,0.59725,143.39000
4248.33010,4249.52620,0.64249,154.26000
4248.34010,4249.53620,0.67980,163.21000
4248.35020,4249.54630,0.69658,167.24000
4248.36000,4249.55610,0.68361,164.13000
4248.37010,4249.56620,0.63881,153.37000
4248.38010,4249.57620,0.57109,137.11000
4248.38990,4249.58600,0.49924,119.86000
4248.40000,4249.59610,0.44452,106.72000
4248.41000,4249.60610,0.42163,101.23000
4248.41980,4249.61590,0.43313,103.99000
4248.42990,4249.62600,0.47082,113.04000
4248.43960,4249.63570,0.52204,125.33000
4248.44970,4249.64580,0.57508,138.07000
4248.45980,4249.65590,0.62042,148.95000
4248.46950,4249.66560,0.65049,156.17000
4248.47960,4249.67580,0.66085,158.66000
4248.48970,4249.68590,0.65192,156.51000
4248.49950,4249.69570,0.62939,151.10000
4248.50950,4249.70570,0.60248,144.64000
4248.51960,4249.71580,0.58118,139.53000
4248.52940,4249.72560,0.57376,137.75000
4248.53940,4249.73560,0.58501,140.45000
4248.54920,4249.74540,0.61520,147.70000
4248.55930,4249.75550,0.66047,158.56000
4248.56930,4249.76550,0.71430,171.49000
4248.57910,4249.77530,0.76916,184.66000
4248.58920,4249.78540,0.81820,196.43000
4248.59920,4249.79540,0.85639,205.60000
4248.60900,4249.80520,0.88015,211.30000
4248.61910,4249.81530,0.88640,212.80000
4248.62920,4249.82540,0.87239,209.44000
4248.63890,4249.83510,0.83646,200.81000
4248.64900,4249.84520,0.78003,187.27000
4248.65880,4249.85500,0.70997,170.45000
4248.66880,4249.86500,0.63702,152.93000
4248.67890,4249.87510,0.56969,136.77000
