wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3870.90970,3872.00710,0.29493,61.66000
3870.91430,3872.01170,0.30982,64.77000
3870.91890,3872.01630,0.32533,68.02000
3870.92320,3872.02060,0.34047,71.18000
3870.92770,3872.02510,0.35425,74.06000
3870.93230,3872.02970,0.36588,76.49000
3870.93660,3872.03400,0.37491,78.38000
3870.94120,3872.03860,0.38128,79.71000
3870.94570,3872.04310,0.38528,80.55000
3870.95000,3872.04740,0.38738,80.99000
3870.95460,3872.05200,0.38801,81.12000
3870.95890,3872.05630,0.38741,80.99000
3870.96340,3872.06080,0.38555,80.61000
3870.96800,3872.06540,0.38217,79.90000
3870.97230,3872.06970,0.37695,78.81000
3870.97690,3872.07430,0.36966,77.28000
3870.98140,3872.07880,0.36039,75.34000
3870.98570,3872.08310,0.34956,73.08000
3870.99030,3872.08770,0.33788,70.64000
3870.99460,3872.09200,0.32627,68.21000
3870.99910,3872.09650,0.31567,66.00000
3871.00370,3872.10110,0.30687,64.16000
3871.00800,3872.10540,0.30045,62.81000
3871.01260,3872.11000,0.29672,62.03000
3871.01720,3872.11460,0.29572,61.82000
3871.02140,3872.11880,0.29723,62.14000
3871.02600,3872.12340,0.30083,62.89000
3871.03060,3872.12800,0.30595,63.96000
3871.03490,3872.13230,0.31195,65.22000
3871.03940,3872.13680,0.31821,66.53000
3871.04370,3872.14110,0.32421,67.78000
3871.04830,3872.14570,0.32957,68.90000
3871.05290,3872.15030,0.33405,69.84000
3871.05710,3872.15450,0.33756,70.57000
3871.06170,3872.15910,0.34013,71.11000
3871.06630,3872.16370,0.34181,71.46000
3871.07060,3872.16800,0.34271,71.65000
3871.07510,3872.17250,0.34287,71.68000
3871.07940,3872.17680,0.34227,71.56000
3871.08400,3872.18140,0.34080,71.25000
3871.08860,3872.18600,0.33826,70.72000
3871.09280,3872.19020,0.33448,69.93000
3871.09740,3872.19480,0.32936,68.86000
3871.10200,3872.19940,0.32303,67.53000
3871.10630,3872.20370,0.31582,66.03000
3871.11080,3872.20820,0.30823,64.44000
3871.11540,3872.21280,0.30087,62.90000
3871.11970,3872.21710,0.29428,61.52000
3871.12430,3872.22170,0.28888,60.39000
3871.12850,3872.22590,0.28487,59.55000
