wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3350.77760,3351.74080,0.93004,148.23000
3350.78160,3351.74480,0.92316,147.13000
3350.78550,3351.74870,0.91530,145.88000
3350.78950,3351.75270,0.90651,144.48000
3350.79350,3351.75670,0.89686,142.94000
3350.79740,3351.76060,0.88637,141.27000
3350.80140,3351.76460,0.87510,139.47000
3350.80540,3351.76860,0.86308,137.56000
3350.80930,3351.77250,0.85040,135.54000
3350.81330,3351.77650,0.83722,133.44000
3350.81730,3351.78050,0.82378,131.30000
3350.82120,3351.78440,0.81047,129.18000
3350.82520,3351.78840,0.79774,127.15000
3350.82920,3351.79240,0.78609,125.29000
3350.83310,3351.79630,0.77606,123.69000
3350.83710,3351.80030,0.76818,122.44000
3350.84110,3351.80430,0.76285,121.59000
3350.84500,3351.80820,0.76039,121.20000
3350.84900,3351.81220,0.76093,121.28000
3350.85300,3351.81620,0.76440,121.84000
3350.85690,3351.82010,0.77056,122.82000
3350.86090,3351.82410,0.77902,124.17000
3350.86490,3351.82810,0.78921,125.79000
3350.86880,3351.83200,0.80054,127.60000
3350.87280,3351.83600,0.81233,129.48000
3350.87680,3351.84000,0.82393,131.33000
3350.88070,3351.84390,0.83473,133.05000
3350.88470,3351.84790,0.84413,134.55000
3350.88870,3351.85190,0.85155,135.73000
3350.89260,3351.85580,0.85647,136.52000
3350.89660,3351.85980,0.85840,136.83000
3350.90060,3351.86380,0.85696,136.60000
3350.90450,3351.86770,0.85198,135.80000
3350.90850,3351.87180,0.84344,134.44000
3350.91250,3351.87580,0.83164,132.56000
3350.91640,3351.87970,0.81707,130.24000
3350.92040,3351.88370,0.80049,127.60000
3350.92440,3351.88770,0.78281,124.78000
3350.92830,3351.89160,0.76510,121.96000
3350.93230,3351.89560,0.74844,119.30000
3350.93630,3351.89960,0.73389,116.98000
3350.94020,3351.90350,0.72236,115.15000
3350.94420,3351.90750,0.71454,113.90000
3350.94820,3351.91150,0.71086,113.32000
3350.95210,3351.91540,0.71147,113.41000
3350.95610,3351.91940,0.71623,114.17000
3350.96010,3351.92340,0.72480,115.54000
3350.96410,3351.92740,0.73665,117.43000
3350.96800,3351.93130,0.75107,119.73000
3350.97170,3351.93500,0.76733,122.32000
3350.97560,3351.93890,0.78464,125.08000
3350.97960,3351.94290,0.80225,127.89000
3350.98360,3351.94690,0.81947,130.63000
3350.98750,3351.95080,0.83568,133.22000
3350.99150,3351.95480,0.85028,135.55000
3350.99550,3351.95880,0.86269,137.52000
3350.99950,3351.96280,0.87230,139.06000
3351.00340,3351.96670,0.87849,140.04000
3351.00740,3351.97070,0.88058,140.38000
3351.01140,3351.97470,0.87796,139.96000
3351.01530,3351.97860,0.87008,138.71000
3351.01930,3351.98260,0.85647,136.54000
3351.02330,3351.98660,0.83687,133.41000
