wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7464.88460,7466.94050,0.99782,131.36000
7464.89440,7466.95040,0.99714,131.27000
7464.90480,7466.96080,0.99724,131.28000
7464.91460,7466.97060,0.99817,131.40000
7464.92490,7466.98090,0.99828,131.42000
7464.93470,7466.99070,0.99794,131.37000
7464.94510,7467.00110,0.99815,131.40000
7464.95540,7467.01140,0.99796,131.37000
7464.96520,7467.02120,0.99718,131.27000
7464.97560,7467.03160,0.99733,131.29000
7464.98540,7467.04140,0.99797,131.37000
7464.99570,7467.05170,0.99745,131.30000
7465.00610,7467.06210,0.99687,131.29000
7465.01590,7467.07190,0.99763,131.39000
7465.02620,7467.08220,0.99806,131.44000
7465.03600,7467.09200,0.99705,131.31000
7465.04640,7467.10240,0.99632,131.21000
7465.05620,7467.11220,0.99668,131.26000
7465.06650,7467.12250,0.99707,131.31000
7465.07690,7467.13290,0.99704,131.31000
7465.08670,7467.14270,0.99679,131.27000
7465.09700,7467.15300,0.99647,131.23000
7465.10680,7467.16280,0.99648,131.23000
7465.11720,7467.17320,0.99663,131.25000
7465.12700,7467.18300,0.99648,131.23000
7465.13730,7467.19330,0.99643,131.22000
7465.14770,7467.20370,0.99670,131.26000
7465.15750,7467.21350,0.99668,131.26000
7465.16780,7467.22380,0.99671,131.26000
7465.17760,7467.23360,0.99714,131.32000
7465.18800,7467.24400,0.99689,131.28000
7465.19840,7467.25440,0.99591,131.15000
7465.20810,7467.26410,0.99577,131.14000
7465.21850,7467.27450,0.99616,131.19000
7465.22830,7467.28430,0.99577,131.14000
7465.23860,7467.29460,0.99536,131.08000
7465.24840,7467.30440,0.99575,131.13000
7465.25880,7467.31480,0.99599,131.16000
7465.26920,7467.32530,0.99596,131.16000
7465.27890,7467.33500,0.99635,131.21000
7465.28930,7467.34540,0.99644,131.22000
7465.29910,7467.35520,0.99589,131.15000
7465.30940,7467.36550,0.99604,131.17000
7465.31920,7467.37530,0.99701,131.30000
7465.32960,7467.38570,0.99720,131.32000
7465.34000,7467.39610,0.99649,131.23000
7465.34970,7467.40580,0.99610,131.18000
7465.36010,7467.41620,0.99616,131.18000
7465.36990,7467.42600,0.99599,131.16000
7465.38020,7467.43630,0.99580,131.13000
7465.39060,7467.44670,0.99622,131.19000
7465.40040,7467.45650,0.99703,131.30000
7465.41080,7467.46690,0.99739,131.34000
7465.42050,7467.47660,0.99722,131.32000
7465.43090,7467.48700,0.99707,131.30000
7465.44070,7467.49680,0.99700,131.29000
7465.45100,7467.50710,0.99692,131.28000
7465.46140,7467.51750,0.99712,131.31000
7465.47120,7467.52730,0.99734,131.33000
7465.48160,7467.53770,0.99710,131.30000
7465.49130,7467.54740,0.99670,131.25000
7465.50170,7467.55780,0.99638,131.21000
7465.51210,7467.56820,0.99599,131.16000
7465.52190,7467.57800,0.99600,131.16000
7465.53220,7467.58830,0.99655,131.23000
7465.54200,7467.59810,0.99657,131.23000
7465.55240,7467.60850,0.99603,131.16000
7465.56210,7467.61820,0.99606,131.16000
7465.57250,7467.62860,0.99641,131.21000
7465.58290,7467.63900,0.99625,131.19000
7465.59270,7467.64880,0.99593,131.15000
7465.60300,7467.65910,0.99570,131.12000
7465.61280,7467.66890,0.99558,131.10000
7465.62320,7467.67930,0.99599,131.15000
7465.63290,7467.68900,0.99620,131.18000
7465.64330,7467.69950,0.99526,131.06000
7465.65370,7467.70990,0.99447,130.95000
7465.66350,7467.71970,0.99459,130.97000
7465.67380,7467.73000,0.99415,130.91000
7465.68360,7467.73980,0.99339,130.81000
7465.69400,7467.75020,0.99345,130.82000
7465.70430,7467.76050,0.99251,130.69000
7465.71410,7467.77030,0.98994,130.35000
7465.72450,7467.78070,0.98864,130.18000
7465.73430,7467.79050,0.98868,130.19000
7465.74460,7467.80080,0.98729,130.00000
7465.75440,7467.81060,0.98560,129.78000
7465.76480,7467.82100,0.98566,129.79000
7465.77510,7467.83130,0.98511,129.72000
7465.78490,7467.84110,0.98269,129.40000
7465.79530,7467.85150,0.98138,129.22000
7465.80510,7467.86130,0.98229,129.34000
7465.81540,7467.87160,0.98353,129.51000
7465.82580,7467.88200,0.98469,129.66000
7465.83560,7467.89180,0.98595,129.82000
7465.84590,7467.90210,0.98664,129.92000
7465.85570,7467.91190,0.98744,130.02000
7465.86610,7467.92230,0.98951,130.29000
7465.87590,7467.93210,0.99150,130.55000
7465.88620,7467.94240,0.99194,130.61000
7465.89660,7467.95280,0.99196,130.61000
7465.90640,7467.96260,0.99256,130.69000
7465.91670,7467.97290,0.99287,130.73000
7465.92650,7467.98270,0.99282,130.73000
7465.93690,7467.99310,0.99355,130.82000
7465.94670,7468.00290,0.99467,130.97000
7465.95700,7468.01320,0.99478,130.98000
7465.96740,7468.02360,0.99441,130.93000
7465.97720,7468.03340,0.99475,130.98000
7465.98750,7468.04370,0.99505,131.02000
7465.99730,7468.05350,0.99482,130.99000
7466.00770,7468.06400,0.99506,131.02000
7466.01810,7468.07440,0.99542,131.07000
7466.02780,7468.08410,0.99474,130.98000
7466.03820,7468.09450,0.99437,130.93000
7466.04800,7468.10430,0.99553,131.08000
7466.05830,7468.11460,0.99621,131.17000
7466.06810,7468.12440,0.99541,131.06000
7466.07850,7468.13480,0.99539,131.06000
7466.08890,7468.14520,0.99662,131.22000
7466.09860,7468.15490,0.99695,131.27000
7466.10900,7468.16530,0.99636,131.19000
7466.11880,7468.17510,0.99642,131.20000
7466.12920,7468.18550,0.99677,131.24000
7466.13950,7468.19580,0.99681,131.25000
7466.14930,7468.20560,0.99709,131.28000
7466.15970,7468.21600,0.99719,131.30000
7466.16940,7468.22570,0.99650,131.20000
7466.17980,7468.23610,0.99615,131.16000
7466.18960,7468.24590,0.99661,131.22000
7466.20000,7468.25630,0.99671,131.23000
7466.21030,7468.26660,0.99635,131.18000
7466.22010,7468.27640,0.99606,131.14000
7466.23050,7468.28680,0.99543,131.06000
7466.24020,7468.29650,0.99494,131.00000
7466.25060,7468.30690,0.99541,131.06000
7466.26100,7468.31730,0.99533,131.05000
7466.27080,7468.32710,0.99387,130.85000
7466.28110,7468.33740,0.99356,130.81000
7466.29090,7468.34720,0.99509,131.02000
7466.30130,7468.35760,0.99551,131.07000
7466.31100,7468.36730,0.99449,130.94000
7466.32140,7468.37770,0.99449,130.94000
7466.33180,7468.38810,0.99510,131.02000
7466.34160,7468.39790,0.99483,130.98000
7466.35190,7468.40820,0.99471,130.96000
7466.36170,7468.41800,0.99517,131.02000
7466.37210,7468.42840,0.99466,130.96000
7466.38240,7468.43880,0.99327,130.77000
7466.39220,7468.44860,0.99225,130.64000
7466.40260,7468.45900,0.99138,130.52000
7466.41240,7468.46880,0.99017,130.36000
7466.42270,7468.47910,0.98880,130.18000
7466.43250,7468.48890,0.98636,129.86000
7466.44290,7468.49930,0.98238,129.34000
7466.45320,7468.50960,0.97869,128.85000
7466.46300,7468.51940,0.97622,128.53000
7466.47340,7468.52980,0.97299,128.10000
7466.48320,7468.53960,0.96813,127.46000
7466.49350,7468.54990,0.96368,126.87000
7466.50390,7468.56030,0.96080,126.49000
7466.51370,7468.57010,0.95879,126.23000
7466.52400,7468.58040,0.95810,126.14000
7466.53380,7468.59020,0.95948,126.32000
7466.54420,7468.60060,0.96171,126.61000
7466.55460,7468.61100,0.96402,126.92000
7466.56430,7468.62070,0.96753,127.38000
7466.57470,7468.63110,0.97222,128.00000
7466.58450,7468.64090,0.97663,128.58000
7466.59480,7468.65120,0.98043,129.08000
7466.60460,7468.66100,0.98356,129.49000
7466.61500,7468.67140,0.98559,129.75000
7466.62540,7468.68180,0.98751,130.01000
7466.63510,7468.69150,0.99003,130.34000
7466.64550,7468.70190,0.99168,130.56000
7466.65530,7468.71170,0.99224,130.63000
7466.66560,7468.72200,0.99339,130.78000
7466.67600,7468.73240,0.99455,130.93000
7466.68580,7468.74220,0.99430,130.90000
7466.69620,7468.75260,0.99425,130.89000
7466.70590,7468.76230,0.99550,131.06000
7466.71630,7468.77270,0.99605,131.13000
