reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,51,CH,X-X,1,(1-0),3340.768,IR,0.268,-3.283,1.140,logepsC,8.485,8.525,8.465,8.456,8.601,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,52,CH,X-X,1,(1-0),3340.912,IR,0.268,-3.235,1.210,logepsC,8.465,8.503,8.442,8.435,8.579,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,53,CH,X-X,1,(1-0),3341.536,IR,1.229,-2.400,0.930,logepsC,8.463,8.487,8.427,8.419,8.552,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,54,CH,X-X,1,(1-0),3341.748,IR,1.229,-2.421,0.850,logepsC,8.444,8.468,8.406,8.402,8.529,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,55,CH,X-X,1,(1-0),3354.336,IR,0.227,-3.330,1.130,logepsC,8.487,8.528,8.466,8.460,8.602,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,56,CH,X-X,1,(1-0),3354.502,IR,0.227,-3.285,1.220,logepsC,8.477,8.517,8.453,8.449,8.589,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,57,CH,X-X,1,(1-0),3368.937,IR,0.189,-3.391,1.110,logepsC,8.502,8.543,8.481,8.476,8.618,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,58,CH,X-X,1,(1-0),3369.147,IR,0.190,-3.337,1.070,logepsC,8.434,8.472,8.411,8.405,8.549,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,59,CH,X-X,1,(1-0),3386.223,IR,0.155,-3.393,1.040,logepsC,8.442,8.482,8.424,8.413,8.557,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,60,CH,X-X,1,(1-0),3404.767,IR,0.123,-3.516,0.900,logepsC,8.468,8.510,8.449,8.439,8.584,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
