band,element,ion,treatment,deck,n_lines,A,has_published_row,A_published,reproduces_A,stat_dex,reproduces_stat,syst_before,syst_published,reproduces_syst,syst_published_rule_pre_rya869,syst_diff_is_rya869_correction,rung,gf_graded,n_graded,n_unresolved,n_absent_from_linelist,n_ambiguous_in_linelist,cited_sigma_dex,syst_after,d_syst,dominant_after,harness_charged_dex,harness_handler,grade_counts,reason,src
red-optical,Fe,I,ENGINE-A,,44,7.645,True,7.645,True,0.0494,True,0.1731,0.1731,True,0.1731,False,1,False,5,6,5,1,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""UNRESOLVED"": 6, ""systematic:K07"": 30, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 44 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x6, systematic:K07 x30, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,77,7.549,True,7.549,True,0.0243,True,0.1726,0.1731,False,0.1731,True,1,False,7,9,8,1,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-LAB"": 7, ""UNRESOLVED"": 9, ""systematic:K07"": 58, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 7 of 77 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x9, systematic:K07 x58, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,11,7.568,True,7.568,True,0.0564,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,3,7.517,True,7.517,True,0.0845,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,7.47,True,7.47,True,0.0174,True,0.17,0.1705,False,0.1705,True,1,False,0,0,0,0,,0.17,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,4,7.696,True,7.696,True,0.111,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,gerber-nlte,1,7.763,True,7.763,True,0.0,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,gerber-nlte,2,7.461,True,7.461,True,0.045,True,0.1726,0.1731,False,0.1731,True,1,False,0,0,0,0,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,I,1D-LTE,gerber-nlte,152,7.586,True,7.586,True,0.0305,True,0.1705,0.1705,True,0.1705,False,1,False,5,16,14,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""GF-NIST"": 1, ""UNRESOLVED"": 16, ""systematic:K07"": 127, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 152 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x16, systematic:K07 x127, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,gerber-nlte,109,7.6,True,7.6,True,0.0357,True,0.1705,0.1705,True,0.1705,False,1,False,4,11,9,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 4, ""GF-NIST"": 1, ""UNRESOLVED"": 11, ""systematic:K07"": 90, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 4 of 109 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x11, systematic:K07 x90, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-B-NLTE,gerber-nlte,136,7.572,True,7.572,True,0.0332,True,0.17,0.1705,False,0.1705,True,1,False,4,13,11,2,,0.17,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-LAB"": 4, ""GF-NIST"": 1, ""UNRESOLVED"": 13, ""systematic:K07"": 115, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 4 of 136 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x13, systematic:K07 x115, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,1D-LTE,gerber-nlte,101,7.639,True,7.639,True,0.0355,True,0.1731,0.1731,True,0.1731,False,1,False,12,13,11,2,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 12, ""UNRESOLVED"": 13, ""systematic:K07"": 70, ""systematic:K07/SCALE-MISMATCH"": 6}","MIXED POOL: 12 of 101 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x13, systematic:K07 x70, systematic:K07/SCALE-MISMATCH x6. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,gerber-nlte,44,7.645,True,7.645,True,0.0494,True,0.1731,0.1731,True,0.1731,False,1,False,5,6,5,1,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""UNRESOLVED"": 6, ""systematic:K07"": 30, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 44 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x6, systematic:K07 x30, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,gerber-nlte,77,7.549,True,7.549,True,0.0243,True,0.1726,0.1731,False,0.1731,True,1,False,7,9,8,1,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-LAB"": 7, ""UNRESOLVED"": 9, ""systematic:K07"": 58, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 7 of 77 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x9, systematic:K07 x58, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,1D-LTE,ts-lte,11,7.568,True,7.568,True,0.0564,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,ts-lte,3,7.517,True,7.517,True,0.0845,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-B,ts-lte,10,7.478,True,7.478,True,0.0119,True,0.17,0.17,True,0.17,False,1,False,0,0,0,0,,0.17,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,II,1D-LTE,ts-lte,4,7.696,True,7.696,True,0.111,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,ts-lte,1,7.763,True,7.763,True,0.0,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B,ts-lte,3,7.523,True,7.523,True,0.0894,True,0.1726,0.1726,True,0.1726,False,1,False,0,0,0,0,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
VIS,Fe,I,1D-LTE,ts-lte,152,7.586,True,7.586,True,0.0305,True,0.1705,0.1705,True,0.1705,False,1,False,5,16,14,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""GF-NIST"": 1, ""UNRESOLVED"": 16, ""systematic:K07"": 127, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 152 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x16, systematic:K07 x127, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,ts-lte,109,7.6,True,7.6,True,0.0357,True,0.1705,0.1705,True,0.1705,False,1,False,4,11,9,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 4, ""GF-NIST"": 1, ""UNRESOLVED"": 11, ""systematic:K07"": 90, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 4 of 109 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x11, systematic:K07 x90, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-B,ts-lte,134,7.517,True,7.517,True,0.032,True,0.17,0.17,True,0.17,False,1,False,4,13,11,2,,0.17,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-LAB"": 4, ""GF-NIST"": 1, ""UNRESOLVED"": 13, ""systematic:K07"": 113, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 4 of 134 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x13, systematic:K07 x113, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
red-optical,Fe,I,1D-LTE,ts-lte,101,7.639,True,7.639,True,0.0355,True,0.1731,0.1731,True,0.1731,False,1,False,12,13,11,2,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 12, ""UNRESOLVED"": 13, ""systematic:K07"": 70, ""systematic:K07/SCALE-MISMATCH"": 6}","MIXED POOL: 12 of 101 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x13, systematic:K07 x70, systematic:K07/SCALE-MISMATCH x6. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,ts-lte,44,7.645,True,7.645,True,0.0494,True,0.1731,0.1731,True,0.1731,False,1,False,5,6,5,1,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""UNRESOLVED"": 6, ""systematic:K07"": 30, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 44 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x6, systematic:K07 x30, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B,ts-lte,77,7.509,True,7.509,True,0.0241,True,0.1726,0.1726,True,0.1726,False,1,False,7,9,8,1,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-LAB"": 7, ""UNRESOLVED"": 9, ""systematic:K07"": 58, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 7 of 77 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x9, systematic:K07 x58, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
