wavelength_air_A,model_flux
8.211067999999815584e+03,9.906882607383912243e-01
8.211069999999815991e+03,9.904999520632302712e-01
8.211071999999814579e+03,9.903102468838823613e-01
8.211073999999814987e+03,9.901193966080851228e-01
8.211075999999813575e+03,9.899276598612578582e-01
8.211077999999813983e+03,9.897353009753327990e-01
8.211079999999812571e+03,9.895425883816123536e-01
8.211081999999812979e+03,9.893497929281136472e-01
8.211083999999811567e+03,9.891571861445382918e-01
8.211085999999811975e+03,9.889650384439835351e-01
8.211087999999810563e+03,9.887736172596794937e-01
8.211089999999810971e+03,9.885831850922605080e-01
8.211091999999809559e+03,9.883939974706787979e-01
8.211093999999809967e+03,9.882063008277949256e-01
8.211095999999808555e+03,9.880203303246791746e-01
8.211097999999808962e+03,9.878363076591210046e-01
8.211099999999807551e+03,9.876544389016880254e-01
8.211101999999807958e+03,9.874749123889864366e-01
8.211103999999806547e+03,9.872978966849647042e-01
8.211105999999806954e+03,9.871235386094536768e-01
8.211107999999805543e+03,9.869519613194489560e-01
8.211109999999805950e+03,9.867832624364432093e-01
8.211111999999804539e+03,9.866175122127125441e-01
8.211113999999804946e+03,9.864547517416819566e-01
8.211115999999803535e+03,9.862949912253777818e-01
8.211117999999803942e+03,9.861382083211519545e-01
8.211119999999802531e+03,9.859843466070157270e-01
8.211121999999802938e+03,9.858333142045645481e-01
8.211123999999801526e+03,9.856849826035914974e-01
8.211125999999801934e+03,9.855391857079566220e-01
8.211127999999800522e+03,9.853957191042658215e-01
8.211129999999800930e+03,9.852543395313504426e-01
8.211131999999799518e+03,9.851147645177809054e-01
8.211133999999799926e+03,9.849766721715258466e-01
8.211135999999798514e+03,9.848397011087907105e-01
8.211137999999798922e+03,9.847034505549955297e-01
8.211139999999797510e+03,9.845674806326306649e-01
8.211141999999797918e+03,9.844313128941593050e-01
8.211143999999796506e+03,9.842944311013274161e-01
8.211145999999796913e+03,9.841562822819759360e-01
8.211147999999795502e+03,9.840162780277406096e-01
8.211149999999795909e+03,9.838737960186296760e-01
8.211151999999794498e+03,9.837281817245674409e-01
