reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status,wavelength_air_A,delta_3d_minus_marcs,geometry
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,214,CN,A-X,0,(0-0),1101.377,NIR,0.177,-1.516,1.101,logepsN,7.842,7.956,7.925,7.919,8.012,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11010.75419321448,-0.07699999999999996,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,215,CN,A-X,0,(0-0),1101.568,NIR,0.026,-2.103,0.449,logepsN,7.859,7.986,7.953,7.946,8.041,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11012.663675100855,-0.08699999999999974,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,216,CN,A-X,0,(0-0),1102.438,NIR,0.072,-1.466,1.531,logepsN,7.837,7.954,7.923,7.917,8.01,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11021.361315095854,-0.08000000000000007,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,217,CN,A-X,0,(0-0),1102.478,NIR,0.164,-1.508,1.094,logepsN,7.816,7.931,7.901,7.895,7.987,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11021.76120658944,-0.07899999999999974,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,218,CN,A-X,0,(0-0),1106.999,NIR,0.056,-1.872,0.797,logepsN,7.917,8.038,8.008,8.001,8.095,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11066.958942407431,-0.08399999999999963,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,219,CN,A-X,0,(0-0),1107.566,NIR,0.098,-1.361,1.95,logepsN,7.876,7.989,7.958,7.952,8.045,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11072.627404264253,-0.07599999999999962,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,220,CN,A-X,0,(0-0),1108.409,NIR,0.278,-1.416,1.106,logepsN,7.846,7.956,7.927,7.92,8.011,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11081.055117381322,-0.07399999999999984,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,221,CN,A-X,0,(0-0),1109.599,NIR,0.294,-1.402,1.115,logepsN,7.852,7.962,7.931,7.925,8.015,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11092.951889131506,-0.07299999999999951,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,222,CN,A-X,0,(0-0),1109.63,NIR,0.294,-2.411,0.123,logepsN,7.873,7.987,7.957,7.95,8.042,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11093.261805033799,-0.07699999999999996,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,223,CN,A-X,0,(0-0),1110.752,NIR,0.08,-1.772,0.864,logepsN,7.876,7.998,7.966,7.96,8.053,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11104.478761224267,-0.08399999999999963,disk_center_intensity
