band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
J,TiI,12738.383,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12740.204,N, , , ,N,gf_167712,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12740.932,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12743.264,N, , , ,N,gf_167713,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12744.905,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12744.93,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,AlI,12749.835,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,AlI,12757.26, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12789.45,Y,Y,Y,Y,Y,gf_167714,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12793.147, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12807.152,Y,Y,Y,Y,Y,gf_167715,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12808.243,Y,Y,Y,Y,Y,gf_167716,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12811.478,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12816.045,Y,Y,U,N,N,gf_167717,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,HI,12818.077, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12819.924, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12821.672,Y,Y,Y,Y,Y,gf_167718,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12823.867,Y,Y,Y,Y,Y,gf_167719,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12824.859,Y,Y,Y,Y,Y,gf_167720,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12827.059,Y,Y,Y,Y,Y,gf_167721,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12831.445,Y,Y,Y,N,N,gf_167722,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12840.574,Y,Y,Y,Y,Y,gf_167723,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12847.034,Y,Y,Y,Y,Y,gf_167724,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12853.369, , , , , ,gf_167725,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12861.473, , , , , ,gf_167726,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12862.58, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12879.766,Y,Y,Y,Y,Y,gf_167728,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12885.29,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12896.118,Y,Y,Y,Y,Y,gf_167729,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MnI,12899.76,Y,Y,N, ,N,gf_167730,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12909.07,N, , , ,N,gf_167731,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12910.09,N, , , ,N,gf_167732,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NaI,12917.26, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12919.899,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12921.81,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12932.188, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12932.236, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12932.26, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12932.284,Y,Y,N, ,N,gf_167733,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12932.332, , , , , ,gf_167733,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12933.006, , , , , ,gf_167734,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12934.666, , , , , ,gf_167735,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12937.02,N, , , ,N,gf_168307,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12940.96, , , , , ,gf_168308,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12946.532,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12950.896,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12964.422, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12970.56, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MnI,12975.91,Y,Y, , ,N,gf_168309,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12979.45, , , , , ,gf_171115,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12987.567,Y,Y,Y,N,N,gf_171120,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13000.834,N, , , ,N,gf_168312,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13001.402,Y,Y,Y,N,N,gf_171126,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13002.195,N, , , ,N,gf_171128,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13005.361,N, , , ,N,gf_171129,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13006.684,N, , , ,N,gf_168313,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13011.25,N, , , ,N,gf_171131,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13011.897,N, , , ,N,gf_171134,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13014.841, , , , , ,gf_168314,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13029.523, , , , , ,gf_171148,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13030.921, , , , , ,gf_171149,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13033.555,N, , , ,N,gf_171152,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,13037.335,N, , , ,N,gf_171158,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13039.647,N, , , ,N,gf_168315,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,13048.181,Y,Y,Y,N,N,gf_171164,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,ZnI,13053.627, , , , , ,gf_171171,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13057.885,Y,Y,U,N,N,gf_171177,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13077.265, , , , , ,gf_171192,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13077.337,Y,Y,N, ,N,gf_168317,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13086.027, , , , , ,gf_171201,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13086.43,Y,Y,N, ,N,gf_171202,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13098.876,Y,Y,Y,N,N,gf_168318,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13102.058,N, , , ,N,gf_171212,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13105.097, , , , , ,gf_171216,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13107.972, , , , , ,gf_168319,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,13112.673, , , , , ,gf_171222,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CoI,13116.371, , , , , ,gf_171224,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,13117.156, , , , , ,gf_171228,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,AlI,13123.41,Y,Y, , ,N,gf_171235,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13134.942,N, , , ,N,gf_171242,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13145.071, , , , , ,gf_168322,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13147.92,Y,Y,Y,Y,Y,gf_168323,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,ZnI,13150.533, , , , , ,gf_171245,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,AlI,13150.753,Y,Y, , ,N,gf_171246,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13151.599, , , , , ,gf_168324,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13152.743,Y,Y,Y,N,N,gf_171249,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13154.531,Y,Y,Y,Y,Y,gf_171250,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,OI,13164.858, , , , , ,gf_171260,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,13167.759,Y,Y,Y,Y,Y,gf_171265,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13176.888,Y,Y,Y,N,N,gf_171271,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,13192.91, , , , , ,gf_171283,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,13198.109, , , , , ,gf_171292,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MnI,13198.289, , , , , ,gf_171293,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,13198.502, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CoI,14557.345, , , , , ,gf_172380,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14635.255, , , , , ,gf_172484,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14635.267, , , , , ,gf_172484,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14635.27, , , , , ,gf_172484,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14635.274, , , , , ,gf_172484,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14635.276, , , , , ,gf_172484,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,14700.269, , , , , ,gf_172541,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,14700.29, , , , , ,gf_172541,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NaI,14767.54, , , , , ,gf_172603,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14790.095, , , , , ,gf_172619,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14830.509, , , , , ,gf_172660,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14830.53, , , , , ,gf_172660,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14830.542, , , , , ,gf_172660,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14834.885, , , , , ,gf_172666,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CrI,14845.64, , , , , ,gf_172680,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,14872.029, , , , , ,gf_172712,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,14874.33, , , , , ,gf_172715,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CrI,14874.36, , , , , ,gf_172716,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,14875.191, , , , , ,gf_172718,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,14917.06, , , , , ,gf_172750,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,14917.906, , , , , ,gf_172751,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CoI,14952.456, , , , , ,gf_172773,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,14972.017, , , , , ,gf_172794,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CrI,14978.73, , , , , ,gf_172799,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15009.416, , , , , ,gf_168783,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15013.771, , , , , ,gf_168785,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15015.462, , , , , ,gf_168786,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15017.7, , , , , ,gf_168787,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15022.317, , , , , ,gf_168790,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15024.997,Y,Y,Y,N,N,gf_172844,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15030.005,N, , , ,N,gf_172848,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15032.157, , , , , ,gf_172851,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15032.311, , , , , ,gf_172852,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15040.246,Y,Y,Y,N,N,gf_172857,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15040.32, , , , , ,gf_168794,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15047.714,Y,Y,Y,Y,Y,gf_172864,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15051.749, , , , , ,gf_168797,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CaI,15057.099,Y,Y,N, ,N,gf_172872,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15062.146, , , , , ,gf_168801,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CaI,15065.624, , , , , ,gf_172881,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CaI,15067.041, , , , , ,gf_172882,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15077.241, , , , , ,gf_168808,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15077.287, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15080.22, , , , , ,gf_168812,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15084.3, , , , , ,gf_168814,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15094.695, , , , , ,gf_168816,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15095.194, , , , , ,gf_168817,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15097.692, , , , , ,gf_172905,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15106.136, , , , , ,gf_168821,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15112.331, , , , , ,gf_168824,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,TiI,15117.31,Y,Y,Y,N,N,gf_172917,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15118.115, , , , , ,gf_168827,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15120.504, , , , , ,gf_168829,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15122.38, , , , , ,gf_168831,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15135.306,N, , , ,N,gf_172933,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15136.124, , , , , ,gf_168835,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15137.027,Y,Y,N, ,N,gf_172935,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15137.85,Y,Y,N, ,N,gf_172937,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15143.09, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15144.051, , , , , ,gf_168840,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,15159.158,Y,Y,N, ,N,gf_172954,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15159.719, , , , , ,gf_168843,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15160.503, , , , , ,gf_168844,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,KI,15163.067, , , , , ,gf_172960,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,KI,15168.376,Y,Y,U,Y,N,gf_172965,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15173.584, , , , , ,gf_172973,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15176.712, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CrI,15178.6, , , , , ,gf_172975,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15179.745, , , , , ,gf_168851,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15182.924, , , , , ,gf_168853,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15183.436, , , , , ,gf_168854,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15194.49, , , , , ,gf_168857,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15195.259, , , , , ,gf_172982,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15195.31, , , , , ,gf_172982,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15198.798, , , , , ,gf_168860,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15199.616, , , , , ,gf_172986,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15201.562, , , , , ,gf_168861,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15207.526, , , , , ,gf_168863,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15213.02, , , , , ,gf_168864,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15214.152, , , , , ,gf_168865,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,15217.686, , , , , ,gf_173008,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15224.729, , , , , ,gf_168872,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15231.593, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15231.681, , , , , ,gf_173024,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15231.776, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15239.712, , , , , ,gf_168879,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15243.588,Y,Y,Y,N,N,gf_173032,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15244.973, , , , , ,gf_168881,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15246.394, , , , , ,gf_168883,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,HI,15260.547, , , , , ,gf_173046,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15260.642, , , , , ,gf_168888,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MnI,15262.415, , , , , ,gf_173049,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15264.188, , , , , ,gf_168890,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CeII,15277.606, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15283.646, , , , , ,gf_168898,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15290.715, , , , , ,gf_173069,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15290.998, , , , , ,gf_173071,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15291.365, , , , , ,gf_168903,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15293.135, , , , , ,gf_168904,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15294.56, , , , , ,gf_168905,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15296.163, , , , , ,gf_168909,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15297.167, , , , , ,gf_168910,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,CaI,15301.103, , , , , ,gf_173085,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15301.557, , , , , ,gf_168911,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15305.603, , , , , ,gf_168914,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,TiI,15315.583,N, , , ,N,gf_173091,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15323.555, , , , , ,gf_168918,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15330.191,N, , , ,N,gf_173101,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15335.383, , , , , ,gf_168921,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15338.743,N, , , ,N,gf_173116,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15343.788, , , , , ,gf_168922,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15351.28, , , , , ,gf_173134,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15360.234, , , , , ,gf_168927,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15361.161,Y,Y,Y,Y,Y,gf_173143,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15375.345, , , , , ,gf_168931,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15375.428, , , , , ,gf_173148,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15376.831,Y,Y,Y,N,N,gf_173153,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15381.96, , , , , ,gf_168934,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15387.069, , , , , ,gf_173161,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15387.803, , , , , ,gf_168936,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15394.67, , , , , ,gf_168937,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15394.673, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15395.718, , , , , ,gf_168939,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15400.077, , , , , ,gf_173166,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15403.724, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15403.791,Y,Y,Y,N,N,gf_173169,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15405.979, , , , , ,gf_173171,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,MgI,15415.289, , , , , ,gf_173177,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15422.261,Y,Y,N, ,N,gf_173184,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15422.276,Y,Y,U,N,N,gf_173184,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,TiI,15426.969,Y,Y,N, ,N,gf_173186,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15427.619, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15438.165, , , , , ,gf_173193,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15441.802, , , , , ,gf_168954,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15451.298, , , , , ,gf_168960,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15451.941, , , , , ,gf_168961,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15463.707, , , , , ,gf_173208,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15469.816,Y,Y,Y,N,N,gf_173211,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15475.204, , , , , ,gf_168966,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15475.616, , , , , ,gf_173215,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15476.5, , , , , ,gf_168968,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SI,15478.482, , , , , ,gf_173217,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15479.603, , , , , ,gf_168970,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15485.454, , , , , ,gf_168974,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15502.174, , , , , ,gf_168985,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15514.279,Y,Y,N, ,N,gf_168990,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15518.891,Y,Y,Y,N,N,gf_168992,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15519.937,Y,Y,U,N,N,gf_168994,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15521.681,N, , , ,N,gf_168995,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15522.607,Y,Y,U,N,N,gf_168996,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15524.308,Y,Y,Y,N,N,gf_168997,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15531.752,Y,Y,Y,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15531.802, , , , , ,gf_169000,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15532.449,Y,Y,N, ,N,gf_173259,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15534.245, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15537.695, , , , , ,gf_169003,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15542.079,Y,Y,Y,Y,Y,gf_169005,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,TiI,15543.758,Y,Y,Y,Y,Y,gf_173270,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15550.436,Y,Y,Y,Y,Y,gf_169008,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15551.433,Y,Y,Y,Y,Y,gf_169009,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15555.121, , , , , ,gf_173276,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15555.207, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15555.371, , , , , ,gf_173277,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,NiI,15555.375, , , , , ,gf_173277,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,SiI,15557.778,Y,Y,Y,Y,Y,gf_173280,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15560.784,Y,Y,U,Y,N,gf_169015,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15565.222,Y,Y,Y,Y,Y,gf_169019,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15566.725,Y,Y,Y,Y,Y,gf_169020,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15571.118,Y,Y,N, ,N,gf_169022,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15571.749,Y,Y,U,Y,N,gf_169023,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15588.259,Y,Y,Y,Y,Y,gf_169027,TRACE_PRIMARY_GF_BEFORE_PROMOTION
H,FeI,15590.046,Y,Y,U,Y,N,gf_169028,TRACE_PRIMARY_GF_BEFORE_PROMOTION
