band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,FeI,10114.014,Y,Y,U,Y,N,gf_167355,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NI,10114.64, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10120.895,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10123.87, , , , , ,gf_167356,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10124.93,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10128.011, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10137.1,Y,Y,Y,N,N,gf_167357,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10142.844,Y,Y,U,N,N,gf_167358,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10145.519, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10145.561,Y,Y,Y,Y,Y,gf_167360,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10149.076,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10153.305,Y,Y,U,Y,N,gf_167361,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10155.162,Y,Y,Y,Y,Y,gf_167362,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10156.129,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10156.505,Y,Y,Y,Y,Y,gf_167363,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10167.468,Y,Y,Y,Y,Y,gf_167364,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10170.486, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeII,10173.515, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10189.138, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10193.209, , , , , ,gf_167365,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10193.218,Y,Y,N, ,N,gf_167365,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10193.229, , , , , ,gf_167365,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10195.105,Y,Y,Y,Y,Y,gf_167366,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10196.99, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10216.313,Y,Y,Y,Y,Y,gf_167367,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10218.407,Y,Y,Y,Y,Y,gf_167368,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10227.994,Y,Y,Y,Y,Y,gf_167369,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10230.555, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10230.795,Y,Y,Y,Y,Y,gf_167370,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,YII,10245.217, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10249.095,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10252.551,N, , , ,N,gf_167371,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10254.42,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10254.757,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10256.52,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10258.135,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10262.471,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10265.217,Y,Y,Y,Y,Y,gf_167372,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CaI,10273.684,Y,Y,Y,Y,Y,gf_167373,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10283.775,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10288.944,Y,Y,Y,Y,Y,gf_167374,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10290.49,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,10299.29, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10301.374,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10302.611,Y,Y,Y,Y,Y,gf_167375,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10307.453,Y,Y,Y,Y,Y,gf_167376,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,10312.531, , , , , ,gf_167377,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10313.197, , , , , ,gf_167378,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10321.051, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10321.053, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10321.054, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NiI,10321.066, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
