line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_055360,pk_43e9f300e381,26,1.0,Fe I,4432.568,3.573,1,-1.58,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.6,,-1.6,True,False,True,,BEL17,0.05,10.3847/1538-4357/aa8cd3,True,LAB,False,4432.568,VIS,0.668,DEEPGRADED,1.0
gf_055431,pk_bfb6e198e2c7,26,1.0,Fe I,4447.717,2.223,1,-1.36,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.342,,-1.342,True,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,True,LAB,False,4447.717,VIS,0.88,DEEPGRADED,1.0
gf_055481,pk_93fe67f05bd9,26,1.0,Fe I,4459.117,2.176,1,-1.29,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.279,,-1.279,True,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,True,LAB,False,4459.117,VIS,0.888,DEEPGRADED,1.0
gf_055495,pk_85d876bbbe2f,26,1.0,Fe I,4461.968,3.603,1,-1.22,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.22,,-1.207,True,False,True,,RU14,0.04,10.1093/mnras/stu780,True,LAB,False,4461.968,VIS,0.727,DEEPGRADED,1.0
gf_055566,pk_61320a0e791e,26,1.0,Fe I,4476.075,3.686,1,-0.34,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.34,,-0.172,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4476.075,VIS,0.831,DEEPGRADED,1.0
gf_055582,pk_3506d82449ae,26,1.0,Fe I,4480.137,3.047,1,-1.93,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.933,,-1.933,True,False,True,,BEL17,0.05,10.3847/1538-4357/aa8cd3,True,LAB,False,4480.137,VIS,0.708,DEEPGRADED,1.0
gf_055587,pk_5386b279e6be,26,1.0,Fe I,4481.609,3.686,1,-1.5,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.53,,-1.42,True,False,True,,RU14,0.06,10.1093/mnras/stu780,True,LAB,False,4481.609,VIS,0.674,DEEPGRADED,1.0
gf_055592,pk_5bc4261d96cb,26,1.0,Fe I,4482.739,3.654,1,-1.44,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.44,,-1.35,True,False,True,,RU14,0.06,10.1093/mnras/stu780,True,LAB,False,4482.739,VIS,0.693,DEEPGRADED,1.0
gf_055601,pk_9e8b2deca252,26,1.0,Fe I,4484.22,3.603,1,-0.64,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-0.67,,-0.864,True,False,True,,DH14,0.02,10.1088/0067-0049/215/2/23,True,LAB,False,4484.22,VIS,0.769,DEEPGRADED,1.0
gf_055618,pk_ec6e0334ec33,26,1.0,Fe I,4488.906,3.654,1,-1.72,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.72,,-1.831,True,False,True,,DH14,0.04,10.1088/0067-0049/215/2/23,True,LAB,False,4488.906,VIS,0.571,GRADED,1.0
gf_055642,pk_824815f35df2,26,1.0,Fe I,4494.563,2.198,1,-1.14,PRIMARY LAB Belmonte2017,,synth(GES),lab_rya945,-1.136,,-1.136,True,False,True,,BEL17,0.03,10.3847/1538-4357/aa8cd3,True,LAB,False,4494.563,VIS,0.892,DEEPGRADED,1.0
gf_055646,pk_aaa3fc0fe447,26,1.0,Fe I,4495.391,2.885,1,-3.39,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-3.39,,-3.327,True,False,True,,DH14,0.14,10.1088/0067-0049/215/2/23,True,LAB,False,4495.391,VIS,0.241,GRADED,1.0
gf_055649,pk_a1737d959443,26,1.0,Fe I,4495.953,3.654,1,-1.7,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.69,,-1.72,True,False,True,,DH14,0.06,10.1088/0067-0049/215/2/23,True,LAB,False,4495.953,VIS,0.607,DEEPGRADED,1.0
