canonical_line_id,wavelength_air,band,gf_grade,manifest_instrument_reach,measurement_suitability_status,n_catalog_instruments,catalog_instruments
alphys_II_1774.0020_0017,1774.002,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1774.7700_0018,1774.77,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1776.9730_0019,1776.973,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1777.8260_0020,1777.826,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1818.3550_0021,1818.355,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1855.9182_0022,1855.9182,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1855.9323_0023,1855.9323,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1858.0250_0024,1858.025,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1862.3110_0025,1862.311,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1931.0500_0026,1931.05,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_1932.2660_0027,1932.266,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_1936.4590_0028,1936.459,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1960.8470_0029,1960.847,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1964.9910_0030,1964.991,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1990.5330_0031,1990.533,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.4140_0032,2071.414,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.4338_0033,2071.4338,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.4538_0034,2071.4538,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.4748_0035,2071.4748,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.4968_0036,2071.4968,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.5198_0037,2071.5198,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.5428_0038,2071.5428,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.5678_0039,2071.5678,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.5938_0040,2071.5938,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.6208_0041,2071.6208,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.6488_0042,2071.6488,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.6778_0043,2071.6778,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.7088_0044,2071.7088,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.7407_0045,2071.7407,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.7737_0046,2071.7737,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.8087_0047,2071.8087,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.8457_0048,2071.8457,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.8847_0049,2071.8847,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.9247_0050,2071.9247,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2071.9677_0051,2071.9677,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.0126_0052,2072.0126,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.0596_0053,2072.0596,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.1086_0054,2072.1086,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.1606_0055,2072.1606,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.2040_0056,2072.204,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.2170_0057,2072.217,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.2610_0058,2072.261,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.2750_0059,2072.275,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.3220_0060,2072.322,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.3360_0061,2072.336,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.3860_0062,2072.386,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.4010_0063,2072.401,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.4540_0064,2072.454,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.4700_0065,2072.47,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.5260_0066,2072.526,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.5440_0067,2072.544,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.6030_0068,2072.603,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.6210_0069,2072.621,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.6850_0070,2072.685,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.7040_0071,2072.704,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.7710_0072,2072.771,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.7920_0073,2072.792,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.8640_0074,2072.864,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.8860_0075,2072.886,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.9620_0076,2072.962,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2072.9860_0077,2072.986,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.0680_0078,2073.068,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.0930_0079,2073.093,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.1800_0080,2073.18,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.2070_0081,2073.207,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.3010_0082,2073.301,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.3300_0083,2073.33,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.4310_0084,2073.431,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.4620_0085,2073.462,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.5710_0086,2073.571,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.6040_0087,2073.604,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.7210_0088,2073.721,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.7570_0089,2073.757,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.8840_0090,2073.884,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2073.9220_0091,2073.922,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.0590_0092,2074.059,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.1010_0093,2074.101,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.2500_0094,2074.25,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.2950_0095,2074.295,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.4570_0096,2074.457,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.5060_0097,2074.506,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.6820_0098,2074.682,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.7360_0099,2074.736,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.9290_0100,2074.929,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2074.9870_0101,2074.987,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.1980_0102,2075.198,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.2620_0103,2075.262,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.4940_0104,2075.494,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.5650_0105,2075.565,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.8200_0106,2075.82,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2075.8980_0107,2075.898,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.1790_0108,2076.179,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.2360_0109,2076.236,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.2549_0110,2076.2549,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.2660_0111,2076.266,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.2758_0112,2076.2758,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.2968_0113,2076.2968,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.3188_0114,2076.3188,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.3418_0115,2076.3418,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.3658_0116,2076.3658,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.3898_0117,2076.3898,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.4158_0118,2076.4158,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.4428_0119,2076.4428,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.4709_0120,2076.4709,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.5008_0121,2076.5008,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.5318_0122,2076.5318,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.5637_0123,2076.5637,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.5780_0124,2076.578,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.5977_0125,2076.5977,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.6327_0126,2076.6327,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.6697_0127,2076.6697,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.6740_0128,2076.674,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.7078_0129,2076.7078,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.7487_0130,2076.7487,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.7917_0131,2076.7917,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.8366_0132,2076.8366,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.8836_0133,2076.8836,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.9336_0134,2076.9336,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2076.9856_0135,2076.9856,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.0220_0136,2077.022,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.0290_0137,2077.029,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.0420_0138,2077.042,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.0870_0139,2077.087,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.1000_0140,2077.1,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.1290_0141,2077.129,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.1480_0142,2077.148,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.1620_0143,2077.162,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.2120_0144,2077.212,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.2271_0145,2077.2271,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.2810_0146,2077.281,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.2970_0147,2077.297,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.3530_0148,2077.353,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.3700_0149,2077.37,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.4300_0150,2077.43,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.4480_0151,2077.448,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.5120_0152,2077.512,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.5180_0153,2077.518,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.5310_0154,2077.531,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.5990_0155,2077.599,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.6200_0156,2077.62,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.6370_0157,2077.637,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.6920_0158,2077.692,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.7140_0159,2077.714,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.7910_0160,2077.791,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.8141_0161,2077.8141,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.8970_0162,2077.897,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2077.9220_0163,2077.922,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.0100_0164,2078.01,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.0370_0165,2078.037,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.0740_0166,2078.074,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.1320_0167,2078.132,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.1601_0168,2078.1601,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.2080_0169,2078.208,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.2620_0170,2078.262,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.2930_0171,2078.293,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.4020_0172,2078.402,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.4360_0173,2078.436,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.5540_0174,2078.554,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.5891_0175,2078.5891,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.7010_0176,2078.701,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.7170_0177,2078.717,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.7551_0178,2078.7551,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.8510_0179,2078.851,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.8930_0180,2078.893,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2078.9350_0181,2078.935,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.0850_0182,2079.085,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.1300_0183,2079.13,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.2930_0184,2079.293,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.3420_0185,2079.342,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.4110_0186,2079.411,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.5190_0187,2079.519,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.5730_0188,2079.573,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.5810_0189,2079.581,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_2079.7670_0190,2079.767,NUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
