key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,lab_wavelength_A,n_lab_candidates,adjudicated,delta_lab_minus_vald,nist_log_gf,nist_grade,nist_ref_tp,delta_nist_minus_vald
12,1,Mg 1,9414.96303431047,5.9459,-0.043864174579375824,VALD3,5,,,,,0,False,,,,,
26,1,Fe 1,9415.063,5.0638,-1.595,VALD3,1,,,,,0,False,,,,,
20,1,Ca 1,9416.971,4.1308,-0.891,VALD3,1,,,,,0,False,,,,,
16,1,S 1,9421.765,8.4093,0.23999999999999996,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9421.786,6.1248,-1.133,VALD3,1,,,,,0,False,,,,,
16,1,S 1,9421.933,8.4093,0.399,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9429.814,5.9315,-1.271,VALD3,1,,,,,0,False,,,,,
22,2,Ti 2,9432.151,2.5903,-2.05,VALD3,1,,,,,0,False,,,,,
12,1,Mg 1,9432.758498848223,5.932,-0.7940309465378024,VALD3,2,,,,,0,False,,,,,
16,1,S 1,9436.967,8.4082,0.19000000000000003,VALD3,1,,,,,0,False,,,,,
16,1,S 1,9437.13,8.4082,0.19000000000000003,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9437.793,4.6076,-1.405,VALD3,1,-1.46,0.04,DenHartog2014,9437.7961,1,True,-0.05499999999999994,,,,
12,1,Mg 1,9438.782696858361,5.9328,-0.5766155972907663,VALD3,2,,,,,0,False,,,,,
26,1,Fe 1,9443.801,5.0856,-0.22299999999999998,VALD3,1,,,,,0,False,,-0.2218487496163564,C,T5720,0.0011512503836435817
24,1,Cr 1,9447.045,2.5446,-1.46,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9452.336,5.0095,-1.515,VALD3,1,-1.54,0.06,DenHartog2014,9452.3359,1,True,-0.025000000000000133,,,,
26,1,Fe 1,9454.194,5.0995,-0.815,VALD3,1,-0.61,0.03,DenHartog2014,9454.1951,1,True,0.20499999999999996,,,,
26,1,Fe 1,9463.027999999998,4.9556,-1.25,VALD3,1,-1.17,0.04,DenHartog2014,9463.0287,1,True,0.08000000000000007,,,,
26,1,Fe 1,9485.954,3.3009,-2.956,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9495.883,5.0638,-1.702,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9505.205,6.1248,-1.122,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9507.152,4.652,-1.918,VALD3,1,-1.95,0.04,DenHartog2014,9507.1551,1,True,-0.03200000000000003,,,,
26,1,Fe 1,9513.262,5.0331,-0.955,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,9519.674,5.6312,-0.23800000000000002,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,9520.034,4.1672,-0.771,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9529.519,5.3046,-0.57,VALD3,1,,,,,0,False,,,,,
22,1,Ti 1,9546.077,0.836,-1.57,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9550.957,4.988,-1.574,VALD3,1,-1.54,0.05,DenHartog2014,9550.9568,1,True,0.03400000000000003,,,,
26,1,Fe 1,9556.505,3.2515,-2.652,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9569.908,4.9913,-0.423,VALD3,1,,,,,0,False,,-0.4233131947990045,C,T5720,-0.0003131947990044903
24,1,Cr 1,9574.312,2.5446,-1.63,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9574.934,5.3204,-1.277,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9576.478,5.0117,-1.709,VALD3,1,,,,,0,False,,,,,
