canonical_line_id,canonical_source_line_id,species,wavelength_air,wavelength_vac,lower_EP,upper_lower_level_identity,band,instrument_reach,transition_source,loggf_adopted,gf_source,gf_source_type,gf_grade,gf_sigma_dex,gf_source_doi,current_canonical_loggf,current_canonical_source,competing_gf_summary,HFS_status,component_or_total,literature_line_set_membership,telluric_risk,synthesis_context_status,intake_status,measurement_suitability_status,rejection_problem_code,source_ticket,notes
alphys_II_1818.3550_0021,,Al II,1818.355,1818.355,11.8466,,FUV,,RYA-1001 physical-feature census,0.19,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,BELOW_OBSERVABILITY|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1855.9182_0022,,Al II,1855.9182,1855.9182,4.6361,,FUV,,RYA-1001 physical-feature census,-1.382,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1855.9323_0023,,Al II,1855.9323,1855.9323,4.6361,,FUV,,RYA-1001 physical-feature census,-1.2851147445,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1858.0250_0024,,Al II,1858.025,1858.025,4.6437,,FUV,,RYA-1001 physical-feature census,-0.5498276998,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1862.3110_0025,,Al II,1862.311,1862.311,4.659,,FUV,,RYA-1001 physical-feature census,-0.3199492783,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1931.0500_0026,,Al II,1931.05,1931.05,7.4207,,FUV,,RYA-1001 physical-feature census,-0.218,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_1932.2660_0027,,Al I,1932.266,1932.266,0.0,,FUV,,RYA-1001 physical-feature census,0.301,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_1936.4590_0028,,Al I,1936.459,1936.459,0.0139,,FUV,,RYA-1001 physical-feature census,0.602,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1960.8470_0029,,Al II,1960.847,1960.847,11.6728,,FUV,,RYA-1001 physical-feature census,-0.35,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,BELOW_OBSERVABILITY|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1964.9910_0030,,Al II,1964.991,1964.991,11.6878,,FUV,,RYA-1001 physical-feature census,0.22,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,BELOW_OBSERVABILITY|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_II_1990.5330_0031,,Al II,1990.533,1990.533,7.4207,,FUV,,RYA-1001 physical-feature census,0.29,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.4140_0032,,Al I,2071.414,2072.0752,0.0,,NUV,,RYA-1001 physical-feature census,-4.144,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.4338_0033,,Al I,2071.4338,2072.095,0.0,,NUV,,RYA-1001 physical-feature census,-4.1134293602,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.4538_0034,,Al I,2071.4538,2072.115,0.0,,NUV,,RYA-1001 physical-feature census,-4.096462317,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.4748_0035,,Al I,2071.4748,2072.136,0.0,,NUV,,RYA-1001 physical-feature census,-4.079462317,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.4968_0036,,Al I,2071.4968,2072.1581,0.0,,NUV,,RYA-1001 physical-feature census,-4.062462317,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.5198_0037,,Al I,2071.5198,2072.181,0.0,,NUV,,RYA-1001 physical-feature census,-4.045462317,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.5428_0038,,Al I,2071.5428,2072.2041,0.0,,NUV,,RYA-1001 physical-feature census,-4.028462317,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.5678_0039,,Al I,2071.5678,2072.229,0.0,,NUV,,RYA-1001 physical-feature census,-4.0104952006,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.5938_0040,,Al I,2071.5938,2072.255,0.0,,NUV,,RYA-1001 physical-feature census,-3.9924952006,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.6208_0041,,Al I,2071.6208,2072.282,0.0,,NUV,,RYA-1001 physical-feature census,-3.9744952006,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.6488_0042,,Al I,2071.6488,2072.31,0.0,,NUV,,RYA-1001 physical-feature census,-3.955528011,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.6778_0043,,Al I,2071.6778,2072.339,0.0,,NUV,,RYA-1001 physical-feature census,-3.936528011,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_2071.7088_0044,,Al I,2071.7088,2072.37,0.0,,NUV,,RYA-1001 physical-feature census,-3.917528011,UNGRADED,FALLBACK,EXCLUDED-NO-HOME,0.2,,,,Burheim=nan; canonical=nan; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,NO_DECLARED_BAND_POLICY,CROSSMATCH_REVIEW,CANDIDATE_NOT_SELECTED,SATURATED_DEEP|ABSENT_CANONICAL,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
