source_row_id,table,species,upper_level,lower_level,wavelength_A,intensity_ratio,intensity_unc_pct,branching_ratio,branching_unc_pct,aki_limit,aki_1e8_s-1,aki_unc_pct,upper_J,derived_loggf,derived_sigma_dex,doi,canonical_line_id,wavelength_delta_A,disposition
vuj2002_t3_008,3,Al I,3s3p3d ^4^P^o^1_/2_,2p^2^ ^4^P_1/2_,2311.035,0.11,21.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2311.0360_0295,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_009,3,Al I,3s3p3d ^4^P^o^1_/2_,2p^2^ ^4^P_3/2_,2313.526,0.34,19.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2313.5250_0297,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_010,3,Al I,3s3p3d ^4^P^o^3_/2_,2p^2^ ^4^P_1/2_,2312.491,0.22,23.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2312.4910_0296,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_011,3,Al I,3s3p3d ^4^P^o^3_/2_,2p^2^ ^4^P_3/2_,2314.983,0.09,36.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2314.9840_0298,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_012,3,Al I,3s3p3d ^4^P^o^3_/2_,2p^2^ ^4^P_5/2_,2319.057,0.25,21.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2319.0560_0300,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_013,3,Al I,3s3p3d ^4^P^o^5_/2_,2p^2^ ^4^P_3/2_,2317.482,0.35,21.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2317.4810_0299,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_014,3,Al I,3s3p3d ^4^P^o^5_/2_,2p^2^ ^4^P_5/2_,2321.562,1.0,16.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2321.5620_0301,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_015,3,Al I,3s3p3d ^4^D^o^1_/2_,2p^2^ ^4^P_1/2_,2368.112,0.2,24.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2368.1120_0304,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_016,3,Al I,3s3p3d ^4^D^o^1_/2_,2p^2^ ^4^P_3/2_,2370.726,0.05,39.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2370.7260_0307,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_017,3,Al I,3s3p3d ^4^D^o^3_/2_,2p^2^ ^4^P_1/2_,2367.611,0.23,35.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2367.6110_0303,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_018,3,Al I,3s3p3d ^4^D^o^3_/2_,2p^2^ ^4^P_3/2_,2370.225,0.27,30.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2370.2250_0306,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_019,3,Al I,3s3p3d ^4^D^o^3_/2_,2p^2^ ^4^P_5/2_,2374.496,0.03,44.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2374.4940_0313,0.002,MATCHED_NOT_PROMOTED
vuj2002_t3_020,3,Al I,3s3p3d ^4^D^o^5_/2_,2p^2^ ^4^P_3/2_,2369.304,0.57,15.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2369.3050_0305,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_021,3,Al I,3s3p3d ^4^D^o^5_/2_,2p^2^ ^4^P_5/2_,2373.571,0.22,30.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_2373.5700_0312,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_022,3,Al I,3s3p3d ^4^D^o^7_/2_,2p^2^ ^4^P_5/2_,2372.07,0.5,17.0,,,,,,,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_001,4,Al II,3p^2^ ^1^D_2_,3p ^1^P^o^_1_,3900.675,8.04,,,,,,,2.0,,,10.1051/0004-6361:20020560,alphys_II_3900.6750_0334,0.0,MATCHED_NOT_PROMOTED
vuj2002_t4_002,4,Al II,3p^2^ ^1^D_2_,3p ^3^P^o^_1_,2081.481,0.68,9.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_003,4,Al II,3p^2^ ^1^D_2_,3p ^3^P^o^_2_,2086.864,1.0,5.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_004,4,Al II,3d' ^3^F^o^_2_,3d ^3^D_1_,2195.502,0.42,9.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_005,4,Al II,3d' ^3^F^o^_3_,3d ^3^D_2_,2194.245,0.65,11.0,,,,,,3.0,,,10.1051/0004-6361:20020560,alphys_II_2194.2420_0284,0.003,MATCHED_NOT_PROMOTED
vuj2002_t4_006,4,Al II,3d' ^3^F^o^_4_,3d ^3^D_3_,2192.604,1.0,8.0,,,,,,4.0,,,10.1051/0004-6361:20020560,alphys_II_2192.6010_0283,0.003,MATCHED_NOT_PROMOTED
vuj2002_t4_007,4,Al II,3d' ^3^F^o^_2_,4d ^3^D_1_,5100.34,0.44,19.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_008,4,Al II,3d' ^3^F^o^_3_,4d ^3^D_2_,5093.65,0.63,13.0,,,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_009,4,Al II,3d' ^3^F^o^_4_,4d ^3^D_3_,5085.02,1.0,8.0,,,,,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_010,4,Al II,4f  ^3^F^o^_2_,3d ^3^D_1_,3587.45,0.46,13.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_011,4,Al II,4f  ^3^F^o^_3_,3d ^3^D_2_,3587.068,0.71,10.0,,,,,,3.0,,,10.1051/0004-6361:20020560,alphys_II_3587.0720_0333,0.004,MATCHED_NOT_PROMOTED
vuj2002_t4_012,4,Al II,4f  ^3^F^o^_4_,3d ^3^D_3_,3586.557,1.0,4.0,,,,,,4.0,,,10.1051/0004-6361:20020560,alphys_II_3586.5570_0332,0.0,MATCHED_NOT_PROMOTED
vuj2002_t4_013,4,Al II,5f  ^3^F^o^_2_,3d ^3^D_1_,2638.69,0.51,12.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_014,4,Al II,5f  ^3^F^o^_3_,3d ^3^D_2_,2638.155,0.6,18.0,,,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_015,4,Al II,5f  ^3^F^o^_4_,3d ^3^D_3_,2637.689,1.0,8.0,,,,,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_016,4,Al II,6f  ^3^F^o^_2_,3d ^3^D_1_,2326.406,0.43,24.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_017,4,Al II,6f  ^3^F^o^_3_,3d ^3^D_2_,2325.494,0.68,16.0,,,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_018,4,Al II,6f  ^3^F^o^_4_,3d ^3^D_3_,2324.199,1.0,13.0,,,,,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_019,4,Al II,6f  ^3^F^o^_2_,4d ^3^D_1_,5867.81,0.48,39.0,,,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_020,4,Al II,6f  ^3^F^o^_3_,4d ^3^D_2_,5861.53,0.62,39.0,,,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_021,4,Al II,6f  ^3^F^o^_4_,4d ^3^D_3_,5853.62,1.0,26.0,,,,,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t4_022,4,Al II,7f  ^3^F^o^_2_,3d ^3^D_1_,2095.14,0.48,19.0,,,,,,2.0,,,10.1051/0004-6361:20020560,alphys_II_2095.1380_0246,0.002,MATCHED_NOT_PROMOTED
vuj2002_t4_023,4,Al II,7f  ^3^F^o^_3_,3d ^3^D_2_,2094.79,0.67,13.0,,,,,,3.0,,,10.1051/0004-6361:20020560,alphys_II_2094.7890_0244,0.001,MATCHED_NOT_PROMOTED
vuj2002_t4_024,4,Al II,7f  ^3^F^o^_4_,3d ^3^D_3_,2094.264,1.0,10.0,,,,,,4.0,,,10.1051/0004-6361:20020560,alphys_II_2094.2630_0243,0.001,MATCHED_NOT_PROMOTED
vuj2002_t5_001,5,Al II,3p^2^ ^1^D_2_,3p ^1^P^o^_1_,3900.675,,,0.79,13.0,,0.000184,,2.0,-3.6780759622,,10.1051/0004-6361:20020560,alphys_II_3900.6750_0334,0.0,MATCHED_NOT_PROMOTED
vuj2002_t5_002,5,Al II,3p^2^ ^1^D_2_,3p ^3^P^o^_1_,2081.481,,,0.08,48.0,,1.9e-05,,2.0,-5.2096748161,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_003,5,Al II,3p^2^ ^1^D_2_,3p ^3^P^o^_2_,2086.864,,,0.13,42.0,,3e-05,,2.0,-5.0090637698,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_004,5,Al II,3d ^3^F^o_2_,3d ^3^D_1_,2195.502,,,0.7,13.0,<,2.0,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_005,5,Al II,3d ^3^F^o_2_,4d ^3^D_1_,5100.34,,,0.3,31.0,<,0.85,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_006,5,Al II,3d ^3^F^o_3_,3d ^3^D_2_,2194.245,,,0.76,13.0,<,2.2,,3.0,,,10.1051/0004-6361:20020560,alphys_II_2194.2420_0284,0.003,MATCHED_NOT_PROMOTED
vuj2002_t5_007,5,Al II,3d ^3^F^o_3_,4d ^3^D_2_,5093.65,,,0.24,40.0,<,0.7,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_008,5,Al II,3d ^3^F^o_4_,3d ^3^D_3_,2192.604,,,0.72,10.0,<,2.1,,4.0,,,10.1051/0004-6361:20020560,alphys_II_2192.6010_0283,0.003,MATCHED_NOT_PROMOTED
vuj2002_t5_009,5,Al II,3d ^3^F^o_4_,4d ^3^D_3_,5085.02,,,0.28,26.0,<,0.8,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_010,5,Al II,4f ^3^F^o_2_,3d ^3^D_1_,3587.45,,,0.98,3.0,<,1.55,11.0,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_011,5,Al II,4f ^3^F^o_2_,3d ^3^D_2_,3587.3,,,0.02,100.0,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_012,5,Al II,4f ^3^F^o_2_,3d ^3^D_3_,3587.1,,,0.0,,,,,2.0,,,10.1051/0004-6361:20020560,alphys_II_3587.0720_0333,0.028,MATCHED_NOT_PROMOTED
vuj2002_t5_013,5,Al II,4f ^3^F^o_3_,3d ^3^D_2_,3587.068,,,0.96,5.0,<,1.55,13.0,3.0,,,10.1051/0004-6361:20020560,alphys_II_3587.0720_0333,0.004,MATCHED_NOT_PROMOTED
vuj2002_t5_014,5,Al II,4f ^3^F^o_3_,3d ^3^D_3_,3587.9,,,0.04,100.0,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_015,5,Al II,4f ^3^F^o_3_,3p^2^ ^1^D_2_,2635.02,,,0.0,,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_016,5,Al II,4f ^3^F^o_4_,3d ^3^D_3_,3586.557,,,,,<,1.55,,4.0,,,10.1051/0004-6361:20020560,alphys_II_3586.5570_0332,0.0,MATCHED_NOT_PROMOTED
vuj2002_t5_017,5,Al II,5f ^3^F^o_2_,3d ^3^D_1_,2638.69,,,1.0,,<,0.7,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_018,5,Al II,5f ^3^F^o_3_,3d ^3^D_2_,2638.255,,,1.0,,<,0.7,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_019,5,Al II,5f ^3^F^o_4_,3d ^3^D_3_,2637.689,,,1.0,,<,0.7,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_020,5,Al II,6f ^3^F^o_2_,3d ^3^D_1_,2326.496,,,0.18,26.0,<,0.12,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_021,5,Al II,6f ^3^F^o_2_,4d ^3^D_1_,5867.81,,,0.82,6.0,<,0.54,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_022,5,Al II,6f ^3^F^o_3_,3d ^3^D_2_,2325.494,,,0.32,15.0,<,0.21,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_023,5,Al II,6f ^3^F^o_3_,4d ^3^D_2_,5861.53,,,0.68,7.0,<,0.45,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_024,5,Al II,6f ^3^F^o_4_,3d ^3^D_3_,2324.199,,,0.41,20.0,<,0.27,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_025,5,Al II,6f ^3^F^o_4_,4d ^3^D_3_,5853.62,,,0.59,20.0,<,0.39,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_026,5,Al II,7f ^3^F^o_2_,3d ^3^D_1_,2095.14,,,0.97,7.0,<,2.0,,2.0,,,10.1051/0004-6361:20020560,alphys_II_2095.1380_0246,0.002,MATCHED_NOT_PROMOTED
vuj2002_t5_027,5,Al II,7f ^3^F^o_2_,4d ^3^D_1_,4589.742,,,0.03,100.0,,,,2.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_028,5,Al II,7f ^3^F^o_3_,3d ^3^D_2_,2094.79,,,0.98,4.0,<,2.0,,3.0,,,10.1051/0004-6361:20020560,alphys_II_2094.7890_0244,0.001,MATCHED_NOT_PROMOTED
vuj2002_t5_029,5,Al II,7f ^3^F^o_3_,4d ^3^D_2_,4588.191,,,0.02,100.0,,,,3.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
vuj2002_t5_030,5,Al II,7f ^3^F^o_4_,3d ^3^D_3_,2094.264,,,0.98,3.0,<,2.0,,4.0,,,10.1051/0004-6361:20020560,alphys_II_2094.2630_0243,0.001,MATCHED_NOT_PROMOTED
vuj2002_t5_031,5,Al II,7f ^3^F^o_4_,4d ^3^D_3_,4585.817,,,0.02,100.0,,,,4.0,,,10.1051/0004-6361:20020560,,,NO_UNIQUE_MANIFEST_MATCH
