canonical_line_id,canonical_source_line_id,species,wavelength_air,wavelength_vac,lower_EP,upper_lower_level_identity,band,instrument_reach,transition_source,loggf_adopted,gf_source,gf_source_type,gf_grade,gf_sigma_dex,gf_source_doi,current_canonical_loggf,current_canonical_source,competing_gf_summary,HFS_status,component_or_total,literature_line_set_membership,telluric_risk,synthesis_context_status,intake_status,measurement_suitability_status,rejection_problem_code,source_ticket,notes
alphys_I_7335.9870_0378,gf_000052,Al I,7335.987,7338.0082,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-2.6285626826,NIST-E,CRITICALLY_EVALUATED,E,0.3010299957,,-2.756,K75,Burheim=nan; canonical=-2.756; NIST=-2.628562682595899,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7361.5680_0379,gf_000053,Al I,7361.568,7363.5961,4.0215,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.9461535731,NIST-C+,CRITICALLY_EVALUATED,C+,0.0718820073,,-0.903,K75,Burheim=nan; canonical=-0.903; NIST=-0.9461535731477474,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7362.2960_0380,gf_000054,Al I,7362.296,7364.3243,4.0216,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.7692956864,NIST-C+,CRITICALLY_EVALUATED,C+,0.0774544267,,-0.7268,K75,Burheim=nan; canonical=-0.7268; NIST=-0.769295686387431,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7606.1600_0383,gf_000060,Al I,7606.16,7608.2541,4.0853,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.8204482088,NIST-D,CRITICALLY_EVALUATED,D,0.1760912591,,-1.958,K75,Burheim=nan; canonical=-1.958; NIST=-1.820448208834812,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7614.8200_0384,gf_000061,Al I,7614.82,7616.9164,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.5660702344,NIST-C,CRITICALLY_EVALUATED,C,0.096910013,,-1.703,K75,Burheim=nan; canonical=-1.703; NIST=-1.5660702343915358,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7615.3370_0385,gf_000062,Al I,7615.337,7617.4335,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-2.519993057,NIST-E,CRITICALLY_EVALUATED,E,0.3010299957,,-2.657,K75,Burheim=nan; canonical=-2.657; NIST=-2.519993057042849,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_7835.3090_0386,gf_000063,Al I,7835.309,7837.4649,4.0215,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.6886700477,NIST-B,CRITICALLY_EVALUATED,B,0.0413926852,,-0.649,K75,Burheim=nan; canonical=-0.649; NIST=-0.6886700476962069,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0|AGSS21_NL2017_SCOTT2015B,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001;RYA-1173,No abundance adoption; provenance ranking fixed before measurement. AGSS21 LINEAGE: this transition is one of the seven Scott et al. 2015b retained for the solar Al abundance AGSS21 adopts (A(Al) = 6.43). It is one of the SIX that carry the adopted value. Its gf here is NOT graded by this membership: the source's own gf is Opacity Project LS-coupling theory (RYA-946 -- an abundance value is not a gf grade). See data/audit/rya1173_al_agss21_census/.
alphys_I_7836.1340_0387,gf_000064,Al I,7836.134,7838.2901,4.0216,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.5130880259,NIST-B+,CRITICALLY_EVALUATED,B+,0.0315087799,,-0.4728,K75,Burheim=nan; canonical=-0.4728; NIST=-0.5130880259260397,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_8065.9680_0390,gf_000070,Al I,8065.968,8068.1862,4.0853,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.7629592086,NIST-C+,CRITICALLY_EVALUATED,C+,0.0718820073,,-1.936,K75,Burheim=nan; canonical=-1.936; NIST=-1.7629592086208092,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_8075.3530_0391,gf_000071,Al I,8075.353,8077.5738,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-1.5086383062,NIST-C+,CRITICALLY_EVALUATED,C+,0.0718820073,,-1.681,K75,Burheim=nan; canonical=-1.681; NIST=-1.5086383061657274,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_8076.2890_0392,gf_000072,Al I,8076.289,8078.51,4.0872,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-2.4624327428,NIST-C,CRITICALLY_EVALUATED,C,0.096910013,,-2.636,K75,Burheim=nan; canonical=-2.636; NIST=-2.4624327428473247,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,CANDIDATE_NOT_SELECTED,SCALE_MISMATCH|BELOW_OBSERVABILITY,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_8772.8650_0393,gf_000073,Al I,8772.865,8775.2744,4.0215,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.348721986,NIST-B+,CRITICALLY_EVALUATED,B+,0.0293837777,,-0.17,1995JPhB..,Burheim=nan; canonical=-0.17; NIST=-0.348721986001856,NO_SPLIT_COMPONENTS_IN_CENSUS,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_8773.8961_0394,gf_000074,Al I,8773.8961,8776.3058,4.0216,,red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,RYA-1001 physical-feature census,-0.1713529907,NIST-B+,CRITICALLY_EVALUATED,B+,0.0314971089,,-0.023,1995JPhB..,Burheim=nan; canonical=-0.023; NIST=-0.1713529907325012,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,SCALE_MISMATCH,RYA-1132;RYA-1001,No abundance adoption; provenance ranking fixed before measurement.
alphys_I_21208.1800_igrins,,Al I,21208.18,,,,K,IGRINS,Nandakumar et al. 2024 empirical line list,,UNRESOLVED,FALLBACK,UNRESOLVED,,,,,,HFS_IDENTITY_REQUIRED,UNKNOWN,NANDAKUMAR2024_IGRINS,VERIFICATION_REQUIRED,IDENTITY_AND_GF_NOT_RESOLVED,CROSSMATCH_REVIEW,HOLD,MISSING_PHYSICAL_IDENTITY|MISSING_GF_PROVENANCE,RYA-1132;RYA-1056,Wavelength evidence only; promotion forbidden.
alphys_I_11254.9239_0407,gf_167531,Al I,11254.9239,11258.006,4.0216,3d 2D5/2 - 4f 2F7/2,NIR,kpno_solar_atlas,RYA-1001 physical-feature census,0.3537510081,VALD3,FALLBACK,VALD3,,,0.3537510081,VALD3,Burheim=0.327; canonical=0.3537510080742936; NIST=nan,COMPONENT_SUM_VERIFIED,TOTAL_TRANSITION_GF,RYA1001_PHASE0,VERIFICATION_REQUIRED,AVAILABLE,FROZEN,ELIGIBLE_WITH_STATED_GF_TIER,BURHEIM_STRONG_COMPONENT_VS_CANONICAL_BLEND_TOTAL,RYA-1132;RYA-1001,Burheim +0.327 is the strong component; observed feature total is +0.354. Never substitute one for the other.
