band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
Y,FeI,10137.1,5.086,-1.708, , , , , ,unassessed,,True,gf_167357,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10142.844,5.064,-1.51, , , , , ,unassessed,,True,gf_167358,LAB,PRIMARY LAB DenHartog2014,0.05,True,False,True,622c954:data/products/solar/Fe.json,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_PRODUCTION,preserve_existing
Y,FeI,10145.561,4.795,-0.177, , , , , ,unassessed,,True,gf_167360,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10149.076,5.099,-2.121, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10153.305,5.446,-1.187, , , , , ,unassessed,,True,gf_167361,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10155.162,2.176,-4.226, , , , , ,unassessed,,True,gf_167362,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10156.505,4.593,-1.711, , , , , ,unassessed,,True,gf_167363,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10167.468,2.198,-4.117, , , , , ,unassessed,,True,gf_167364,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeII,10173.515,5.511,-2.736, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10195.105,2.728,-3.58, , , , , ,unassessed,,True,gf_167366,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10216.313,4.733,-0.063, , , , , ,unassessed,,True,gf_167367,LAB,PRIMARY LAB Ruffoni2014,0.02,True,False,True,622c954:data/products/solar/Fe.json,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_PRODUCTION,preserve_existing
Y,FeI,10218.407,3.071,-2.76, , , , , ,unassessed,,True,gf_167368,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10227.994,6.119,-0.354, , , , , ,unassessed,,True,gf_167369,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
