wavelength_air_A,ep_eV,log_gf,gf_grade,gf_grade_source,gf_sigma_dex,gf_reference_tag,gf_ref_loggf,gf_delta_dex
7268.5648,3.8816,-2.894,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.902,-0.008000000000000007
7284.8341,4.1426,-1.75,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.75,0.0
7285.2753,4.607,-1.7,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.7,0.0
7288.7357,4.2204,-1.035,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.24,-0.20500000000000007
7292.8293,4.5585,-1.103,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL+GESHRL,-1.16,-0.05699999999999994
7293.0427,4.2562,-0.897,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.96,-0.06299999999999994
7300.5292,4.988,-1.026,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.026,0.0
7306.5617,4.1777,-1.74,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.43,0.31000000000000005
7307.9306,4.1426,-1.531,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.15,0.381
7311.0742,4.2833,-0.967,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.965,0.0020000000000000018
7320.6685,3.8916,-1.155,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7330.1371,4.6382,-2.03,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.03,0.0
7351.1111,4.988,-0.841,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.799,-0.958
7351.5117,4.9556,-0.638,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.637,0.0010000000000000009
7353.5103,4.7331,-1.57,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.57,0.0
7363.922,4.9556,-1.205,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.843,0.3620000000000001
7365.6772,5.1124,-1.651,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.661,-0.010000000000000009
7366.37,4.6382,-1.9,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.9,0.0
7370.119,4.7331,-1.724,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.724,0.0
7376.4805,5.9987,0.089,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7381.3327,5.3516,-1.087,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.134,-0.04699999999999993
7382.9157,4.607,-1.558,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.416,0.14200000000000013
7386.3331,4.913,-0.267,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.268,-0.0010000000000000009
7401.6826,4.1864,-1.599,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK+BWL,-1.548,0.050999999999999934
7418.6663,4.1426,-1.376,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.376,0.0
7421.5588,4.6382,-1.8,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.8,0.0
7430.5379,2.5881,-3.86,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-3.86,0.0
7430.8555,4.607,-1.539,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.764,-0.2250000000000001
7435.5909,5.3085,-0.716,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.712,0.0040000000000000036
7440.2443,5.3852,-1.406,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.305,0.10099999999999998
7440.911,4.913,-0.573,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.573,0.0
7443.0217,4.1864,-1.82,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.64,0.18000000000000016
7447.3931,4.9556,-0.846,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.209,-0.3630000000000001
7453.9966,4.1864,-2.41,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.41,0.0
7461.5194,2.5592,-3.58,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-3.58,0.0
7463.3822,5.0638,-1.72,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.72,0.0
7464.2932,5.4099,-1.066,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.046,0.020000000000000018
7471.7402,2.7275,-3.919,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.919,0.0
7472.75,5.3516,-0.994,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.016,-0.02200000000000002
7473.5539,4.607,-1.87,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.87,0.0
7476.1253,5.0331,-1.54,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7476.3747,4.7955,-1.68,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.68,0.0
7481.9314,4.7955,-1.8,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.8,0.0
7482.2226,5.0856,-1.495,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.377,0.1180000000000001
7484.2988,5.0856,-1.7,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.7,0.0
7491.6468,4.3013,-0.9,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.06,-0.16000000000000003
7494.3953,5.3516,-1.119,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.069,0.050000000000000044
7498.5298,4.1426,-2.25,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.25,0.0
7504.2705,5.3852,-1.006,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.992,0.014000000000000012
7506.0126,5.0638,-1.219,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.218,0.001000000000000112
7507.265,4.4153,-1.485,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.475,0.010000000000000009
7512.1266,2.2786,-2.983,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-4.067,-1.084
7514.1982,5.3085,-0.874,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.868,0.006000000000000005
7523.2214,4.9913,-1.478,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7540.4291,2.7275,-3.85,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-3.85,0.0
7547.8961,5.0995,-1.35,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.35,0.0
7551.1041,5.0856,-1.63,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.63,0.0
7559.7188,5.0638,-1.08,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.077,0.0030000000000001137
7568.8981,4.2833,-0.773,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.88,-0.10699999999999998
7573.4135,6.5828,0.302,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7582.1207,4.9556,-1.75,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.75,0.0
7583.7875,3.0176,-1.885,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.885,0.0
7661.1944,4.2562,-0.829,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-0.88,-0.051000000000000045
7710.3626,4.2204,-1.113,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL+GESHRL,-1.07,0.04299999999999993
7715.202,5.9987,-0.413,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7719.0583,5.0331,-1.153,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.31,-0.15700000000000003
7720.7111,5.0856,-1.519,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.333,0.18599999999999994
7723.2067,2.2786,-3.617,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESB82c,-3.617,0.0
7733.7231,5.0638,-1.536,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.537,-0.0009999999999998899
7742.7034,4.9913,-0.78,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.777,0.0030000000000000027
7745.5127,5.0856,-1.17,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.172,-0.0020000000000000018
7746.5948,5.0638,-1.284,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.282,0.0020000000000000018
7751.1084,4.9913,-0.754,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.753,0.0010000000000000009
7802.4727,5.0856,-1.335,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.522,-0.18700000000000006
7807.9084,4.9913,-0.542,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.541,0.0010000000000000009
7810.814,5.0331,-1.32,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.155,0.16500000000000004
7844.5582,4.8349,-1.81,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.81,0.0
7855.3987,5.0638,-1.017,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.02,-0.0030000000000001137
7869.5898,4.3714,-1.837,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7879.7564,5.0331,-1.65,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.65,0.0
7912.8656,0.859,-4.848,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESB79b,-4.848,0.0
7915.5139,5.1055,-1.257,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.262,-0.0050000000000001155
7941.0872,3.274,-2.286,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK,-2.286,0.0
7941.8316,3.0469,-3.736,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.732,0.0040000000000000036
7954.9505,2.9904,-2.755,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.659,-0.9039999999999999
7955.6915,5.0331,-1.117,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.12,-0.0030000000000001137
7959.1507,5.0331,-1.212,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.213,-0.001000000000000112
7964.9722,5.0638,-1.501,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.841,-0.3400000000000001
8002.5755,4.58,-1.634,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.618,0.015999999999999792
8024.5426,6.1344,-0.28,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8027.9405,3.2515,-2.786,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.785,0.0009999999999998899
8028.3124,4.4733,-0.689,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.686,0.0029999999999998916
8047.6165,0.859,-4.787,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-4.742,0.04499999999999993
8072.1633,2.4242,-3.525,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.519,0.005999999999999783
8075.1489,0.9146,-5.062,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESB86,-5.088,-0.0259999999999998
8080.5447,3.3009,-2.711,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.71,0.0009999999999998899
8089.3534,5.0674,-1.147,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.141,0.006000000000000005
8092.0386,5.5869,-1.005,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.023,-0.018000000000000016
8096.8747,4.0758,-1.776,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.767,0.009000000000000119
8198.2725,5.5392,-0.877,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.189,-0.31200000000000006
8207.7414,4.4456,-0.856,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.96,-0.10399999999999998
8232.3156,4.4153,-0.777,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.85,-0.07299999999999995
8239.1267,2.4242,-3.18,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-3.179,0.001000000000000334
8248.1281,4.3714,-0.892,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.23,-0.33799999999999997
8269.6486,4.5931,-1.791,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.771,0.020000000000000018
8275.8913,4.9556,-1.407,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.441,-0.03400000000000003
8292.8072,5.5392,-0.933,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.956,-0.02299999999999991
8293.5124,3.3009,-2.175,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK+BWL,-2.164,0.010999999999999677
8307.609,0.9901,-5.742,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-5.765,-0.022999999999999687
