wavelength_air_A,flux
8211.092573205055,0.9667
8211.102570503124,0.9641
8211.112567801189,0.962
8211.122565099256,0.9604
8211.132562397324,0.9597
8211.14255969539,0.9601
8211.152556993458,0.9612
8211.162554291526,0.9628
8211.172551589592,0.9644
8211.18254888766,0.9658
8211.192546185726,0.9668
8211.202543483792,0.9673
8211.21254078186,0.9675
8211.222538079926,0.9676
8211.232535377992,0.9673
8211.24253267606,0.9663
8211.252529974126,0.9647
8211.262527272193,0.9625
8211.272524570259,0.9598
8211.282521868327,0.9569
8211.292519166393,0.9542
8211.302516464459,0.9519
8211.312513762527,0.9503
8211.32251106059,0.9495
8211.332508358657,0.9496
8211.342505656725,0.9508
8211.35250295479,0.953
8211.362500252853,0.9559
8211.372497550923,0.9592
8211.382494848987,0.9628
8211.392492147053,0.9662
8211.402489445118,0.9693
8211.412486743184,0.9719
8211.422484041248,0.974
8211.432481339316,0.9754
8211.442478637382,0.9763
8211.452475935446,0.9766
8211.462473233512,0.9763
8211.472470531577,0.9756
8211.482467829643,0.9748
8211.492465127709,0.9738
8211.502462425775,0.9727
8211.512459723837,0.9715
8211.522457021903,0.9702
8211.53245431997,0.9692
8211.542451618032,0.9684
8211.552448916096,0.9681
8211.562446214162,0.9681
8211.572443512227,0.9685
8211.582440810293,0.9693
8211.592438108357,0.9706
8211.602435406421,0.972
8211.612432704484,0.9736
8211.62243000255,0.9753
8211.632427300612,0.9769
8211.642424598678,0.9785
8211.652421896742,0.9801
8211.662419194807,0.9817
8211.67241649287,0.983
8211.682413790935,0.9841
8211.692411089001,0.9847
8211.702408387062,0.985
8211.712405685128,0.9852
8211.72240298319,0.9853
8211.732400281255,0.9856
8211.742397579317,0.9859
8211.752394877381,0.986
8211.762392175446,0.9859
8211.772389473508,0.986
8211.78238677157,0.9861
8211.792384069635,0.9863
8211.8023813677,0.9865
8211.812378665762,0.9865
8211.822375963826,0.9863
8211.832373261888,0.9861
8211.842370559953,0.9859
8211.852367858015,0.9858
8211.862365156077,0.9857
8211.872362454142,0.9855
8211.882359752202,0.9852
8211.892357050267,0.9848
8211.902354348329,0.9844
8211.912351646391,0.9838
8211.922348944454,0.9832
8211.932346242516,0.9826
8211.942343540577,0.9822
8211.952340838641,0.9817
8211.962338136704,0.9811
8211.972335434764,0.9804
8211.982332732827,0.9794
8211.99233003089,0.978
8212.002327328952,0.9762
8212.012324627016,0.974
8212.022321925077,0.9717
8212.032319223137,0.9717
8212.0423165212,0.9716
8212.052313819264,0.9716
8212.062311117323,0.9716
8212.072308415385,0.9715
8212.082305713448,0.9715
8212.092303011508,0.9714
8212.10230030957,0.9713
8212.112297607635,0.9713
8212.122294905692,0.9713
8212.132292203753,0.9712
8212.142289501817,0.9712
8212.152286799877,0.9711
8212.16228409794,0.9711
8212.172281395999,0.9711
8212.182278694057,0.971
8212.192275992122,0.971
8212.202273290184,0.9709
8212.212270588245,0.9709
8212.222267886304,0.9708
8212.232265184364,0.9708
8212.242262482427,0.9708
8212.252259780487,0.9707
8212.262257078546,0.9707
8212.272254376605,0.9706
8212.282251674667,0.9706
8212.292248972728,0.9706
8212.302246270789,0.9705
8212.31224356885,0.9705
8212.322240866908,0.9704
8212.332238164969,0.9703
8212.34223546303,0.9703
8212.35223276109,0.9701
8212.362230059149,0.9696
8212.372227357208,0.9693
8212.382224655268,0.969
8212.392221953327,0.9686
8212.402219251388,0.9682
8212.412216549448,0.9678
8212.422213847509,0.9675
8212.43221114557,0.9676
8212.442208443626,0.9678
8212.452205741687,0.9677
8212.462203039744,0.9669
8212.472200337805,0.9658
8212.482197635863,0.9647
8212.492194933924,0.9637
8212.502192231985,0.9628
8212.512189530042,0.9619
8212.5221868281,0.9608
8212.53218412616,0.9592
8212.542181424218,0.9573
8212.552178722277,0.9557
8212.562176020336,0.9546
8212.572173318395,0.9537
8212.582170616453,0.9531
8212.592167914512,0.9524
8212.602165212573,0.952
8212.612162510628,0.9517
8212.62215980869,0.9511
8212.632157106746,0.95
8212.642154404804,0.9484
8212.652151702861,0.9464
8212.66214900092,0.944
8212.672146298979,0.9413
8212.682143597038,0.9383
8212.692140895097,0.9352
8212.702138193154,0.9321
8212.712135491212,0.9291
8212.72213278927,0.9259
8212.732130087326,0.9227
8212.742127385385,0.9196
8212.752124683442,0.9168
8212.762121981497,0.914
8212.772119279558,0.911
8212.782116577615,0.9076
8212.79211387567,0.9037
8212.802111173729,0.8989
8212.812108471786,0.8932
8212.822105769843,0.8863
8212.8321030679,0.8783
8212.842100365959,0.8692
8212.852097664016,0.8587
8212.86209496207,0.8468
8212.87209226013,0.8335
8212.882089558185,0.819
8212.892086856244,0.803
8212.902084154299,0.786
8212.912081452358,0.7674
8212.922078750413,0.7478
8212.93207604847,0.7273
8212.942073346527,0.7063
8212.952070644582,0.6852
8212.96206794264,0.6643
8212.972065240694,0.6442
8212.982062538751,0.6251
8212.992059836808,0.6075
8213.002057134863,0.5921
8213.012054432918,0.5794
8213.022051730975,0.5697
8213.032049029032,0.5634
8213.042046327088,0.5605
8213.052043625143,0.5609
8213.0620409232,0.5646
8213.072038221255,0.5719
8213.08203551931,0.5827
8213.092032817367,0.5969
8213.102030115422,0.6139
8213.112027413477,0.6331
8213.122024711534,0.6538
8213.132022009586,0.6754
8213.142019307643,0.6974
8213.152016605698,0.7192
8213.162013903755,0.7401
