line_air_A,holding,half_width_A,n_pixels,feature_absorption_mA,minimum_flux,geometry,disposition,error
8683.4,solar_kpno_molecfit_corrected,0.25,46,9.908918500000063,0.96164,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_molecfit_corrected,0.5,94,25.597571999983714,0.9117,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_molecfit_corrected,1.1,206,38.81102850000966,0.9117,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_iag,0.15,19,5.137426572519211,0.9783393144607544,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_iag,0.25,33,7.928142950138259,0.9783393144607544,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_iag,0.5,65,14.317321600678431,0.9783393144607544,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_iag,1.1,143,27.362999112226664,0.9783393144607544,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_kpno_kurucz2005_corrected,,0,,,disk_integrated_flux,NOT_MEASURED,"no kpno_solar_atlas holding covers 10108.900 +/- 2.000 A (solar_kpno_kurucz2005_corrected 2990.0-10010.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
10108.9,solar_kpno_molecfit_corrected,0.15,25,2.5539620000088328,0.98798,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_kpno_molecfit_corrected,0.25,42,3.4031499999969226,0.98798,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_kpno_molecfit_corrected,0.5,85,6.12874500000182,0.98798,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
10108.9,solar_kpno_molecfit_corrected,1.1,186,11.462857999998855,0.98529,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
