ion,band,holding,wavelength_air_A,line_A,red_chi2,target_depth,n_in_window,deepest_interloper,deepest_species,deepest_wavelength_A,n_CH_in_window,contaminated,obs_depth,obs_ew_mA,obs_rew
I,VIS,solar_kpno_molecfit_corrected,5473.9,7.515,78.63,0.594,43,0.182,Ti I,5474.223,0,False,0.62607,91.07199549997775,-1.7789120066242992
I,VIS,solar_kpno_molecfit_corrected,5481.438,7.607,60.641,0.416,83,0.505,Fe I,5481.24267,0,True,0.48621000000000003,120.53081649988347,-1.6577964076415934
I,VIS,solar_kpno_molecfit_corrected,5483.099,7.467,60.765,0.442,30,0.448,Co I,5483.30958,0,True,0.42896,68.53323850005981,-1.9031248327044077
I,VIS,solar_kpno_molecfit_corrected,5493.499,6.837,115.915,0.302,44,0.52,Fe I,5493.32156,0,True,0.36305,55.571122000044426,-1.9949998843670451
I,VIS,solar_kpno_molecfit_corrected,5532.747,7.232,66.312,0.39,30,0.29,Fe I,5532.86558,0,True,0.35682,59.488668000035666,-1.96850656653939
I,VIS,solar_kpno_molecfit_corrected,5538.516,7.508,58.698,0.024,35,0.022,Fe I,5538.05465,0,True,0.35374000000000005,43.03872849998143,-2.109533982249112
I,VIS,solar_kpno_molecfit_corrected,5554.894,7.348,112.724,0.568,36,0.212,Fe I,5555.12191,0,False,0.61312,103.0034459999524,-1.7318240216773548
I,VIS,solar_kpno_molecfit_corrected,5563.6,7.396,63.959,0.536,27,0.355,Fe I,5563.69304,0,True,0.60405,104.14259950003648,-1.7277274845666377
I,VIS,solar_kpno_molecfit_corrected,5573.102,7.439,89.932,0.452,36,0.764,Fe I,5572.84201,0,True,0.44816,143.92438500001566,-1.5879626093139092
I,VIS,solar_kpno_molecfit_corrected,5602.767,7.525,63.949,0.508,15,0.691,Fe I,5602.94468,0,True,0.71895,205.97104200012834,-1.434596395934591
I,VIS,solar_kpno_molecfit_corrected,5618.632,7.395,69.016,0.455,25,0.045,Fe I,5619.22418,0,False,0.45348,56.54496150002753,-1.9972366756085154
I,VIS,solar_kpno_molecfit_corrected,5638.262,7.449,71.431,0.548,34,0.075,Ni I,5638.75054,0,False,0.59903,84.28467950001709,-1.825396613185723
I,VIS,solar_kpno_molecfit_corrected,5658.532,7.4,74.722,0.518,48,0.699,Fe I,5658.81601,0,True,0.51576,166.45762350037128,-1.5314000862824777
I,VIS,solar_kpno_molecfit_corrected,5705.992,7.56,92.493,0.526,25,0.394,Fe I,5705.46388,0,True,0.55775,103.21394449991719,-1.7425927827403147
I,VIS,solar_kpno_molecfit_corrected,5712.131,7.471,55.167,0.483,48,0.473,Ni I,5711.893,0,True,0.46487999999999996,98.69974650051797,-1.7624821216056887
I,VIS,solar_kpno_molecfit_corrected,5717.833,7.546,68.415,0.467,24,0.047,Ca I,5717.51758,0,False,0.51037,75.17096450002687,-1.881181344218342
I,VIS,solar_kpno_molecfit_corrected,5753.122,7.555,76.876,0.563,43,0.149,Si I,5753.62257,0,False,0.60396,92.89559049995766,-1.791908484009088
I,VIS,solar_kpno_molecfit_corrected,5775.081,7.558,92.38,0.434,21,0.014,Ti I,5774.66184,0,False,0.5019100000000001,70.1278895000276,-1.9156673109286149
I,VIS,solar_kpno_molecfit_corrected,5784.658,7.616,57.56,0.299,28,0.393,Fe I,5785.26991,0,True,0.26652,41.233433499950074,-2.147028187805956
I,VIS,solar_kpno_molecfit_corrected,6003.011,7.606,110.17,0.542,50,0.025,V I,6002.6113,0,False,0.58558,90.90784599991906,-1.8197677715917586
I,VIS,solar_kpno_molecfit_corrected,6008.556,7.608,63.246,0.565,7,0.479,Fe I,6007.95931,0,True,0.59839,95.66130099998647,-1.7980338301608336
I,VIS,solar_kpno_molecfit_corrected,6056.005,7.377,57.282,0.486,5,0.129,Fe I,6055.40153,0,False,0.53007,78.41327699998452,-1.8877966210509585
I,VIS,solar_kpno_molecfit_corrected,6141.731,7.845,62.313,0.527,45,0.696,Ba II,6141.7129,0,True,0.76768,123.93889900000352,-1.6950831571630463
I,VIS,solar_kpno_molecfit_corrected,6232.64,7.469,58.521,0.551,44,0.048,V I,6233.13283,0,False,0.57228,89.88573950000477,-1.840981246814983
I,VIS,solar_kpno_molecfit_corrected,6315.811,7.379,63.055,0.322,14,0.439,Fe I,6315.30547,0,True,0.34797999999999996,46.351307999937546,-2.1343671311872394
I,VIS,solar_kpno_molecfit_corrected,6336.823,7.481,82.009,0.595,3,0.015,Fe I,6336.39324,0,False,0.63199,115.03138699991052,-1.7410552202283165
I,VIS,solar_kpno_molecfit_corrected,6408.017,7.479,99.457,0.567,48,0.034,Sr I,6408.459,0,False,0.59761,105.350109999925,-1.7840886618219782
I,VIS,solar_kpno_molecfit_corrected,6627.544,7.591,64.697,0.171,6,0.005,Cr I,6627.87646,0,False,0.22185,30.392202500029388,-2.3385904454639443
I,VIS,solar_kpno_molecfit_corrected,6663.231,7.402,71.617,0.357,8,0.548,Fe I,6663.44069,0,True,0.26514000000000004,90.78593650037134,-1.8656662917023374
I,VIS,solar_kpno_molecfit_corrected,6705.101,7.307,114.979,0.239,7,0.018,Fe I,6705.13333,0,False,0.34231,49.88576350003051,-2.128428700615066
I,VIS,solar_kpno_molecfit_corrected,6725.356,7.376,68.416,0.125,2,0.001,CN I,6724.76405,0,False,0.14249,19.388476000007223,-2.5401716048268037
I,VIS,solar_kpno_molecfit_corrected,6841.339,7.235,59.002,0.406,16,0.159,Mg I,6841.084,0,False,0.44236,76.43869099991089,-1.9518278697643971
I,VIS,solar_kpno_molecfit_corrected,6843.655,7.413,106.103,0.379,6,0.003,Cr I,6843.364,0,False,0.42564,65.13859750003644,-2.021449704386142
I,VIS,solar_kpno_molecfit_corrected,6855.161,7.467,60.059,0.419,3,0.119,Fe I,6855.7116,0,False,0.48762000000000005,77.61460499987116,-1.9460742074720998
I,VIS,solar_kpno_molecfit_corrected,6858.148,7.447,70.656,0.363,6,0.015,Y II,6858.21912,0,False,0.37334,55.24439000005802,-2.093918670503715
