ion,band,holding,wavelength_air_A,line_A,red_chi2,target_depth,n_in_window,deepest_interloper,deepest_species,deepest_wavelength_A,n_CH_in_window,contaminated,obs_depth,obs_ew_mA,obs_rew
II,near-UV,solar_kpno_kurucz2005_corrected,3193.799,,72.826,0.98,159,0.991,Fe I,3193.22566,1,True,0.92497,276.66411550021206,-1.0623547476036537
II,near-UV,solar_kpno_kurucz2005_corrected,3196.07,7.824999999999999,47.229,0.982,94,0.962,Ni I,3195.572,0,True,0.91428,303.6869089999882,-1.0221902113850008
II,near-UV,solar_kpno_kurucz2005_corrected,3210.444,,64.333,0.979,94,0.975,Fe I,3210.82874,0,True,0.91784,337.5889084999548,-0.9781769294678162
II,near-UV,solar_kpno_kurucz2005_corrected,3213.309,7.635,77.627,0.985,61,0.951,Ti II,3213.1214,1,True,0.92188,367.6853700002083,-0.9414761405534815
II,near-UV,solar_kpno_kurucz2005_corrected,3227.742,7.380999999999999,30.912,0.987,86,0.977,Fe I,3227.79517,0,True,0.9338299999999999,362.7841344998598,-0.9492505274253298
II,near-UV,solar_kpno_kurucz2005_corrected,3255.887,,41.454,0.981,77,0.917,Mn I,3256.12753,0,True,0.8613500000000001,226.1497484998406,-1.1582732145910748
II,near-UV,solar_kpno_kurucz2005_corrected,3277.348,7.226999999999999,36.173,0.981,154,0.946,Ti II,3276.7718,0,True,0.8466400000000001,229.5257614999231,-1.1546911217723204
II,near-UV,solar_kpno_molecfit_corrected,3002.644,7.049,53.243,0.992,116,0.995,Ni I,3002.485,0,True,0.93316,414.23385549976274,-0.8602582532824417
II,near-UV,solar_kpno_molecfit_corrected,3170.337,7.552,98.425,0.966,89,0.85,Fe I,3170.13013,4,True,0.90793,223.820462000104,-1.1512056413843528
II,near-UV,solar_kpno_molecfit_corrected,3183.114,7.405,145.938,0.975,150,0.951,Fe I,3182.97096,5,True,0.90758,367.82094149953747,-0.9372157410091886
