element,ion,band,holding,tier,route,treatment,line_set,A,n_lines,perline_reachable,resolution,perline_artifact
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,ENGINE-B-NLTE,,7.488,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,synth-1D-LTE-gerber,,7.439,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,synth-mean3D-LTE-gerber-stagger,,7.541,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-mean3D-LTE-gerber-stagger_lines.csv
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,synth-mean3D-NLTE-gerber-stagger,,7.562,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-mean3D-NLTE-gerber-stagger_lines.csv
Fe,I,VIS,solar_kpno_molecfit_corrected,ALL,SYNTH,ENGINE-A-3DNLTE,asplund,7.5037,21,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.417,108,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_molecfit_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.426,104,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_molecfit_corrected,GRADED,PROFILEFIT,1D-LTE,,7.463,13,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_molecfit_corrected,GRADED,PROFILEFIT,ENGINE-A,,7.464,12,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_molecfit_corrected,GRADED,SYNTH,1D-LTE,,7.447,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
