element,ion,band,holding,tier,route,treatment,line_set,product_A,wavelength_air_A,line_A,red_chi2,in_aggregate,excluded_reason,nlte_delta_dex,nlte_source,perline_artifact
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,4416.819,,61.048,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,registered per-line delta_nlte (NOT SERVED),FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,4508.28,,15.388,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,registered per-line delta_nlte (NOT SERVED),FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,4522.628,,72.767,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,registered per-line delta_nlte (NOT SERVED),FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,4549.466,,46.413,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,registered per-line delta_nlte (NOT SERVED),FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.324,4583.829,7.185,40.236,True,,-0.001,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4233.162,7.477,97.395,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4351.762,7.071,64.393,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4385.377,8.4,159.644,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4416.819,7.546,62.026,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4508.28,7.588,15.544,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4522.628,7.991,72.956,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe,II,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,,7.567,4549.466,7.678,46.525,True,,0.0,"none — LTE, no departure applied",FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
