line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry
gf_002982,pk_e2849755ec55,C2,,C2,4593.8063,0.8999,1,0.2762,VALD3,,linelist(VALD3),single_source,,,0.2762,False,False,True,,,,,False,VALD3,False
gf_002983,pk_e953571c5d39,C2,,C2,4594.0039,1.201,1,-0.117,VALD3,,linelist(VALD3),single_source,,,-0.117,False,False,True,,,,,False,VALD3,False
gf_002984,pk_51b43823137d,C2,,C2,4594.1267,1.201,1,-0.125,VALD3,,linelist(VALD3),single_source,,,-0.125,False,False,True,,,,,False,VALD3,False
gf_002985,pk_9c9e5495c936,C2,,C2,4596.5152,1.1808,1,0.18,VALD3,,linelist(VALD3),single_source,,,0.18,False,False,True,,,,,False,VALD3,False
gf_002986,pk_85ffbe8c2a4f,C2,,C2,4596.6553,1.1811,1,-0.133,VALD3,,linelist(VALD3),single_source,,,-0.133,False,False,True,,,,,False,VALD3,False
gf_002987,pk_4e45f9cdfd1a,C2,,C2,4597.3363,0.8747,1,0.2692,VALD3,,linelist(VALD3),single_source,,,0.2692,False,False,True,,,,,False,VALD3,False
gf_002988,pk_97a3757b68ad,C2,,C2,4598.5764,1.1616,1,0.1716,VALD3,,linelist(VALD3),single_source,,,0.1716,False,False,True,,,,,False,VALD3,False
gf_002989,pk_5f83750933b6,C2,,C2,4598.7374,1.1617,1,-0.142,VALD3,,linelist(VALD3),single_source,,,-0.142,False,False,True,,,,,False,VALD3,False
gf_002990,pk_ab64e73c1a73,C2,,C2,4600.3648,0.8504,1,0.2622,VALD3,,linelist(VALD3),single_source,,,0.2622,False,False,True,,,,,False,VALD3,False
gf_002991,pk_102f22f0368a,C2,,C2,4601.0684,1.1422,1,0.1626,VALD3,,linelist(VALD3),single_source,,,0.1626,False,False,True,,,,,False,VALD3,False
gf_002992,pk_43efef869810,C2,,C2,4601.2109,1.1425,1,-0.151,VALD3,,linelist(VALD3),single_source,,,-0.151,False,False,True,,,,,False,VALD3,False
gf_002993,pk_f5ce29679e26,C2,,C2,4603.0959,1.1237,1,0.1536,VALD3,,linelist(VALD3),single_source,,,0.1536,False,False,True,,,,,False,VALD3,False
gf_002994,pk_6e34dc038dfe,C2,,C2,4603.2584,1.1238,1,-0.16,VALD3,,linelist(VALD3),single_source,,,-0.16,False,False,True,,,,,False,VALD3,False
gf_002995,pk_b79d4d15170d,C2,,C2,4603.8197,0.8259,1,0.2548,VALD3,,linelist(VALD3),single_source,,,0.2548,False,False,True,,,,,False,VALD3,False
gf_002996,pk_7c806d6abe66,C2,,C2,4605.5305,1.105,1,0.1446,VALD3,,linelist(VALD3),single_source,,,0.1446,False,False,True,,,,,False,VALD3,False
gf_002997,pk_05e27488bdf1,C2,,C2,4605.6756,1.1053,1,-0.17,VALD3,,linelist(VALD3),single_source,,,-0.17,False,False,True,,,,,False,VALD3,False
gf_002998,pk_40c73882cc82,C2,,C2,4606.7953,0.8023,1,0.2472,VALD3,,linelist(VALD3),single_source,,,0.2472,False,False,True,,,,,False,VALD3,False
gf_002999,pk_da374a7a12e0,C2,,C2,4606.9728,1.2748,1,-0.208,VALD3,,linelist(VALD3),single_source,,,-0.208,False,False,True,,,,,False,VALD3,False
gf_003000,pk_934eeb31fd3d,C2,,C2,4607.5219,1.0873,1,0.1356,VALD3,,linelist(VALD3),single_source,,,0.1356,False,False,True,,,,,False,VALD3,False
gf_003001,pk_1ef6fac3f325,C2,,C2,4607.6864,1.0874,1,-0.179,VALD3,,linelist(VALD3),single_source,,,-0.179,False,False,True,,,,,False,VALD3,False
gf_003002,pk_60f527d3c7cd,C2,,C2,4608.7451,1.257,1,-0.208,VALD3,,linelist(VALD3),single_source,,,-0.208,False,False,True,,,,,False,VALD3,False
gf_003003,pk_397a3c9562b1,C2,,C2,4608.8785,0.9527,1,-0.139,VALD3,,linelist(VALD3),single_source,,,-0.139,False,False,True,,,,,False,VALD3,False
gf_003004,pk_dedada5366d5,C2,,C2,4608.8853,1.2572,1,-0.217,VALD3,,linelist(VALD3),single_source,,,-0.217,False,False,True,,,,,False,VALD3,False
gf_003005,pk_ed0cd1032001,C2,,C2,4609.8979,1.0694,1,0.1261,VALD3,,linelist(VALD3),single_source,,,0.1261,False,False,True,,,,,False,VALD3,False
gf_003006,pk_5459bfd9ef3d,C2,,C2,4610.0459,1.0697,1,-0.189,VALD3,,linelist(VALD3),single_source,,,-0.189,False,False,True,,,,,False,VALD3,False
gf_003007,pk_e365de53f540,C2,,C2,4610.1739,0.7786,1,0.2398,VALD3,,linelist(VALD3),single_source,,,0.2398,False,False,True,,,,,False,VALD3,False
gf_003008,pk_a7436896a0f0,C2,,C2,4610.5894,1.2401,1,0.0881,VALD3,,linelist(VALD3),single_source,,,0.0881,False,False,True,,,,,False,VALD3,False
gf_003009,pk_cd10536b1476,C2,,C2,4610.7276,1.2403,1,-0.227,VALD3,,linelist(VALD3),single_source,,,-0.227,False,False,True,,,,,False,VALD3,False
gf_003010,pk_33cb05b2a7ad,C2,,C2,4611.112,0.9338,1,-0.139,VALD3,,linelist(VALD3),single_source,,,-0.139,False,False,True,,,,,False,VALD3,False
gf_003011,pk_3c94be4c1dab,C2,,C2,4611.2173,0.9338,1,-0.148,VALD3,,linelist(VALD3),single_source,,,-0.148,False,False,True,,,,,False,VALD3,False
gf_003012,pk_e00c78400bd1,C2,,C2,4611.8512,1.0524,1,0.1161,VALD3,,linelist(VALD3),single_source,,,0.1161,False,False,True,,,,,False,VALD3,False
gf_003013,pk_1b8a112ab26d,C2,,C2,4612.0179,1.0525,1,-0.199,VALD3,,linelist(VALD3),single_source,,,-0.199,False,False,True,,,,,False,VALD3,False
gf_003014,pk_676c719077fa,C2,,C2,4612.4502,1.2231,1,0.0781,VALD3,,linelist(VALD3),single_source,,,0.0781,False,False,True,,,,,False,VALD3,False
gf_003015,pk_68867e459602,C2,,C2,4612.6088,1.2235,1,-0.238,VALD3,,linelist(VALD3),single_source,,,-0.238,False,False,True,,,,,False,VALD3,False
gf_003016,pk_b2bdf8ae1f6d,C2,,C2,4613.0955,0.7557,1,0.2322,VALD3,,linelist(VALD3),single_source,,,0.2322,False,False,True,,,,,False,VALD3,False
gf_003017,pk_83b4b0665714,C2,,C2,4613.6304,0.9149,1,0.1571,VALD3,,linelist(VALD3),single_source,,,0.1571,False,False,True,,,,,False,VALD3,False
gf_003018,pk_7aceb698eef4,C2,,C2,4613.7543,0.9152,1,-0.157,VALD3,,linelist(VALD3),single_source,,,-0.157,False,False,True,,,,,False,VALD3,False
gf_003019,pk_b284130e916e,C2,,C2,4614.1672,1.0353,1,0.1071,VALD3,,linelist(VALD3),single_source,,,0.1071,False,False,True,,,,,False,VALD3,False
gf_003020,pk_e0ca2109afda,C2,,C2,4614.2765,1.2071,1,0.0681,VALD3,,linelist(VALD3),single_source,,,0.0681,False,False,True,,,,,False,VALD3,False
gf_003021,pk_4760c4ffaeff,C2,,C2,4614.3185,1.0355,1,-0.209,VALD3,,linelist(VALD3),single_source,,,-0.209,False,False,True,,,,,False,VALD3,False
gf_003022,pk_57d2f12f42fb,C2,,C2,4614.4185,1.2072,1,-0.248,VALD3,,linelist(VALD3),single_source,,,-0.248,False,False,True,,,,,False,VALD3,False
gf_003023,pk_ab25e548784f,C2,,C2,4615.909,0.8969,1,0.1476,VALD3,,linelist(VALD3),single_source,,,0.1476,False,False,True,,,,,False,VALD3,False
gf_003024,pk_a953b880824a,C2,,C2,4616.0451,0.8971,1,-0.167,VALD3,,linelist(VALD3),single_source,,,-0.167,False,False,True,,,,,False,VALD3,False
gf_003025,pk_f6b50a7fbcdc,C2,,C2,4616.0804,1.0189,1,0.0961,VALD3,,linelist(VALD3),single_source,,,0.0961,False,False,True,,,,,False,VALD3,False
gf_003026,pk_0dfd2c220cbe,C2,,C2,4616.1031,1.1909,1,0.0581,VALD3,,linelist(VALD3),single_source,,,0.0581,False,False,True,,,,,False,VALD3,False
gf_003027,pk_4e07cf3b99c9,C2,,C2,4616.2498,1.0191,1,-0.22,VALD3,,linelist(VALD3),single_source,,,-0.22,False,False,True,,,,,False,VALD3,False
gf_003028,pk_a354dc206420,C2,,C2,4616.266,1.1912,1,-0.259,VALD3,,linelist(VALD3),single_source,,,-0.259,False,False,True,,,,,False,VALD3,False
gf_003029,pk_a232cdd563d5,C2,,C2,4616.397,0.7327,1,0.2245,VALD3,,linelist(VALD3),single_source,,,0.2245,False,False,True,,,,,False,VALD3,False
gf_003030,pk_9e0d5a919bbc,C2,,C2,4617.8946,1.1755,1,0.0476,VALD3,,linelist(VALD3),single_source,,,0.0476,False,False,True,,,,,False,VALD3,False
gf_003031,pk_ad97d205dafb,C2,,C2,4618.0408,1.1756,1,-0.269,VALD3,,linelist(VALD3),single_source,,,-0.269,False,False,True,,,,,False,VALD3,False
gf_003032,pk_5fec515cc84a,C2,,C2,4618.3353,1.0025,1,0.0861,VALD3,,linelist(VALD3),single_source,,,0.0861,False,False,True,,,,,False,VALD3,False
gf_003033,pk_9b55296e77c3,C2,,C2,4618.3903,0.8789,1,0.1381,VALD3,,linelist(VALD3),single_source,,,0.1381,False,False,True,,,,,False,VALD3,False
gf_003034,pk_e3ca76633bd2,C2,,C2,4618.4901,1.0029,1,-0.23,VALD3,,linelist(VALD3),single_source,,,-0.23,False,False,True,,,,,False,VALD3,False
gf_003035,pk_dfbe4b3ad7a4,C2,,C2,4618.5175,0.8791,1,-0.177,VALD3,,linelist(VALD3),single_source,,,-0.177,False,False,True,,,,,False,VALD3,False
gf_003036,pk_cde06a71cbc2,C2,,C2,4619.2633,0.7106,1,0.2165,VALD3,,linelist(VALD3),single_source,,,0.2165,False,False,True,,,,,False,VALD3,False
gf_003037,pk_43bf49899033,C2,,C2,4619.6846,1.1601,1,0.0366,VALD3,,linelist(VALD3),single_source,,,0.0366,False,False,True,,,,,False,VALD3,False
gf_003038,pk_0a8d89fc8de9,C2,,C2,4619.8524,1.1603,1,-0.281,VALD3,,linelist(VALD3),single_source,,,-0.281,False,False,True,,,,,False,VALD3,False
gf_003039,pk_a10d1ed26d6f,C2,,C2,4620.2166,0.9869,1,-0.22,VALD3,,linelist(VALD3),single_source,,,-0.22,False,False,True,,,,,False,VALD3,False
gf_003040,pk_1195f65013d0,C2,,C2,4620.3654,0.987,1,0.0651,VALD3,,linelist(VALD3),single_source,,,0.0651,False,False,True,,,,,False,VALD3,False
gf_003041,pk_4f8176546d75,C2,,C2,4620.6204,0.8616,1,0.1286,VALD3,,linelist(VALD3),single_source,,,0.1286,False,False,True,,,,,False,VALD3,False
gf_003042,pk_441d80730922,C2,,C2,4620.7581,0.8618,1,-0.187,VALD3,,linelist(VALD3),single_source,,,-0.187,False,False,True,,,,,False,VALD3,False
gf_003043,pk_a20ada367cbe,C2,,C2,4621.4391,1.1453,1,0.0256,VALD3,,linelist(VALD3),single_source,,,0.0256,False,False,True,,,,,False,VALD3,False
gf_003044,pk_35b56022c34e,C2,,C2,4621.5901,1.1455,1,-0.292,VALD3,,linelist(VALD3),single_source,,,-0.292,False,False,True,,,,,False,VALD3,False
gf_003045,pk_97a3248c8972,C2,,C2,4621.963,1.3762,1,-0.267,VALD3,,linelist(VALD3),single_source,,,-0.267,False,False,True,,,,,False,VALD3,False
gf_003046,pk_cb09a659ea12,C2,,C2,4622.4011,0.9714,1,0.0646,VALD3,,linelist(VALD3),single_source,,,0.0646,False,False,True,,,,,False,VALD3,False
gf_003047,pk_1b10a166f969,C2,,C2,4622.4868,0.6884,1,0.2085,VALD3,,linelist(VALD3),single_source,,,0.2085,False,False,True,,,,,False,VALD3,False
gf_003048,pk_203628566b43,C2,,C2,4622.5578,0.9717,1,-0.252,VALD3,,linelist(VALD3),single_source,,,-0.252,False,False,True,,,,,False,VALD3,False
gf_003049,pk_a069809e4583,C2,,C2,4623.0343,0.8444,1,0.1191,VALD3,,linelist(VALD3),single_source,,,0.1191,False,False,True,,,,,False,VALD3,False
gf_003050,pk_4a647c209ba2,C2,,C2,4623.1653,0.8446,1,-0.197,VALD3,,linelist(VALD3),single_source,,,-0.197,False,False,True,,,,,False,VALD3,False
gf_003051,pk_193d253c4661,C2,,C2,4623.1901,1.1307,1,0.0141,VALD3,,linelist(VALD3),single_source,,,0.0141,False,False,True,,,,,False,VALD3,False
gf_003052,pk_814424899853,C2,,C2,4623.3635,1.131,1,-0.304,VALD3,,linelist(VALD3),single_source,,,-0.304,False,False,True,,,,,False,VALD3,False
gf_003053,pk_130b1b8ac363,C2,,C2,4623.4042,1.361,1,-0.278,VALD3,,linelist(VALD3),single_source,,,-0.278,False,False,True,,,,,False,VALD3,False
gf_003054,pk_7fc0b13f23ae,C2,,C2,4624.2699,0.9565,1,0.0536,VALD3,,linelist(VALD3),single_source,,,0.0536,False,False,True,,,,,False,VALD3,False
gf_003055,pk_efc320d5625e,C2,,C2,4624.4512,0.9567,1,-0.264,VALD3,,linelist(VALD3),single_source,,,-0.264,False,False,True,,,,,False,VALD3,False
gf_003056,pk_ab401930ef24,C2,,C2,4624.5695,0.741,1,-0.181,VALD3,,linelist(VALD3),single_source,,,-0.181,False,False,True,,,,,False,VALD3,False
gf_003057,pk_a42dda45b5d0,C2,,C2,4624.9053,1.1167,1,0.0021,VALD3,,linelist(VALD3),single_source,,,0.0021,False,False,True,,,,,False,VALD3,False
gf_003058,pk_b0679cad01e9,C2,,C2,4625.0158,1.3457,1,-0.288,VALD3,,linelist(VALD3),single_source,,,-0.288,False,False,True,,,,,False,VALD3,False
gf_003059,pk_26af07b383a9,C2,,C2,4625.0619,1.1169,1,-0.316,VALD3,,linelist(VALD3),single_source,,,-0.316,False,False,True,,,,,False,VALD3,False
gf_003060,pk_c0f29b50ce3e,C2,,C2,4625.214,0.8278,1,0.1086,VALD3,,linelist(VALD3),single_source,,,0.1086,False,False,True,,,,,False,VALD3,False
gf_003061,pk_a7346f2ca286,C2,,C2,4625.2602,0.667,1,0.028,VALD3,,linelist(VALD3),single_source,,,0.028,False,False,True,,,,,False,VALD3,False
gf_003062,pk_d81de6ce8861,C2,,C2,4625.3544,0.828,1,-0.207,VALD3,,linelist(VALD3),single_source,,,-0.207,False,False,True,,,,,False,VALD3,False
gf_003063,pk_ff0f73ee32b9,C2,,C2,4625.4216,0.6671,1,-0.284,VALD3,,linelist(VALD3),single_source,,,-0.284,False,False,True,,,,,False,VALD3,False
gf_003064,pk_1a512e1c1d4f,C2,,C2,4626.3509,0.9416,1,0.0426,VALD3,,linelist(VALD3),single_source,,,0.0426,False,False,True,,,,,False,VALD3,False
gf_003065,pk_77da80cef28f,C2,,C2,4626.4204,1.3312,1,-0.299,VALD3,,linelist(VALD3),single_source,,,-0.299,False,False,True,,,,,False,VALD3,False
gf_003066,pk_9e727889434a,C2,,C2,4626.5162,0.942,1,-0.276,VALD3,,linelist(VALD3),single_source,,,-0.276,False,False,True,,,,,False,VALD3,False
gf_003067,pk_b038a5910a42,C2,,C2,4626.5383,1.3314,1,-0.311,VALD3,,linelist(VALD3),single_source,,,-0.311,False,False,True,,,,,False,VALD3,False
gf_003068,pk_cd999d82136d,C2,,C2,4626.6161,1.1027,1,-0.0094,VALD3,,linelist(VALD3),single_source,,,-0.0094,False,False,True,,,,,False,VALD3,False
gf_003069,pk_fc2d3fa74d9e,C2,,C2,4626.7009,1.3315,1,-0.321,VALD3,,linelist(VALD3),single_source,,,-0.321,False,False,True,,,,,False,VALD3,False
gf_003070,pk_547691ae31da,C2,,C2,4626.7951,1.1031,1,-0.328,VALD3,,linelist(VALD3),single_source,,,-0.328,False,False,True,,,,,False,VALD3,False
gf_003071,pk_eb705c4a20d7,C2,,C2,4627.2507,0.722,1,0.1156,VALD3,,linelist(VALD3),single_source,,,0.1156,False,False,True,,,,,False,VALD3,False
gf_003072,pk_416ca8f36a44,C2,,C2,4627.5594,0.8113,1,0.0981,VALD3,,linelist(VALD3),single_source,,,0.0981,False,False,True,,,,,False,VALD3,False
gf_003073,pk_814b42900faf,C2,,C2,4627.6945,0.8116,1,-0.218,VALD3,,linelist(VALD3),single_source,,,-0.218,False,False,True,,,,,False,VALD3,False
gf_003074,pk_5b0decf4e080,C2,,C2,4628.0546,1.3167,1,-0.0149,VALD3,,linelist(VALD3),single_source,,,-0.0149,False,False,True,,,,,False,VALD3,False
gf_003075,pk_5e975dc16e80,C2,,C2,4628.1682,0.9275,1,0.0306,VALD3,,linelist(VALD3),single_source,,,0.0306,False,False,True,,,,,False,VALD3,False
gf_003076,pk_4aa64f729d70,C2,,C2,4628.2638,1.317,1,-0.333,VALD3,,linelist(VALD3),single_source,,,-0.333,False,False,True,,,,,False,VALD3,False
gf_003077,pk_3b5820c848b9,C2,,C2,4628.2847,1.0896,1,-0.0219,VALD3,,linelist(VALD3),single_source,,,-0.0219,False,False,True,,,,,False,VALD3,False
gf_003078,pk_b15f9cb62028,C2,,C2,4628.3283,0.9278,1,-0.288,VALD3,,linelist(VALD3),single_source,,,-0.288,False,False,True,,,,,False,VALD3,False
gf_003079,pk_c663612dfaea,C2,,C2,4628.441,0.6455,1,0.1922,VALD3,,linelist(VALD3),single_source,,,0.1922,False,False,True,,,,,False,VALD3,False
gf_003080,pk_acf459d528c1,C2,,C2,4628.4521,1.0898,1,-0.341,VALD3,,linelist(VALD3),single_source,,,-0.341,False,False,True,,,,,False,VALD3,False
gf_003081,pk_77e2ac07732a,C2,,C2,4629.3847,1.3029,1,-0.322,VALD3,,linelist(VALD3),single_source,,,-0.322,False,False,True,,,,,False,VALD3,False
gf_003082,pk_7e4fcb2cde3a,C2,,C2,4629.5086,1.3031,1,-0.334,VALD3,,linelist(VALD3),single_source,,,-0.334,False,False,True,,,,,False,VALD3,False
gf_003083,pk_ec57063843d9,C2,,C2,4629.6163,0.7036,1,0.1146,VALD3,,linelist(VALD3),single_source,,,0.1146,False,False,True,,,,,False,VALD3,False
gf_003084,pk_9ab9cff33639,C2,,C2,4629.6746,1.3032,1,-0.345,VALD3,,linelist(VALD3),single_source,,,-0.345,False,False,True,,,,,False,VALD3,False
gf_003085,pk_e989db436415,C2,,C2,4629.6871,0.7955,1,0.0876,VALD3,,linelist(VALD3),single_source,,,0.0876,False,False,True,,,,,False,VALD3,False
gf_003086,pk_ee2c933e8aec,C2,,C2,4629.7456,0.7038,1,-0.2,VALD3,,linelist(VALD3),single_source,,,-0.2,False,False,True,,,,,False,VALD3,False
gf_003087,pk_201f387f155a,C2,,C2,4629.8302,0.7957,1,-0.229,VALD3,,linelist(VALD3),single_source,,,-0.229,False,False,True,,,,,False,VALD3,False
gf_003088,pk_de74da4efe7a,C2,,C2,4629.8825,1.0763,1,-0.329,VALD3,,linelist(VALD3),single_source,,,-0.329,False,False,True,,,,,False,VALD3,False
gf_003089,pk_05269375c667,C2,,C2,4629.9838,1.0765,1,-0.342,VALD3,,linelist(VALD3),single_source,,,-0.342,False,False,True,,,,,False,VALD3,False
gf_003090,pk_83969e02662e,C2,,C2,4630.1358,1.0767,1,-0.354,VALD3,,linelist(VALD3),single_source,,,-0.354,False,False,True,,,,,False,VALD3,False
gf_003091,pk_e84404041cd6,C2,,C2,4630.1998,0.9135,1,0.0191,VALD3,,linelist(VALD3),single_source,,,0.0191,False,False,True,,,,,False,VALD3,False
gf_003092,pk_8ea9361fe3b7,C2,,C2,4630.369,0.9138,1,-0.3,VALD3,,linelist(VALD3),single_source,,,-0.3,False,False,True,,,,,False,VALD3,False
gf_003093,pk_ce88b0ac214b,C2,,C2,4631.0091,1.2891,1,-0.0379,VALD3,,linelist(VALD3),single_source,,,-0.0379,False,False,True,,,,,False,VALD3,False
gf_003094,pk_5b4921fdfd63,C2,,C2,4631.1565,0.6248,1,0.012,VALD3,,linelist(VALD3),single_source,,,0.012,False,False,True,,,,,False,VALD3,False
gf_003095,pk_ef76b2566d44,C2,,C2,4631.2228,1.2895,1,-0.357,VALD3,,linelist(VALD3),single_source,,,-0.357,False,False,True,,,,,False,VALD3,False
gf_003096,pk_5b66a1ad5b3f,C2,,C2,4631.2788,0.6249,1,-0.301,VALD3,,linelist(VALD3),single_source,,,-0.301,False,False,True,,,,,False,VALD3,False
gf_003097,pk_9e41866ccb4a,C2,,C2,4631.587,1.0639,1,-0.0474,VALD3,,linelist(VALD3),single_source,,,-0.0474,False,False,True,,,,,False,VALD3,False
gf_003098,pk_537cda1aab06,C2,,C2,4631.7566,1.0642,1,-0.368,VALD3,,linelist(VALD3),single_source,,,-0.368,False,False,True,,,,,False,VALD3,False
gf_003099,pk_dad609e2b44f,C2,,C2,4631.9552,0.9001,1,0.0061,VALD3,,linelist(VALD3),single_source,,,0.0061,False,False,True,,,,,False,VALD3,False
gf_003100,pk_eb9b26d267f1,C2,,C2,4631.9628,0.7797,1,0.0766,VALD3,,linelist(VALD3),single_source,,,0.0766,False,False,True,,,,,False,VALD3,False
gf_003101,pk_3b2e52276b00,C2,,C2,4632.1025,0.7801,1,-0.24,VALD3,,linelist(VALD3),single_source,,,-0.24,False,False,True,,,,,False,VALD3,False
gf_003102,pk_e63a25cb9ec5,C2,,C2,4632.1226,0.9003,1,-0.313,VALD3,,linelist(VALD3),single_source,,,-0.313,False,False,True,,,,,False,VALD3,False
gf_003103,pk_f6babc6b8a13,C2,,C2,4632.2918,1.276,1,-0.346,VALD3,,linelist(VALD3),single_source,,,-0.346,False,False,True,,,,,False,VALD3,False
gf_003104,pk_fb6384afaa5a,C2,,C2,4632.3357,0.6855,1,0.2769,VALD3,,linelist(VALD3),single_source,,,0.2769,False,False,True,,,,,False,VALD3,False
gf_003105,pk_c865374bfc06,C2,,C2,4632.423,1.2762,1,-0.359,VALD3,,linelist(VALD3),single_source,,,-0.359,False,False,True,,,,,False,VALD3,False
gf_003106,pk_e4508f283dda,C2,,C2,4633.2085,1.0515,1,-0.0609,VALD3,,linelist(VALD3),single_source,,,-0.0609,False,False,True,,,,,False,VALD3,False
gf_003107,pk_8b545a2bd01c,C2,,C2,4633.3764,1.0519,1,-0.382,VALD3,,linelist(VALD3),single_source,,,-0.382,False,False,True,,,,,False,VALD3,False
gf_003108,pk_d5d85a9c66b1,C2,,C2,4633.8649,1.263,1,-0.358,VALD3,,linelist(VALD3),single_source,,,-0.358,False,False,True,,,,,False,VALD3,False
gf_003109,pk_f96343365792,C2,,C2,4633.9245,0.8869,1,-0.0064,VALD3,,linelist(VALD3),single_source,,,-0.0064,False,False,True,,,,,False,VALD3,False
gf_003110,pk_9f0a233ebc3b,C2,,C2,4633.972,1.2631,1,-0.371,VALD3,,linelist(VALD3),single_source,,,-0.371,False,False,True,,,,,False,VALD3,False
gf_003111,pk_ef53660c8819,C2,,C2,4634.0367,0.7647,1,0.0656,VALD3,,linelist(VALD3),single_source,,,0.0656,False,False,True,,,,,False,VALD3,False
gf_003112,pk_785451a3fccf,C2,,C2,4634.1043,0.8872,1,-0.326,VALD3,,linelist(VALD3),single_source,,,-0.326,False,False,True,,,,,False,VALD3,False
gf_003113,pk_6238e7eb3e19,C2,,C2,4634.1069,1.2634,1,-0.383,VALD3,,linelist(VALD3),single_source,,,-0.383,False,False,True,,,,,False,VALD3,False
gf_003114,pk_c4cdf0533664,C2,,C2,4634.1827,0.7649,1,-0.252,VALD3,,linelist(VALD3),single_source,,,-0.252,False,False,True,,,,,False,VALD3,False
gf_003115,pk_96e7a6fd752d,C2,,C2,4634.2577,0.6042,1,0.1755,VALD3,,linelist(VALD3),single_source,,,0.1755,False,False,True,,,,,False,VALD3,False
gf_003116,pk_9e347f15260e,C2,,C2,4634.6614,0.668,1,0.0956,VALD3,,linelist(VALD3),single_source,,,0.0956,False,False,True,,,,,False,VALD3,False
gf_003117,pk_74a88108ccf1,C2,,C2,4634.7529,1.0397,1,-0.369,VALD3,,linelist(VALD3),single_source,,,-0.369,False,False,True,,,,,False,VALD3,False
gf_003118,pk_ff398bf24073,C2,,C2,4634.7922,0.6681,1,-0.22,VALD3,,linelist(VALD3),single_source,,,-0.22,False,False,True,,,,,False,VALD3,False
gf_003119,pk_6190287999b4,C2,,C2,4634.8774,1.0399,1,-0.383,VALD3,,linelist(VALD3),single_source,,,-0.383,False,False,True,,,,,False,VALD3,False
gf_003120,pk_a673deac9ad6,C2,,C2,4634.9792,1.04,1,-0.396,VALD3,,linelist(VALD3),single_source,,,-0.396,False,False,True,,,,,False,VALD3,False
gf_003121,pk_0b51de6513e4,C2,,C2,4635.2276,1.2508,1,-0.0774,VALD3,,linelist(VALD3),single_source,,,-0.0774,False,False,True,,,,,False,VALD3,False
gf_003122,pk_20369f20642b,C2,,C2,4635.6225,0.8742,1,-0.0194,VALD3,,linelist(VALD3),single_source,,,-0.0194,False,False,True,,,,,False,VALD3,False
gf_003123,pk_a6b044d322e1,C2,,C2,4635.8056,0.8744,1,-0.34,VALD3,,linelist(VALD3),single_source,,,-0.34,False,False,True,,,,,False,VALD3,False
gf_003124,pk_0a7f2ef3437a,C2,,C2,4636.2253,0.7499,1,0.2249,VALD3,,linelist(VALD3),single_source,,,0.2249,False,False,True,,,,,False,VALD3,False
gf_003125,pk_487f1a0d8620,C2,,C2,4636.3949,1.0282,1,-0.0889,VALD3,,linelist(VALD3),single_source,,,-0.0889,False,False,True,,,,,False,VALD3,False
gf_003126,pk_98d1dfd18681,C2,,C2,4636.5683,1.0285,1,-0.411,VALD3,,linelist(VALD3),single_source,,,-0.411,False,False,True,,,,,False,VALD3,False
