# host=Mac machine=arm64 python=3.12.13 numpy=2.2.6 ncalls=2 nlines=473
call_seq,wave,element,normal_abund
0,575.312200,Fe 1,7.4160000000000004
0,577.845300,Fe 1,7.4029999999999996
0,578.465800,Fe 1,7.4400000000000004
0,580.425900,Ti 1,6.4630000000000001
0,581.191400,Fe 1,7.532
0,583.159600,Ni 1,6.4349999999999996
0,585.507600,Fe 1,7.4370000000000003
0,585.958600,Fe 1,7.391
0,586.756200,Ca 1,6.4320000000000004
0,590.247300,Fe 1,7.7590000000000003
0,590.567100,Fe 1,7.4299999999999997
0,593.018000,Fe 1,7.375
0,594.934600,Fe 1,7.6269999999999998
0,598.706500,Fe 1,7.577
0,600.796000,Fe 1,7.4400000000000004
0,606.548200,Fe 1,7.335
0,608.410200,Fe 2,7.657
0,608.525800,Fe 1,7.7140000000000004
0,612.221700,Ca 1,5.5129999999999999
0,612.790600,Fe 1,7.508
0,613.661500,Fe 1,7.2789999999999999
0,613.699400,Fe 1,7.5800000000000001
0,615.161700,Fe 1,7.4569999999999999
0,616.375500,Ca 1,7.0860000000000003
0,616.536000,Fe 1,7.4939999999999998
0,618.020300,Fe 1,7.4100000000000001
0,621.928000,Fe 1,7.4489999999999998
0,623.072200,Fe 1,7.3799999999999999
0,623.264000,Fe 1,7.5359999999999996
0,624.064600,Fe 1,7.4130000000000003
0,625.255500,Fe 1,7.3319999999999999
0,626.513200,Fe 1,7.4740000000000002
0,627.127800,Fe 1,7.4740000000000002
0,630.150000,Fe 1,7.524
0,633.682300,Fe 1,7.3230000000000004
0,636.945900,Fe 2,7.5830000000000002
0,640.801700,Fe 1,7.5599999999999996
0,641.164800,Fe 1,7.2560000000000002
0,641.994900,Fe 1,7.3979999999999997
0,643.084500,Fe 1,7.3499999999999996
0,643.907500,Ca 1,6.3310000000000004
0,645.638000,Fe 2,7.9020000000000001
0,649.498000,Fe 1,7.2569999999999997
0,649.893800,Fe 1,7.5510000000000002
0,660.802500,Fe 1,7.5090000000000003
0,660.911000,Fe 1,7.5609999999999999
0,666.107500,Cr 1,5.9059999999999997
0,675.270700,Fe 1,7.5039999999999996
0,679.325800,Fe 1,7.4539999999999997
0,518.590200,Ti 2,4.6059999999999999
0,521.153000,Ti 2,5.0049999999999999
0,524.676800,Cr 2,8.7539999999999996
0,527.987600,Cr 2,7.9539999999999997
0,538.032500,C 1,10.26
0,539.624700,Ti 2,8.4909999999999997
