18 Sco    FeI    6240.65      2.22      7.33      7.34   -999.00      7.43   -999.00   -999.00
18 Sco    FeI    6246.32      3.60   -999.00   -999.00      7.29      7.22      7.47      7.54
18 Sco    FeI    6252.56      2.40      7.24   -999.00      7.30      7.36      7.49      7.51
18 Sco    FeI    6265.13      2.18      7.37   -999.00      7.40      7.51      7.41      7.50
18 Sco    FeI    6270.22      2.86   -999.00   -999.00      7.37      7.47      7.37      7.50
18 Sco    FeI    6271.28      3.33   -999.00   -999.00      7.43      7.46   -999.00      7.56
18 Sco    FeI    6297.79      2.22      7.37      7.34   -999.00      7.52      7.38   -999.00
18 Sco    FeI    6315.81      4.08   -999.00      7.43      7.45      7.53   -999.00   -999.00
18 Sco    FeI    6322.69      2.59      7.49      7.49      7.51      7.63      7.56   -999.00
18 Sco    FeI    6335.33      2.20      7.22      7.20   -999.00      7.35      7.33      7.39
18 Sco    FeI    6336.82      3.69   -999.00   -999.00      7.28      7.27      7.44      7.53
18 Sco    FeI    6393.60      2.43   -999.00   -999.00      7.32      7.22      7.40      7.47
18 Sco    FeI    6430.85      2.18      7.19   -999.00      7.26      7.30      7.32      7.40
18 Sco    FeI    6481.87      2.28      7.49      7.46      7.47      7.61      7.48   -999.00
18 Sco    FeI    6496.47      4.80   -999.00      7.39      7.40      7.45   -999.00   -999.00
18 Sco    FeI    6498.94      0.96      7.50   -999.00      7.49      7.60      7.40      7.62
18 Sco    FeI    6518.37      2.83      7.35   -999.00   -999.00      7.47      7.30   -999.00
18 Sco    FeI    6533.93      4.56   -999.00      7.52      7.53      7.55   -999.00   -999.00
18 Sco    FeI    6574.23      0.99      7.44   -999.00      7.49      7.48   -999.00      7.61
18 Sco    FeI    6593.87      2.43      7.40   -999.00   -999.00      7.55      7.48      7.55
18 Sco    FeI    6597.56      4.80   -999.00      7.49      7.51      7.54   -999.00   -999.00
18 Sco    FeI    6609.11      2.56      7.49   -999.00      7.49      7.62   -999.00      7.57
18 Sco    FeI    6648.08      1.01   -999.00      7.70   -999.00      7.66   -999.00      7.84
18 Sco    FeI    6699.14      4.59   -999.00      7.38   -999.00      7.49      7.42      7.56
18 Sco    FeI    6703.57      2.76      7.51      7.48   -999.00      7.57   -999.00      7.63
18 Sco    FeI    6713.74      4.80   -999.00      7.53   -999.00      7.55      7.55   -999.00
18 Sco    FeI    6739.52      1.56   -999.00      7.27   -999.00      7.35      7.27   -999.00
18 Sco    FeI    6750.15      2.42      7.37      7.35   -999.00      7.53      7.41   -999.00
18 Sco    FeI    6810.26      4.61   -999.00      7.44   -999.00      7.49      7.48   -999.00
18 Sco    FeII   4993.36      2.81      7.37      7.43   -999.00      7.41      7.37   -999.00
18 Sco    FeII   5264.81      3.23      7.44      7.41   -999.00      7.51   -999.00   -999.00
18 Sco    FeII   5325.55      3.22      7.39      7.36   -999.00      7.45   -999.00   -999.00
18 Sco    FeII   5414.07      3.22      7.42      7.44   -999.00      7.44      7.45   -999.00
18 Sco    FeII   5425.26      3.20      7.39      7.44   -999.00      7.45      7.36      7.37
18 Sco    FeII   5534.85      3.25      7.46   -999.00   -999.00      7.55      7.46   -999.00
18 Sco    FeII   5991.38      3.15   -999.00      7.54   -999.00      7.59      7.54   -999.00
18 Sco    FeII   6084.11      3.20   -999.00      7.60   -999.00      7.58      7.56   -999.00
18 Sco    FeII   6432.68      2.89   -999.00      7.45   -999.00      7.49      7.44   -999.00
18 Sco    FeII   6456.38      3.90      7.89      7.49   -999.00      7.59      7.53      7.58
61 Cyg A  FeI    4787.83      3.00      7.00   -999.00   -999.00      6.94   -999.00      7.08
61 Cyg A  FeI    4788.76      3.24      6.88   -999.00   -999.00      6.83   -999.00      6.93
61 Cyg A  FeI    4802.88      3.64   -999.00      6.85   -999.00      6.79   -999.00      6.31
61 Cyg A  FeI    4808.15      3.25      7.24      7.18      7.16      7.18      7.24      7.20
61 Cyg A  FeI    4875.88      3.33      7.00   -999.00   -999.00      6.93   -999.00      7.22
61 Cyg A  FeI    4877.60      3.00      7.22   -999.00   -999.00      7.15   -999.00      7.24
61 Cyg A  FeI    4907.73      3.43      6.92   -999.00   -999.00      6.85   -999.00      6.99
61 Cyg A  FeI    4946.39      3.37      6.57   -999.00      6.89      6.44   -999.00   -999.00
61 Cyg A  FeI    4950.11      3.42      6.97   -999.00      7.16      6.89   -999.00      7.22
61 Cyg A  FeI    4962.57      4.18      7.22   -999.00      7.17      7.33      7.44   -999.00
61 Cyg A  FeI    5012.69      4.28      7.24   -999.00      7.41      7.18   -999.00      7.36
61 Cyg A  FeI    5058.50      3.64   -999.00      8.25   -999.00      7.76      7.66      8.13
61 Cyg A  FeI    5060.08      0.00      7.29   -999.00   -999.00      7.12   -999.00      7.68
61 Cyg A  FeI    5109.65      4.30      7.23   -999.00      7.44      7.16   -999.00   -999.00
61 Cyg A  FeI    5131.47      2.22      6.74   -999.00   -999.00      6.62   -999.00      7.26
61 Cyg A  FeI    5141.74      2.42   -999.00   -999.00      7.15      6.82   -999.00      7.18
61 Cyg A  FeI    5197.94      4.30   -999.00      7.29      7.30   -999.00   -999.00      7.24
61 Cyg A  FeI    5223.18      3.63      6.79      6.90   -999.00      6.75   -999.00   -999.00
61 Cyg A  FeI    5228.38      4.22      7.20   -999.00      6.80      7.14   -999.00   -999.00
61 Cyg A  FeI    5242.49      3.63      6.84      6.64   -999.00      6.76   -999.00      7.17
61 Cyg A  FeI    5243.78      4.26      7.01   -999.00      7.14      6.94      7.08   -999.00
61 Cyg A  FeI    5247.05      0.09      6.77   -999.00   -999.00      6.77      6.74   -999.00
61 Cyg A  FeI    5250.21      0.12      6.94   -999.00   -999.00      6.84   -999.00      7.22
61 Cyg A  FeI    5250.65      2.20   -999.00   -999.00      7.04      6.69   -999.00      7.22
61 Cyg A  FeI    5253.02      2.28      6.98      7.09   -999.00      6.92      7.04      7.14
61 Cyg A  FeI    5253.46      3.28      6.78   -999.00   -999.00      6.69   -999.00      7.05
61 Cyg A  FeI    5285.13      4.43      7.08   -999.00      7.21      7.04   -999.00   -999.00
61 Cyg A  FeI    5288.52      3.69      6.95   -999.00   -999.00      6.89   -999.00      6.83
61 Cyg A  FeI    5293.96      4.14      7.16   -999.00      7.24      7.17   -999.00      7.22
61 Cyg A  FeI    5294.55      3.64   -999.00   -999.00   -999.00      7.25      6.94      7.36
61 Cyg A  FeI    5295.31      4.42      7.06   -999.00      7.18      7.01      6.95      7.10
61 Cyg A  FeI    5321.11      4.43      7.16   -999.00      7.30      7.10   -999.00   -999.00
61 Cyg A  FeI    5322.04      2.28      6.75      6.81   -999.00      6.67   -999.00   -999.00
61 Cyg A  FeI    5365.40      3.57      6.78      6.60   -999.00      6.71   -999.00      6.77
