element,ion,wave_air_A,log_gf,ep_eV,predicted_depth,instruments,measured_in_pool,gf_canonical,log_gf_intake,gf_source_intake
Al,I,3059.03,-1.1,3.6038,0.448,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.1,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,3059.924,-1.29,3.5981,0.34,kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.29,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,II,3900.675,-1.27,7.4207,0.091,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,-1.27,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,5107.5191,-2.395,3.1427,0.064,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-2.821,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,5557.062,-2.104,3.1427,0.105,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-2.536,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,5557.9469,-2.41,3.1427,0.056,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-2.899,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6696.0137,-1.46,3.1427,0.253,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.886,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6696.788,-1.3998,4.0216,0.063,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.421,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6698.6715,-1.76,3.1427,0.167,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-2.249,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6783.638,-1.44,4.0215,0.061,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.44,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6784.256,-1.2638,4.0216,0.082,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.285,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6905.646,-1.287,4.0215,0.081,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.287,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,6906.287,-1.1108,4.0216,0.108,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.132,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7083.969,-1.111,4.0215,0.11,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.111,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7084.643,-0.9348,4.0216,0.143,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.956,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7361.568,-0.903,4.0215,0.152,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.903,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7362.296,-0.7268,4.0216,0.189,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.748,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7835.309,-0.649,4.0215,0.206,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.649,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,7836.134,-0.4728,4.0216,0.244,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.494,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,8772.865,-0.17,4.0215,0.27,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.316,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,8773.8975,-0.023,4.0216,0.3,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.161,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,10782.0651,-1.765,4.0872,0.079,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,False,-1.765,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,10872.9729,-1.3996613158447315,4.0853,0.061,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.889,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,10891.735,-1.0998160962029186,4.0872,0.104,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.526,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,11253.189,0.167,4.0215,0.342,kpno_solar_atlas,False,True,0.167,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,11254.9085,0.3537510080742936,4.0216,0.361,kpno_solar_atlas,False,True,0.327,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,13123.3785,-0.558,3.1427,0.474,,False,False,-0.558,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,13123.4461,-0.194,3.1427,0.474,,False,False,-0.194,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,13150.7115,-0.587,3.1427,0.444,,False,False,-0.587,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,13150.7843,-0.587,3.1427,0.444,,False,False,-0.587,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,15956.675,-1.397,4.8266,0.057,,False,True,-1.397,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,15968.287,-0.931245407318036,4.8272,0.076,,False,True,-1.243,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,16718.946,0.1521839037970812,4.0853,0.471,,False,True,-0.274,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,16750.4549,-0.107,4.0872,0.489,,False,False,-0.107,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,16750.5448,0.408020695338496,4.0872,0.489,,False,True,-0.319,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,16750.6629,-0.592,4.0872,0.489,,False,False,-0.592,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,16763.3472,-0.5499563523620887,4.0872,0.395,,False,True,-1.101,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,17699.0914,-1.1618160962029187,4.6729,0.111,,False,True,-1.588,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,17708.0698,-1.4626613158447317,4.6729,0.064,,False,True,-1.952,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,21093.0315,-0.3086613158447318,4.0853,0.349,,False,True,-0.798,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,21163.7538,-0.0088160962029187,4.0872,0.376,,False,True,-0.435,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1694.276,-1.14,0.7036,0.39,,False,False,-1.14,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1771.098,-2.5,0.6043,0.057,,False,False,-2.5,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1786.953,-2.08,0.7036,0.163,,False,False,-2.08,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1904.142,-2.46,0.6043,0.075,,False,False,-2.46,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1924.675,-1.86,0.7036,0.227,,False,False,-1.86,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,1933.634,-1.52,0.7036,0.428,,False,False,-1.52,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2153.927,-0.83,2.5121,0.09,,False,False,-0.83,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2214.769,-2.73,0.6043,0.086,,False,False,-2.73,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2232.796,-0.88,2.7218,0.065,,False,False,-0.88,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2245.677,-2.58,0.6043,0.109,,False,False,-2.58,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2254.785,-1.89,0.7036,0.328,,False,False,-1.89,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2528.404,-0.56,2.5121,0.192,,False,False,-0.56,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,2634.778,-0.32,2.7218,0.21,,False,False,-0.32,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,3891.776,0.28,2.5121,0.553,harps|kpno_solar_atlas|delbouille_liege_intensity,False,True,0.28,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,4130.645,0.68,2.7218,0.597,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,0.68,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,4166.0,-0.42,2.7218,0.136,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-0.42,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,4524.925,-0.36,2.5121,0.204,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-0.36,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,4899.929,-0.08,2.7218,0.212,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-0.08,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,I,5535.48,0.201,0.0,0.086,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,0.201,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Ba,II,5853.6745,-1.01,0.6043,0.56,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,True,True,-1.144,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1156.76,-4.71,0.0054,0.338,,False,False,-4.71,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1190.64,-5.095,0.0054,0.17,,False,False,-5.095,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1270.84,-5.51,0.0054,0.061,,False,False,-5.51,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1288.06,-4.083,0.0054,0.582,,False,False,-4.083,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,II,1334.532,-0.589,0.0,0.382,,False,False,-0.589,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,II,1335.6852,-0.335,0.0079,0.48,,False,False,-0.335,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1357.659,-2.68,1.2637,0.415,,False,False,-2.68,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1359.275,-2.378,1.2637,0.546,,False,False,-2.378,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1359.439,-3.092,1.2637,0.235,,False,False,-3.092,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1467.877,-2.96,1.2637,0.274,,False,False,-2.96,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1468.41,-2.63,1.2637,0.411,,False,False,-2.63,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1470.094,-2.494,1.2637,0.469,,False,False,-2.494,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1472.231,-3.12,1.2637,0.217,,False,False,-3.12,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1600.818,-3.386,2.684,0.083,,False,False,-3.386,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1606.96,-2.211,2.684,0.493,,False,False,-2.211,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,1608.438,-2.694,2.684,0.278,,False,False,-2.694,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,II,2324.6891,-7.013,0.0,0.08,,False,False,-7.013,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,II,2325.3987,-6.666,0.0079,0.166,,False,False,-6.666,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,II,2328.12,-6.958,0.0079,0.088,,False,False,-6.958,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,4371.367,-1.962,7.6848,0.069,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-1.962,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,4771.742,-1.866,7.4878,0.09,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-1.866,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,4932.049,-1.658,7.6848,0.088,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas,False,True,-1.658,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,5052.167,-1.303,7.6848,0.143,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.303,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,5380.337,-1.615,7.6848,0.078,harps|kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,True,True,-1.616,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,8335.15,-0.437,7.6848,0.196,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.437,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9061.43,-0.347,7.4828,0.236,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.347,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9062.47,-0.455,7.4804,0.219,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.455,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9078.28,-0.581,7.4828,0.199,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.581,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9088.51,-0.43,7.4828,0.223,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.43,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9094.83,0.151,7.4878,0.309,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,0.151,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9111.8,-0.297,7.4878,0.242,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.297,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9405.73,0.286,7.6848,0.295,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,0.286,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9603.03,-0.896,7.4804,0.15,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.896,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9620.8,-0.445,7.4828,0.218,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.445,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,9658.44,-0.28,7.4878,0.242,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.28,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10123.87,-0.0309999999999999,8.5371,0.128,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.031,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10683.08,0.0789999999999999,7.4828,0.293,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,0.079,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10685.34,-0.272,7.4804,0.247,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.272,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10691.25,0.344,7.4878,0.325,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,0.344,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10707.32,-0.411,7.4828,0.227,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.411,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10729.53,-0.42,7.4878,0.225,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-0.42,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,10753.98,-1.606,7.4878,0.068,kpno_solar_atlas|iag_fts_solar_atlas|iag_fts_solar_atlas,False,True,-1.606,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11330.28,0.291,8.5371,0.183,kpno_solar_atlas,False,True,0.291,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11619.29,-0.574,8.6404,0.074,kpno_solar_atlas,False,True,-0.574,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11628.83,-0.26,8.643,0.106,kpno_solar_atlas,False,True,-0.26,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11658.85,-0.278,8.7711,0.091,kpno_solar_atlas,False,True,-0.278,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11659.68,0.028,8.6472,0.141,kpno_solar_atlas,False,True,0.028,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11669.63,-0.03,8.7711,0.119,kpno_solar_atlas,False,True,-0.03,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11674.14,-0.795,8.6472,0.054,kpno_solar_atlas,False,True,-0.795,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11748.22,0.3749999999999999,8.6404,0.188,kpno_solar_atlas,False,True,0.375,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11753.32,0.691,8.6472,0.228,kpno_solar_atlas,False,True,0.691,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11754.76,0.542,8.643,0.21,kpno_solar_atlas,False,True,0.542,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11777.54,-0.52,8.643,0.081,kpno_solar_atlas,False,True,-0.52,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11801.08,-0.735,8.6472,0.061,kpno_solar_atlas,False,True,-0.735,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11848.71,-0.697,8.643,0.065,kpno_solar_atlas,False,True,-0.697,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11863.01,-0.71,8.6404,0.064,kpno_solar_atlas,False,True,-0.71,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11879.58,-0.61,8.6404,0.074,kpno_solar_atlas,False,True,-0.61,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11892.91,-0.2769999999999999,8.643,0.109,kpno_solar_atlas,False,True,-0.277,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,11895.75,-0.008,8.6472,0.141,kpno_solar_atlas,False,True,-0.008,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12549.49,-0.565,8.8466,0.072,kpno_solar_atlas,False,True,-0.565,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12562.12,-0.522,8.8481,0.076,kpno_solar_atlas,False,True,-0.522,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12569.04,-0.598,8.8481,0.069,kpno_solar_atlas,False,True,-0.598,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12581.59,-0.536,8.8481,0.075,kpno_solar_atlas,False,True,-0.536,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12601.49,-0.443,8.8507,0.085,kpno_solar_atlas,False,True,-0.443,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,12614.1,0.0489999999999999,8.8507,0.141,kpno_solar_atlas,False,True,0.049,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,13502.27,-0.043,8.7711,0.168,,False,True,-0.043,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,13559.68,-0.268,8.7711,0.141,,False,True,-0.268,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,13581.34,-0.738,8.7711,0.086,,False,True,-0.738,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,13697.78,-1.325,7.9458,0.109,,False,True,-1.325,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,13743.93,-1.591,7.9463,0.079,,False,True,-1.591,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14306.81,-1.248,8.8466,0.05,,False,True,-1.248,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14399.65,0.187,8.8481,0.231,,False,True,0.187,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14403.25,-0.1919999999999999,8.8466,0.18,,False,True,-0.192,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14420.12,0.429,8.8507,0.264,,False,True,0.429,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14429.03,-0.343,8.8481,0.16,,False,True,-0.343,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14442.24,-0.362,8.8507,0.158,,False,True,-0.362,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14542.52,-0.0899999999999999,7.6848,0.35,,False,True,-0.09,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14637.01,-0.963,8.8507,0.091,,False,True,-0.963,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14782.93,-0.646,8.8507,0.139,,False,True,-0.646,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14832.57,-1.358,8.8481,0.054,,False,True,-1.358,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,14851.78,-1.196,8.8507,0.071,,False,True,-1.196,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,15727.43,-0.682,9.6311,0.078,,False,True,-0.682,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,15784.55,-0.592,9.6311,0.091,,False,True,-0.592,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,15784.92,-0.729,9.6311,0.074,,False,True,-0.729,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,15852.58,-0.258,9.6311,0.137,,False,True,-0.258,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,16004.9,0.234,9.6311,0.216,,False,True,0.234,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,16021.7,0.222,9.6311,0.215,,False,True,0.222,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
C,I,16333.94,-1.133,9.0026,0.098,,False,True,-1.133,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
