element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5880.027,25.0,3.7,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5881.28,21.2,2.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5883.816,70.4,1.7,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5902.473,23.9,2.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5905.671,61.1,3.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5930.18,90.8,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5934.654,78.8,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5949.346,52.3,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5952.718,62.8,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5976.439,13.8,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5987.065,73.2,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6007.96,63.1,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6027.051,66.4,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6065.482,118.2,3.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6085.258,45.1,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6096.664,40.0,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6100.271,11.8,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6127.906,49.8,2.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6136.615,137.2,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6136.994,71.7,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6151.617,50.8,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6157.728,64.0,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6165.36,45.9,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6180.203,56.6,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6187.989,49.4,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6219.28,91.1,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6226.734,30.0,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6230.722,151.9,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6232.64,86.7,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6240.646,50.0,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6246.318,119.5,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6252.555,121.3,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6265.132,87.7,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6271.278,27.2,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6301.5,121.8,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6315.811,42.9,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6336.823,109.9,3.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,6408.017,100.0,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
