element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
V,I,3794.9493,0.3006,-0.35,VALD3,,7.66,-6.1,-7.742,0.917,True,3,
Fe,I,3795.002,0.9901,-0.761,VALD3,,8.16,-6.12,-7.684,0.979,True,1,
V,I,3795.0113,0.017,-2.15,VALD3,,8.01,-5.95,-7.621,0.57,True,3,
Ca,I,3795.0712,4.441,-1.834,VALD3,,7.72,-1.6,-6.45,0.034,True,2,
Ca,I,3795.1,4.443,-2.275,VALD3,,7.76,-2.15,-6.44,0.013,True,2,
Ca,I,3795.5223,2.709,-1.464,VALD3,,6.47,-2.81,-6.75,0.73,True,2,
Fe,I,3795.5283,3.0173,-1.665,VALD3,,7.27,-6.11,-7.81,0.88,True,1,
Ni,I,3795.5572,3.399,-3.714,VALD3,,7.36,-4.76,-7.32,0.015,True,2,
Co,I,3795.8623,3.5144,-0.758,VALD3,,8.16,-5.22,-7.49,0.265,True,3,
Ti,I,3795.8939,1.4432,-0.73,VALD3,,8.54,-5.59,-7.62,0.812,True,3,
Fe,I,3795.9424,4.1544,-2.627,VALD3,,8.38,-4.01,-7.18,0.257,True,1,
Ti,I,3796.0073,2.2492,-2.417,VALD3,,7.41,-4.98,-7.43,0.022,True,3,
Fe,I,3796.0114,2.4041,-2.236,VALD3,,7.79,-6.07,-7.81,0.901,True,1,
V,I,3796.2049,1.8926,-1.291,VALD3,,8.17,-5.66,-7.64,0.066,True,3,
V,I,3796.2193,2.2563,-0.658,VALD3,,8.12,-4.95,-7.45,0.108,True,3,
V,I,3796.2294,1.9422,-1.319,VALD3,,8.15,-4.98,-7.54,0.056,True,3,
V,I,3796.4636,1.8726,-0.82,VALD3,,8.16,-5.98,-7.68,0.182,True,3,
V,II,3796.5076,2.9001,-1.876,VALD3,,8.4,-6.44,-7.85,0.022,True,3,
Ti,I,3796.5548,2.2363,-2.508,VALD3,,7.4,-4.94,-7.43,0.019,True,3,
Cr,I,3796.8322,3.4216,-1.797,VALD3,,8.09,-6.12,-7.76,0.116,True,3,
Ti,II,3796.8815,0.5739,-2.48,VALD3,,8.38,-6.39,-7.84,0.845,True,3,
Co,I,3797.0092,3.629,-1.876,VALD3,,8.03,-4.74,-7.46,0.022,False,3,
