element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
Ni,I,4519.98,1.6764,-3.661,VALD3,,7.85,-6.2,-7.81,0.44,True,2,
Ni,I,4519.986,1.6764,-3.247,VALD3,,7.85,-6.2,-7.81,0.6,True,2,
V,I,4520.1698,1.0806,-1.856,VALD3,,6.16,-6.09,-7.79,0.117,True,3,
Fe,II,4520.2182,2.8067,-2.6,VALD3,,8.47,-6.53,-7.883,0.617,True,1,
Fe,I,4520.2436,3.0713,-4.319,VALD3,,8.02,-6.06,-7.77,0.078,True,1,
Fe,I,4520.5093,4.652,-1.993,VALD3,,8.24,-3.56,-7.25,0.234,False,1,
Fe,I,4520.7462,4.5844,-2.778,VALD3,,7.97,-4.8,-7.26,0.063,False,1,
Cr,I,4521.0363,4.0964,-1.491,VALD3,,8.17,-6.15,-7.74,0.039,True,3,
Cr,I,4521.1273,4.186,-1.747,VALD3,,7.09,-6.08,-7.8,0.018,True,3,
Ni,I,4521.3306,4.2357,-2.29,VALD3,,8.21,-3.56,-7.27,0.037,False,2,
Fe,I,4521.6391,3.274,-4.021,VALD3,,8.39,-5.77,-7.71,0.09,False,1,
Ni,I,4521.859,3.7398,-3.24,VALD3,,7.38,-4.78,-7.32,0.014,True,2,
Ni,I,4521.8725,3.7397,-2.826,VALD3,,7.38,-4.78,-7.32,0.036,True,2,
Ni,I,4521.9093,3.5421,-3.539,VALD3,,8.36,-5.58,-7.51,0.012,True,2,
Fe,II,4522.6276,2.8441,-2.03,VALD3,,8.56,-6.53,-7.875,0.714,True,1,
Fe,I,4522.682,4.6382,-2.957,VALD3,,8.31,-3.78,-7.12,0.038,True,1,
Ni,I,4522.7149,4.4187,-2.265,VALD3,,8.38,-4.89,-7.53,0.026,True,2,
Ti,I,4522.797,0.8181,-0.27,VALD3,,8.13,-5.36,-7.597,0.9,True,3,
Ti,I,4523.2464,2.5057,-1.848,VALD3,,8.11,-5.17,-7.55,0.035,False,3,
Mn,I,4523.3952,4.6656,-1.36,VALD3,,8.1,-5.98,-7.77,0.028,True,3,
Fe,I,4523.3986,3.6537,-1.99,VALD3,,8.37,-5.22,-7.211,0.618,True,1,
Fe,I,4523.9253,2.6085,-3.925,VALD3,,7.79,-6.17,-7.82,0.368,False,1,
V,I,4524.2081,1.8926,-0.18,VALD3,,8.0,-6.03,-7.6,0.405,False,3,
Ti,II,4524.6798,1.2313,-2.69,VALD3,,8.17,-6.41,-7.85,0.476,True,3,
Ti,I,4524.7343,3.1111,-0.088,VALD3,,7.94,-4.83,-7.39,0.288,True,3,
Cr,I,4524.8347,4.1055,-0.52,VALD3,,7.96,-6.07,-7.75,0.245,True,3,
Fe,I,4524.8828,4.607,-1.978,VALD3,,8.36,-3.39,-7.14,0.256,True,1,
Fe,I,4525.1364,3.6025,-0.252,VALD3,,8.2,-5.2,-7.54,0.875,True,1,
V,I,4525.1524,1.9422,-0.77,VALD3,,8.38,-5.36,-7.615,0.147,True,3,
Ti,II,4525.2392,1.0842,-3.493,VALD3,,8.38,-6.43,-7.84,0.209,True,3,
Cr,I,4525.2709,4.099,-0.544,VALD3,,8.17,-6.15,-7.74,0.239,True,3,
Ca,I,4525.3707,4.7798,-0.623,VALD3,,8.35,-3.38,-6.89,0.145,True,2,
Fe,I,4525.8634,2.882,-3.2,VALD3,,7.99,-5.41,-7.208,0.536,True,1,
Ti,I,4525.931,2.4953,-1.827,VALD3,,7.84,-4.61,-7.56,0.038,True,3,
Fe,I,4525.9439,4.6076,-2.138,VALD3,,8.25,-3.39,-7.14,0.201,True,1,
Cr,I,4525.9974,3.0869,-2.598,VALD3,,7.57,-5.68,-7.76,0.038,True,3,
Ca,I,4526.03,1.8858,-3.502,VALD3,,7.4,-4.95,-7.48,0.236,True,2,
Cr,I,4526.0989,3.3752,-0.926,VALD3,,7.26,-5.73,-7.79,0.41,True,3,
V,I,4526.1292,1.9422,-1.446,VALD3,,7.82,-6.08,-7.75,0.036,True,3,
Ti,I,4526.2571,2.1344,-1.687,VALD3,,7.76,-5.24,-7.52,0.118,True,3,
Cr,I,4526.2591,4.4508,-1.091,VALD3,,7.75,-5.17,-7.52,0.04,True,3,
Ti,I,4526.3645,1.5025,-1.86,VALD3,,8.36,-5.54,-7.63,0.301,True,3,
Fe,I,4526.3981,3.8816,-1.112,VALD3,,7.97,-4.69,-7.51,0.728,True,1,
Cr,I,4526.4537,2.5441,-0.15,VALD3,,7.19,-6.16,-7.692,0.822,True,3,
Cr,I,4526.502,3.0106,-2.145,VALD3,,7.5,-6.11,-7.78,0.117,True,3,
Co,I,4526.5155,0.4318,-4.49,VALD3,,5.21,-6.26,-7.796,0.122,True,3,
Fe,I,4526.5606,3.111,-2.095,VALD3,,8.13,-6.01,-7.75,0.728,True,1,
Co,I,4526.7936,3.7132,-0.507,VALD3,,8.12,-4.32,-7.51,0.222,False,3,
Ca,I,4526.928,2.709,-0.548,VALD3,,7.447,-4.207,-7.167,0.782,True,2,
Cr,I,4526.9744,3.1128,-1.786,VALD3,,7.9,-6.12,-7.79,0.185,True,3,
Y,I,4527.2362,1.4298,0.546,VALD3,,8.23,-5.37,-7.64,0.239,True,3,
Ti,I,4527.3041,0.8129,-0.45,VALD3,,8.13,-5.41,-7.598,0.887,True,3,
Cr,I,4527.335,2.5446,-1.07,VALD3,,7.19,-6.16,-7.692,0.668,True,3,
Cr,I,4527.4554,2.9872,-0.87,VALD3,,7.53,-5.67,-7.613,0.588,True,3,
Ti,I,4527.472,0.0,-3.498,VALD3,,6.0,-6.11,-7.77,0.34,True,3,
Y,I,4527.7827,1.3983,0.337,VALD3,,8.23,-5.31,-7.65,0.177,True,3,
Fe,I,4527.7827,3.2515,-2.74,VALD3,,8.4,-5.75,-7.643,0.544,True,1,
Co,I,4527.9164,3.0535,-1.434,VALD3,,8.11,-5.43,-7.58,0.156,False,3,
Fe,I,4528.1436,4.607,-3.346,VALD3,,8.3,-3.45,-7.11,0.017,False,1,
V,I,4528.2942,1.8726,-1.252,VALD3,,7.58,-5.81,-7.78,0.065,False,3,
Fe,I,4528.4788,4.5485,-3.294,VALD3,,8.13,-3.82,-7.14,0.022,True,1,
V,II,4528.4829,2.2756,-1.06,VALD3,,8.27,-6.55,-7.85,0.278,True,3,
Ni,I,4528.5319,4.1536,-1.367,VALD3,,8.39,-4.99,-7.53,0.245,True,2,
Fe,I,4528.6136,2.1759,-0.822,VALD3,,8.65,-5.89,-7.535,0.94,True,1,
Fe,I,4528.7565,3.3014,-1.991,VALD3,,7.73,-6.28,-7.8,0.704,True,1,
Fe,I,4528.8203,3.0173,-2.483,VALD3,,8.47,-6.08,-7.8,0.678,True,1,
V,I,4529.361,1.8933,-2.046,VALD3,,7.74,-6.12,-7.77,0.01,False,3,
Ti,II,4529.4799,1.5718,-1.75,VALD3,,8.31,-6.49,-7.82,0.652,True,3,
Cr,I,4529.5125,3.079,-2.719,VALD3,,7.39,-5.76,-7.77,0.03,True,3,
Fe,I,4529.5498,3.8835,-1.131,VALD3,,7.99,-4.69,-7.51,0.724,True,1,
V,I,4529.5806,1.8726,-0.22,VALD3,,7.93,-6.15,-7.603,0.396,True,3,
Fe,I,4529.6245,3.6537,-3.89,VALD3,,8.39,-5.22,-7.54,0.05,True,1,
Fe,I,4529.6715,3.5465,-1.534,VALD3,,7.27,-6.11,-7.81,0.728,True,1,
Mn,I,4529.7863,4.7944,-1.34,VALD3,,7.98,-6.14,-7.651,0.021,True,3,
Fe,I,4529.8312,4.652,-2.159,VALD3,,8.2,-3.37,-7.17,0.179,True,1,
Cr,I,4529.845,2.5441,-1.35,VALD3,,7.28,-6.16,-7.692,0.601,True,3,
Cr,I,4530.09,3.0128,-2.544,VALD3,,7.5,-6.11,-7.78,0.051,False,3,
Co,I,4530.3364,2.0802,-3.668,VALD3,,6.03,-6.22,-7.82,0.013,False,3,
Cr,I,4530.4725,2.9674,-1.84,VALD3,,7.95,-6.01,-7.597,0.221,False,3,
V,I,4530.6522,1.7996,-1.808,VALD3,,7.59,-6.15,-7.78,0.023,True,3,
Cr,I,4530.6824,2.5446,-0.98,VALD3,,7.28,-6.16,-7.692,0.686,True,3,
Co,I,4530.6906,3.9515,-1.656,VALD3,,8.19,-5.02,-7.52,0.012,True,3,
Cr,I,4530.7379,2.5446,-0.27,VALD3,,7.28,-6.16,-7.692,0.806,True,3,
Cu,I,4530.7791,3.8167,-1.423,VALD3,,8.25,-4.75,-7.33,0.085,True,0,
Cu,I,4530.7832,3.8167,-1.774,VALD3,,8.25,-4.75,-7.33,0.041,True,0,
Fe,I,4530.8647,2.8512,-3.914,VALD3,,7.99,-5.38,-7.54,0.257,True,1,
Cr,I,4530.9238,3.0133,-1.85,VALD3,,7.5,-6.11,-7.734,0.2,True,3,
Fe,I,4530.945,4.5585,-3.017,VALD3,,8.44,-4.16,-7.31,0.04,True,1,
Co,I,4530.9493,2.9275,0.213,VALD3,,8.11,-5.41,-7.58,0.721,True,3,
V,I,4531.0649,1.9452,-1.955,VALD3,,7.82,-6.08,-7.75,0.011,True,3,
Fe,I,4531.1477,1.4849,-2.155,VALD3,,8.16,-6.11,-7.678,0.933,True,1,
Cr,I,4531.23,3.0111,-1.81,VALD3,,7.56,-6.1,-7.734,0.215,True,3,
Fe,I,4531.5848,3.9286,-2.087,VALD3,,8.0,-4.38,-7.51,0.5,True,1,
Ti,I,4531.6004,1.4432,-2.54,VALD3,,7.51,-6.1,-7.77,0.1,True,3,
Fe,I,4531.6254,3.2112,-2.296,VALD3,,7.85,-5.38,-7.54,0.667,True,1,
Fe,I,4531.6355,3.6343,-2.088,VALD3,,7.72,-6.15,-7.81,0.6,True,1,
Cr,I,4531.8239,4.099,-1.545,VALD3,,7.45,-6.15,-7.79,0.034,True,3,
Ti,I,4531.8974,2.408,-1.538,VALD3,,7.81,-5.83,-7.54,0.086,True,3,
Co,I,4532.0162,3.7323,-1.813,VALD3,,8.03,-4.67,-7.51,0.015,True,3,
Ti,I,4532.1158,2.4953,-0.909,VALD3,,8.11,-4.6,-7.55,0.233,True,3,
V,II,4532.1721,3.7991,-0.934,VALD3,,8.42,-6.49,-7.85,0.016,True,3,
Fe,I,4532.2566,4.5585,-3.581,VALD3,,8.52,-5.3,-7.4,0.011,True,1,
Co,I,4532.6059,1.7403,-3.626,VALD3,,8.24,-6.07,-7.75,0.034,False,3,
Cr,I,4532.7493,3.4216,-1.37,VALD3,,7.73,-6.19,-7.78,0.21,False,3,
Fe,I,4532.9596,4.6076,-1.351,VALD3,,8.22,-3.57,-7.14,0.484,False,1,
Fe,I,4533.1261,3.274,-1.94,VALD3,,8.0,-6.07,-7.64,0.718,False,1,
Ti,I,4533.2394,0.8484,0.54,VALD3,,8.13,-5.12,-7.593,0.933,False,3,
Cr,I,4533.587,3.1216,-1.499,VALD3,,7.91,-6.11,-7.79,0.287,False,3,
Fe,I,4533.8769,4.3714,-3.794,VALD3,,8.19,-4.24,-7.29,0.011,True,1,
Ti,II,4533.9538,1.2369,-1.614,VALD3,,8.17,-6.54,-7.85,0.771,True,3,
Ti,II,4533.9571,1.2369,-1.659,VALD3,,8.17,-6.54,-7.85,0.762,True,3,
Fe,I,4533.9575,2.9488,-3.208,VALD3,,7.8,-6.08,-7.81,0.505,True,1,
Ti,II,4533.96,1.2369,-0.662,VALD3,,8.17,-6.54,-7.85,0.89,True,3,
Ti,II,4533.9628,1.2369,-1.797,VALD3,,8.17,-6.54,-7.85,0.735,True,3,
Cr,I,4533.9633,3.0128,-3.252,VALD3,,7.56,-6.1,-7.78,0.01,True,3,
Ti,II,4533.9655,1.2369,-1.815,VALD3,,8.17,-6.54,-7.85,0.732,True,3,
Co,I,4533.9846,3.1047,-0.442,VALD3,,8.11,-5.41,-7.58,0.512,True,3,
Fe,II,4534.1601,2.8555,-3.33,VALD3,,8.46,-6.53,-7.88,0.384,False,1,
Co,I,4534.3589,2.6304,-2.826,VALD3,,7.75,-6.14,-7.81,0.023,False,3,
Mn,I,4534.4653,4.6788,-1.248,VALD3,,8.07,-6.01,-7.77,0.034,True,3,
Ti,I,4534.5479,2.4804,-1.034,VALD3,,8.13,-4.68,-7.55,0.194,True,3,
Fe,I,4534.621,4.4346,-3.007,VALD3,,8.35,-4.99,-7.33,0.054,True,1,
Ti,I,4534.6962,2.3957,-1.626,VALD3,,7.85,-5.78,-7.54,0.074,True,3,
Ti,I,4534.7761,0.836,0.35,VALD3,,8.13,-5.28,-7.596,0.927,True,3,
Cr,I,4534.7985,3.0133,-2.58,VALD3,,7.56,-6.1,-7.78,0.047,True,3,
Cr,I,4534.9534,3.079,-0.383,VALD3,,7.9,-5.85,-7.75,0.672,False,3,
Cr,I,4535.1357,2.5443,-1.02,VALD3,,7.33,-6.15,-7.692,0.678,True,3,
Mn,I,4535.1389,4.755,-0.356,VALD3,,7.88,-6.07,-7.77,0.174,True,3,
Fe,I,4535.1731,4.5931,-2.459,VALD3,,7.97,-4.8,-7.26,0.117,True,1,
Fe,I,4535.3138,4.3013,-2.179,VALD3,,8.21,-4.31,-7.33,0.307,False,1,
Ti,I,4535.5686,0.8259,0.14,VALD3,,8.13,-5.36,-7.72,0.92,True,3,
Fe,I,4535.6272,4.6076,-0.877,VALD3,,8.3,-3.77,-7.22,0.609,True,1,
Cr,I,4535.6947,4.099,-0.514,VALD3,,8.06,-6.06,-7.76,0.249,True,3,
Cr,I,4535.6966,2.5446,-0.42,VALD3,,7.33,-6.15,-7.692,0.784,True,3,
Cr,I,4535.7524,2.5446,-1.19,VALD3,,7.33,-6.15,-7.692,0.64,True,3,
Ti,I,4535.8433,1.4432,-1.11,VALD3,,7.54,-6.1,-7.77,0.639,True,3,
Ti,I,4535.9176,0.8181,-0.07,VALD3,,8.13,-5.41,-7.72,0.91,True,3,
Fe,I,4535.9552,4.5931,-3.431,VALD3,,8.8,-5.03,-7.62,0.015,True,1,
Ti,I,4536.0403,0.8129,-0.16,VALD3,,8.13,-5.43,-7.72,0.906,True,3,
Fe,I,4536.0765,4.607,-3.459,VALD3,,8.33,-3.95,-7.28,0.013,True,1,
Ni,I,4536.3335,4.2357,-1.839,VALD3,,8.19,-3.65,-7.27,0.093,False,2,
Fe,I,4536.4865,3.6416,-3.14,VALD3,,7.17,-6.29,-7.8,0.219,True,1,
Cr,I,4536.5468,3.3212,-0.965,VALD3,,8.06,-5.06,-7.27,0.418,True,3,
Fe,I,4536.7515,2.7586,-5.554,VALD3,,7.65,-6.16,-7.82,0.011,False,1,
Fe,I,4537.1429,4.6076,-2.991,VALD3,,8.21,-3.95,-7.28,0.038,False,1,
Ni,I,4537.4082,4.0893,-2.514,VALD3,,8.3,-4.42,-7.19,0.032,True,2,
Ni,I,4537.4122,4.0893,-2.1,VALD3,,8.3,-4.42,-7.19,0.075,True,2,
V,I,4537.6544,1.8038,-0.71,VALD3,,7.59,-6.15,-7.597,0.217,True,3,
Fe,I,4537.6703,3.2671,-2.88,VALD3,,7.85,-6.13,-7.684,0.49,True,1,
Fe,I,4537.7947,4.3201,-3.511,VALD3,,8.22,-4.5,-7.29,0.024,False,1,
Fe,I,4538.3505,4.3013,-3.08,VALD3,,8.22,-4.07,-7.31,0.063,False,1,
Mn,I,4538.4601,4.6854,-1.389,VALD3,,8.06,-6.07,-7.77,0.025,False,3,
Fe,I,4538.5798,3.9841,-2.424,VALD3,,7.99,-4.81,-7.51,0.349,True,1,
Fe,I,4538.6439,3.6946,-2.968,VALD3,,7.81,-5.88,-7.8,0.261,True,1,
Fe,I,4538.7479,2.2786,-3.775,VALD3,,8.65,-5.89,-7.71,0.579,True,1,
Ti,I,4538.8265,2.3331,-1.849,VALD3,,8.11,-5.78,-7.68,0.053,True,3,
Fe,I,4538.8361,3.9433,-1.685,VALD3,,7.98,-4.37,-7.52,0.606,True,1,
Fe,I,4538.8481,4.3125,-3.757,VALD3,,8.09,-4.32,-7.33,0.014,True,1,
Fe,I,4538.9421,4.1864,-2.185,VALD3,,8.06,-6.03,-7.73,0.354,True,1,
Fe,I,4539.2551,4.5485,-2.102,VALD3,,8.4,-3.81,-7.37,0.234,True,1,
Fe,I,4539.3532,2.7275,-4.968,VALD3,,7.31,-6.16,-7.83,0.044,True,1,
Cr,II,4539.5901,4.0423,-2.21,VALD3,,8.37,-6.56,-7.77,0.096,True,3,
Fe,I,4539.6901,3.6864,-2.592,VALD3,,8.03,-4.43,-7.49,0.415,True,1,
Cu,I,4539.7078,5.1531,-0.245,VALD3,,8.12,-5.47,-7.59,0.052,True,0,
Fe,I,4539.7632,4.58,-2.921,VALD3,,8.01,-4.14,-7.31,0.047,True,1,
Cr,I,4539.781,2.5438,-1.19,VALD3,,7.36,-6.15,-7.692,0.64,True,3,
Cr,I,4539.808,3.01,-1.613,VALD3,,7.56,-5.76,-7.78,0.291,True,3,
Ti,I,4539.9236,2.472,-1.136,VALD3,,8.16,-4.65,-7.55,0.164,True,3,
V,I,4540.0068,1.8926,-0.85,VALD3,,7.87,-6.15,-7.6,0.14,True,3,
Cr,I,4540.188,3.1128,-2.37,VALD3,,7.89,-6.12,-7.79,0.058,False,3,
Fe,I,4540.4082,2.9904,-4.998,VALD3,,8.53,-6.05,-7.8,0.021,True,1,
Ti,I,4540.4102,2.3341,-2.463,VALD3,,8.11,-5.78,-7.68,0.014,True,3,
Ti,I,4540.4934,0.048,-3.169,VALD3,,6.16,-6.11,-7.77,0.483,True,3,
Cr,I,4540.4984,2.5443,-0.52,VALD3,,7.36,-6.15,-7.692,0.767,True,3,
Cr,I,4540.5173,3.5505,-2.199,VALD3,,8.26,-4.44,-7.35,0.03,True,3,
Fe,I,4540.5824,4.652,-2.764,VALD3,,8.23,-3.65,-7.12,0.055,True,1,
Fe,I,4540.6715,2.9904,-3.213,VALD3,,6.76,-6.19,-7.82,0.484,True,1,
Cr,I,4540.7039,3.1044,0.028,VALD3,,7.79,-5.96,-7.612,0.738,True,3,
Co,I,4540.7862,3.7745,-1.123,VALD3,,8.03,-4.99,-7.45,0.061,True,3,
Cr,I,4540.7936,3.1044,-2.24,VALD3,,7.85,-5.88,-7.76,0.078,True,3,
Cr,I,4540.8565,2.9872,-1.398,VALD3,,7.35,-5.96,-7.79,0.395,True,3,
Ti,I,4540.8661,1.4432,-1.91,VALD3,,7.55,-6.1,-7.77,0.308,True,3,
Ti,I,4541.0012,2.2674,-1.55,VALD3,,8.06,-6.05,-7.68,0.114,True,3,
Cr,I,4541.0606,2.5446,-1.15,VALD3,,7.36,-6.15,-7.692,0.649,True,3,
Mn,I,4541.2414,4.6601,-0.316,VALD3,,7.99,-6.07,-7.77,0.219,True,3,
Fe,I,4541.3141,3.2515,-2.95,VALD3,,8.07,-5.59,-7.811,0.469,True,1,
Cr,I,4541.5068,3.079,-1.08,VALD3,,7.1,-5.85,-7.727,0.483,True,3,
Fe,II,4541.5156,2.8555,-2.79,VALD3,,8.56,-6.53,-7.875,0.553,True,1,
Fe,I,4541.5744,4.5585,-2.612,VALD3,,8.5,-4.56,-7.43,0.092,True,1,
Cr,I,4541.5882,3.1216,-2.105,VALD3,,7.9,-6.12,-7.79,0.099,True,3,
Cr,I,4541.7647,3.0111,-1.971,VALD3,,7.56,-5.76,-7.78,0.161,False,3,
Fe,I,4541.9416,3.2671,-3.13,VALD3,,7.0,-6.16,-7.811,0.389,False,1,
Fe,I,4542.4116,3.6398,-2.05,VALD3,,7.71,-5.52,-7.599,0.606,True,1,
Fe,I,4542.4515,4.2562,-1.559,VALD3,,8.22,-4.29,-7.33,0.544,True,1,
Sc,I,4542.551,1.8506,-0.86,VALD3,,8.0,-6.03,-7.7,0.031,True,3,
Cr,I,4542.6166,3.0869,-0.682,VALD3,,7.39,-5.76,-7.77,0.604,True,3,
Fe,I,4542.6971,3.6864,-2.436,VALD3,,8.23,-5.45,-7.57,0.474,True,1,
Fe,I,4543.2208,3.6398,-2.674,VALD3,,7.72,-4.94,-7.49,0.403,False,1,
Co,I,4543.6743,3.9303,-0.826,VALD3,,8.16,-5.31,-7.55,0.079,True,3,
Cr,I,4543.7348,2.9826,-1.56,VALD3,,7.96,-5.59,-7.595,0.326,True,3,
Co,I,4543.812,2.7177,-0.713,VALD3,,8.07,-5.96,-7.79,0.57,True,3,
Fe,I,4543.8597,4.652,-1.032,VALD3,,8.43,-4.56,-7.32,0.559,True,1,
Ti,II,4544.0171,1.2429,-2.58,VALD3,,8.17,-6.41,-7.85,0.514,False,3,
Y,I,4544.3137,1.9188,-0.05,VALD3,,8.13,-5.39,-7.65,0.023,True,3,
Fe,I,4544.3575,4.652,-1.673,VALD3,,8.23,-4.05,-7.14,0.35,True,1,
Mn,I,4544.4245,4.7944,-1.03,VALD3,,7.96,-6.16,-7.652,0.042,True,3,
Fe,I,4544.4333,4.3201,-3.5,VALD3,,8.23,-4.38,-7.29,0.024,True,1,
Fe,I,4544.478,3.9841,-2.694,VALD3,,7.98,-4.64,-7.52,0.243,True,1,
Cr,I,4544.5106,3.0128,-3.134,VALD3,,7.56,-5.76,-7.78,0.014,True,3,
Co,I,4544.554,3.629,-1.387,VALD3,,8.03,-4.54,-7.5,0.049,True,3,
Cr,I,4544.6119,2.5438,-0.59,VALD3,,7.39,-6.15,-7.692,0.755,True,3,
Ti,I,4544.6871,0.8181,-0.45,VALD3,,8.13,-5.43,-7.6,0.885,True,3,
Cr,II,4544.6939,3.1049,-4.176,VALD3,,8.36,-6.55,-7.801,0.012,True,3,
Sc,I,4544.7,1.865,-0.65,VALD3,,7.99,-6.02,-7.7,0.047,True,3,
Fe,I,4544.7804,4.607,-2.785,VALD3,,8.56,-4.89,-7.5,0.058,True,1,
Fe,I,4544.9767,4.5485,-2.634,VALD3,,8.42,-4.38,-7.4,0.09,False,1,
Fe,I,4545.1123,4.5585,-2.689,VALD3,,8.29,-3.82,-7.14,0.079,True,1,
Ti,II,4545.1212,1.1305,-3.534,VALD3,,8.38,-6.5,-7.84,0.177,True,3,
Ti,II,4545.1273,1.1305,-3.579,VALD3,,8.38,-6.5,-7.84,0.163,True,3,
Ti,II,4545.1332,1.1305,-2.582,VALD3,,8.38,-6.5,-7.84,0.562,True,3,
Ti,II,4545.1389,1.1305,-3.717,VALD3,,8.38,-6.5,-7.84,0.126,True,3,
Ti,II,4545.1443,1.1305,-3.735,VALD3,,8.38,-6.5,-7.84,0.121,True,3,
Co,I,4545.2367,3.9303,-1.75,VALD3,,8.16,-5.07,-7.53,0.011,True,3,
Si,I,4545.3301,5.0823,-3.093,VALD3,,8.61,-2.56,-6.98,0.044,True,2,
Cr,I,4545.331,2.5443,-1.3,VALD3,,7.39,-6.15,-7.692,0.612,True,3,
Ca,I,4545.3526,2.523,-3.761,VALD3,,7.67,-4.52,-7.33,0.035,True,2,
V,I,4545.3926,1.9553,0.38,VALD3,,7.94,-6.07,-7.76,0.596,True,3,
Fe,I,4545.5237,3.6416,-3.363,VALD3,,7.71,-5.52,-7.66,0.148,False,1,
Fe,I,4545.754,3.2367,-2.701,VALD3,,6.24,-6.19,-7.82,0.56,True,1,
Ni,I,4545.7893,4.2661,-2.257,VALD3,,8.33,-4.55,-7.19,0.036,True,2,
Cr,I,4545.9527,0.9414,-1.37,VALD3,,7.23,-6.16,-7.7,0.909,True,3,
Co,I,4545.9859,2.7177,-1.529,VALD3,,8.03,-6.05,-7.79,0.249,True,3,
Fe,I,4546.3341,3.6416,-3.804,VALD3,,7.72,-4.94,-7.49,0.062,False,1,
Fe,I,4546.4689,4.1864,-2.51,VALD3,,8.29,-6.03,-7.73,0.229,True,1,
Cr,I,4546.5348,4.1055,-1.662,VALD3,,8.06,-6.06,-7.76,0.026,True,3,
Fe,I,4546.6864,3.9597,-2.61,VALD3,,8.01,-4.04,-7.174,0.285,False,1,
Co,I,4546.8721,3.4092,-1.571,VALD3,,7.43,-5.96,-7.73,0.055,True,3,
Ni,I,4546.9267,4.1646,-0.14,VALD3,,8.09,-4.99,-7.53,0.623,True,2,
Fe,I,4546.9898,4.5844,-2.168,VALD3,,8.01,-4.14,-7.31,0.198,True,1,
Fe,I,4547.0169,1.5574,-3.73,VALD3,,8.16,-6.11,-7.669,0.792,True,1,
Ni,I,4547.2211,3.6353,-1.267,VALD3,,8.24,-5.41,-7.56,0.492,True,2,
Ni,I,4547.2284,3.6353,-1.681,VALD3,,8.24,-5.41,-7.56,0.339,True,2,
Ni,I,4547.2319,3.6353,-3.043,VALD3,,8.24,-5.41,-7.56,0.029,True,2,
Ni,I,4547.2351,3.6353,-2.539,VALD3,,8.24,-5.41,-7.56,0.083,True,2,
Ni,I,4547.2411,3.6353,-3.133,VALD3,,8.24,-5.41,-7.56,0.023,True,2,
Ti,I,4547.295,3.1042,0.448,VALD3,,7.98,-4.52,-7.54,0.509,True,3,
Co,I,4547.4382,3.6224,-1.939,VALD3,,8.0,-4.24,-7.5,0.015,True,3,
Cr,I,4547.504,2.9872,-3.019,VALD3,,7.26,-6.04,-7.79,0.019,True,3,
Cr,I,4547.6316,3.5558,-2.643,VALD3,,8.26,-4.46,-7.36,0.011,False,3,
Co,I,4547.7334,1.049,-4.209,VALD3,,7.53,-6.21,-7.82,0.051,True,3,
Ti,I,4547.8008,2.4804,-0.555,VALD3,,8.02,-4.22,-7.55,0.39,True,3,
Ca,I,4547.8304,1.8989,-3.44,VALD3,,7.4,-4.95,-7.48,0.253,True,2,
Fe,I,4547.8467,3.5465,-1.012,VALD3,,7.78,-6.14,-7.643,0.804,True,1,
Cr,I,4547.9583,3.5558,-2.017,VALD3,,8.31,-5.84,-7.68,0.044,False,3,
Cr,I,4548.089,3.0869,-2.188,VALD3,,7.9,-5.85,-7.75,0.09,True,3,
Ti,I,4548.1099,2.4953,-0.395,VALD3,,7.96,-5.38,-7.261,0.453,True,3,
Cr,I,4548.207,3.5561,-2.102,VALD3,,8.26,-4.46,-7.36,0.036,True,3,
Fe,I,4548.4278,4.3125,-2.54,VALD3,,8.11,-3.77,-7.33,0.174,False,1,
Cr,I,4548.6507,4.186,-0.95,VALD3,,8.25,-6.08,-7.63,0.097,False,3,
Ti,I,4548.7635,0.8259,-0.28,VALD3,,8.13,-5.41,-7.598,0.897,False,3,
Fe,II,4549.1944,5.9109,-1.767,VALD3,,8.62,-6.6,-7.788,0.035,True,1,
Fe,I,4549.2725,4.5931,-1.402,VALD3,,7.98,-4.37,-7.26,0.471,True,1,
Fe,I,4549.4654,3.8816,-1.457,VALD3,,7.97,-5.28,-7.51,0.667,True,1,
Fe,II,4549.4662,2.8281,-2.02,VALD3,,8.56,-6.53,-7.875,0.716,True,1,
Ti,II,4549.6217,1.5839,-0.22,VALD3,,8.31,-6.49,-7.82,0.886,True,3,
Co,I,4549.6584,3.0665,-0.271,VALD3,,8.11,-5.43,-7.58,0.577,True,3,
Ti,II,4549.8129,1.1801,-2.32,VALD3,,8.16,-6.59,-7.85,0.626,False,3,
Fe,I,4549.9139,3.6864,-3.971,VALD3,,8.03,-4.99,-7.5,0.039,False,1,
Fe,I,4550.2067,4.6076,-1.319,VALD3,,8.24,-3.92,-7.15,0.492,False,1,
Co,I,4550.4818,3.2524,-2.31,VALD3,,7.92,-5.33,-7.215,0.016,False,3,
Ni,I,4550.9035,3.5421,-3.525,VALD3,,8.36,-4.51,-7.51,0.012,False,2,
Ni,I,4551.224,4.1672,-0.88,VALD3,,8.4,-4.99,-7.248,0.414,True,2,
Fe,I,4551.3125,4.58,-2.668,VALD3,,7.68,-4.26,-7.33,0.079,True,1,
Si,I,4551.5879,4.9201,-3.94,VALD3,,8.53,-3.0,-7.12,0.01,True,2,
Fe,I,4551.647,3.9433,-2.06,VALD3,,7.98,-4.94,-7.187,0.501,True,1,
