element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
N,I,1165.59,2.3835,-2.56,VALD3,,0.0,0.0,0.0,0.061,0.054489,False,2,
Fe,II,1166.0211,2.5827,-0.924,VALD3,,8.52,-6.54,-7.942,0.083,1.0,False,1,
Fe,II,1166.03507,2.8281,-0.622,VALD3,,8.78,-5.96,-7.641,0.08,1.0,False,1,
Cu,I,1166.13493,0.0,-1.894,VALD3,,7.22,-5.34,-7.81,0.053,0.688758,False,2,
S,I,1166.69744,0.0491,-3.413,VALD3,,8.56,-4.91,-7.42,0.621,0.058497,False,1,
Fe,II,1166.97415,2.8441,-0.663,VALD3,,8.8,-5.99,-7.646,0.071,1.0,False,1,
Fe,II,1167.11595,0.107,-4.155,VALD3,,8.6,-6.54,-7.781,0.08,1.0,False,1,
S,I,1167.13352,0.0,-0.603,VALD3,,8.3,-4.99,-7.42,0.912,1.0,False,1,
S,I,1167.13352,0.0,-1.27,VALD3,,8.3,-4.99,-7.42,0.911,1.0,False,1,
S,I,1167.13352,0.0,-2.409,VALD3,,8.29,-4.98,-7.42,0.889,1.0,False,1,
Cl,I,1167.148,0.0,-0.09,VALD3,,0.0,0.0,0.0,0.908,1.0,False,0,
Cu,I,1167.35301,0.0,-1.714,VALD3,,7.4,-5.1,-7.76,0.088,0.952798,False,2,
N,I,1167.448,2.3835,-0.743,VALD3,,0.0,0.0,0.0,0.748,0.229213,False,2,
S,I,1168.03327,0.0,-2.923,VALD3,,8.59,-5.58,-7.5,0.823,0.129862,False,1,
Ni,II,1168.04091,1.8592,-1.097,VALD3,,7.84,-6.54,-7.93,0.098,1.0,False,1,
N,I,1168.334,2.3846,-1.817,VALD3,,0.0,0.0,0.0,0.27,0.40674,False,2,
N,I,1168.417,2.3835,-2.382,VALD3,,0.0,0.0,0.0,0.094,1.0,False,2,
Fe,II,1168.49184,2.8067,-0.718,VALD3,,8.53,-6.14,-7.77,0.07,1.0,False,1,
