element,ion,wavelength_air_A,log_gf,vald_gf_source,gf_dex,gf_citation
Fe,2,3001.39924,-1.086,K13,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.53135,-4.355,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3001.59561,-1.678,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3001.6477,-2.24,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.6559,-4.295,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.74522,-0.958,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.78596,-2.508,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.83347,-2.895,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3001.92641,-2.257,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3001.97085,-1.478,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3002.02836,-2.54,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3002.31922,-1.662,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3002.4084,-4.775,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3002.40903,-1.917,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3002.4286,-2.809,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3002.43572,-4.438,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3002.43996,-5.334,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3002.64206,0.097,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3003.25168,-3.158,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.27,-4.264,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.30365,-3.596,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.34074,-2.948,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.68555,-0.411,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.84602,-2.904,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3003.86642,-4.432,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3003.88619,-0.759,K13,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.07368,-1.617,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3004.2555,-2.163,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3004.48214,-4.255,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.4881,-4.964,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.62825,-2.237,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.68587,-3.171,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.85286,-3.377,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3004.87869,-4.555,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3005.014,-3.239,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3005.57244,-3.003,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3005.64826,-2.948,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3005.72282,-1.907,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3005.78247,-2.697,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3005.97299,-1.726,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.44761,-2.616,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.47835,-5.489,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.53812,-1.67,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.54101,-1.098,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.59681,-1.469,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.60485,-2.334,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.63822,-2.484,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.66155,-2.6,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.79793,-4.194,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3006.81448,-5.683,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3007.17791,-3.269,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3007.46651,-4.618,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3007.48406,-2.836,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3007.75082,-3.2,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3007.84141,-3.868,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3007.94368,-3.405,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,2,3007.948,-1.4,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3008.03346,-4.418,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.11303,-5.439,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.12434,-0.844,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.26429,-5.191,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.4813,-1.579,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.49388,-2.45,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3008.65705,-2.903,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3008.68367,-5.133,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.69399,-2.303,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.74543,-3.35,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.75901,-4.62,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.76562,-3.525,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3008.79741,-3.167,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3009.14519,-2.203,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3009.15199,-2.932,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3009.4763,-2.961,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3009.50031,-1.417,K13,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3009.60224,-2.382,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3009.68025,-2.148,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3009.8787,-2.664,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3010.15133,-4.159,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3010.17299,-1.223,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3010.18441,-3.01,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3010.21595,-1.57,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3010.33951,-4.455,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3010.4569,-3.807,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,2,3010.64095,-4.853,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3011.2707,-0.948,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3011.46637,-2.213,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3011.72766,-2.0,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3011.88519,-4.084,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3012.44155,-1.135,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3012.49257,-5.485,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3012.58072,-5.246,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3012.5928,-4.018,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3012.71182,-2.312,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3012.76567,-1.589,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3012.93066,-2.63,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3012.9401,-1.682,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3013.10474,-4.605,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3013.26459,-3.1,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3013.37877,-5.089,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3013.49141,-1.465,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3013.51412,-4.788,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3013.79975,-3.089,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3013.89643,-3.732,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.02665,-5.645,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.07191,-4.843,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.10489,-3.321,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.14497,-2.409,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.14624,-2.931,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.17324,-2.757,KOH,,unrecognised VALD source tag 'KOH' — accuracy NOT assumed
Fe,1,3014.22804,-4.71,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.2594,-2.858,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.31429,-2.049,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3014.58335,-3.136,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3014.64635,-2.108,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.88347,-4.94,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.89629,-3.502,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3014.98367,-3.271,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3015.00259,-3.502,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3015.33053,-2.107,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3015.37964,-1.231,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3015.43922,-2.563,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3015.50062,-3.589,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3015.79482,-1.203,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3015.91856,-1.14,KOH,,unrecognised VALD source tag 'KOH' — accuracy NOT assumed
Fe,1,3016.11483,-2.754,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3016.12302,-2.587,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3016.29138,-3.33,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3016.34062,-2.361,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3016.76635,-3.801,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3016.81041,-4.444,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.25831,-1.131,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.30704,-3.234,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.41696,-1.127,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.49302,-2.486,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.51178,-4.087,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.80537,-4.88,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3017.85593,-1.309,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3018.11606,-1.507,K13,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3018.2122,-3.286,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3018.24664,-2.224,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3018.69843,-2.846,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3019.22212,-1.553,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3019.24565,-1.073,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3019.29754,-5.0,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3019.32179,-2.257,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3019.55381,-3.513,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3019.9289,-4.912,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3019.93246,-1.537,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3020.00444,-3.055,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3020.13801,-2.647,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3020.25207,-2.046,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3020.41186,-4.31,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.53461,-5.542,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.55934,-3.199,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.57741,-3.897,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.66366,-3.086,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.69269,-3.737,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.69716,-2.226,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.71332,-2.935,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.80104,-3.23,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3020.91715,-3.221,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3021.01584,-4.232,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3021.18173,-4.269,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3021.28984,-5.511,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3021.38691,-3.128,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,2,3021.41714,-2.504,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3021.55878,-2.95,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3022.09525,-4.319,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3022.15701,-3.386,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3022.25971,-3.738,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3022.36625,-1.828,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3022.71188,-3.624,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3023.34239,-3.581,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3023.43931,-2.97,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3023.55197,-3.884,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3023.57502,-5.83,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3023.5859,-2.922,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3023.83586,-2.646,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3024.03243,-1.476,KOH,,unrecognised VALD source tag 'KOH' — accuracy NOT assumed
Fe,1,3024.22546,-1.836,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.23644,-3.679,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.33443,-2.66,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.42007,-2.915,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.56493,-3.606,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.68893,-3.174,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.74732,-2.271,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3024.79912,-2.147,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,2,3024.91509,-5.161,RU,0.03,Ruffoni et al. — FTS laboratory
Fe,1,3025.00003,-3.584,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.17195,-5.428,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.24931,-2.646,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.27814,-3.045,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.35469,-4.491,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.38783,-4.345,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
Fe,1,3025.40001,-3.525,K14,0.2,"Kurucz semi-empirical (K07/K14/K16/K88…) — 0.1–0.3 dex, RYA-161"
