# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
N,I,1159.82,0.0,-4.4,VALD3,,0.0,0.0,0.0,0.477,False,0,,uv1_019551,vacuum
Cu,I,1159.89393,0.0,-1.404,VALD3,,7.71,-3.05,-6.86,0.155,False,0,,uv1_019551,vacuum
Fe,II,1160.09127,1.0762,-1.842,VALD3,,8.63,-6.48,-7.92,0.385,False,0,,uv1_019551,vacuum
C,I,1160.51,0.002,-3.481,VALD3,,0.0,0.0,0.0,0.738,False,0,,uv1_019551,vacuum
C,I,1160.88,0.0054,-3.92,VALD3,,0.0,0.0,0.0,0.592,False,0,,uv1_019551,vacuum
N,I,1160.94,0.0,-4.958,VALD3,,0.0,0.0,0.0,0.208,False,0,,uv1_019551,vacuum
S,I,1161.28655,1.1454,-2.66,VALD3,,6.93,-3.88,-6.94,0.21,False,0,,uv1_019551,vacuum
S,I,1161.28655,1.1454,-2.372,VALD3,,6.96,-3.83,-6.94,0.331,False,0,,uv1_019551,vacuum
S,I,1161.3312,0.0,-3.158,VALD3,,8.56,-4.91,-7.42,0.685,False,0,,uv1_019551,vacuum
S,I,1161.34368,0.0491,-1.17,VALD3,,8.53,-5.14,-7.43,0.841,False,0,,uv1_019551,vacuum
Fe,II,1161.44112,0.0828,-4.221,VALD3,,8.61,-6.54,-7.775,0.053,False,0,,uv1_019551,vacuum
