# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
Mn,II,2618.14553,3.4184,-1.142,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.14566,3.4184,-0.179,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.14888,3.4184,-2.752,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.1505,3.4184,-1.09,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.1508,3.4184,-0.1,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.1546,3.4184,-2.584,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,I,2618.15548,3.1325,-0.429,VALD3,,7.6,-6.18,-7.83,0.899,False,0,,uv2_019552,air
Mn,II,2618.15639,3.4184,-1.135,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.15684,3.4184,-0.024,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.16123,3.4184,-2.656,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Mn,II,2618.16317,3.4184,-1.33,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Cr,II,2618.16549,4.4972,-2.603,VALD3,,8.54,-6.51,-7.779,0.064,False,0,,uv2_019552,air
Mn,II,2618.16877,3.4184,-2.974,VALD3,,8.49,-6.49,-7.89,0.979,False,0,,uv2_019552,air
Cr,I,2618.2687,0.9829,-1.31,VALD3,,7.35,-5.96,-7.67,0.968,False,0,,uv2_019552,air
Cu,I,2618.35176,1.3889,-3.673,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.35205,1.3889,-2.719,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.35219,1.3889,-2.673,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.35465,1.3889,-3.849,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.35512,1.3889,-2.606,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.3554,1.3889,-2.351,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.3575,1.3889,-3.322,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.35777,1.3889,-2.368,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.3579,1.3889,-2.322,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.35999,1.3889,-2.703,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.36015,1.3889,-3.498,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.36045,1.3889,-2.101,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.36059,1.3889,-2.255,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.36086,1.3889,-2.0,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.3651,1.3889,-2.352,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.36553,1.3889,-1.75,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Cu,I,2618.36766,1.3889,-1.895,VALD3,,7.68,-4.67,-7.47,0.957,False,0,,uv2_019552,air
Cu,I,2618.37229,1.389,-1.544,VALD3,,7.68,-4.67,-7.47,0.97,False,0,,uv2_019552,air
Fe,II,2618.4527,2.8281,-2.69,VALD3,,8.48,-6.53,-7.902,0.93,False,0,,uv2_019552,air
Cr,II,2618.50003,3.7565,-1.869,VALD3,,8.43,-6.49,-7.849,0.667,False,0,,uv2_019552,air
Fe,I,2618.60484,2.2786,-4.61,VALD3,,6.92,-4.3,-7.26,0.123,False,0,,uv2_019552,air
Cr,II,2618.61986,6.0121,-0.033,VALD3,,9.01,-5.86,-7.566,0.546,False,0,,uv2_019552,air
Fe,I,2618.70945,0.0,-2.243,VALD3,,8.21,-5.91,-7.73,0.997,False,0,,uv2_019552,air
Fe,II,2618.71494,7.5825,-0.903,VALD3,,8.85,-5.71,-7.419,0.104,False,0,,uv2_019552,air
Cr,II,2618.776,6.8968,-0.677,VALD3,,8.37,-6.45,-7.721,0.052,False,0,,uv2_019552,air
Fe,I,2618.80351,3.0173,-2.712,VALD3,,8.28,-3.79,-7.03,0.78,False,0,,uv2_019552,air
W,I,2618.809,0.4123,-0.93,VALD3,,0.0,0.0,0.0,0.074,False,0,,uv2_019552,air
Fe,I,2618.8481,2.7275,-0.741,VALD3,,8.47,-4.81,-7.4,0.985,False,0,,uv2_019552,air
Co,II,2618.88871,3.0088,-1.837,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.88931,3.0088,-1.841,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.89186,3.0088,-2.096,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.89198,3.0088,-3.022,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.89213,3.0088,-1.641,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.89452,3.0088,-1.841,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Co,II,2618.89541,3.0088,-1.837,VALD3,,8.64,-6.54,-7.89,0.738,False,0,,uv2_019552,air
Mn,I,2618.91452,3.135,0.595,VALD3,,8.58,-5.95,-7.74,0.963,False,0,,uv2_019552,air
Mn,II,2618.91767,5.5477,-0.063,VALD3,,8.63,-6.49,-7.87,0.605,False,0,,uv2_019552,air
OH,I,2618.96303,0.0441,-3.367,VALD3,,0.0,0.0,0.0,0.208,False,0,,uv2_019552,air
Mn,II,2618.99795,5.5669,0.066,VALD3,,8.71,-6.49,-7.87,0.653,False,0,,uv2_019552,air
Fe,I,2619.00941,3.0176,-0.91,VALD3,,8.28,-3.79,-7.03,0.976,False,0,,uv2_019552,air
Fe,II,2619.07384,2.8067,-0.593,VALD3,,8.58,-6.53,-7.899,0.991,False,0,,uv2_019552,air
OH,I,2619.13238,0.0104,-3.804,VALD3,,0.0,0.0,0.0,0.072,False,0,,uv2_019552,air
Fe,I,2619.16463,2.9904,-1.611,VALD3,,7.78,-4.05,-7.0,0.955,False,0,,uv2_019552,air
W,I,2619.181,1.8684,0.36,VALD3,,0.0,0.0,0.0,0.053,False,0,,uv2_019552,air
Lu,II,2619.25941,1.4625,-0.31,VALD3,,0.0,0.0,0.0,0.093,False,0,,uv2_019552,air
Co,I,2619.26482,0.6293,-2.839,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.27084,0.6293,-3.055,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.27424,0.6293,-3.465,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.27579,0.6293,-3.338,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.27864,0.6293,-3.304,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.2798,0.6293,-3.777,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.282,0.6293,-3.312,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.28204,0.6293,-4.33,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.28443,0.6293,-3.476,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.28484,0.6293,-3.902,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.28663,0.6293,-3.652,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Co,I,2619.28751,0.6293,-3.476,VALD3,,7.76,-6.14,-7.82,0.915,False,0,,uv2_019552,air
Mn,II,2619.29371,5.4176,-1.285,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.29527,5.4176,-1.109,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.29682,5.4176,-1.586,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.29829,5.4176,-0.946,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.30045,5.4176,-1.403,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.302,5.4176,-2.54,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.30278,5.4176,-0.8,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.30556,5.4176,-1.344,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.30772,5.4176,-2.431,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.30874,5.4176,-0.669,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.31214,5.4176,-1.378,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.31492,5.4176,-2.54,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.3162,5.4177,-0.549,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.32022,5.4177,-1.561,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mn,II,2619.32361,5.4177,-2.883,VALD3,,8.48,-6.49,-7.89,0.696,False,0,,uv2_019552,air
Mo,II,2619.345,1.461,-0.991,VALD3,,0.0,0.0,0.0,0.247,False,0,,uv2_019552,air
Cr,I,2619.50334,2.9151,-1.03,VALD3,,8.57,-5.13,-7.59,0.555,False,0,,uv2_019552,air
Mn,I,2619.50608,3.135,-1.476,VALD3,,7.6,-6.18,-7.83,0.352,False,0,,uv2_019552,air
Cr,II,2619.56018,6.1792,0.63,VALD3,,8.93,-5.82,-7.543,0.743,False,0,,uv2_019552,air
Pt,I,2619.5675,0.8143,-1.58,VALD3,,0.0,0.0,0.0,0.085,False,0,,uv2_019552,air
Mn,I,2619.64365,2.9197,-2.454,VALD3,,7.23,-5.08,-7.6,0.061,False,0,,uv2_019552,air
Co,II,2619.79617,3.1178,-1.784,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.79638,3.1178,-1.932,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.79648,3.1178,-1.65,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.79711,3.1178,-2.09,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.79731,3.1178,-1.529,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.79866,3.1179,-1.418,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80017,3.1178,-2.342,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Ti,I,2619.8003,0.0,-2.23,VALD3,,8.49,-5.8,-7.63,0.721,False,0,,uv2_019552,air
Co,II,2619.80054,3.1179,-1.317,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80148,3.1178,-2.137,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80293,3.1179,-1.223,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.8033,3.1178,-2.039,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80527,3.1178,-3.207,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80565,3.1178,-1.999,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Mn,I,2619.80835,3.135,-0.847,VALD3,,8.59,-5.95,-7.74,0.768,False,0,,uv2_019552,air
Co,II,2619.80852,3.1179,-2.011,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.80862,3.1178,-3.023,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.81192,3.1179,-2.089,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.81248,3.1178,-3.007,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.81583,3.1179,-2.304,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.81687,3.1179,-3.094,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.82178,3.1179,-3.291,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Co,II,2619.82721,3.1179,-3.685,VALD3,,8.54,-6.55,-7.9,0.856,False,0,,uv2_019552,air
Fe,I,2619.84406,1.0111,-3.958,VALD3,,8.51,-6.07,-7.8,0.951,False,0,,uv2_019552,air
Ir,I,2619.883,0.0,-1.98,VALD3,,0.0,0.0,0.0,0.059,False,0,,uv2_019552,air
Ti,I,2619.9389,0.048,-0.95,VALD3,,8.3,-5.4,-7.571,0.968,False,0,,uv2_019552,air
Os,I,2619.945,0.5157,-0.56,VALD3,,0.0,0.0,0.0,0.372,False,0,,uv2_019552,air
Mn,I,2619.96621,3.1353,0.513,VALD3,,8.59,-5.95,-7.74,0.96,False,0,,uv2_019552,air
Co,II,2619.97589,3.8682,-2.205,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.97601,3.8683,-2.034,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.97624,3.8682,-2.412,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.97705,3.8682,-2.683,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.97832,3.8682,-3.101,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.98436,3.8682,-2.8,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.98551,3.8682,-2.617,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.98712,3.8682,-2.558,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.98798,3.8682,-2.879,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.98919,3.8682,-2.591,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.99155,3.8682,-2.976,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.99172,3.8683,-2.774,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2619.99558,3.8682,-3.122,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2620.00007,3.8682,-3.356,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Co,II,2620.00501,3.8683,-3.774,VALD3,,8.82,-6.55,-7.89,0.146,False,0,,uv2_019552,air
Cr,I,2620.06674,0.9684,-3.276,VALD3,,7.9,-5.39,-7.76,0.322,False,0,,uv2_019552,air
Cr,II,2620.09345,3.887,-1.905,VALD3,,8.56,-6.55,-7.781,0.581,False,0,,uv2_019552,air
Co,I,2620.15236,2.0802,-4.433,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.15391,2.0802,-4.045,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.15551,2.0802,-4.178,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.15704,2.0802,-3.79,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.15709,2.0802,-4.463,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.15864,2.0802,-3.99,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.16179,2.0802,-4.433,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.1618,2.0802,-3.592,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.16335,2.0802,-3.899,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.16808,2.0802,-4.484,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.16821,2.0802,-3.428,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.16969,2.0802,-3.877,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Fe,II,2620.17147,2.8441,-1.153,VALD3,,8.47,-6.53,-7.894,0.983,False,0,,uv2_019552,air
Co,I,2620.176,2.0802,-4.609,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.17633,2.0803,-3.287,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.1777,2.0802,-3.931,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.1856,2.0802,-4.831,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.18743,2.0803,-4.127,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
Co,I,2620.19692,2.0803,-5.241,VALD3,,8.31,-4.52,-7.49,0.058,False,0,,uv2_019552,air
W,I,2620.228,0.3659,-0.57,VALD3,,0.0,0.0,0.0,0.182,False,0,,uv2_019552,air
Fe,II,2620.24166,6.703,-1.142,VALD3,,8.71,-6.51,-7.716,0.255,False,0,,uv2_019552,air
Mn,II,2620.25011,6.1282,-0.996,VALD3,,8.7,-6.48,-7.86,0.06,False,0,,uv2_019552,air
V,I,2620.29063,1.0806,-0.67,VALD3,,8.54,-5.76,-7.48,0.355,False,0,,uv2_019552,air
Cr,II,2620.29839,6.1628,-0.829,VALD3,,8.92,-5.82,-7.545,0.134,False,0,,uv2_019552,air
Fe,I,2620.35987,0.9901,-4.535,VALD3,,8.53,-6.05,-7.8,0.867,False,0,,uv2_019552,air
Cr,II,2620.37051,4.4972,-1.766,VALD3,,8.43,-6.5,-7.777,0.333,False,0,,uv2_019552,air
Fe,II,2620.4085,0.107,-1.804,VALD3,,8.47,-6.54,-7.908,0.998,False,0,,uv2_019552,air
Nb,II,2620.43167,0.9306,-1.672,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.43385,0.9306,-1.5,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.43562,0.9306,-1.713,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.43697,0.9306,-1.494,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.43892,0.9306,-2.889,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.44103,0.9306,-1.66,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.44287,0.9306,-1.672,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.44317,0.9306,-2.386,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.44824,0.9306,-1.5,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.44836,0.9306,-1.562,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Cr,II,2620.45067,6.0296,0.217,VALD3,,9.01,-5.86,-7.564,0.649,False,0,,uv2_019552,air
Nb,II,2620.4545,0.9306,-1.137,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.45456,0.9306,-1.494,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Nb,II,2620.46182,0.9306,-1.66,VALD3,,0.0,0.0,0.0,0.171,False,0,,uv2_019552,air
Cr,I,2620.47753,0.9829,-1.24,VALD3,,7.26,-6.04,-7.671,0.97,False,0,,uv2_019552,air
Cr,II,2620.50391,4.4972,-1.352,VALD3,,8.56,-6.55,-7.787,0.576,False,0,,uv2_019552,air
OH,I,2620.50886,0.2547,-3.255,VALD3,,0.0,0.0,0.0,0.163,False,0,,uv2_019552,air
Os,I,2620.618,0.3398,-1.27,VALD3,,0.0,0.0,0.0,0.132,False,0,,uv2_019552,air
Fe,II,2620.6949,2.8281,-0.549,VALD3,,8.57,-6.53,-7.899,0.991,False,0,,uv2_019552,air
OH,I,2620.79281,0.2993,-3.168,VALD3,,0.0,0.0,0.0,0.18,False,0,,uv2_019552,air
Ni,I,2620.81213,0.2748,-5.932,VALD3,,6.93,-6.31,-7.82,0.059,False,0,,uv2_019552,air
Ni,I,2620.81335,0.2748,-5.074,VALD3,,6.93,-6.31,-7.82,0.36,False,0,,uv2_019552,air
Ni,I,2620.81463,0.2748,-4.66,VALD3,,6.93,-6.31,-7.82,0.651,False,0,,uv2_019552,air
Cr,II,2620.87025,6.8968,-0.689,VALD3,,8.37,-6.48,-7.716,0.05,False,0,,uv2_019552,air
OH,I,2620.87038,0.9599,-3.06,VALD3,,0.0,0.0,0.0,0.06,False,0,,uv2_019552,air
Fe,II,2620.89821,3.1995,-3.749,VALD3,,8.6,-6.53,-7.893,0.496,False,0,,uv2_019552,air
Cr,II,2620.9314,6.4062,-0.888,VALD3,,8.89,-5.67,-7.518,0.077,False,0,,uv2_019552,air
Fe,I,2620.94343,2.4327,-4.353,VALD3,,7.42,-4.65,-7.34,0.155,False,0,,uv2_019552,air
Cr,I,2621.06019,0.9414,-4.144,VALD3,,7.86,-5.96,-7.76,0.052,False,0,,uv2_019552,air
OH,I,2621.46716,0.9825,-2.917,VALD3,,0.0,0.0,0.0,0.079,False,0,,uv2_019552,air
Fe,I,2621.47706,2.4254,-1.677,VALD3,,8.14,-4.87,-7.32,0.974,False,0,,uv2_019552,air
OH,I,2621.50202,0.0676,-3.267,VALD3,,0.0,0.0,0.0,0.243,False,0,,uv2_019552,air
Fe,II,2621.66874,0.1211,-0.951,VALD3,,8.47,-6.54,-7.908,0.998,False,0,,uv2_019552,air
V,II,2621.77504,4.6128,-0.01,VALD3,,8.89,-5.68,-7.7,0.078,False,0,,uv2_019552,air
Os,I,2621.818,0.0,-1.25,VALD3,,0.0,0.0,0.0,0.273,False,0,,uv2_019552,air
Fe,I,2621.89311,2.4534,-3.426,VALD3,,7.4,-4.75,-7.46,0.683,False,0,,uv2_019552,air
Co,II,2621.91768,5.8321,-1.615,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92065,5.8321,-1.42,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92124,5.8321,-0.807,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92325,5.8321,-1.367,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92367,5.8321,-1.035,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92548,5.8321,-1.393,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92572,5.8321,-1.321,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92723,5.8321,-1.615,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92733,5.8321,-1.492,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.9274,5.8321,-1.707,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.9287,5.8321,-2.337,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92873,5.8321,-1.42,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92881,5.8321,-1.714,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92964,5.8321,-20.142,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.92986,5.8321,-1.367,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.9302,5.8321,-2.191,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.93062,5.8321,-1.393,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.93101,5.8321,-1.492,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Co,II,2621.93102,5.8321,-1.714,VALD3,,8.92,-5.74,-7.69,0.064,False,0,,uv2_019552,air
Fe,I,2621.93843,2.845,-1.438,VALD3,,8.23,-2.91,-7.06,0.967,False,0,,uv2_019552,air
Cr,I,2621.98609,3.0106,-1.577,VALD3,,7.62,-5.24,-7.02,0.18,False,0,,uv2_019552,air
Cr,II,2622.02907,3.887,-2.349,VALD3,,8.57,-6.55,-7.774,0.312,False,0,,uv2_019552,air
Co,I,2622.04882,0.5136,-3.186,VALD3,,8.83,-5.82,-7.68,0.978,False,0,,uv2_019552,air
Co,I,2622.04885,0.5136,-2.923,VALD3,,8.83,-5.82,-7.68,0.978,False,0,,uv2_019552,air
Co,I,2622.04969,0.5136,-2.719,VALD3,,8.83,-5.82,-7.68,0.978,False,0,,uv2_019552,air
