line_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew
gf_000112,13,2,Al II,5593.3,13.257,1,0.41,KP,,synth(GES),single_source,0.41,,,True,False,False,
gf_000113,13,2,Al II,5628.484,15.062,1,-4.12,KP,,synth(GES),single_source,-4.12,,,True,False,False,
gf_000114,13,2,Al II,5628.617,15.062,1,-3.22,KP,,synth(GES),single_source,-3.22,,,True,False,False,
gf_000115,13,2,Al II,5769.1359,16.468,6,0.2564,KP,,synth(GES),single_source,0.2564,,,True,False,False,
gf_000116,13,2,Al II,5848.5857,16.468,6,0.1864,KP,,synth(GES),single_source,0.1864,,,True,False,False,
gf_000117,13,2,Al II,5861.621,15.062,1,-1.309,WEI,,synth(GES),single_source,-1.309,,,True,False,False,
gf_000118,13,2,Al II,5861.765,15.062,1,-0.419,WEI,,synth(GES),single_source,-0.419,,,True,False,False,
gf_000119,13,2,Al II,5867.642,15.062,1,-2.939,WEI,,synth(GES),single_source,-2.939,,,True,False,False,
gf_000120,13,2,Al II,5867.786,15.062,1,-1.309,WEI,,synth(GES),single_source,-1.309,,,True,False,False,
gf_000121,13,2,Al II,5867.901,15.062,1,-0.589,WEI,,synth(GES),single_source,-0.589,,,True,False,False,
gf_000122,13,2,Al II,5948.5677,16.468,6,0.1364,KP,,synth(GES),single_source,0.1364,,,True,False,False,
gf_000123,13,2,Al II,5969.1405,16.468,2,-0.4896,KP,,synth(GES),single_source,-0.4896,,,True,False,False,
gf_000124,13,2,Al II,5971.979,15.606,1,-0.8,KP,,synth(GES),single_source,-0.8,,,True,False,False,
gf_000125,13,2,Al II,5999.875,15.585,1,-1.42,KP,,synth(GES),single_source,-1.42,,,True,False,False,
gf_000126,13,2,Al II,6001.8827,15.586,2,-0.9458,KP,,synth(GES),single_source,-0.9458,,,True,False,False,
gf_000127,13,2,Al II,6060.1729,15.606,2,-3.4833,KP,,synth(GES),single_source,-3.4833,,,True,False,False,
gf_000128,13,2,Al II,6061.125,15.606,1,-1.37,KP,,synth(GES),single_source,-1.37,,,True,False,False,
gf_000129,13,2,Al II,6068.45,15.586,1,-1.38,KP,,synth(GES),single_source,-1.38,,,True,False,False,
gf_000130,13,2,Al II,6128.046,15.606,1,-3.91,KP,,synth(GES),single_source,-3.91,,,True,False,False,
gf_000131,13,2,Al II,6172.949,16.604,1,-0.69,KP,,synth(GES),single_source,-0.69,,,True,False,False,
gf_000132,13,2,Al II,6182.333,15.302,3,0.1488,KP,,synth(GES),single_source,0.1488,,,True,False,False,
gf_000133,13,2,Al II,6198.028,16.637,3,-2.0731,KP,,synth(GES),single_source,-2.0731,,,True,False,False,
gf_000134,13,2,Al II,6201.527,15.309,3,0.1449,KP,,synth(GES),single_source,0.1449,,,True,False,False,
gf_000135,13,2,Al II,6220.04,15.314,1,0.0,KP,,synth(GES),single_source,0.0,,,True,False,False,
gf_000136,13,2,Al II,6226.195,13.071,1,0.05,KP,,synth(GES),single_source,0.05,,,True,False,False,
gf_000137,13,2,Al II,6231.621,13.073,1,-0.08,KP,,synth(GES),single_source,-0.08,,,True,False,False,
gf_000138,13,2,Al II,6231.75,13.073,1,0.4,KP,,synth(GES),single_source,0.4,,,True,False,False,
gf_000139,13,2,Al II,6243.073,13.077,1,-1.25,KP,,synth(GES),single_source,-1.25,,,True,False,False,
gf_000140,13,2,Al II,6243.203,13.077,1,-0.08,KP,,synth(GES),single_source,-0.08,,,True,False,False,
gf_000141,13,2,Al II,6243.367,13.077,1,0.67,KP,,synth(GES),single_source,0.67,,,True,False,False,
gf_000142,13,2,Al II,6248.298,16.604,1,-0.61,KP,,synth(GES),single_source,-0.61,,,True,False,False,
gf_000143,13,2,Al II,6260.793,16.637,7,-1.8594,KP,,synth(GES),single_source,-1.8594,,,True,False,False,
gf_000144,13,2,Al II,6282.4919,16.468,2,-0.5585,KP,,synth(GES),single_source,-0.5585,,,True,False,False,
gf_000145,13,2,Al II,6299.971,15.302,1,-4.55,KP,,synth(GES),single_source,-4.55,,,True,False,False,
gf_000146,13,2,Al II,6319.904,15.309,1,-1.91,KP,,synth(GES),single_source,-1.91,,,True,False,False,
gf_000147,13,2,Al II,6320.248,16.544,1,-0.22,KP,,synth(GES),single_source,-0.22,,,True,False,False,
gf_000148,13,2,Al II,6322.394,16.545,3,-0.0713,KP,,synth(GES),single_source,-0.0713,,,True,False,False,
gf_000149,13,2,Al II,6362.547,16.604,1,-0.64,KP,,synth(GES),single_source,-0.64,,,True,False,False,
gf_000150,13,2,Al II,6389.619,11.317,1,-3.55,KP,,synth(GES),single_source,-3.55,,,True,False,False,
gf_000151,13,2,Al II,6400.69,13.65,1,-3.09,KP,,synth(GES),single_source,-3.09,,,True,False,False,
gf_000152,13,2,Al II,6419.299,16.575,3,-0.1097,KP,,synth(GES),single_source,-0.1097,,,True,False,False,
gf_000153,13,2,Al II,6472.673,16.637,7,-1.9525,KP,,synth(GES),single_source,-1.9525,,,True,False,False,
gf_000154,13,2,Al II,6479.011,16.468,1,-1.06,KP,,synth(GES),single_source,-1.06,,,True,False,False,
gf_000155,13,2,Al II,6479.2827,16.468,5,-1.1175,KP,,synth(GES),single_source,-1.1175,,,True,False,False,
gf_000156,13,2,Al II,6508.737,16.545,3,-1.0219,KP,,synth(GES),single_source,-1.0219,,,True,False,False,
gf_000157,13,2,Al II,6509.092,16.393,1,-4.79,KP,,synth(GES),single_source,-4.79,,,True,False,False,
gf_000158,13,2,Al II,6510.046,16.604,1,-0.65,KP,,synth(GES),single_source,-0.65,,,True,False,False,
gf_000159,13,2,Al II,6511.7,16.546,4,-0.9081,KP,,synth(GES),single_source,-0.9081,,,True,False,False,
gf_000160,13,2,Al II,6528.5572,16.468,2,-1.4185,KP,,synth(GES),single_source,-1.4185,,,True,False,False,
gf_000161,13,2,Al II,6540.456,16.604,1,-0.78,KP,,synth(GES),single_source,-0.78,,,True,False,False,
gf_000162,13,2,Al II,6609.81,15.473,1,-1.79,KP,,synth(GES),single_source,-1.79,,,True,False,False,
gf_000163,13,2,Al II,6611.484,16.575,2,-1.0537,KP,,synth(GES),single_source,-1.0537,,,True,False,False,
gf_000164,13,2,Al II,6699.314,14.89,1,-2.57,KP,,synth(GES),single_source,-2.57,,,True,False,False,
gf_000165,13,2,Al II,6700.848,14.89,1,-2.57,KP,,synth(GES),single_source,-2.57,,,True,False,False,
gf_000166,13,2,Al II,6742.827,14.89,1,-2.27,KP,,synth(GES),single_source,-2.27,,,True,False,False,
gf_000167,13,2,Al II,6762.939,16.544,1,-1.01,KP,,synth(GES),single_source,-1.01,,,True,False,False,
gf_000168,13,2,Al II,6809.539,16.468,1,-0.92,KP,,synth(GES),single_source,-0.92,,,True,False,False,
gf_000169,13,2,Al II,6809.8966,16.468,2,-1.3985,KP,,synth(GES),single_source,-1.3985,,,True,False,False,
gf_000170,13,2,Al II,6810.1869,16.468,3,-1.1739,KP,,synth(GES),single_source,-1.1739,,,True,False,False,
gf_000171,13,2,Al II,6821.499,16.544,1,-4.93,KP,,synth(GES),single_source,-4.93,,,True,False,False,
gf_000172,13,2,Al II,6823.394,13.073,1,-0.14,KP,,synth(GES),single_source,-0.14,,,True,False,False,
gf_000173,13,2,Al II,6824.0,16.545,1,-3.38,KP,,synth(GES),single_source,-3.38,,,True,False,False,
gf_000174,13,2,Al II,6837.128,13.077,1,0.08,KP,,synth(GES),single_source,0.08,,,True,False,False,
gf_000175,13,2,Al II,6864.497,13.257,1,-3.84,KP,,synth(GES),single_source,-3.84,,,True,False,False,
gf_000176,13,2,Al II,6864.653,13.257,1,-3.36,KP,,synth(GES),single_source,-3.36,,,True,False,False,
gf_000177,13,2,Al II,6870.031,16.637,3,-2.8085,KP,,synth(GES),single_source,-2.8085,,,True,False,False,
gf_000178,13,2,Al II,6883.3228,16.468,2,-1.2785,KP,,synth(GES),single_source,-1.2785,,,True,False,False,
gf_000179,13,2,Al II,6919.4729,16.468,2,-3.5158,KP,,synth(GES),single_source,-3.5158,,,True,False,False,
gf_000180,13,2,Al II,6920.343,13.257,1,-0.16,KP,,synth(GES),single_source,-0.16,,,True,False,False,
gf_000181,13,2,Al II,6951.493,16.393,1,-4.57,KP,,synth(GES),single_source,-4.57,,,True,False,False,
gf_000182,13,2,Al II,6952.508,16.393,1,-4.96,KP,,synth(GES),single_source,-4.96,,,True,False,False,
gf_000183,13,2,Al II,6973.449,16.604,1,-1.42,KP,,synth(GES),single_source,-1.42,,,True,False,False,
gf_000184,13,2,Al II,7030.641,16.604,1,-1.55,KP,,synth(GES),single_source,-1.55,,,True,False,False,
gf_000185,13,2,Al II,7042.083,11.317,1,0.35,KP,,synth(GES),single_source,0.35,,,True,False,False,
gf_000186,13,2,Al II,7056.712,11.317,1,0.13,KP,,synth(GES),single_source,0.13,,,True,False,False,
gf_000187,13,2,Al II,7063.682,11.317,1,-0.35,KP,,synth(GES),single_source,-0.35,,,True,False,False,
gf_000188,13,2,Al II,7132.895,16.544,1,-0.83,KP,,synth(GES),single_source,-0.83,,,True,False,False,
gf_000189,13,2,Al II,7165.353,16.637,2,-3.0666,KP,,synth(GES),single_source,-3.0666,,,True,False,False,
gf_000190,13,2,Al II,7221.345,16.545,1,-3.19,KP,,synth(GES),single_source,-3.19,,,True,False,False,
gf_000191,13,2,Al II,7221.554,16.545,1,-2.29,KP,,synth(GES),single_source,-2.29,,,True,False,False,
gf_000192,13,2,Al II,7224.993,16.546,1,-2.13,KP,,synth(GES),single_source,-2.13,,,True,False,False,
gf_000193,13,2,Al II,7234.778,16.463,1,-2.34,KP,,synth(GES),single_source,-2.34,,,True,False,False,
gf_000194,13,2,Al II,7255.3041,16.468,3,-2.3545,KP,,synth(GES),single_source,-2.3545,,,True,False,False,
gf_000195,13,2,Al II,7273.49,15.473,1,-3.21,KP,,synth(GES),single_source,-3.21,,,True,False,False,
gf_000196,13,2,Al II,7300.404,16.74,1,-1.26,KP,,synth(GES),single_source,-1.26,,,True,False,False,
gf_000197,13,2,Al II,7321.269,16.741,1,-0.92,KP,,synth(GES),single_source,-0.92,,,True,False,False,
gf_000198,13,2,Al II,7324.539,15.048,1,-2.4,KP,,synth(GES),single_source,-2.4,,,True,False,False,
gf_000199,13,2,Al II,7361.568,15.586,1,-2.83,KP,,synth(GES),single_source,-2.83,,,True,False,False,
gf_000200,13,2,Al II,7384.239,15.062,1,-1.43,KP,,synth(GES),single_source,-1.43,,,True,False,False,
gf_000201,13,2,Al II,7384.468,15.062,1,-2.18,KP,,synth(GES),single_source,-2.18,,,True,False,False,
gf_000202,13,2,Al II,7384.649,15.062,1,-3.36,KP,,synth(GES),single_source,-3.36,,,True,False,False,
gf_000203,13,2,Al II,7393.709,16.463,1,-1.69,KP,,synth(GES),single_source,-1.69,,,True,False,False,
gf_000204,13,2,Al II,7440.93,15.062,1,-1.88,KP,,synth(GES),single_source,-1.88,,,True,False,False,
gf_000205,13,2,Al II,7441.114,15.062,1,-2.36,KP,,synth(GES),single_source,-2.36,,,True,False,False,
gf_000206,13,2,Al II,7443.799,16.604,1,-1.34,KP,,synth(GES),single_source,-1.34,,,True,False,False,
gf_000207,13,2,Al II,7471.41,13.65,1,0.78,KP,,synth(GES),single_source,0.78,,,True,False,False,
gf_000208,13,2,Al II,7486.078,16.604,1,-1.9,KP,,synth(GES),single_source,-1.9,,,True,False,False,
gf_000209,13,2,Al II,7505.204,16.637,2,-3.3474,KP,,synth(GES),single_source,-3.3474,,,True,False,False,
gf_000210,13,2,Al II,7505.683,16.637,2,-2.7758,KP,,synth(GES),single_source,-2.7758,,,True,False,False,
gf_000211,13,2,Al II,7505.97,16.637,1,-3.59,KP,,synth(GES),single_source,-3.59,,,True,False,False,
gf_000212,13,2,Al II,7526.177,16.637,10,-0.2639,KP,,synth(GES),single_source,-0.2639,,,True,False,False,
gf_000213,13,2,Al II,7564.658,16.728,1,-1.97,KP,,synth(GES),single_source,-1.97,,,True,False,False,
gf_000214,13,2,Al II,7585.626,16.728,1,-2.46,KP,,synth(GES),single_source,-2.46,,,True,False,False,
gf_000215,13,2,Al II,7594.979,16.637,3,-2.8745,KP,,synth(GES),single_source,-2.8745,,,True,False,False,
gf_000216,13,2,Al II,7624.66,15.585,1,-0.89,KP,,synth(GES),single_source,-0.89,,,True,False,False,
gf_000217,13,2,Al II,7635.324,15.588,1,-0.27,KP,,synth(GES),single_source,-0.27,,,True,False,False,
gf_000218,13,2,Al II,7635.47,15.588,2,-0.9916,KP,,synth(GES),single_source,-0.9916,,,True,False,False,
gf_000219,13,2,Al II,7636.283,15.586,1,-3.44,KP,,synth(GES),single_source,-3.44,,,True,False,False,
gf_000220,13,2,Al II,7641.462,16.74,1,-2.16,KP,,synth(GES),single_source,-2.16,,,True,False,False,
gf_000221,13,2,Al II,7664.359,16.74,1,-2.5,KP,,synth(GES),single_source,-2.5,,,True,False,False,
gf_000222,13,2,Al II,7666.367,16.74,1,-2.5,KP,,synth(GES),single_source,-2.5,,,True,False,False,
gf_000223,13,2,Al II,7702.521,16.544,1,-0.61,KP,,synth(GES),single_source,-0.61,,,True,False,False,
gf_000224,13,2,Al II,7705.709,16.545,3,-0.4619,KP,,synth(GES),single_source,-0.4619,,,True,False,False,
gf_000225,13,2,Al II,7722.37,15.606,2,-2.9458,KP,,synth(GES),single_source,-2.9458,,,True,False,False,
gf_000226,13,2,Al II,7723.478,16.393,1,-3.82,KP,,synth(GES),single_source,-3.82,,,True,False,False,
gf_000227,13,2,Al II,7731.631,16.393,1,-4.52,KP,,synth(GES),single_source,-4.52,,,True,False,False,
gf_000228,13,2,Al II,7812.335,15.585,1,-1.39,KP,,synth(GES),single_source,-1.39,,,True,False,False,
gf_000229,13,2,Al II,7815.809,15.586,1,-0.92,KP,,synth(GES),single_source,-0.92,,,True,False,False,
gf_000230,13,2,Al II,7823.684,15.588,1,-0.69,KP,,synth(GES),single_source,-0.69,,,True,False,False,
