# air_wavelength_A  corrected_residual_flux  transmission
# RYA-940 telluric-corrected 1984 Kitt Peak atlas. NaN = quarantined (transmission < T_min=0.0873), never divided.
  6246.95980       0.998596   0.992834
  6246.96660       0.998416   0.992833
  6246.97390       0.998839   0.992833
  6246.98060       0.999051   0.992832
  6246.98790       0.998740   0.992831
  6246.99520       0.998498   0.992831
  6247.00200       0.998277   0.992830
  6247.00930       0.997996   0.992830
  6247.01600       0.998168   0.992829
  6247.02330       0.998611   0.992829
  6247.03060       0.998632   0.992828
  6247.03740       0.998451   0.992827
  6247.04470       0.998472   0.992827
  6247.05200       0.998513   0.992826
  6247.05870       0.998554   0.992826
  6247.06600       0.998746   0.992825
  6247.07280       0.998958   0.992825
  6247.08010       0.999099   0.992824
  6247.08740       0.999261   0.992823
  6247.09410       0.999322   0.992823
  6247.10140       0.999141   0.992822
  6247.10820       0.998749   0.992822
  6247.11550       0.998377   0.992821
  6247.12280       0.998337   0.992821
  6247.12950       0.998539   0.992820
  6247.13680       0.998349   0.992820
  6247.14360       0.997614   0.992819
  6247.15090       0.997141   0.992818
  6247.15820       0.997273   0.992818
  6247.16490       0.997374   0.992817
  6247.17220       0.997163   0.992817
  6247.17960       0.997113   0.992816
  6247.18630       0.997124   0.992816
  6247.19360       0.996530   0.992815
  6247.20030       0.995574   0.992815
  6247.20760       0.995091   0.992814
  6247.21500       0.994729   0.992813
  6247.22170       0.993561   0.992813
  6247.22900       0.991970   0.992812
  6247.23570       0.990842   0.992812
  6247.24300       0.989816   0.992811
  6247.25040       0.988265   0.992811
  6247.25710       0.986483   0.992810
  6247.26440       0.984580   0.992809
  6247.27110       0.982324   0.992809
  6247.27840       0.980139   0.992808
  6247.28580       0.978487   0.992808
  6247.29250       0.976907   0.992807
  6247.29980       0.974953   0.992807
  6247.30710       0.972939   0.992806
  6247.31380       0.971117   0.992806
  6247.32120       0.969405   0.992805
  6247.32790       0.968146   0.992804
  6247.33520       0.967764   0.992804
  6247.34250       0.967946   0.992803
  6247.34920       0.968128   0.992803
  6247.35660       0.968592   0.992802
  6247.36330       0.969922   0.992802
  6247.37060       0.971766   0.992801
  6247.37790       0.973297   0.992800
  6247.38460       0.974456   0.992800
  6247.39200       0.975716   0.992799
  6247.39870       0.976985   0.992799
  6247.40600       0.977641   0.992798
  6247.41330       0.977430   0.992798
  6247.42000       0.976403   0.992797
  6247.42740       0.974117   0.992797
  6247.43470       0.970008   0.992796
  6247.44140       0.964358   0.992796
  6247.44870       0.957287   0.992795
  6247.45540       0.947648   0.992794
  6247.46280       0.934403   0.992794
  6247.47010       0.918076   0.992793
  6247.47680       0.899271   0.992793
  6247.48410       0.877454   0.992792
  6247.49080       0.852132   0.992792
  6247.49820       0.823819   0.992791
  6247.50550       0.793420   0.992791
  6247.51220       0.761601   0.992790
  6247.51950       0.729047   0.992789
  6247.52620       0.697067   0.992789
  6247.53360       0.667403   0.992788
  6247.54090       0.641285   0.992788
  6247.54760       0.619740   0.992787
  6247.55490       0.604470   0.992787
  6247.56230       0.597047   0.992786
  6247.56900       0.597883   0.992786
  6247.57630       0.606969   0.992785
  6247.58300       0.623992   0.992785
  6247.59030       0.647754   0.992784
  6247.59770       0.676724   0.992783
  6247.60440       0.709148   0.992783
  6247.61170       0.742429   0.992782
  6247.61840       0.774843   0.992782
  6247.62570       0.806250   0.992781
  6247.63310       0.835582   0.992781
  6247.63980       0.861319   0.992780
  6247.64710       0.884023   0.992779
  6247.65380       0.904582   0.992779
  6247.66110       0.922029   0.992778
  6247.66850       0.936252   0.992778
  6247.67520       0.948682   0.992777
  6247.68250       0.959299   0.992777
  6247.68980       0.967459   0.992776
  6247.69650       0.974117   0.992776
  6247.70390       0.979930   0.992775
  6247.71060       0.984191   0.992774
  6247.71790       0.987244   0.992774
  6247.72520       0.990448   0.992773
  6247.73190       0.993551   0.992773
  6247.73930       0.995334   0.992772
  6247.74600       0.996040   0.992772
  6247.75330       0.996856   0.992771
  6247.76060       0.997955   0.992771
  6247.76730       0.998539   0.992770
  6247.77470       0.998671   0.992769
  6247.78140       0.999175   0.992769
  6247.78870       0.999871   0.992768
  6247.79600       1.000053   0.992768
  6247.80270       1.000053   0.992767
  6247.81010       1.000275   0.992767
  6247.81740       1.000074   0.992766
  6247.82410       0.999531   0.992766
  6247.83140       0.999632   0.992765
  6247.83810       0.999985   0.992765
  6247.84550       0.999583   0.992764
  6247.85280       0.998999   0.992764
  6247.85950       0.998990   0.992763
  6247.86680       0.998960   0.992762
  6247.87350       0.998648   0.992762
  6247.88090       0.998730   0.992761
  6247.88820       0.999073   0.992761
  6247.89490       0.998993   0.992760
  6247.90220       0.998580   0.992760
  6247.90950       0.998299   0.992759
  6247.91630       0.998279   0.992759
  6247.92360       0.998542   0.992758
  6247.93030       0.998915   0.992757
  6247.93760       0.999046   0.992757
  6247.94490       0.998906   0.992756
  6247.95170       0.998796   0.992756
  6247.95900       0.998998   0.992755
  6247.96570       0.999371   0.992755
  6247.97300       0.999543   0.992754
  6247.98030       0.999654   0.992753
  6247.98710       0.999997   0.992753
  6247.99440       1.000179   0.992752
  6248.00110       0.999968   0.992752
  6248.00840       1.000039   0.992751
  6248.01570       1.000473   0.992751
  6248.02250       1.000393   0.992750
  6248.02980       0.999900   0.992750
  6248.03710       1.000021   0.992749
  6248.04380       1.000606   0.992748
  6248.05110       1.000768   0.992748
  6248.05790       1.000617   0.992747
  6248.06520       1.000638   0.992747
  6248.07250       1.000649   0.992746
  6248.07920       1.000498   0.992746
  6248.08650       1.000418   0.992745
  6248.09330       1.000449   0.992745
  6248.10060       1.000278   0.992744
  6248.10790       1.000057   0.992743
  6248.11460       1.000370   0.992743
  6248.12190       1.001035   0.992742
  6248.12930       1.001257   0.992742
  6248.13600       1.001046   0.992741
  6248.14330       1.000855   0.992741
  6248.15000       1.000514   0.992740
  6248.15730       1.000242   0.992740
  6248.16470       1.000515   0.992739
  6248.17140       1.000545   0.992739
  6248.17870       0.999750   0.992738
  6248.18540       0.999378   0.992737
  6248.19270       0.999812   0.992737
  6248.20010       0.999752   0.992736
  6248.20680       0.999178   0.992736
  6248.21410       0.999088   0.992735
  6248.22140       0.998928   0.992735
  6248.22810       0.998263   0.992734
  6248.23550       0.998022   0.992734
  6248.24220       0.998002   0.992733
  6248.24950       0.997469   0.992732
  6248.25680       0.997309   0.992732
  6248.26350       0.998075   0.992731
  6248.27090       0.998559   0.992731
  6248.27760       0.998408   0.992730
  6248.28490       0.998540   0.992730
  6248.29220       0.999104   0.992729
  6248.29900       0.999790   0.992729
  6248.30630       1.000697   0.992728
  6248.31360       1.001393   0.992727
  6248.32030       1.001353   0.992727
  6248.32760       1.001333   0.992726
  6248.33440       1.002049   0.992726
  6248.34170       1.002765   0.992725
  6248.34900       1.002816   0.992725
  6248.35570       1.002776   0.992724
  6248.36300       1.002978   0.992724
  6248.36980       1.002989   0.992723
  6248.37710       1.002959   0.992723
  6248.38440       1.003231   0.992722
  6248.39110       1.003313   0.992722
  6248.39840       1.003041   0.992721
  6248.40580       1.003102   0.992720
  6248.41250       1.003506   0.992720
  6248.41980       1.003567   0.992719
  6248.42650       1.003285   0.992719
  6248.43380       1.003094   0.992718
  6248.44120       1.003105   0.992718
  6248.44790       1.003347   0.992717
  6248.45520       1.003428   0.992717
  6248.46190       1.002895   0.992716
  6248.46920       1.002432   0.992716
  6248.47660       1.002674   0.992715
  6248.48330       1.002937   0.992715
  6248.49060       1.002706   0.992714
  6248.49790       1.002384   0.992713
  6248.50460       1.002193   0.992713
  6248.51200       1.002284   0.992712
  6248.51870       1.002748   0.992712
  6248.52600       1.002839   0.992711
  6248.53330       1.002346   0.992711
  6248.54000       1.002357   0.992710
  6248.54740       1.002791   0.992710
  6248.55410       1.002459   0.992709
  6248.56140       1.001915   0.992709
  6248.56870       1.002198   0.992708
  6248.57540       1.002642   0.992708
  6248.58280       1.002683   0.992707
  6248.58950       1.002804   0.992706
  6248.59680       1.002865   0.992706
  6248.60410       1.002644   0.992705
  6248.61080       1.002745   0.992705
  6248.61820       1.003118   0.992704
  6248.62550       1.003270   0.992704
  6248.63220       1.003512   0.992703
  6248.63950       1.003755   0.992703
  6248.64620       1.003372   0.992702
  6248.65360       1.002859   0.992702
  6248.66090       1.002981   0.992701
  6248.66760       1.003243   0.992701
  6248.67490       1.003163   0.992700
  6248.68230       1.002992   0.992699
  6248.68900       1.002812   0.992699
  6248.69630       1.002691   0.992698
  6248.70300       1.002823   0.992698
  6248.71030       1.002874   0.992697
  6248.71770       1.002582   0.992697
  6248.72440       1.002562   0.992696
  6248.73170       1.002885   0.992696
  6248.73840       1.002735   0.992695
  6248.74570       1.002171   0.992695
  6248.75310       1.001950   0.992694
  6248.75980       1.002041   0.992694
  6248.76710       1.002022   0.992693
  6248.77440       1.001730   0.992692
  6248.78110       1.001015   0.992692
  6248.78850       0.999988   0.992691
  6248.79520       0.999213   0.992691
  6248.80250       0.998599   0.992690
  6248.80980       0.997643   0.992690
  6248.81650       0.996465   0.992689
  6248.82390       0.995126   0.992689
  6248.83060       0.992930   0.992688
  6248.83790       0.989959   0.992688
  6248.84520       0.987159   0.992687
  6248.85190       0.984449   0.992687
  6248.85930       0.981196   0.992686
  6248.86660       0.978054   0.992686
  6248.87330       0.975778   0.992685
  6248.88060       0.973935   0.992685
  6248.88730       0.972152   0.992684
  6248.89470       0.970752   0.992684
  6248.90200       0.969756   0.992683
  6248.90870       0.969383   0.992683
  6248.91600       0.970361   0.992682
  6248.92270       0.972396   0.992682
  6248.93010       0.974190   0.992681
  6248.93740       0.975571   0.992681
  6248.94410       0.977384   0.992680
  6248.95140       0.979641   0.992680
  6248.95870       0.981606   0.992679
  6248.96550       0.983239   0.992679
  6248.97280       0.984811   0.992678
  6248.97950       0.986040   0.992677
  6248.98680       0.986676   0.992677
  6248.99410       0.987190   0.992676
  6249.00090       0.987986   0.992676
  6249.00820       0.988611   0.992675
  6249.01490       0.988723   0.992675
  6249.02220       0.988703   0.992674
  6249.02950       0.988804   0.992674
  6249.03630       0.988805   0.992673
  6249.04360       0.988846   0.992673
  6249.05090       0.989340   0.992672
  6249.05760       0.990055   0.992672
  6249.06490       0.990358   0.992671
  6249.07170       0.990187   0.992671
  6249.07900       0.990339   0.992670
  6249.08630       0.991186   0.992670
  6249.09300       0.991962   0.992669
  6249.10030       0.992184   0.992669
  6249.10710       0.992577   0.992668
  6249.11440       0.993495   0.992668
  6249.12170       0.994190   0.992667
  6249.12840       0.994573   0.992667
  6249.13570       0.995340   0.992666
  6249.14310       0.996227   0.992666
  6249.14980       0.996731   0.992665
  6249.15710       0.997255   0.992665
  6249.16380       0.997840   0.992664
  6249.17110       0.998102   0.992664
  6249.17850       0.998486   0.992663
  6249.18520       0.999141   0.992663
  6249.19250       0.999353   0.992662
  6249.19980       0.999384   0.992662
  6249.20650       1.000049   0.992661
  6249.21390       1.000705   0.992661
  6249.22060       1.000645   0.992660
  6249.22790       1.000655   0.992660
  6249.23520       1.001069   0.992659
  6249.24190       1.001150   0.992659
  6249.24930       1.001050   0.992658
  6249.25600       1.001453   0.992658
  6249.26330       1.002048   0.992657
  6249.27060       1.002190   0.992657
  6249.27730       1.002029   0.992656
  6249.28470       1.002039   0.992656
  6249.29200       1.002241   0.992655
  6249.29870       1.002252   0.992654
  6249.30600       1.001960   0.992654
  6249.31270       1.001840   0.992653
  6249.32010       1.001961   0.992653
  6249.32740       1.001811   0.992652
  6249.33410       1.001489   0.992652
  6249.34140       1.001389   0.992651
  6249.34880       1.001017   0.992651
  6249.35550       1.000050   0.992650
  6249.36280       0.998932   0.992650
  6249.36950       0.997643   0.992649
  6249.37680       0.996102   0.992649
  6249.38420       0.995116   0.992648
  6249.39090       0.994582   0.992648
  6249.39820       0.993223   0.992647
  6249.40490       0.991128   0.992647
  6249.41220       0.989255   0.992646
  6249.41960       0.987190   0.992646
  6249.42630       0.984440   0.992645
  6249.43360       0.981912   0.992645
  6249.44090       0.979938   0.992644
  6249.44760       0.977853   0.992644
  6249.45500       0.975648   0.992643
  6249.46170       0.973684   0.992643
  6249.46900       0.972113   0.992642
  6249.47630       0.971206   0.992642
  6249.48300       0.970633   0.992641
  6249.49040       0.969656   0.992641
  6249.49770       0.968881   0.992640
  6249.50440       0.969244   0.992640
  6249.51170       0.969778   0.992639
  6249.51840       0.969537   0.992639
