wavelength_air_A,segment,n_pixels,mtrans_min,n_deep_pixels,state,why,contrast_raw,contrast_corrected
15692.747,H1559_o6d3,78,0.7685,3,NO-TELLURIC-IN-WINDOW,only 3 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15051.749,H1559_o7d1,73,0.7593,7,NO-TELLURIC-IN-WINDOW,only 7 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15080.22,H1559_o7d1,74,0.9708,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15207.526,H1559_o7d2,79,0.989,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15294.56,H1559_o7d3,82,0.9802,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16541.962,H1567_o4d2,71,0.0,61,UNDETERMINED,the RAW flux shows only -0.0442 contrast at the telluric pixels — no positive control,-0.0442,
16009.61,H1567_o5d1,71,0.4179,8,NO-TELLURIC-IN-WINDOW,only 8 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16153.247,H1567_o5d2,76,0.9082,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16165.029,H1567_o5d2,76,0.0,49,NO-TELLURIC-IN-WINDOW,only 49 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16179.583,H1567_o5d3,77,0.0,77,NO-TELLURIC-IN-WINDOW,only 77 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16198.502,H1567_o5d3,77,0.9665,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15591.49,H1567_o6d1,73,0.9933,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15604.22,H1567_o6d1,74,0.9824,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15631.947,H1567_o6d2,75,0.9918,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15648.51,H1567_o6d2,76,0.9901,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15682.016,H1567_o6d2,77,0.949,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15691.853,H1567_o6d2,78,0.8288,7,CORRECTED,telluric contrast +0.1143 -> -0.0241,0.1143,-0.0241
15692.747,H1567_o6d2,77,0.8288,4,NO-TELLURIC-IN-WINDOW,only 4 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15207.526,H1567_o7d2,77,0.9841,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15294.56,H1567_o7d2,67,0.0,67,NO-TELLURIC-IN-WINDOW,only 67 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15335.383,H1567_o7d3,82,0.9703,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
17277.479,H1575_o3d3,75,0.9198,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16537.994,H1575_o4d1,70,0.4087,10,CORRECTED,telluric contrast +0.3371 -> +0.0175,0.3371,0.0175
16541.962,H1575_o4d1,69,0.9948,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16153.247,H1575_o5d2,75,0.0,1,NO-TELLURIC-IN-WINDOW,only 1 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16165.029,H1575_o5d2,75,0.9225,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16179.583,H1575_o5d2,76,0.95,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16198.502,H1575_o5d2,75,0.9805,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16324.451,H1575_o5d3,81,0.8585,7,NO-TELLURIC-IN-WINDOW,only 7 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15591.49,H1575_o6d1,73,0.0,31,UNDETERMINED,the RAW flux shows only -0.0069 contrast at the telluric pixels — no positive control,-0.0069,
15604.22,H1575_o6d1,73,0.9795,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15631.947,H1575_o6d1,74,0.9987,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15648.51,H1575_o6d1,75,0.9929,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15682.016,H1575_o6d1,76,0.9029,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15835.165,H1575_o6d3,81,0.8285,4,NO-TELLURIC-IN-WINDOW,only 4 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15207.526,H1575_o7d1,76,0.9768,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15294.56,H1575_o7d2,79,0.9129,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15335.383,H1575_o7d2,81,0.9083,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15051.749,H1575_o8d3,89,0.4341,16,NO-TELLURIC-IN-WINDOW,only 16 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
17277.479,H1582_o3d2,73,0.9892,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16892.361,H1582_o4d3,80,0.9861,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16153.247,H1582_o5d1,73,0.9005,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16165.029,H1582_o5d1,74,0.9484,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16179.583,H1582_o5d1,74,0.9525,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16198.502,H1582_o5d1,75,0.9812,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16382.251,H1582_o5d3,82,0.9721,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
16396.306,H1582_o5d3,82,0.926,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15682.016,H1582_o6d1,75,0.9545,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15691.853,H1582_o6d1,75,0.8324,4,NO-TELLURIC-IN-WINDOW,only 4 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15692.747,H1582_o6d1,75,0.8324,2,NO-TELLURIC-IN-WINDOW,only 2 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15835.165,H1582_o6d2,80,0.8315,3,NO-TELLURIC-IN-WINDOW,only 3 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15294.56,H1582_o7d1,78,0.9846,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15335.383,H1582_o7d1,79,0.0,54,NO-TELLURIC-IN-WINDOW,only 54 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15051.749,H1582_o8d3,86,0.9538,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
15080.22,H1582_o8d3,88,0.9033,0,NO-TELLURIC-IN-WINDOW,only 0 pixel(s) below MTRANS 0.90 in this line's +/-1.89 A window — molecfit found nothing here to remove,,
