ion,band,instrument,holding,selector,wavelength_air_A,synth_band,in_registered_telluric_band,telluric_band,telluric_band_span,production_fate,production_reason,lift_provenance,raw_sibling,flux_state,flux_basis,absorption_available_in_raw,band_evidence_state,max_abs_diff
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9768.313,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.12964,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9783.993,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.067254,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9786.641,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.065958,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9913.18,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.055495,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,9944.207,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.056536,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,10142.844,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.036306,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,10216.313,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.214289,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,10435.355,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.031107,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,10863.518,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.143824,,0.0
I,NIR,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,11013.235,NIR,False,,,KEPT,,,solar_kpno,VERIFIED-RAW,DIRECT-COMPARISON vs raw sibling at this line,0.087633,,0.0
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4203.938,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.328516,,0.00105905
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4233.602,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.451392,,0.00105258
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4245.344,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.34953,,0.00112641
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4259.999,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.51766,,0.00084973
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4276.675,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.244197,,0.00085143
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4278.23,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.228102,,0.00083968
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4286.863,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.379241,,0.00076703
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4287.94,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.417587,,0.00073834
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4289.915,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.596471,,0.00053021
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4326.753,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.349213,,0.00035191
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4344.499,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.420053,,0.00029618
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4351.544,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.464181,,0.00029229
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4358.499,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.361217,,0.00030608
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4369.736,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.421437,,0.00028586
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4373.561,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.314556,,0.00029378
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4401.29,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.530406,,0.00025882
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4408.413,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.486931,,0.00028924
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4423.841,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.213688,,0.00031941
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4432.568,VIS,False,,,KEPT,,,solar_harps,VERIFIED-CORRECTED,DIRECT-COMPARISON vs raw sibling at this line,0.174853,,0.00030856
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4447.717,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.362911,,0.00026472
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4459.117,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.495021,,0.0002323
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4461.968,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.424032,,0.00021558
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4476.075,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.375142,,0.00018227
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4480.137,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.315599,,0.00017539
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4481.609,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.26317,,0.00016801
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4482.739,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.257512,,0.00016459
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4484.22,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.257959,,0.00016211
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4494.563,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.407636,,0.00012457
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4495.953,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.250515,,0.00013126
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4514.184,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.268395,,9.58e-05
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4528.757,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.532295,,8.201e-05
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4547.847,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.222753,,0.00010212
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4581.508,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.422048,,0.000172
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4595.358,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.252631,,0.00020909
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4607.646,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.253026,,0.00023549
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4619.288,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.258798,,0.00024827
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4625.045,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.232436,,0.00025588
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4630.12,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.194413,,0.00026063
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4637.503,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.269478,,0.00024916
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4654.605,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.392983,,0.00024161
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4654.631,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.3919,,0.00024272
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4667.453,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.440215,,0.00019236
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4668.134,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.314809,,0.00021553
I,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,4669.171,VIS,False,,,KEPT,,,solar_harps,NO-MATERIAL-DIFFERENCE,DIRECT-COMPARISON vs raw sibling at this line,0.254172,,0.00021912
