ion,band,synth_band,wavelength_air_A,half_width_A,n_transitions,summed_depth_window,depth_share_target,molecular_share,top_contaminant,top_contaminant_share,verdict,synth_n_transitions,synth_depth_share_target,synthesis_blind_to_molecular
I,near-UV,near-UV,3779.201,0.4,33,4.411,0.7817,0.0009,Fe II,0.1215,BLENDED,31,0.7824,False
I,near-UV,near-UV,3779.416,0.4,54,5.941,0.5804,0.0008,V I,0.2594,BLENDED,52,0.5809,False
I,VIS,VIS,4203.938,0.62,88,6.616,0.5388,0.0145,V II,0.1982,BLENDED,31,0.6747,False
I,VIS,VIS,4233.602,0.62,95,17.485,0.0926,0.0002,Co I,0.5465,TARGET-NOT-DOMINANT,34,0.3082,False
I,VIS,VIS,4245.344,0.62,46,2.655,0.8226,0.0008,Ce II,0.0395,CLEAN,41,0.3832,False
I,VIS,VIS,4259.999,0.62,84,6.004,0.7172,0.001,Mn II,0.1694,BLENDED,34,0.7971,False
I,VIS,VIS,4276.675,0.62,120,11.45,0.0791,0.0338,V I,0.5441,TARGET-NOT-DOMINANT,35,0.3765,False
I,VIS,VIS,4278.23,0.62,57,2.706,0.5543,0.0011,Ti I,0.2132,BLENDED,42,0.3247,False
I,VIS,VIS,4286.863,0.62,115,7.791,0.2526,0.2047,CH I,0.2047,TARGET-NOT-DOMINANT,37,0.5924,True
I,VIS,VIS,4287.94,0.62,96,17.205,0.1022,0.0035,Ti II,0.679,TARGET-NOT-DOMINANT,30,0.2703,False
I,VIS,VIS,4289.08,0.62,73,4.99,0.2228,0.2934,CH I,0.2934,TARGET-NOT-DOMINANT,32,0.4038,True
I,VIS,VIS,4289.915,0.62,109,28.378,0.0862,0.0124,Ti II,0.7974,TARGET-NOT-DOMINANT,37,0.3613,False
I,VIS,VIS,4326.753,0.62,65,3.196,0.4937,0.0078,Mn II,0.2203,TARGET-NOT-DOMINANT,38,0.4237,False
I,VIS,VIS,4344.499,0.62,116,14.609,0.1079,0.0103,Ti II,0.6796,TARGET-NOT-DOMINANT,34,0.3698,False
I,VIS,VIS,4351.544,0.62,59,7.748,0.2359,0.0723,Cr I,0.3356,TARGET-NOT-DOMINANT,35,0.3609,False
I,VIS,VIS,4358.499,0.62,78,3.266,0.4776,0.0964,Y II,0.1996,TARGET-NOT-DOMINANT,30,0.4671,False
I,VIS,VIS,4369.736,0.62,69,3.812,0.2962,0.1831,CH I,0.1831,TARGET-NOT-DOMINANT,29,0.4411,False
I,VIS,VIS,4372.982,0.62,90,3.925,0.3243,0.1557,Co I,0.2283,TARGET-NOT-DOMINANT,32,0.473,False
I,VIS,VIS,4373.561,0.62,111,7.011,0.2565,0.0561,Co I,0.3475,TARGET-NOT-DOMINANT,30,0.421,False
I,VIS,VIS,4401.29,0.62,47,3.846,0.3957,0.0172,Ni I,0.4353,TARGET-NOT-DOMINANT,31,0.4465,False
